Epoch 0: Loss 0.47, Reward 1.0, Avgloss 0.47, Avgreward 1.00, Epsilon 1.00, TotalStep 19
Epoch 1: Loss 0.58, Reward 0.0, Avgloss 0.52, Avgreward 0.50, Epsilon 1.00, TotalStep 39
Epoch 2: Loss 0.82, Reward 3.0, Avgloss 0.62, Avgreward 1.33, Epsilon 1.00, TotalStep 68
Epoch 3: Loss 0.45, Reward 0.0, Avgloss 0.58, Avgreward 1.00, Epsilon 1.00, TotalStep 83
Epoch 4: Loss 0.77, Reward 2.0, Avgloss 0.62, Avgreward 1.20, Epsilon 1.00, TotalStep 111
Epoch 5: Loss 0.52, Reward 3.0, Avgloss 0.60, Avgreward 1.50, Epsilon 1.00, TotalStep 131
Epoch 6: Loss 0.68, Reward 1.0, Avgloss 0.61, Avgreward 1.43, Epsilon 0.99, TotalStep 161
Epoch 7: Loss 0.94, Reward 4.0, Avgloss 0.65, Avgreward 1.75, Epsilon 0.99, TotalStep 200
Epoch 8: Loss 0.36, Reward 0.0, Avgloss 0.62, Avgreward 1.56, Epsilon 0.99, TotalStep 217
Epoch 9: Loss 0.44, Reward 1.0, Avgloss 0.60, Avgreward 1.50, Epsilon 0.99, TotalStep 242
Epoch 10: Loss 0.59, Reward 3.0, Avgloss 0.60, Avgreward 1.64, Epsilon 0.99, TotalStep 277
Epoch 11: Loss 0.38, Reward 1.0, Avgloss 0.58, Avgreward 1.58, Epsilon 0.99, TotalStep 302
Epoch 12: Loss 0.27, Reward 0.0, Avgloss 0.56, Avgreward 1.46, Epsilon 0.99, TotalStep 323
Epoch 13: Loss 0.29, Reward 0.0, Avgloss 0.54, Avgreward 1.36, Epsilon 0.99, TotalStep 346
Epoch 14: Loss 0.27, Reward 2.0, Avgloss 0.52, Avgreward 1.40, Epsilon 0.99, TotalStep 371
Epoch 15: Loss 0.19, Reward 0.0, Avgloss 0.50, Avgreward 1.31, Epsilon 0.99, TotalStep 393
Epoch 16: Loss 0.15, Reward 0.0, Avgloss 0.48, Avgreward 1.24, Epsilon 0.99, TotalStep 412
Epoch 17: Loss 0.46, Reward 7.0, Avgloss 0.48, Avgreward 1.56, Epsilon 0.99, TotalStep 472
Epoch 18: Loss 0.23, Reward 2.0, Avgloss 0.47, Avgreward 1.58, Epsilon 0.98, TotalStep 505
Epoch 19: Loss 0.10, Reward 0.0, Avgloss 0.45, Avgreward 1.50, Epsilon 0.98, TotalStep 525
Epoch 20: Loss 0.18, Reward 1.0, Avgloss 0.44, Avgreward 1.48, Epsilon 0.98, TotalStep 560
Epoch 21: Loss 0.08, Reward 0.0, Avgloss 0.42, Avgreward 1.41, Epsilon 0.98, TotalStep 583
Epoch 22: Loss 0.06, Reward 0.0, Avgloss 0.40, Avgreward 1.35, Epsilon 0.98, TotalStep 600
Epoch 23: Loss 0.10, Reward 0.0, Avgloss 0.39, Avgreward 1.29, Epsilon 0.98, TotalStep 624
Epoch 24: Loss 0.14, Reward 5.0, Avgloss 0.38, Avgreward 1.44, Epsilon 0.98, TotalStep 672
Epoch 25: Loss 0.17, Reward 2.0, Avgloss 0.37, Avgreward 1.46, Epsilon 0.98, TotalStep 714
Epoch 26: Loss 0.11, Reward 2.0, Avgloss 0.36, Avgreward 1.48, Epsilon 0.98, TotalStep 742
Epoch 27: Loss 0.17, Reward 4.0, Avgloss 0.36, Avgreward 1.57, Epsilon 0.98, TotalStep 797
Epoch 28: Loss 0.06, Reward 2.0, Avgloss 0.35, Avgreward 1.59, Epsilon 0.97, TotalStep 821
Epoch 29: Loss 0.06, Reward 0.0, Avgloss 0.34, Avgreward 1.53, Epsilon 0.97, TotalStep 844
Epoch 30: Loss 0.04, Reward 0.0, Avgloss 0.33, Avgreward 1.48, Epsilon 0.97, TotalStep 859
Epoch 31: Loss 0.12, Reward 2.0, Avgloss 0.32, Avgreward 1.50, Epsilon 0.97, TotalStep 896
Epoch 32: Loss 0.08, Reward 2.0, Avgloss 0.31, Avgreward 1.52, Epsilon 0.97, TotalStep 925
Epoch 33: Loss 0.05, Reward 0.0, Avgloss 0.31, Avgreward 1.47, Epsilon 0.97, TotalStep 940
Epoch 34: Loss 0.07, Reward 0.0, Avgloss 0.30, Avgreward 1.43, Epsilon 0.97, TotalStep 964
Epoch 35: Loss 0.05, Reward 2.0, Avgloss 0.29, Avgreward 1.44, Epsilon 0.97, TotalStep 985
Epoch 36: Loss 0.18, Reward 0.0, Avgloss 0.29, Avgreward 1.41, Epsilon 0.97, TotalStep 1003
Epoch 37: Loss 0.47, Reward 0.0, Avgloss 0.29, Avgreward 1.37, Epsilon 0.97, TotalStep 1025
Epoch 38: Loss 0.30, Reward 2.0, Avgloss 0.29, Avgreward 1.38, Epsilon 0.97, TotalStep 1049
Epoch 39: Loss 0.19, Reward 0.0, Avgloss 0.29, Avgreward 1.35, Epsilon 0.97, TotalStep 1066
Epoch 40: Loss 0.27, Reward 0.0, Avgloss 0.29, Avgreward 1.32, Epsilon 0.97, TotalStep 1092
Epoch 41: Loss 0.20, Reward 0.0, Avgloss 0.29, Avgreward 1.29, Epsilon 0.97, TotalStep 1110
Epoch 42: Loss 0.18, Reward 0.0, Avgloss 0.29, Avgreward 1.26, Epsilon 0.96, TotalStep 1130
Epoch 43: Loss 0.11, Reward 0.0, Avgloss 0.28, Avgreward 1.23, Epsilon 0.96, TotalStep 1150
Epoch 44: Loss 0.10, Reward 1.0, Avgloss 0.28, Avgreward 1.22, Epsilon 0.96, TotalStep 1173
Epoch 45: Loss 0.08, Reward 1.0, Avgloss 0.27, Avgreward 1.22, Epsilon 0.96, TotalStep 1192
Epoch 46: Loss 0.08, Reward 0.0, Avgloss 0.27, Avgreward 1.19, Epsilon 0.96, TotalStep 1211
Epoch 47: Loss 0.10, Reward 2.0, Avgloss 0.27, Avgreward 1.21, Epsilon 0.96, TotalStep 1240
Epoch 48: Loss 0.11, Reward 3.0, Avgloss 0.26, Avgreward 1.24, Epsilon 0.96, TotalStep 1277
Epoch 49: Loss 0.13, Reward 1.0, Avgloss 0.26, Avgreward 1.24, Epsilon 0.96, TotalStep 1311
Epoch 50: Loss 0.15, Reward 5.0, Avgloss 0.26, Avgreward 1.31, Epsilon 0.96, TotalStep 1349
Epoch 51: Loss 0.03, Reward 0.0, Avgloss 0.25, Avgreward 1.29, Epsilon 0.96, TotalStep 1362
Epoch 52: Loss 0.05, Reward 0.0, Avgloss 0.25, Avgreward 1.26, Epsilon 0.96, TotalStep 1382
Epoch 53: Loss 0.05, Reward 1.0, Avgloss 0.25, Avgreward 1.26, Epsilon 0.96, TotalStep 1402
Epoch 54: Loss 0.06, Reward 0.0, Avgloss 0.24, Avgreward 1.24, Epsilon 0.96, TotalStep 1423
Epoch 55: Loss 0.08, Reward 0.0, Avgloss 0.24, Avgreward 1.21, Epsilon 0.96, TotalStep 1443
Epoch 56: Loss 0.08, Reward 3.0, Avgloss 0.24, Avgreward 1.25, Epsilon 0.95, TotalStep 1482
Epoch 57: Loss 0.06, Reward 0.0, Avgloss 0.23, Avgreward 1.22, Epsilon 0.95, TotalStep 1503
