
Warming up...
Eval epoch 0: Reward 6.0
Epoch 0: Loss 157.88, Reward 6.0, Avgloss 157.88, Avgreward 6.00, Epsilon 84.24, TotalStep 279
Epoch 1: Loss 41.56, Reward 5.0, Avgloss 99.72, Avgreward 5.50, Epsilon 74.37, TotalStep 508
Epoch 2: Loss 35.94, Reward 3.0, Avgloss 78.46, Avgreward 4.67, Epsilon 65.44, TotalStep 743
Epoch 3: Loss 38.82, Reward 8.0, Avgloss 68.55, Avgreward 5.50, Epsilon 56.01, TotalStep 1029
Epoch 4: Loss 10.22, Reward 3.0, Avgloss 56.88, Avgreward 5.00, Epsilon 50.26, TotalStep 1228
Epoch 5: Loss 10.07, Reward 4.0, Avgloss 49.08, Avgreward 4.83, Epsilon 44.88, TotalStep 1436
Epoch 6: Loss 11.66, Reward 3.0, Avgloss 43.74, Avgreward 4.57, Epsilon 39.99, TotalStep 1648
Epoch 7: Loss 10.23, Reward 3.0, Avgloss 39.55, Avgreward 4.38, Epsilon 35.67, TotalStep 1858
Epoch 8: Loss 13.29, Reward 9.0, Avgloss 36.63, Avgreward 4.89, Epsilon 29.94, TotalStep 2180
Epoch 9: Loss 7.56, Reward 2.0, Avgloss 33.72, Avgreward 4.60, Epsilon 26.81, TotalStep 2383
Epoch 10: Loss 7.43, Reward 4.0, Avgloss 31.33, Avgreward 4.55, Epsilon 23.85, TotalStep 2598
Epoch 11: Loss 9.58, Reward 5.0, Avgloss 29.52, Avgreward 4.58, Epsilon 20.59, TotalStep 2868
Epoch 12: Loss 9.31, Reward 5.0, Avgloss 27.97, Avgreward 4.62, Epsilon 17.92, TotalStep 3123
Epoch 13: Loss 5.79, Reward 3.0, Avgloss 26.38, Avgreward 4.50, Epsilon 16.08, TotalStep 3322
Epoch 14: Loss 6.12, Reward 2.0, Avgloss 25.03, Avgreward 4.33, Epsilon 14.34, TotalStep 3533
Epoch 15: Loss 5.33, Reward 3.0, Avgloss 23.80, Avgreward 4.25, Epsilon 12.88, TotalStep 3730
Epoch 16: Loss 4.80, Reward 4.0, Avgloss 22.68, Avgreward 4.24, Epsilon 11.73, TotalStep 3902
Epoch 17: Loss 5.52, Reward 2.0, Avgloss 21.73, Avgreward 4.11, Epsilon 10.48, TotalStep 4109
Epoch 18: Loss 5.86, Reward 6.0, Avgloss 20.89, Avgreward 4.21, Epsilon 9.06, TotalStep 4378
Epoch 19: Loss 4.94, Reward 3.0, Avgloss 20.10, Avgreward 4.15, Epsilon 8.04, TotalStep 4598
Epoch 20: Loss 4.41, Reward 2.0, Avgloss 19.35, Avgreward 4.05, Epsilon 7.18, TotalStep 4806
Epoch 21: Loss 6.62, Reward 5.0, Avgloss 18.77, Avgreward 4.09, Epsilon 6.20, TotalStep 5075
Epoch 22: Loss 6.46, Reward 8.0, Avgloss 18.23, Avgreward 4.26, Epsilon 5.19, TotalStep 5403
Epoch 23: Loss 4.66, Reward 6.0, Avgloss 17.67, Avgreward 4.33, Epsilon 4.58, TotalStep 5633
Epoch 24: Loss 4.68, Reward 4.0, Avgloss 17.15, Avgreward 4.32, Epsilon 4.00, TotalStep 5880
Epoch 25: Loss 4.46, Reward 3.0, Avgloss 16.66, Avgreward 4.27, Epsilon 3.57, TotalStep 6091
Epoch 26: Loss 3.00, Reward 2.0, Avgloss 16.15, Avgreward 4.19, Epsilon 3.22, TotalStep 6279
Epoch 27: Loss 4.25, Reward 4.0, Avgloss 15.73, Avgreward 4.18, Epsilon 2.80, TotalStep 6539
Epoch 28: Loss 3.01, Reward 3.0, Avgloss 15.29, Avgreward 4.14, Epsilon 2.53, TotalStep 6729
Epoch 29: Loss 7.86, Reward 12.0, Avgloss 15.04, Avgreward 4.40, Epsilon 1.97, TotalStep 7185
Epoch 30: Loss 4.07, Reward 5.0, Avgloss 14.69, Avgreward 4.42, Epsilon 1.69, TotalStep 7467
