
Warming up...
Eval epoch 0: Reward 6.0
Epoch 0: Loss 8.47, Reward 3.0, Avgloss 8.47, Avgreward 3.00, Epsilon 52.69, TotalStep 219
Epoch 1: Loss 7.56, Reward 1.0, Avgloss 8.01, Avgreward 2.00, Epsilon 52.41, TotalStep 420
Epoch 2: Loss 6.84, Reward 2.0, Avgloss 7.62, Avgreward 2.00, Epsilon 52.13, TotalStep 620
Epoch 3: Loss 6.47, Reward 2.0, Avgloss 7.33, Avgreward 2.00, Epsilon 51.84, TotalStep 827
Epoch 4: Loss 6.85, Reward 2.0, Avgloss 7.24, Avgreward 2.00, Epsilon 51.56, TotalStep 1030
Epoch 5: Loss 9.20, Reward 8.0, Avgloss 7.56, Avgreward 3.00, Epsilon 51.15, TotalStep 1325
Epoch 6: Loss 7.06, Reward 4.0, Avgloss 7.49, Avgreward 3.14, Epsilon 50.82, TotalStep 1568
Epoch 7: Loss 5.55, Reward 2.0, Avgloss 7.25, Avgreward 3.00, Epsilon 50.53, TotalStep 1779
Epoch 8: Loss 5.35, Reward 3.0, Avgloss 7.04, Avgreward 3.00, Epsilon 50.29, TotalStep 1958
Epoch 9: Loss 5.13, Reward 2.0, Avgloss 6.85, Avgreward 2.90, Epsilon 50.04, TotalStep 2144
Epoch 10: Loss 6.47, Reward 5.0, Avgloss 6.81, Avgreward 3.09, Epsilon 49.71, TotalStep 2385
Epoch 11: Loss 7.07, Reward 4.0, Avgloss 6.83, Avgreward 3.17, Epsilon 49.36, TotalStep 2650
Epoch 12: Loss 7.69, Reward 4.0, Avgloss 6.90, Avgreward 3.23, Epsilon 48.95, TotalStep 2963
Epoch 13: Loss 4.83, Reward 6.0, Avgloss 6.75, Avgreward 3.43, Epsilon 48.66, TotalStep 3181
Epoch 14: Loss 4.37, Reward 2.0, Avgloss 6.59, Avgreward 3.33, Epsilon 48.40, TotalStep 3382
Epoch 15: Loss 6.09, Reward 6.0, Avgloss 6.56, Avgreward 3.50, Epsilon 48.04, TotalStep 3664
Epoch 16: Loss 7.27, Reward 11.0, Avgloss 6.60, Avgreward 3.94, Epsilon 47.58, TotalStep 4022
Epoch 17: Loss 4.25, Reward 4.0, Avgloss 6.47, Avgreward 3.94, Epsilon 47.30, TotalStep 4240
Epoch 18: Loss 5.00, Reward 5.0, Avgloss 6.40, Avgreward 4.00, Epsilon 46.96, TotalStep 4508
Epoch 19: Loss 4.23, Reward 4.0, Avgloss 6.29, Avgreward 4.00, Epsilon 46.66, TotalStep 4750
Epoch 20: Loss 4.29, Reward 4.0, Avgloss 6.19, Avgreward 4.00, Epsilon 46.34, TotalStep 5000
Epoch 21: Loss 4.20, Reward 7.0, Avgloss 6.10, Avgreward 4.14, Epsilon 46.04, TotalStep 5247
Epoch 22: Loss 4.16, Reward 7.0, Avgloss 6.02, Avgreward 4.26, Epsilon 45.72, TotalStep 5508
Epoch 23: Loss 3.23, Reward 4.0, Avgloss 5.90, Avgreward 4.25, Epsilon 45.46, TotalStep 5719
Epoch 24: Loss 3.84, Reward 5.0, Avgloss 5.82, Avgreward 4.28, Epsilon 45.15, TotalStep 5968
Epoch 25: Loss 3.32, Reward 2.0, Avgloss 5.72, Avgreward 4.19, Epsilon 44.91, TotalStep 6171
Epoch 26: Loss 3.99, Reward 6.0, Avgloss 5.66, Avgreward 4.26, Epsilon 44.58, TotalStep 6445
Epoch 27: Loss 2.85, Reward 3.0, Avgloss 5.56, Avgreward 4.21, Epsilon 44.33, TotalStep 6656
Epoch 28: Loss 3.82, Reward 2.0, Avgloss 5.50, Avgreward 4.14, Epsilon 43.98, TotalStep 6948
Epoch 29: Loss 2.76, Reward 4.0, Avgloss 5.41, Avgreward 4.13, Epsilon 43.76, TotalStep 7133
Epoch 30: Loss 4.20, Reward 5.0, Avgloss 5.37, Avgreward 4.16, Epsilon 43.40, TotalStep 7447
Epoch 31: Loss 3.99, Reward 6.0, Avgloss 5.33, Avgreward 4.22, Epsilon 43.05, TotalStep 7748
Epoch 32: Loss 3.38, Reward 5.0, Avgloss 5.27, Avgreward 4.24, Epsilon 42.73, TotalStep 8023
Epoch 33: Loss 2.80, Reward 2.0, Avgloss 5.19, Avgreward 4.18, Epsilon 42.50, TotalStep 8221
Epoch 34: Loss 2.66, Reward 4.0, Avgloss 5.12, Avgreward 4.17, Epsilon 42.27, TotalStep 8427
Epoch 35: Loss 2.27, Reward 3.0, Avgloss 5.04, Avgreward 4.14, Epsilon 42.07, TotalStep 8607
Epoch 36: Loss 2.36, Reward 3.0, Avgloss 4.97, Avgreward 4.11, Epsilon 41.85, TotalStep 8799
Epoch 37: Loss 3.20, Reward 5.0, Avgloss 4.92, Avgreward 4.13, Epsilon 41.54, TotalStep 9077
Epoch 38: Loss 2.47, Reward 2.0, Avgloss 4.86, Avgreward 4.08, Epsilon 41.31, TotalStep 9280
Epoch 39: Loss 2.56, Reward 4.0, Avgloss 4.80, Avgreward 4.08, Epsilon 41.05, TotalStep 9522
Epoch 40: Loss 5.08, Reward 14.0, Avgloss 4.81, Avgreward 4.32, Epsilon 40.55, TotalStep 9974
Epoch 41: Loss 2.65, Reward 2.0, Avgloss 4.76, Avgreward 4.26, Epsilon 40.33, TotalStep 10180
Epoch 42: Loss 2.58, Reward 2.0, Avgloss 4.71, Avgreward 4.21, Epsilon 40.07, TotalStep 10420
Epoch 43: Loss 3.44, Reward 5.0, Avgloss 4.68, Avgreward 4.23, Epsilon 39.78, TotalStep 10692
Epoch 44: Loss 3.20, Reward 5.0, Avgloss 4.65, Avgreward 4.24, Epsilon 39.49, TotalStep 10960
Epoch 45: Loss 3.37, Reward 6.0, Avgloss 4.62, Avgreward 4.28, Epsilon 39.20, TotalStep 11232
Epoch 46: Loss 2.39, Reward 4.0, Avgloss 4.57, Avgreward 4.28, Epsilon 38.99, TotalStep 11434
Epoch 47: Loss 2.49, Reward 4.0, Avgloss 4.53, Avgreward 4.27, Epsilon 38.76, TotalStep 11655
Epoch 48: Loss 2.29, Reward 4.0, Avgloss 4.48, Avgreward 4.27, Epsilon 38.55, TotalStep 11860
Epoch 49: Loss 2.37, Reward 3.0, Avgloss 4.44, Avgreward 4.24, Epsilon 38.33, TotalStep 12077
Epoch 50: Loss 2.96, Reward 7.0, Avgloss 4.41, Avgreward 4.29, Epsilon 38.07, TotalStep 12329
Epoch 51: Loss 2.38, Reward 3.0, Avgloss 4.37, Avgreward 4.27, Epsilon 37.85, TotalStep 12539
Epoch 52: Loss 2.82, Reward 6.0, Avgloss 4.34, Avgreward 4.30, Epsilon 37.57, TotalStep 12816
Epoch 53: Loss 2.39, Reward 4.0, Avgloss 4.31, Avgreward 4.30, Epsilon 37.35, TotalStep 13035
Epoch 54: Loss 2.50, Reward 5.0, Avgloss 4.27, Avgreward 4.31, Epsilon 37.14, TotalStep 13251
Epoch 55: Loss 2.30, Reward 3.0, Avgloss 4.24, Avgreward 4.29, Epsilon 36.92, TotalStep 13470
Epoch 56: Loss 2.15, Reward 4.0, Avgloss 4.20, Avgreward 4.28, Epsilon 36.68, TotalStep 13715
Epoch 57: Loss 2.29, Reward 5.0, Avgloss 4.17, Avgreward 4.29, Epsilon 36.43, TotalStep 13966
