
Warming up...
Eval epoch 0: Reward 12.0
Epoch 0: Loss 16.13, Reward 4.0, Avgloss 16.13, Avgreward 4.00, Epsilon 78.72, TotalStep 209
Epoch 1: Loss 13.13, Reward 5.0, Avgloss 14.63, Avgreward 4.50, Epsilon 78.33, TotalStep 508
Epoch 2: Loss 7.68, Reward 3.0, Avgloss 12.31, Avgreward 4.00, Epsilon 78.09, TotalStep 687
Epoch 3: Loss 12.07, Reward 6.0, Avgloss 12.25, Avgreward 4.50, Epsilon 77.76, TotalStep 939
Epoch 4: Loss 8.75, Reward 2.0, Avgloss 11.55, Avgreward 4.00, Epsilon 77.48, TotalStep 1148
Epoch 5: Loss 11.90, Reward 4.0, Avgloss 11.61, Avgreward 4.00, Epsilon 77.17, TotalStep 1387
Epoch 6: Loss 8.18, Reward 3.0, Avgloss 11.12, Avgreward 3.86, Epsilon 76.91, TotalStep 1589
Epoch 7: Loss 10.57, Reward 4.0, Avgloss 11.05, Avgreward 3.88, Epsilon 76.59, TotalStep 1835
Epoch 8: Loss 13.24, Reward 6.0, Avgloss 11.29, Avgreward 4.11, Epsilon 76.22, TotalStep 2124
Epoch 9: Loss 8.45, Reward 3.0, Avgloss 11.01, Avgreward 4.00, Epsilon 75.95, TotalStep 2329
Epoch 10: Loss 9.18, Reward 2.0, Avgloss 10.84, Avgreward 3.82, Epsilon 75.68, TotalStep 2542
Epoch 11: Loss 9.16, Reward 3.0, Avgloss 10.70, Avgreward 3.75, Epsilon 75.42, TotalStep 2747
Epoch 12: Loss 7.75, Reward 2.0, Avgloss 10.47, Avgreward 3.62, Epsilon 75.19, TotalStep 2928
Epoch 13: Loss 8.32, Reward 1.0, Avgloss 10.32, Avgreward 3.43, Epsilon 74.93, TotalStep 3128
Epoch 14: Loss 8.72, Reward 2.0, Avgloss 10.21, Avgreward 3.33, Epsilon 74.68, TotalStep 3327
Epoch 15: Loss 8.17, Reward 4.0, Avgloss 10.09, Avgreward 3.38, Epsilon 74.43, TotalStep 3523
Epoch 16: Loss 16.30, Reward 7.0, Avgloss 10.45, Avgreward 3.59, Epsilon 73.99, TotalStep 3876
Epoch 17: Loss 14.46, Reward 7.0, Avgloss 10.67, Avgreward 3.78, Epsilon 73.56, TotalStep 4219
Epoch 18: Loss 7.26, Reward 6.0, Avgloss 10.49, Avgreward 3.89, Epsilon 73.33, TotalStep 4404
Epoch 19: Loss 11.14, Reward 5.0, Avgloss 10.53, Avgreward 3.95, Epsilon 73.03, TotalStep 4650
Epoch 20: Loss 8.55, Reward 4.0, Avgloss 10.43, Avgreward 3.95, Epsilon 72.77, TotalStep 4857
Epoch 21: Loss 8.61, Reward 0.0, Avgloss 10.35, Avgreward 3.77, Epsilon 72.52, TotalStep 5066
Epoch 22: Loss 8.70, Reward 2.0, Avgloss 10.28, Avgreward 3.70, Epsilon 72.26, TotalStep 5273
Epoch 23: Loss 17.15, Reward 7.0, Avgloss 10.56, Avgreward 3.83, Epsilon 71.80, TotalStep 5656
Epoch 24: Loss 12.92, Reward 7.0, Avgloss 10.66, Avgreward 3.96, Epsilon 71.42, TotalStep 5964
Epoch 25: Loss 7.60, Reward 4.0, Avgloss 10.54, Avgreward 3.96, Epsilon 71.18, TotalStep 6166
Epoch 26: Loss 8.23, Reward 2.0, Avgloss 10.46, Avgreward 3.89, Epsilon 70.93, TotalStep 6379
Epoch 27: Loss 7.94, Reward 2.0, Avgloss 10.37, Avgreward 3.82, Epsilon 70.68, TotalStep 6585
Epoch 28: Loss 7.46, Reward 1.0, Avgloss 10.27, Avgreward 3.72, Epsilon 70.45, TotalStep 6781
Epoch 29: Loss 7.51, Reward 1.0, Avgloss 10.17, Avgreward 3.63, Epsilon 70.21, TotalStep 6977
Epoch 30: Loss 14.66, Reward 14.0, Avgloss 10.32, Avgreward 3.97, Epsilon 69.75, TotalStep 7367
Epoch 31: Loss 7.66, Reward 4.0, Avgloss 10.23, Avgreward 3.97, Epsilon 69.51, TotalStep 7575
Epoch 32: Loss 8.07, Reward 5.0, Avgloss 10.17, Avgreward 4.00, Epsilon 69.29, TotalStep 7755
Epoch 33: Loss 7.56, Reward 2.0, Avgloss 10.09, Avgreward 3.94, Epsilon 69.06, TotalStep 7956
Epoch 34: Loss 7.72, Reward 3.0, Avgloss 10.02, Avgreward 3.91, Epsilon 68.81, TotalStep 8170
Epoch 35: Loss 12.16, Reward 6.0, Avgloss 10.08, Avgreward 3.97, Epsilon 68.48, TotalStep 8455
Epoch 36: Loss 9.49, Reward 7.0, Avgloss 10.07, Avgreward 4.05, Epsilon 68.16, TotalStep 8730
Epoch 37: Loss 11.72, Reward 6.0, Avgloss 10.11, Avgreward 4.11, Epsilon 67.80, TotalStep 9041
Epoch 38: Loss 9.69, Reward 5.0, Avgloss 10.10, Avgreward 4.13, Epsilon 67.54, TotalStep 9274
Epoch 39: Loss 15.75, Reward 10.0, Avgloss 10.24, Avgreward 4.28, Epsilon 67.06, TotalStep 9697
Epoch 40: Loss 6.44, Reward 3.0, Avgloss 10.15, Avgreward 4.24, Epsilon 66.86, TotalStep 9868
Epoch 41: Loss 8.42, Reward 2.0, Avgloss 10.11, Avgreward 4.19, Epsilon 66.63, TotalStep 10077
Epoch 42: Loss 10.64, Reward 6.0, Avgloss 10.12, Avgreward 4.23, Epsilon 66.27, TotalStep 10391
Epoch 43: Loss 11.32, Reward 8.0, Avgloss 10.15, Avgreward 4.32, Epsilon 65.91, TotalStep 10714
Epoch 44: Loss 6.19, Reward 3.0, Avgloss 10.06, Avgreward 4.29, Epsilon 65.69, TotalStep 10915
Epoch 45: Loss 11.71, Reward 9.0, Avgloss 10.10, Avgreward 4.39, Epsilon 65.33, TotalStep 11238
Epoch 46: Loss 12.33, Reward 7.0, Avgloss 10.14, Avgreward 4.45, Epsilon 64.96, TotalStep 11576
Epoch 47: Loss 11.21, Reward 5.0, Avgloss 10.17, Avgreward 4.46, Epsilon 64.64, TotalStep 11865
Epoch 48: Loss 9.65, Reward 5.0, Avgloss 10.16, Avgreward 4.47, Epsilon 64.36, TotalStep 12128
Epoch 49: Loss 8.70, Reward 6.0, Avgloss 10.13, Avgreward 4.50, Epsilon 64.09, TotalStep 12373
Epoch 50: Loss 7.49, Reward 3.0, Avgloss 10.07, Avgreward 4.47, Epsilon 63.88, TotalStep 12571
Epoch 51: Loss 5.88, Reward 4.0, Avgloss 9.99, Avgreward 4.46, Epsilon 63.68, TotalStep 12755
Epoch 52: Loss 8.24, Reward 2.0, Avgloss 9.96, Avgreward 4.42, Epsilon 63.45, TotalStep 12968
Epoch 53: Loss 7.66, Reward 2.0, Avgloss 9.92, Avgreward 4.37, Epsilon 63.22, TotalStep 13180
Epoch 54: Loss 8.00, Reward 2.0, Avgloss 9.88, Avgreward 4.33, Epsilon 63.00, TotalStep 13388
Epoch 55: Loss 8.06, Reward 2.0, Avgloss 9.85, Avgreward 4.29, Epsilon 62.78, TotalStep 13591
Epoch 56: Loss 9.15, Reward 5.0, Avgloss 9.84, Avgreward 4.30, Epsilon 62.49, TotalStep 13865
Epoch 57: Loss 10.29, Reward 6.0, Avgloss 9.85, Avgreward 4.33, Epsilon 62.16, TotalStep 14178
Epoch 58: Loss 7.71, Reward 3.0, Avgloss 9.81, Avgreward 4.31, Epsilon 61.95, TotalStep 14381
Epoch 59: Loss 8.08, Reward 2.0, Avgloss 9.78, Avgreward 4.27, Epsilon 61.73, TotalStep 14589
Epoch 60: Loss 11.33, Reward 6.0, Avgloss 9.81, Avgreward 4.30, Epsilon 61.41, TotalStep 14899
Epoch 61: Loss 6.69, Reward 2.0, Avgloss 9.76, Avgreward 4.26, Epsilon 61.21, TotalStep 15094
Epoch 62: Loss 9.69, Reward 7.0, Avgloss 9.76, Avgreward 4.30, Epsilon 60.94, TotalStep 15357
Epoch 63: Loss 10.58, Reward 3.0, Avgloss 9.77, Avgreward 4.28, Epsilon 60.66, TotalStep 15632
Epoch 64: Loss 12.34, Reward 3.0, Avgloss 9.81, Avgreward 4.26, Epsilon 60.29, TotalStep 15993
Epoch 65: Loss 8.09, Reward 4.0, Avgloss 9.78, Avgreward 4.26, Epsilon 60.07, TotalStep 16205
Epoch 66: Loss 7.90, Reward 2.0, Avgloss 9.75, Avgreward 4.22, Epsilon 59.85, TotalStep 16420
Epoch 67: Loss 12.45, Reward 6.0, Avgloss 9.79, Avgreward 4.25, Epsilon 59.50, TotalStep 16774
Epoch 68: Loss 14.83, Reward 12.0, Avgloss 9.87, Avgreward 4.36, Epsilon 59.10, TotalStep 17167
Epoch 69: Loss 12.04, Reward 5.0, Avgloss 9.90, Avgreward 4.37, Epsilon 58.76, TotalStep 17507
Epoch 70: Loss 10.77, Reward 9.0, Avgloss 9.91, Avgreward 4.44, Epsilon 58.48, TotalStep 17789
Epoch 71: Loss 7.64, Reward 3.0, Avgloss 9.88, Avgreward 4.42, Epsilon 58.28, TotalStep 17996
Epoch 72: Loss 8.59, Reward 4.0, Avgloss 9.86, Avgreward 4.41, Epsilon 58.06, TotalStep 18218
Epoch 73: Loss 12.90, Reward 9.0, Avgloss 9.90, Avgreward 4.47, Epsilon 57.73, TotalStep 18552
Epoch 74: Loss 8.22, Reward 6.0, Avgloss 9.88, Avgreward 4.49, Epsilon 57.50, TotalStep 18788
Epoch 75: Loss 7.65, Reward 1.0, Avgloss 9.85, Avgreward 4.45, Epsilon 57.30, TotalStep 18994
Epoch 76: Loss 8.88, Reward 5.0, Avgloss 9.84, Avgreward 4.45, Epsilon 57.06, TotalStep 19245
Epoch 77: Loss 7.75, Reward 3.0, Avgloss 9.81, Avgreward 4.44, Epsilon 56.84, TotalStep 19478
Epoch 78: Loss 7.58, Reward 3.0, Avgloss 9.78, Avgreward 4.42, Epsilon 56.64, TotalStep 19681
Epoch 79: Loss 7.12, Reward 2.0, Avgloss 9.75, Avgreward 4.39, Epsilon 56.44, TotalStep 19895
Epoch 80: Loss 9.71, Reward 3.0, Avgloss 9.75, Avgreward 4.37, Epsilon 56.22, TotalStep 20126
Epoch 81: Loss 8.00, Reward 2.0, Avgloss 9.73, Avgreward 4.34, Epsilon 56.03, TotalStep 20328
Epoch 82: Loss 8.00, Reward 3.0, Avgloss 9.71, Avgreward 4.33, Epsilon 55.83, TotalStep 20535
Epoch 83: Loss 10.04, Reward 8.0, Avgloss 9.71, Avgreward 4.37, Epsilon 55.57, TotalStep 20817
Epoch 84: Loss 7.22, Reward 3.0, Avgloss 9.68, Avgreward 4.35, Epsilon 55.38, TotalStep 21019
Epoch 85: Loss 10.14, Reward 5.0, Avgloss 9.69, Avgreward 4.36, Epsilon 55.12, TotalStep 21289
Epoch 86: Loss 10.81, Reward 4.0, Avgloss 9.70, Avgreward 4.36, Epsilon 54.87, TotalStep 21563
Epoch 87: Loss 10.45, Reward 6.0, Avgloss 9.71, Avgreward 4.38, Epsilon 54.62, TotalStep 21827
