
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 36.81, Reward 8.0, Avgloss 36.81, Avgreward 8.00, Epsilon 37.74, TotalStep 384
Epoch 1: Loss 20.72, Reward 8.0, Avgloss 28.76, Avgreward 8.00, Epsilon 37.47, TotalStep 779
Epoch 2: Loss 10.41, Reward 4.0, Avgloss 22.64, Avgreward 6.67, Epsilon 37.33, TotalStep 985
Epoch 3: Loss 12.16, Reward 9.0, Avgloss 20.02, Avgreward 7.25, Epsilon 37.08, TotalStep 1353
Epoch 4: Loss 7.08, Reward 2.0, Avgloss 17.44, Avgreward 6.20, Epsilon 36.94, TotalStep 1558
Epoch 5: Loss 5.98, Reward 3.0, Avgloss 15.53, Avgreward 5.67, Epsilon 36.82, TotalStep 1743
Epoch 6: Loss 6.83, Reward 4.0, Avgloss 14.28, Avgreward 5.43, Epsilon 36.66, TotalStep 1980
Epoch 7: Loss 8.93, Reward 4.0, Avgloss 13.61, Avgreward 5.25, Epsilon 36.52, TotalStep 2192
Epoch 8: Loss 5.99, Reward 3.0, Avgloss 12.77, Avgreward 5.00, Epsilon 36.39, TotalStep 2393
Epoch 9: Loss 7.38, Reward 7.0, Avgloss 12.23, Avgreward 5.20, Epsilon 36.25, TotalStep 2607
Epoch 10: Loss 6.48, Reward 2.0, Avgloss 11.71, Avgreward 4.91, Epsilon 36.11, TotalStep 2811
Epoch 11: Loss 13.10, Reward 10.0, Avgloss 11.82, Avgreward 5.33, Epsilon 35.88, TotalStep 3169
Epoch 12: Loss 5.80, Reward 3.0, Avgloss 11.36, Avgreward 5.15, Epsilon 35.75, TotalStep 3374
Epoch 13: Loss 5.97, Reward 2.0, Avgloss 10.97, Avgreward 4.93, Epsilon 35.62, TotalStep 3579
Epoch 14: Loss 7.10, Reward 3.0, Avgloss 10.72, Avgreward 4.80, Epsilon 35.49, TotalStep 3777
Epoch 15: Loss 5.71, Reward 4.0, Avgloss 10.40, Avgreward 4.75, Epsilon 35.35, TotalStep 3994
Epoch 16: Loss 6.06, Reward 4.0, Avgloss 10.15, Avgreward 4.71, Epsilon 35.22, TotalStep 4200
Epoch 17: Loss 4.87, Reward 2.0, Avgloss 9.85, Avgreward 4.56, Epsilon 35.08, TotalStep 4409
Epoch 18: Loss 8.14, Reward 6.0, Avgloss 9.76, Avgreward 4.63, Epsilon 34.89, TotalStep 4718
Epoch 19: Loss 5.50, Reward 4.0, Avgloss 9.55, Avgreward 4.60, Epsilon 34.73, TotalStep 4965
Epoch 20: Loss 5.46, Reward 3.0, Avgloss 9.36, Avgreward 4.52, Epsilon 34.59, TotalStep 5192
Epoch 21: Loss 6.38, Reward 5.0, Avgloss 9.22, Avgreward 4.55, Epsilon 34.40, TotalStep 5496
Epoch 22: Loss 7.21, Reward 7.0, Avgloss 9.13, Avgreward 4.65, Epsilon 34.23, TotalStep 5778
Epoch 23: Loss 5.65, Reward 1.0, Avgloss 8.99, Avgreward 4.50, Epsilon 34.10, TotalStep 5978
Epoch 24: Loss 8.33, Reward 8.0, Avgloss 8.96, Avgreward 4.64, Epsilon 33.92, TotalStep 6274
Epoch 25: Loss 5.24, Reward 3.0, Avgloss 8.82, Avgreward 4.58, Epsilon 33.79, TotalStep 6481
Epoch 26: Loss 9.32, Reward 11.0, Avgloss 8.84, Avgreward 4.81, Epsilon 33.54, TotalStep 6903
Epoch 27: Loss 5.16, Reward 4.0, Avgloss 8.71, Avgreward 4.79, Epsilon 33.40, TotalStep 7122
Epoch 28: Loss 6.60, Reward 7.0, Avgloss 8.63, Avgreward 4.86, Epsilon 33.21, TotalStep 7438
Epoch 29: Loss 5.42, Reward 4.0, Avgloss 8.53, Avgreward 4.83, Epsilon 33.06, TotalStep 7687
Epoch 30: Loss 8.05, Reward 10.0, Avgloss 8.51, Avgreward 5.00, Epsilon 32.84, TotalStep 8066
Epoch 31: Loss 4.18, Reward 4.0, Avgloss 8.38, Avgreward 4.97, Epsilon 32.71, TotalStep 8276
Epoch 32: Loss 5.89, Reward 8.0, Avgloss 8.30, Avgreward 5.06, Epsilon 32.53, TotalStep 8591
Epoch 33: Loss 4.38, Reward 5.0, Avgloss 8.19, Avgreward 5.06, Epsilon 32.38, TotalStep 8843
Epoch 34: Loss 4.10, Reward 2.0, Avgloss 8.07, Avgreward 4.97, Epsilon 32.26, TotalStep 9045
Epoch 35: Loss 4.78, Reward 7.0, Avgloss 7.98, Avgreward 5.03, Epsilon 32.11, TotalStep 9299
Epoch 36: Loss 6.28, Reward 3.0, Avgloss 7.93, Avgreward 4.97, Epsilon 31.92, TotalStep 9625
Epoch 37: Loss 7.82, Reward 12.0, Avgloss 7.93, Avgreward 5.16, Epsilon 31.71, TotalStep 9990
Epoch 38: Loss 5.19, Reward 6.0, Avgloss 7.86, Avgreward 5.18, Epsilon 31.55, TotalStep 10276
Epoch 39: Loss 7.56, Reward 14.0, Avgloss 7.85, Avgreward 5.40, Epsilon 31.27, TotalStep 10758
Epoch 40: Loss 4.19, Reward 6.0, Avgloss 7.76, Avgreward 5.41, Epsilon 31.14, TotalStep 10996
Epoch 41: Loss 4.24, Reward 5.0, Avgloss 7.68, Avgreward 5.40, Epsilon 31.00, TotalStep 11246
Epoch 42: Loss 3.57, Reward 3.0, Avgloss 7.58, Avgreward 5.35, Epsilon 30.88, TotalStep 11467
Epoch 43: Loss 3.47, Reward 5.0, Avgloss 7.49, Avgreward 5.34, Epsilon 30.75, TotalStep 11689
Epoch 44: Loss 3.40, Reward 4.0, Avgloss 7.40, Avgreward 5.31, Epsilon 30.63, TotalStep 11902
Epoch 45: Loss 3.30, Reward 4.0, Avgloss 7.31, Avgreward 5.28, Epsilon 30.52, TotalStep 12101
Epoch 46: Loss 4.63, Reward 6.0, Avgloss 7.25, Avgreward 5.30, Epsilon 30.36, TotalStep 12403
Epoch 47: Loss 3.72, Reward 2.0, Avgloss 7.18, Avgreward 5.23, Epsilon 30.24, TotalStep 12619
