
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 9.56, Reward 4.0, Avgloss 9.56, Avgreward 4.00, Epsilon 5.96, TotalStep 239
Epoch 1: Loss 8.31, Reward 6.0, Avgloss 8.94, Avgreward 5.00, Epsilon 5.92, TotalStep 518
Epoch 2: Loss 8.67, Reward 6.0, Avgloss 8.85, Avgreward 5.33, Epsilon 5.87, TotalStep 797
Epoch 3: Loss 6.32, Reward 3.0, Avgloss 8.22, Avgreward 4.75, Epsilon 5.84, TotalStep 1006
Epoch 4: Loss 5.67, Reward 2.0, Avgloss 7.71, Avgreward 4.20, Epsilon 5.81, TotalStep 1207
Epoch 5: Loss 7.51, Reward 6.0, Avgloss 7.67, Avgreward 4.50, Epsilon 5.77, TotalStep 1457
Epoch 6: Loss 6.23, Reward 1.0, Avgloss 7.47, Avgreward 4.00, Epsilon 5.74, TotalStep 1663
Epoch 7: Loss 5.82, Reward 4.0, Avgloss 7.26, Avgreward 4.00, Epsilon 5.71, TotalStep 1875
Epoch 8: Loss 4.43, Reward 2.0, Avgloss 6.95, Avgreward 3.78, Epsilon 5.68, TotalStep 2049
Epoch 9: Loss 7.56, Reward 8.0, Avgloss 7.01, Avgreward 4.20, Epsilon 5.64, TotalStep 2352
Epoch 10: Loss 6.04, Reward 5.0, Avgloss 6.92, Avgreward 4.27, Epsilon 5.60, TotalStep 2594
Epoch 11: Loss 8.87, Reward 5.0, Avgloss 7.08, Avgreward 4.33, Epsilon 5.55, TotalStep 2897
Epoch 12: Loss 5.93, Reward 2.0, Avgloss 6.99, Avgreward 4.15, Epsilon 5.52, TotalStep 3110
Epoch 13: Loss 6.93, Reward 4.0, Avgloss 6.99, Avgreward 4.14, Epsilon 5.49, TotalStep 3369
Epoch 14: Loss 4.96, Reward 3.0, Avgloss 6.85, Avgreward 4.07, Epsilon 5.46, TotalStep 3572
Epoch 15: Loss 6.38, Reward 8.0, Avgloss 6.82, Avgreward 4.31, Epsilon 5.42, TotalStep 3852
Epoch 16: Loss 4.60, Reward 4.0, Avgloss 6.69, Avgreward 4.29, Epsilon 5.39, TotalStep 4061
Epoch 17: Loss 5.30, Reward 4.0, Avgloss 6.62, Avgreward 4.28, Epsilon 5.35, TotalStep 4306
Epoch 18: Loss 7.60, Reward 14.0, Avgloss 6.67, Avgreward 4.79, Epsilon 5.30, TotalStep 4660
