
Warming up...
Eval epoch 0: Reward 14.0
Epoch 0: Loss 6.44, Reward 3.0, Avgloss 6.44, Avgreward 3.00, Epsilon 30.92, TotalStep 205
Epoch 1: Loss 4.60, Reward 3.0, Avgloss 5.52, Avgreward 3.00, Epsilon 30.86, TotalStep 373
Epoch 2: Loss 5.87, Reward 2.0, Avgloss 5.64, Avgreward 2.67, Epsilon 30.79, TotalStep 576
Epoch 3: Loss 7.19, Reward 2.0, Avgloss 6.02, Avgreward 2.50, Epsilon 30.70, TotalStep 819
Epoch 4: Loss 5.92, Reward 2.0, Avgloss 6.00, Avgreward 2.40, Epsilon 30.62, TotalStep 1024
Epoch 5: Loss 6.63, Reward 2.0, Avgloss 6.11, Avgreward 2.33, Epsilon 30.55, TotalStep 1237
Epoch 6: Loss 6.44, Reward 4.0, Avgloss 6.15, Avgreward 2.57, Epsilon 30.47, TotalStep 1446
Epoch 7: Loss 6.61, Reward 3.0, Avgloss 6.21, Avgreward 2.62, Epsilon 30.38, TotalStep 1690
Epoch 8: Loss 5.87, Reward 5.0, Avgloss 6.17, Avgreward 2.89, Epsilon 30.30, TotalStep 1906
Epoch 9: Loss 7.91, Reward 6.0, Avgloss 6.35, Avgreward 3.20, Epsilon 30.20, TotalStep 2183
Epoch 10: Loss 9.15, Reward 3.0, Avgloss 6.60, Avgreward 3.18, Epsilon 30.09, TotalStep 2501
Epoch 11: Loss 5.89, Reward 3.0, Avgloss 6.54, Avgreward 3.17, Epsilon 30.02, TotalStep 2702
Epoch 12: Loss 5.27, Reward 2.0, Avgloss 6.45, Avgreward 3.08, Epsilon 29.95, TotalStep 2903
Epoch 13: Loss 8.54, Reward 5.0, Avgloss 6.60, Avgreward 3.21, Epsilon 29.85, TotalStep 3178
Epoch 14: Loss 9.28, Reward 7.0, Avgloss 6.77, Avgreward 3.47, Epsilon 29.74, TotalStep 3492
Epoch 15: Loss 6.38, Reward 5.0, Avgloss 6.75, Avgreward 3.56, Epsilon 29.65, TotalStep 3739
Epoch 16: Loss 7.91, Reward 6.0, Avgloss 6.82, Avgreward 3.71, Epsilon 29.55, TotalStep 4022
Epoch 17: Loss 8.75, Reward 8.0, Avgloss 6.92, Avgreward 3.94, Epsilon 29.44, TotalStep 4339
Epoch 18: Loss 6.01, Reward 5.0, Avgloss 6.88, Avgreward 4.00, Epsilon 29.36, TotalStep 4555
Epoch 19: Loss 7.78, Reward 6.0, Avgloss 6.92, Avgreward 4.10, Epsilon 29.26, TotalStep 4838
Epoch 20: Loss 6.64, Reward 4.0, Avgloss 6.91, Avgreward 4.10, Epsilon 29.18, TotalStep 5076
Epoch 21: Loss 6.67, Reward 4.0, Avgloss 6.90, Avgreward 4.09, Epsilon 29.10, TotalStep 5294
Epoch 22: Loss 7.35, Reward 5.0, Avgloss 6.92, Avgreward 4.13, Epsilon 29.02, TotalStep 5529
Epoch 23: Loss 6.57, Reward 3.0, Avgloss 6.90, Avgreward 4.08, Epsilon 28.95, TotalStep 5755
Epoch 24: Loss 6.09, Reward 5.0, Avgloss 6.87, Avgreward 4.12, Epsilon 28.87, TotalStep 5968
Epoch 25: Loss 6.61, Reward 7.0, Avgloss 6.86, Avgreward 4.23, Epsilon 28.78, TotalStep 6222
Epoch 26: Loss 6.01, Reward 3.0, Avgloss 6.83, Avgreward 4.19, Epsilon 28.72, TotalStep 6424
Epoch 27: Loss 6.62, Reward 6.0, Avgloss 6.82, Avgreward 4.25, Epsilon 28.65, TotalStep 6628
Epoch 28: Loss 5.94, Reward 3.0, Avgloss 6.79, Avgreward 4.21, Epsilon 28.58, TotalStep 6828
Epoch 29: Loss 6.73, Reward 4.0, Avgloss 6.79, Avgreward 4.20, Epsilon 28.50, TotalStep 7064
Epoch 30: Loss 9.92, Reward 9.0, Avgloss 6.89, Avgreward 4.35, Epsilon 28.39, TotalStep 7387
Epoch 31: Loss 5.78, Reward 1.0, Avgloss 6.86, Avgreward 4.25, Epsilon 28.32, TotalStep 7587
Epoch 32: Loss 9.85, Reward 7.0, Avgloss 6.95, Avgreward 4.33, Epsilon 28.21, TotalStep 7907
Epoch 33: Loss 11.41, Reward 13.0, Avgloss 7.08, Avgreward 4.59, Epsilon 28.08, TotalStep 8312
Epoch 34: Loss 8.12, Reward 4.0, Avgloss 7.11, Avgreward 4.57, Epsilon 28.00, TotalStep 8554
Epoch 35: Loss 6.80, Reward 4.0, Avgloss 7.10, Avgreward 4.56, Epsilon 27.92, TotalStep 8774
Epoch 36: Loss 7.51, Reward 3.0, Avgloss 7.11, Avgreward 4.51, Epsilon 27.84, TotalStep 9015
Epoch 37: Loss 7.20, Reward 2.0, Avgloss 7.11, Avgreward 4.45, Epsilon 27.77, TotalStep 9232
Epoch 38: Loss 7.40, Reward 6.0, Avgloss 7.12, Avgreward 4.49, Epsilon 27.69, TotalStep 9468
Epoch 39: Loss 6.20, Reward 2.0, Avgloss 7.10, Avgreward 4.42, Epsilon 27.62, TotalStep 9677
Epoch 40: Loss 8.59, Reward 5.0, Avgloss 7.13, Avgreward 4.44, Epsilon 27.54, TotalStep 9937
Epoch 41: Loss 9.58, Reward 7.0, Avgloss 7.19, Avgreward 4.50, Epsilon 27.44, TotalStep 10243
Epoch 42: Loss 6.99, Reward 3.0, Avgloss 7.19, Avgreward 4.47, Epsilon 27.37, TotalStep 10451
Epoch 43: Loss 6.87, Reward 5.0, Avgloss 7.18, Avgreward 4.48, Epsilon 27.30, TotalStep 10673
Epoch 44: Loss 8.35, Reward 5.0, Avgloss 7.21, Avgreward 4.49, Epsilon 27.21, TotalStep 10942
Epoch 45: Loss 8.30, Reward 4.0, Avgloss 7.23, Avgreward 4.48, Epsilon 27.12, TotalStep 11218
Epoch 46: Loss 10.50, Reward 8.0, Avgloss 7.30, Avgreward 4.55, Epsilon 27.02, TotalStep 11528
