
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 11.34, Reward 3.0, Avgloss 11.34, Avgreward 3.00, Epsilon 72.01, TotalStep 200
Epoch 1: Loss 21.86, Reward 13.0, Avgloss 16.60, Avgreward 8.00, Epsilon 69.71, TotalStep 670
Epoch 2: Loss 10.02, Reward 3.0, Avgloss 14.41, Avgreward 6.33, Epsilon 68.71, TotalStep 879
Epoch 3: Loss 8.79, Reward 5.0, Avgloss 13.00, Avgreward 6.00, Epsilon 67.80, TotalStep 1074
Epoch 4: Loss 14.51, Reward 7.0, Avgloss 13.30, Avgreward 6.20, Epsilon 66.15, TotalStep 1432
Epoch 5: Loss 9.20, Reward 6.0, Avgloss 12.62, Avgreward 6.17, Epsilon 64.88, TotalStep 1712
Epoch 6: Loss 10.20, Reward 5.0, Avgloss 12.27, Avgreward 6.00, Epsilon 63.73, TotalStep 1973
Epoch 7: Loss 8.96, Reward 7.0, Avgloss 11.86, Avgreward 6.12, Epsilon 62.60, TotalStep 2232
Epoch 8: Loss 10.94, Reward 4.0, Avgloss 11.76, Avgreward 5.89, Epsilon 61.45, TotalStep 2501
Epoch 9: Loss 9.58, Reward 8.0, Avgloss 11.54, Avgreward 6.10, Epsilon 60.30, TotalStep 2776
Epoch 10: Loss 7.40, Reward 3.0, Avgloss 11.16, Avgreward 5.82, Epsilon 59.45, TotalStep 2982
Epoch 11: Loss 7.35, Reward 3.0, Avgloss 10.85, Avgreward 5.58, Epsilon 58.72, TotalStep 3160
Epoch 12: Loss 7.35, Reward 3.0, Avgloss 10.58, Avgreward 5.38, Epsilon 57.91, TotalStep 3362
Epoch 13: Loss 5.86, Reward 3.0, Avgloss 10.24, Avgreward 5.21, Epsilon 57.12, TotalStep 3561
Epoch 14: Loss 8.99, Reward 4.0, Avgloss 10.16, Avgreward 5.13, Epsilon 56.08, TotalStep 3827
Epoch 15: Loss 10.37, Reward 8.0, Avgloss 10.17, Avgreward 5.31, Epsilon 54.94, TotalStep 4126
Epoch 16: Loss 10.94, Reward 7.0, Avgloss 10.22, Avgreward 5.41, Epsilon 53.79, TotalStep 4433
Epoch 17: Loss 7.15, Reward 4.0, Avgloss 10.05, Avgreward 5.33, Epsilon 53.06, TotalStep 4632
Epoch 18: Loss 7.73, Reward 2.0, Avgloss 9.92, Avgreward 5.16, Epsilon 52.33, TotalStep 4833
Epoch 19: Loss 13.00, Reward 7.0, Avgloss 10.08, Avgreward 5.25, Epsilon 51.08, TotalStep 5183
Epoch 20: Loss 7.51, Reward 2.0, Avgloss 9.96, Avgreward 5.10, Epsilon 50.39, TotalStep 5382
Epoch 21: Loss 9.19, Reward 5.0, Avgloss 9.92, Avgreward 5.09, Epsilon 49.44, TotalStep 5656
Epoch 22: Loss 8.05, Reward 4.0, Avgloss 9.84, Avgreward 5.04, Epsilon 48.64, TotalStep 5894
Epoch 23: Loss 7.58, Reward 6.0, Avgloss 9.75, Avgreward 5.08, Epsilon 47.84, TotalStep 6134
Epoch 24: Loss 5.80, Reward 3.0, Avgloss 9.59, Avgreward 5.00, Epsilon 47.17, TotalStep 6339
Epoch 25: Loss 5.90, Reward 3.0, Avgloss 9.45, Avgreward 4.92, Epsilon 46.48, TotalStep 6553
Epoch 26: Loss 6.02, Reward 4.0, Avgloss 9.32, Avgreward 4.89, Epsilon 45.91, TotalStep 6731
Epoch 27: Loss 7.22, Reward 6.0, Avgloss 9.24, Avgreward 4.93, Epsilon 45.17, TotalStep 6967
Epoch 28: Loss 6.32, Reward 4.0, Avgloss 9.14, Avgreward 4.90, Epsilon 44.52, TotalStep 7179
Epoch 29: Loss 11.41, Reward 6.0, Avgloss 9.22, Avgreward 4.93, Epsilon 43.29, TotalStep 7586
Epoch 30: Loss 5.54, Reward 3.0, Avgloss 9.10, Avgreward 4.87, Epsilon 42.71, TotalStep 7781
