
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 8.74, Reward 2.0, Avgloss 8.74, Avgreward 2.00, Epsilon 84.09, TotalStep 212
Epoch 1: Loss 8.90, Reward 3.0, Avgloss 8.82, Avgreward 2.50, Epsilon 83.02, TotalStep 465
Epoch 2: Loss 7.97, Reward 6.0, Avgloss 8.54, Avgreward 3.67, Epsilon 81.99, TotalStep 711
Epoch 3: Loss 7.90, Reward 4.0, Avgloss 8.38, Avgreward 3.75, Epsilon 81.06, TotalStep 935
Epoch 4: Loss 5.86, Reward 2.0, Avgloss 7.87, Avgreward 3.40, Epsilon 80.22, TotalStep 1140
Epoch 5: Loss 9.61, Reward 8.0, Avgloss 8.16, Avgreward 4.17, Epsilon 78.81, TotalStep 1490
Epoch 6: Loss 6.19, Reward 3.0, Avgloss 7.88, Avgreward 4.00, Epsilon 77.93, TotalStep 1710
Epoch 7: Loss 11.34, Reward 7.0, Avgloss 8.31, Avgreward 4.38, Epsilon 76.47, TotalStep 2083
Epoch 8: Loss 7.22, Reward 1.0, Avgloss 8.19, Avgreward 4.00, Epsilon 75.56, TotalStep 2320
Epoch 9: Loss 10.86, Reward 10.0, Avgloss 8.46, Avgreward 4.60, Epsilon 74.11, TotalStep 2700
Epoch 10: Loss 7.83, Reward 3.0, Avgloss 8.40, Avgreward 4.45, Epsilon 73.17, TotalStep 2951
Epoch 11: Loss 6.35, Reward 6.0, Avgloss 8.23, Avgreward 4.58, Epsilon 72.28, TotalStep 3192
Epoch 12: Loss 7.34, Reward 5.0, Avgloss 8.16, Avgreward 4.62, Epsilon 71.27, TotalStep 3470
Epoch 13: Loss 10.93, Reward 13.0, Avgloss 8.36, Avgreward 5.21, Epsilon 69.72, TotalStep 3902
Epoch 14: Loss 7.33, Reward 4.0, Avgloss 8.29, Avgreward 5.13, Epsilon 68.77, TotalStep 4173
Epoch 15: Loss 5.38, Reward 4.0, Avgloss 8.11, Avgreward 5.06, Epsilon 68.05, TotalStep 4380
Epoch 16: Loss 7.01, Reward 5.0, Avgloss 8.04, Avgreward 5.06, Epsilon 67.12, TotalStep 4652
Epoch 17: Loss 6.49, Reward 3.0, Avgloss 7.96, Avgreward 4.94, Epsilon 66.22, TotalStep 4916
Epoch 18: Loss 5.36, Reward 3.0, Avgloss 7.82, Avgreward 4.84, Epsilon 65.52, TotalStep 5126
Epoch 19: Loss 6.55, Reward 11.0, Avgloss 7.76, Avgreward 5.15, Epsilon 64.60, TotalStep 5406
Epoch 20: Loss 5.63, Reward 5.0, Avgloss 7.66, Avgreward 5.14, Epsilon 63.82, TotalStep 5643
Epoch 21: Loss 4.79, Reward 5.0, Avgloss 7.53, Avgreward 5.14, Epsilon 63.13, TotalStep 5859
Epoch 22: Loss 5.00, Reward 4.0, Avgloss 7.42, Avgreward 5.09, Epsilon 62.44, TotalStep 6076
Epoch 23: Loss 7.19, Reward 8.0, Avgloss 7.41, Avgreward 5.21, Epsilon 61.39, TotalStep 6409
Epoch 24: Loss 4.33, Reward 3.0, Avgloss 7.28, Avgreward 5.12, Epsilon 60.82, TotalStep 6592
Epoch 25: Loss 4.27, Reward 1.0, Avgloss 7.17, Avgreward 4.96, Epsilon 60.22, TotalStep 6789
Epoch 26: Loss 5.40, Reward 7.0, Avgloss 7.10, Avgreward 5.04, Epsilon 59.53, TotalStep 7014
