couldn't find initialization file, model started empty
Warming up...
Eval epoch 0: Reward 1.0
Epoch 0: Loss 1.97, Reward 3.0, Avgloss 1.97, Avgreward 3.00, Epsilon 83.63, TotalStep 201
Epoch 1: Loss 1.87, Reward 2.0, Avgloss 1.92, Avgreward 2.50, Epsilon 83.24, TotalStep 409
Epoch 2: Loss 1.91, Reward 4.0, Avgloss 1.92, Avgreward 3.00, Epsilon 82.85, TotalStep 622
Epoch 3: Loss 2.20, Reward 6.0, Avgloss 1.99, Avgreward 3.75, Epsilon 82.38, TotalStep 876
Epoch 4: Loss 1.92, Reward 2.0, Avgloss 1.97, Avgreward 3.40, Epsilon 82.01, TotalStep 1080
Epoch 5: Loss 2.98, Reward 6.0, Avgloss 2.14, Avgreward 3.83, Epsilon 81.38, TotalStep 1426
Epoch 6: Loss 1.95, Reward 4.0, Avgloss 2.12, Avgreward 3.86, Epsilon 80.99, TotalStep 1640
Epoch 7: Loss 1.80, Reward 2.0, Avgloss 2.08, Avgreward 3.62, Epsilon 80.63, TotalStep 1844
Epoch 8: Loss 2.32, Reward 4.0, Avgloss 2.10, Avgreward 3.67, Epsilon 80.19, TotalStep 2088
Epoch 9: Loss 2.08, Reward 1.0, Avgloss 2.10, Avgreward 3.40, Epsilon 79.82, TotalStep 2297
Epoch 10: Loss 2.64, Reward 5.0, Avgloss 2.15, Avgreward 3.55, Epsilon 79.31, TotalStep 2584
Epoch 11: Loss 1.91, Reward 4.0, Avgloss 2.13, Avgreward 3.58, Epsilon 78.94, TotalStep 2793
Epoch 12: Loss 1.88, Reward 2.0, Avgloss 2.11, Avgreward 3.46, Epsilon 78.58, TotalStep 2999
Epoch 13: Loss 2.09, Reward 3.0, Avgloss 2.11, Avgreward 3.43, Epsilon 78.23, TotalStep 3204
Epoch 14: Loss 2.21, Reward 6.0, Avgloss 2.12, Avgreward 3.60, Epsilon 77.78, TotalStep 3464
Epoch 15: Loss 2.20, Reward 3.0, Avgloss 2.12, Avgreward 3.56, Epsilon 77.31, TotalStep 3737
Epoch 16: Loss 2.08, Reward 3.0, Avgloss 2.12, Avgreward 3.53, Epsilon 76.96, TotalStep 3936
Epoch 17: Loss 2.01, Reward 3.0, Avgloss 2.11, Avgreward 3.50, Epsilon 76.61, TotalStep 4146
Epoch 18: Loss 2.45, Reward 6.0, Avgloss 2.13, Avgreward 3.63, Epsilon 76.15, TotalStep 4412
Epoch 19: Loss 2.39, Reward 5.0, Avgloss 2.14, Avgreward 3.70, Epsilon 75.69, TotalStep 4686
Epoch 20: Loss 3.67, Reward 7.0, Avgloss 2.22, Avgreward 3.86, Epsilon 75.05, TotalStep 5066
Epoch 21: Loss 2.46, Reward 4.0, Avgloss 2.23, Avgreward 3.86, Epsilon 74.63, TotalStep 5321
Epoch 22: Loss 1.63, Reward 4.0, Avgloss 2.20, Avgreward 3.87, Epsilon 74.28, TotalStep 5532
Epoch 23: Loss 2.64, Reward 7.0, Avgloss 2.22, Avgreward 4.00, Epsilon 73.82, TotalStep 5814
Epoch 24: Loss 1.89, Reward 3.0, Avgloss 2.21, Avgreward 3.96, Epsilon 73.48, TotalStep 6019
Epoch 25: Loss 2.05, Reward 2.0, Avgloss 2.20, Avgreward 3.88, Epsilon 73.13, TotalStep 6233
Epoch 26: Loss 2.41, Reward 5.0, Avgloss 2.21, Avgreward 3.93, Epsilon 72.69, TotalStep 6506
Epoch 27: Loss 2.13, Reward 5.0, Avgloss 2.21, Avgreward 3.96, Epsilon 72.31, TotalStep 6744
Epoch 28: Loss 2.55, Reward 4.0, Avgloss 2.22, Avgreward 3.97, Epsilon 71.86, TotalStep 7021
Epoch 29: Loss 1.98, Reward 2.0, Avgloss 2.21, Avgreward 3.90, Epsilon 71.53, TotalStep 7230
Epoch 30: Loss 1.90, Reward 5.0, Avgloss 2.20, Avgreward 3.94, Epsilon 71.15, TotalStep 7468
Epoch 31: Loss 2.93, Reward 7.0, Avgloss 2.22, Avgreward 4.03, Epsilon 70.68, TotalStep 7769
Epoch 32: Loss 1.86, Reward 4.0, Avgloss 2.21, Avgreward 4.03, Epsilon 70.37, TotalStep 7967
Epoch 33: Loss 2.40, Reward 4.0, Avgloss 2.22, Avgreward 4.03, Epsilon 69.98, TotalStep 8214
Epoch 34: Loss 1.76, Reward 2.0, Avgloss 2.20, Avgreward 3.97, Epsilon 69.65, TotalStep 8428
Epoch 35: Loss 1.81, Reward 3.0, Avgloss 2.19, Avgreward 3.94, Epsilon 69.33, TotalStep 8635
Epoch 36: Loss 2.16, Reward 3.0, Avgloss 2.19, Avgreward 3.92, Epsilon 68.99, TotalStep 8854
Epoch 37: Loss 2.71, Reward 6.0, Avgloss 2.21, Avgreward 3.97, Epsilon 68.56, TotalStep 9137
Epoch 38: Loss 1.72, Reward 3.0, Avgloss 2.19, Avgreward 3.95, Epsilon 68.26, TotalStep 9337
Epoch 39: Loss 3.12, Reward 9.0, Avgloss 2.22, Avgreward 4.08, Epsilon 67.74, TotalStep 9679
Epoch 40: Loss 2.17, Reward 4.0, Avgloss 2.22, Avgreward 4.07, Epsilon 67.39, TotalStep 9912
Epoch 41: Loss 2.11, Reward 3.0, Avgloss 2.21, Avgreward 4.05, Epsilon 67.07, TotalStep 10126
Epoch 42: Loss 1.89, Reward 2.0, Avgloss 2.21, Avgreward 4.00, Epsilon 66.76, TotalStep 10336
Epoch 43: Loss 1.85, Reward 6.0, Avgloss 2.20, Avgreward 4.05, Epsilon 66.44, TotalStep 10551
Epoch 44: Loss 1.80, Reward 2.0, Avgloss 2.19, Avgreward 4.00, Epsilon 66.13, TotalStep 10759
Epoch 45: Loss 2.89, Reward 8.0, Avgloss 2.20, Avgreward 4.09, Epsilon 65.67, TotalStep 11078
Epoch 46: Loss 2.02, Reward 3.0, Avgloss 2.20, Avgreward 4.06, Epsilon 65.34, TotalStep 11302
Epoch 47: Loss 3.21, Reward 8.0, Avgloss 2.22, Avgreward 4.15, Epsilon 64.85, TotalStep 11643
Epoch 48: Loss 2.60, Reward 5.0, Avgloss 2.23, Avgreward 4.16, Epsilon 64.42, TotalStep 11937
Epoch 49: Loss 1.72, Reward 3.0, Avgloss 2.22, Avgreward 4.14, Epsilon 64.13, TotalStep 12141
Epoch 50: Loss 1.80, Reward 5.0, Avgloss 2.21, Avgreward 4.16, Epsilon 63.88, TotalStep 12321
Epoch 51: Loss 1.97, Reward 2.0, Avgloss 2.21, Avgreward 4.12, Epsilon 63.58, TotalStep 12529
Epoch 52: Loss 2.82, Reward 7.0, Avgloss 2.22, Avgreward 4.17, Epsilon 63.16, TotalStep 12827
Epoch 53: Loss 2.05, Reward 4.0, Avgloss 2.21, Avgreward 4.17, Epsilon 62.87, TotalStep 13035
Epoch 54: Loss 1.95, Reward 2.0, Avgloss 2.21, Avgreward 4.13, Epsilon 62.59, TotalStep 13239
Epoch 55: Loss 2.80, Reward 7.0, Avgloss 2.22, Avgreward 4.18, Epsilon 62.20, TotalStep 13521
Epoch 56: Loss 3.03, Reward 10.0, Avgloss 2.23, Avgreward 4.28, Epsilon 61.76, TotalStep 13835
Epoch 57: Loss 2.03, Reward 4.0, Avgloss 2.23, Avgreward 4.28, Epsilon 61.48, TotalStep 14042
Epoch 58: Loss 3.28, Reward 9.0, Avgloss 2.25, Avgreward 4.36, Epsilon 61.02, TotalStep 14381
Epoch 59: Loss 2.44, Reward 5.0, Avgloss 2.25, Avgreward 4.37, Epsilon 60.64, TotalStep 14658
Epoch 60: Loss 3.13, Reward 8.0, Avgloss 2.27, Avgreward 4.43, Epsilon 60.18, TotalStep 15005
Epoch 61: Loss 1.99, Reward 2.0, Avgloss 2.26, Avgreward 4.39, Epsilon 59.90, TotalStep 15215
