
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 2.12, Reward 5.0, Avgloss 2.12, Avgreward 5.00, Epsilon 1.00, TotalStep 220
Epoch 1: Loss 5.30, Reward 15.0, Avgloss 3.71, Avgreward 10.00, Epsilon 0.99, TotalStep 767
Epoch 2: Loss 2.11, Reward 6.0, Avgloss 3.18, Avgreward 8.67, Epsilon 0.98, TotalStep 1016
Epoch 3: Loss 2.03, Reward 4.0, Avgloss 2.89, Avgreward 7.50, Epsilon 0.98, TotalStep 1227
Epoch 4: Loss 1.87, Reward 4.0, Avgloss 2.69, Avgreward 6.80, Epsilon 0.97, TotalStep 1426
Epoch 5: Loss 1.55, Reward 4.0, Avgloss 2.50, Avgreward 6.33, Epsilon 0.97, TotalStep 1629
Epoch 6: Loss 2.52, Reward 1.0, Avgloss 2.50, Avgreward 5.57, Epsilon 0.96, TotalStep 1852
Epoch 7: Loss 2.95, Reward 6.0, Avgloss 2.56, Avgreward 5.62, Epsilon 0.96, TotalStep 2167
Epoch 8: Loss 1.91, Reward 2.0, Avgloss 2.48, Avgreward 5.22, Epsilon 0.96, TotalStep 2370
Epoch 9: Loss 1.99, Reward 5.0, Avgloss 2.44, Avgreward 5.20, Epsilon 0.95, TotalStep 2595
Epoch 10: Loss 1.94, Reward 2.0, Avgloss 2.39, Avgreward 4.91, Epsilon 0.95, TotalStep 2800
Epoch 11: Loss 1.89, Reward 3.0, Avgloss 2.35, Avgreward 4.75, Epsilon 0.94, TotalStep 3008
Epoch 12: Loss 2.18, Reward 5.0, Avgloss 2.34, Avgreward 4.77, Epsilon 0.94, TotalStep 3229
Epoch 13: Loss 1.91, Reward 3.0, Avgloss 2.31, Avgreward 4.64, Epsilon 0.94, TotalStep 3436
Epoch 14: Loss 2.28, Reward 2.0, Avgloss 2.30, Avgreward 4.47, Epsilon 0.93, TotalStep 3674
Epoch 15: Loss 2.89, Reward 9.0, Avgloss 2.34, Avgreward 4.75, Epsilon 0.93, TotalStep 3993
Epoch 16: Loss 1.90, Reward 3.0, Avgloss 2.31, Avgreward 4.65, Epsilon 0.92, TotalStep 4201
Epoch 17: Loss 2.18, Reward 1.0, Avgloss 2.31, Avgreward 4.44, Epsilon 0.92, TotalStep 4404
Epoch 18: Loss 3.95, Reward 12.0, Avgloss 2.39, Avgreward 4.84, Epsilon 0.91, TotalStep 4884
Epoch 19: Loss 1.76, Reward 4.0, Avgloss 2.36, Avgreward 4.80, Epsilon 0.91, TotalStep 5091
Epoch 20: Loss 2.10, Reward 2.0, Avgloss 2.35, Avgreward 4.67, Epsilon 0.90, TotalStep 5298
Epoch 21: Loss 2.69, Reward 4.0, Avgloss 2.37, Avgreward 4.64, Epsilon 0.90, TotalStep 5609
Epoch 22: Loss 3.16, Reward 5.0, Avgloss 2.40, Avgreward 4.65, Epsilon 0.89, TotalStep 5919
Epoch 23: Loss 1.83, Reward 2.0, Avgloss 2.38, Avgreward 4.54, Epsilon 0.89, TotalStep 6111
Epoch 24: Loss 3.20, Reward 7.0, Avgloss 2.41, Avgreward 4.64, Epsilon 0.88, TotalStep 6413
Epoch 25: Loss 2.10, Reward 2.0, Avgloss 2.40, Avgreward 4.54, Epsilon 0.88, TotalStep 6634
