couldn't find initialization file, model started empty
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 5.66, Reward 17.0, Avgloss 5.66, Avgreward 17.00, Epsilon 0.67, TotalStep 608
Epoch 1: Loss 2.16, Reward 6.0, Avgloss 3.91, Avgreward 11.50, Epsilon 0.92, TotalStep 850
Epoch 2: Loss 2.40, Reward 8.0, Avgloss 3.41, Avgreward 10.33, Epsilon 1.17, TotalStep 1102
Epoch 3: Loss 2.94, Reward 5.0, Avgloss 3.29, Avgreward 9.00, Epsilon 1.49, TotalStep 1410
Epoch 4: Loss 2.34, Reward 4.0, Avgloss 3.10, Avgreward 8.00, Epsilon 1.77, TotalStep 1683
Epoch 5: Loss 1.89, Reward 3.0, Avgloss 2.90, Avgreward 7.17, Epsilon 1.98, TotalStep 1887
Epoch 6: Loss 2.98, Reward 8.0, Avgloss 2.91, Avgreward 7.29, Epsilon 2.30, TotalStep 2197
Epoch 7: Loss 1.93, Reward 1.0, Avgloss 2.79, Avgreward 6.50, Epsilon 2.51, TotalStep 2406
Epoch 8: Loss 2.07, Reward 3.0, Avgloss 2.71, Avgreward 6.11, Epsilon 2.72, TotalStep 2610
Epoch 9: Loss 1.82, Reward 2.0, Avgloss 2.62, Avgreward 5.70, Epsilon 2.93, TotalStep 2819
Epoch 10: Loss 1.90, Reward 2.0, Avgloss 2.55, Avgreward 5.36, Epsilon 3.14, TotalStep 3020
Epoch 11: Loss 1.96, Reward 4.0, Avgloss 2.50, Avgreward 5.25, Epsilon 3.34, TotalStep 3217
Epoch 12: Loss 1.72, Reward 4.0, Avgloss 2.44, Avgreward 5.15, Epsilon 3.52, TotalStep 3402
Epoch 13: Loss 2.09, Reward 1.0, Avgloss 2.42, Avgreward 4.86, Epsilon 3.74, TotalStep 3613
Epoch 14: Loss 1.83, Reward 3.0, Avgloss 2.38, Avgreward 4.73, Epsilon 3.94, TotalStep 3813
Epoch 15: Loss 2.08, Reward 4.0, Avgloss 2.36, Avgreward 4.69, Epsilon 4.14, TotalStep 4008
Epoch 16: Loss 2.05, Reward 4.0, Avgloss 2.34, Avgreward 4.65, Epsilon 4.38, TotalStep 4243
Epoch 17: Loss 1.97, Reward 2.0, Avgloss 2.32, Avgreward 4.50, Epsilon 4.59, TotalStep 4452
