
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 2.23, Reward 2.0, Avgloss 2.23, Avgreward 2.00, Epsilon 0.38, TotalStep 202
Epoch 1: Loss 2.16, Reward 4.0, Avgloss 2.20, Avgreward 3.00, Epsilon 0.86, TotalStep 460
Epoch 2: Loss 1.63, Reward 2.0, Avgloss 2.01, Avgreward 2.67, Epsilon 1.19, TotalStep 636
Epoch 3: Loss 2.40, Reward 7.0, Avgloss 2.11, Avgreward 3.75, Epsilon 1.73, TotalStep 924
Epoch 4: Loss 1.85, Reward 4.0, Avgloss 2.06, Avgreward 3.80, Epsilon 2.12, TotalStep 1134
Epoch 5: Loss 1.76, Reward 3.0, Avgloss 2.01, Avgreward 3.67, Epsilon 2.51, TotalStep 1345
Epoch 6: Loss 2.47, Reward 4.0, Avgloss 2.07, Avgreward 3.71, Epsilon 2.93, TotalStep 1573
Epoch 7: Loss 1.90, Reward 4.0, Avgloss 2.05, Avgreward 3.75, Epsilon 3.34, TotalStep 1792
Epoch 8: Loss 1.87, Reward 4.0, Avgloss 2.03, Avgreward 3.78, Epsilon 3.73, TotalStep 2004
Epoch 9: Loss 2.05, Reward 2.0, Avgloss 2.03, Avgreward 3.60, Epsilon 4.11, TotalStep 2212
Epoch 10: Loss 2.21, Reward 2.0, Avgloss 2.05, Avgreward 3.45, Epsilon 4.55, TotalStep 2449
Epoch 11: Loss 3.04, Reward 9.0, Avgloss 2.13, Avgreward 3.92, Epsilon 5.15, TotalStep 2778
Epoch 12: Loss 2.06, Reward 4.0, Avgloss 2.13, Avgreward 3.92, Epsilon 5.54, TotalStep 2989
Epoch 13: Loss 2.68, Reward 5.0, Avgloss 2.17, Avgreward 4.00, Epsilon 6.04, TotalStep 3261
Epoch 14: Loss 2.09, Reward 2.0, Avgloss 2.16, Avgreward 3.87, Epsilon 6.41, TotalStep 3464
Epoch 15: Loss 1.82, Reward 2.0, Avgloss 2.14, Avgreward 3.75, Epsilon 6.79, TotalStep 3675
Epoch 16: Loss 2.04, Reward 2.0, Avgloss 2.13, Avgreward 3.65, Epsilon 7.16, TotalStep 3879
Epoch 17: Loss 1.99, Reward 3.0, Avgloss 2.13, Avgreward 3.61, Epsilon 7.59, TotalStep 4116
Epoch 18: Loss 1.57, Reward 1.0, Avgloss 2.10, Avgreward 3.47, Epsilon 7.96, TotalStep 4318
Epoch 19: Loss 2.30, Reward 2.0, Avgloss 2.11, Avgreward 3.40, Epsilon 8.37, TotalStep 4546
Epoch 20: Loss 1.97, Reward 2.0, Avgloss 2.10, Avgreward 3.33, Epsilon 8.74, TotalStep 4749
Epoch 21: Loss 12.76, Reward 3.0, Avgloss 2.58, Avgreward 3.32, Epsilon 9.09, TotalStep 4947
Epoch 22: Loss 2.00, Reward 6.0, Avgloss 2.56, Avgreward 3.43, Epsilon 9.49, TotalStep 5167
Epoch 23: Loss 2.30, Reward 4.0, Avgloss 2.55, Avgreward 3.46, Epsilon 9.97, TotalStep 5435
Epoch 24: Loss 1.92, Reward 4.0, Avgloss 2.52, Avgreward 3.48, Epsilon 10.32, TotalStep 5633
Epoch 25: Loss 1.91, Reward 2.0, Avgloss 2.50, Avgreward 3.42, Epsilon 10.68, TotalStep 5834
Epoch 26: Loss 2.79, Reward 6.0, Avgloss 2.51, Avgreward 3.52, Epsilon 11.22, TotalStep 6135
Epoch 27: Loss 2.32, Reward 5.0, Avgloss 2.50, Avgreward 3.57, Epsilon 11.70, TotalStep 6404
Epoch 28: Loss 2.17, Reward 7.0, Avgloss 2.49, Avgreward 3.69, Epsilon 12.12, TotalStep 6640
Epoch 29: Loss 2.01, Reward 5.0, Avgloss 2.48, Avgreward 3.73, Epsilon 12.51, TotalStep 6860
Epoch 30: Loss 2.06, Reward 4.0, Avgloss 2.46, Avgreward 3.74, Epsilon 12.91, TotalStep 7084
Epoch 31: Loss 2.23, Reward 5.0, Avgloss 2.46, Avgreward 3.78, Epsilon 13.32, TotalStep 7318
Epoch 32: Loss 2.38, Reward 6.0, Avgloss 2.45, Avgreward 3.85, Epsilon 13.76, TotalStep 7565
