
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 2.08, Reward 8.0, Avgloss 2.08, Avgreward 8.00, Epsilon 4.81, TotalStep 240
Epoch 1: Loss 2.45, Reward 4.0, Avgloss 2.27, Avgreward 6.00, Epsilon 10.06, TotalStep 504
Epoch 2: Loss 1.75, Reward 3.0, Avgloss 2.09, Avgreward 5.00, Epsilon 13.97, TotalStep 702
Epoch 3: Loss 2.02, Reward 4.0, Avgloss 2.08, Avgreward 4.75, Epsilon 18.04, TotalStep 909
Epoch 4: Loss 3.30, Reward 10.0, Avgloss 2.32, Avgreward 5.80, Epsilon 23.83, TotalStep 1205
Epoch 5: Loss 2.66, Reward 4.0, Avgloss 2.38, Avgreward 5.50, Epsilon 28.65, TotalStep 1453
Epoch 6: Loss 1.97, Reward 2.0, Avgloss 2.32, Avgreward 5.00, Epsilon 32.56, TotalStep 1655
Epoch 7: Loss 2.53, Reward 4.0, Avgloss 2.35, Avgreward 4.88, Epsilon 37.92, TotalStep 1934
Epoch 8: Loss 1.93, Reward 1.0, Avgloss 2.30, Avgreward 4.44, Epsilon 41.81, TotalStep 2137
Epoch 9: Loss 3.13, Reward 8.0, Avgloss 2.38, Avgreward 4.80, Epsilon 48.23, TotalStep 2475
Epoch 10: Loss 2.01, Reward 1.0, Avgloss 2.35, Avgreward 4.45, Epsilon 52.15, TotalStep 2682
Epoch 11: Loss 2.37, Reward 6.0, Avgloss 2.35, Avgreward 4.58, Epsilon 56.87, TotalStep 2933
Epoch 12: Loss 3.55, Reward 8.0, Avgloss 2.44, Avgreward 4.85, Epsilon 64.58, TotalStep 3346
Epoch 13: Loss 3.64, Reward 14.0, Avgloss 2.53, Avgreward 5.50, Epsilon 72.19, TotalStep 3758
Epoch 14: Loss 2.98, Reward 7.0, Avgloss 2.56, Avgreward 5.60, Epsilon 77.57, TotalStep 4051
Epoch 15: Loss 2.66, Reward 5.0, Avgloss 2.57, Avgreward 5.56, Epsilon 82.55, TotalStep 4324
Epoch 16: Loss 2.56, Reward 6.0, Avgloss 2.57, Avgreward 5.59, Epsilon 87.64, TotalStep 4605
Epoch 17: Loss 4.33, Reward 10.0, Avgloss 2.66, Avgreward 5.83, Epsilon 95.37, TotalStep 5035
Epoch 18: Loss 1.72, Reward 3.0, Avgloss 2.61, Avgreward 5.68, Epsilon 98.60, TotalStep 5216
Epoch 19: Loss 1.95, Reward 3.0, Avgloss 2.58, Avgreward 5.55, Epsilon 102.28, TotalStep 5423
Epoch 20: Loss 2.24, Reward 2.0, Avgloss 2.56, Avgreward 5.38, Epsilon 106.01, TotalStep 5634
Epoch 21: Loss 2.45, Reward 7.0, Avgloss 2.56, Avgreward 5.45, Epsilon 109.93, TotalStep 5857
Epoch 22: Loss 1.93, Reward 4.0, Avgloss 2.53, Avgreward 5.39, Epsilon 113.53, TotalStep 6062
Epoch 23: Loss 2.60, Reward 5.0, Avgloss 2.53, Avgreward 5.38, Epsilon 118.33, TotalStep 6338
Epoch 24: Loss 2.17, Reward 3.0, Avgloss 2.52, Avgreward 5.28, Epsilon 121.89, TotalStep 6543
Epoch 25: Loss 2.10, Reward 3.0, Avgloss 2.50, Avgreward 5.19, Epsilon 125.51, TotalStep 6753
Epoch 26: Loss 1.97, Reward 3.0, Avgloss 2.48, Avgreward 5.11, Epsilon 129.13, TotalStep 6964
Epoch 27: Loss 2.19, Reward 3.0, Avgloss 2.47, Avgreward 5.04, Epsilon 132.70, TotalStep 7173
