
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 1.93, Reward 7.0, Avgloss 1.93, Avgreward 7.00, Epsilon 2.97, TotalStep 213
Epoch 1: Loss 3.06, Reward 8.0, Avgloss 2.49, Avgreward 7.50, Epsilon 7.48, TotalStep 539
Epoch 2: Loss 2.61, Reward 5.0, Avgloss 2.53, Avgreward 6.67, Epsilon 11.23, TotalStep 811
Epoch 3: Loss 2.75, Reward 6.0, Avgloss 2.59, Avgreward 6.50, Epsilon 15.39, TotalStep 1114
Epoch 4: Loss 1.83, Reward 4.0, Avgloss 2.44, Avgreward 6.00, Epsilon 18.08, TotalStep 1311
Epoch 5: Loss 1.91, Reward 5.0, Avgloss 2.35, Avgreward 5.83, Epsilon 20.83, TotalStep 1513
Epoch 6: Loss 2.16, Reward 4.0, Avgloss 2.32, Avgreward 5.57, Epsilon 24.00, TotalStep 1746
Epoch 7: Loss 2.17, Reward 6.0, Avgloss 2.30, Avgreward 5.62, Epsilon 27.38, TotalStep 1996
Epoch 8: Loss 1.64, Reward 4.0, Avgloss 2.23, Avgreward 5.44, Epsilon 29.83, TotalStep 2178
Epoch 9: Loss 2.16, Reward 4.0, Avgloss 2.22, Avgreward 5.30, Epsilon 33.03, TotalStep 2416
Epoch 10: Loss 2.15, Reward 5.0, Avgloss 2.22, Avgreward 5.27, Epsilon 36.00, TotalStep 2638
Epoch 11: Loss 3.38, Reward 10.0, Avgloss 2.31, Avgreward 5.67, Epsilon 40.73, TotalStep 2993
Epoch 12: Loss 1.82, Reward 4.0, Avgloss 2.27, Avgreward 5.54, Epsilon 43.37, TotalStep 3192
Epoch 13: Loss 1.95, Reward 7.0, Avgloss 2.25, Avgreward 5.64, Epsilon 46.20, TotalStep 3406
Epoch 14: Loss 2.02, Reward 4.0, Avgloss 2.24, Avgreward 5.53, Epsilon 49.13, TotalStep 3628
Epoch 15: Loss 2.37, Reward 6.0, Avgloss 2.24, Avgreward 5.56, Epsilon 52.19, TotalStep 3861
Epoch 16: Loss 1.95, Reward 4.0, Avgloss 2.23, Avgreward 5.47, Epsilon 54.98, TotalStep 4074
Epoch 17: Loss 1.99, Reward 3.0, Avgloss 2.21, Avgreward 5.33, Epsilon 57.67, TotalStep 4280
Epoch 18: Loss 2.05, Reward 2.0, Avgloss 2.20, Avgreward 5.16, Epsilon 60.35, TotalStep 4486
Epoch 19: Loss 4.66, Reward 15.0, Avgloss 2.33, Avgreward 5.65, Epsilon 66.65, TotalStep 4973
Epoch 20: Loss 1.94, Reward 2.0, Avgloss 2.31, Avgreward 5.48, Epsilon 69.31, TotalStep 5180
Epoch 21: Loss 3.11, Reward 6.0, Avgloss 2.35, Avgreward 5.50, Epsilon 73.34, TotalStep 5494
Epoch 22: Loss 2.35, Reward 6.0, Avgloss 2.35, Avgreward 5.52, Epsilon 76.53, TotalStep 5744
Epoch 23: Loss 2.12, Reward 2.0, Avgloss 2.34, Avgreward 5.38, Epsilon 79.18, TotalStep 5952
Epoch 24: Loss 2.26, Reward 3.0, Avgloss 2.33, Avgreward 5.28, Epsilon 82.19, TotalStep 6190
Epoch 25: Loss 3.54, Reward 7.0, Avgloss 2.38, Avgreward 5.35, Epsilon 87.01, TotalStep 6572
Epoch 26: Loss 2.06, Reward 3.0, Avgloss 2.37, Avgreward 5.26, Epsilon 89.62, TotalStep 6780
Epoch 27: Loss 2.75, Reward 5.0, Avgloss 2.38, Avgreward 5.25, Epsilon 93.17, TotalStep 7064
Epoch 28: Loss 2.16, Reward 4.0, Avgloss 2.37, Avgreward 5.21, Epsilon 96.07, TotalStep 7297
Epoch 29: Loss 2.48, Reward 6.0, Avgloss 2.38, Avgreward 5.23, Epsilon 99.08, TotalStep 7539
Epoch 30: Loss 2.13, Reward 2.0, Avgloss 2.37, Avgreward 5.13, Epsilon 101.68, TotalStep 7749
Epoch 31: Loss 2.62, Reward 6.0, Avgloss 2.38, Avgreward 5.16, Epsilon 104.82, TotalStep 8004
Epoch 32: Loss 3.44, Reward 8.0, Avgloss 2.41, Avgreward 5.24, Epsilon 108.93, TotalStep 8339
Epoch 33: Loss 2.07, Reward 3.0, Avgloss 2.40, Avgreward 5.18, Epsilon 111.46, TotalStep 8546
Epoch 34: Loss 1.92, Reward 5.0, Avgloss 2.39, Avgreward 5.17, Epsilon 113.81, TotalStep 8739
Epoch 35: Loss 2.20, Reward 3.0, Avgloss 2.38, Avgreward 5.11, Epsilon 116.32, TotalStep 8946
Epoch 36: Loss 2.05, Reward 3.0, Avgloss 2.37, Avgreward 5.05, Epsilon 118.88, TotalStep 9158
Epoch 37: Loss 2.02, Reward 4.0, Avgloss 2.36, Avgreward 5.03, Epsilon 121.38, TotalStep 9365
Epoch 38: Loss 2.44, Reward 6.0, Avgloss 2.36, Avgreward 5.05, Epsilon 124.34, TotalStep 9611
Epoch 39: Loss 2.62, Reward 6.0, Avgloss 2.37, Avgreward 5.08, Epsilon 127.77, TotalStep 9898
Epoch 40: Loss 2.42, Reward 4.0, Avgloss 2.37, Avgreward 5.05, Epsilon 130.62, TotalStep 10137
Epoch 41: Loss 3.08, Reward 7.0, Avgloss 2.39, Avgreward 5.10, Epsilon 134.43, TotalStep 10458
Epoch 42: Loss 2.22, Reward 3.0, Avgloss 2.38, Avgreward 5.05, Epsilon 137.04, TotalStep 10679
Epoch 43: Loss 3.46, Reward 7.0, Avgloss 2.41, Avgreward 5.09, Epsilon 140.69, TotalStep 10989
Epoch 44: Loss 3.70, Reward 10.0, Avgloss 2.44, Avgreward 5.20, Epsilon 145.05, TotalStep 11361
Epoch 45: Loss 2.25, Reward 3.0, Avgloss 2.43, Avgreward 5.15, Epsilon 147.45, TotalStep 11567
Epoch 46: Loss 2.02, Reward 2.0, Avgloss 2.42, Avgreward 5.09, Epsilon 149.76, TotalStep 11766
Epoch 47: Loss 2.00, Reward 2.0, Avgloss 2.42, Avgreward 5.02, Epsilon 152.08, TotalStep 11966
Epoch 48: Loss 1.89, Reward 2.0, Avgloss 2.40, Avgreward 4.96, Epsilon 154.36, TotalStep 12164
Epoch 49: Loss 2.22, Reward 3.0, Avgloss 2.40, Avgreward 4.92, Epsilon 157.43, TotalStep 12430
Epoch 50: Loss 2.93, Reward 8.0, Avgloss 2.41, Avgreward 4.98, Epsilon 160.84, TotalStep 12728
Epoch 51: Loss 3.97, Reward 10.0, Avgloss 2.44, Avgreward 5.08, Epsilon 165.31, TotalStep 13120
Epoch 52: Loss 4.56, Reward 11.0, Avgloss 2.48, Avgreward 5.19, Epsilon 170.30, TotalStep 13561
Epoch 53: Loss 2.22, Reward 2.0, Avgloss 2.48, Avgreward 5.13, Epsilon 172.55, TotalStep 13761
Epoch 54: Loss 1.65, Reward 4.0, Avgloss 2.46, Avgreward 5.11, Epsilon 174.54, TotalStep 13938
Epoch 55: Loss 2.00, Reward 3.0, Avgloss 2.45, Avgreward 5.07, Epsilon 176.76, TotalStep 14136
Epoch 56: Loss 2.32, Reward 3.0, Avgloss 2.45, Avgreward 5.04, Epsilon 179.04, TotalStep 14340
Epoch 57: Loss 1.98, Reward 3.0, Avgloss 2.44, Avgreward 5.00, Epsilon 181.34, TotalStep 14547
Epoch 58: Loss 2.31, Reward 3.0, Avgloss 2.44, Avgreward 4.97, Epsilon 183.74, TotalStep 14763
Epoch 59: Loss 3.18, Reward 7.0, Avgloss 2.45, Avgreward 5.00, Epsilon 187.16, TotalStep 15073
Epoch 60: Loss 2.18, Reward 3.0, Avgloss 2.45, Avgreward 4.97, Epsilon 189.52, TotalStep 15287
