
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 2.22, Reward 2.0, Avgloss 2.22, Avgreward 2.00, Epsilon 5.95, TotalStep 231
Epoch 1: Loss 3.24, Reward 8.0, Avgloss 2.73, Avgreward 5.00, Epsilon 5.88, TotalStep 573
Epoch 2: Loss 2.50, Reward 4.0, Avgloss 2.65, Avgreward 4.67, Epsilon 5.84, TotalStep 792
Epoch 3: Loss 2.00, Reward 4.0, Avgloss 2.49, Avgreward 4.50, Epsilon 5.80, TotalStep 997
Epoch 4: Loss 2.01, Reward 5.0, Avgloss 2.39, Avgreward 4.60, Epsilon 5.75, TotalStep 1223
Epoch 5: Loss 2.23, Reward 4.0, Avgloss 2.37, Avgreward 4.50, Epsilon 5.70, TotalStep 1464
Epoch 6: Loss 2.64, Reward 7.0, Avgloss 2.40, Avgreward 4.86, Epsilon 5.64, TotalStep 1766
Epoch 7: Loss 2.72, Reward 4.0, Avgloss 2.44, Avgreward 4.75, Epsilon 5.59, TotalStep 2039
Epoch 8: Loss 2.25, Reward 2.0, Avgloss 2.42, Avgreward 4.44, Epsilon 5.55, TotalStep 2249
Epoch 9: Loss 2.53, Reward 4.0, Avgloss 2.43, Avgreward 4.40, Epsilon 5.50, TotalStep 2490
Epoch 10: Loss 1.99, Reward 3.0, Avgloss 2.39, Avgreward 4.27, Epsilon 5.46, TotalStep 2703
Epoch 11: Loss 2.27, Reward 4.0, Avgloss 2.38, Avgreward 4.25, Epsilon 5.42, TotalStep 2912
Epoch 12: Loss 2.04, Reward 3.0, Avgloss 2.36, Avgreward 4.15, Epsilon 5.39, TotalStep 3115
Epoch 13: Loss 1.98, Reward 2.0, Avgloss 2.33, Avgreward 4.00, Epsilon 5.35, TotalStep 3326
Epoch 14: Loss 3.95, Reward 12.0, Avgloss 2.44, Avgreward 4.53, Epsilon 5.27, TotalStep 3744
Epoch 15: Loss 2.22, Reward 4.0, Avgloss 2.42, Avgreward 4.50, Epsilon 5.23, TotalStep 3952
Epoch 16: Loss 2.60, Reward 5.0, Avgloss 2.44, Avgreward 4.53, Epsilon 5.18, TotalStep 4223
Epoch 17: Loss 2.25, Reward 4.0, Avgloss 2.43, Avgreward 4.50, Epsilon 5.14, TotalStep 4461
Epoch 18: Loss 2.27, Reward 6.0, Avgloss 2.42, Avgreward 4.58, Epsilon 5.10, TotalStep 4695
Epoch 19: Loss 2.20, Reward 3.0, Avgloss 2.41, Avgreward 4.50, Epsilon 5.06, TotalStep 4899
Epoch 20: Loss 7.97, Reward 7.0, Avgloss 2.67, Avgreward 4.62, Epsilon 5.00, TotalStep 5278
Epoch 21: Loss 2.06, Reward 3.0, Avgloss 2.64, Avgreward 4.55, Epsilon 4.96, TotalStep 5479
Epoch 22: Loss 3.65, Reward 13.0, Avgloss 2.69, Avgreward 4.91, Epsilon 4.90, TotalStep 5857
Epoch 23: Loss 2.08, Reward 1.0, Avgloss 2.66, Avgreward 4.75, Epsilon 4.86, TotalStep 6065
Epoch 24: Loss 3.15, Reward 5.0, Avgloss 2.68, Avgreward 4.76, Epsilon 4.81, TotalStep 6373
Epoch 25: Loss 2.56, Reward 7.0, Avgloss 2.68, Avgreward 4.85, Epsilon 4.77, TotalStep 6596
Epoch 26: Loss 2.41, Reward 4.0, Avgloss 2.67, Avgreward 4.81, Epsilon 4.73, TotalStep 6833
