
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 1.70, Reward 3.0, Avgloss 1.70, Avgreward 3.00, Epsilon 8.97, TotalStep 186
Epoch 1: Loss 1.71, Reward 3.0, Avgloss 1.70, Avgreward 3.00, Epsilon 8.94, TotalStep 366
Epoch 2: Loss 2.01, Reward 3.0, Avgloss 1.80, Avgreward 3.00, Epsilon 8.91, TotalStep 582
Epoch 3: Loss 2.40, Reward 3.0, Avgloss 1.95, Avgreward 3.00, Epsilon 8.87, TotalStep 817
Epoch 4: Loss 1.77, Reward 5.0, Avgloss 1.92, Avgreward 3.40, Epsilon 8.84, TotalStep 998
Epoch 5: Loss 2.16, Reward 4.0, Avgloss 1.96, Avgreward 3.50, Epsilon 8.81, TotalStep 1204
Epoch 6: Loss 2.15, Reward 2.0, Avgloss 1.98, Avgreward 3.29, Epsilon 8.78, TotalStep 1413
Epoch 7: Loss 2.00, Reward 2.0, Avgloss 1.99, Avgreward 3.12, Epsilon 8.74, TotalStep 1649
Epoch 8: Loss 3.78, Reward 10.0, Avgloss 2.19, Avgreward 3.89, Epsilon 8.68, TotalStep 2062
Epoch 9: Loss 2.07, Reward 4.0, Avgloss 2.17, Avgreward 3.90, Epsilon 8.65, TotalStep 2274
Epoch 10: Loss 1.69, Reward 3.0, Avgloss 2.13, Avgreward 3.82, Epsilon 8.62, TotalStep 2474
Epoch 11: Loss 1.71, Reward 3.0, Avgloss 2.09, Avgreward 3.75, Epsilon 8.59, TotalStep 2672
Epoch 12: Loss 2.70, Reward 9.0, Avgloss 2.14, Avgreward 4.15, Epsilon 8.54, TotalStep 2989
Epoch 13: Loss 2.63, Reward 5.0, Avgloss 2.18, Avgreward 4.21, Epsilon 8.50, TotalStep 3286
Epoch 14: Loss 2.64, Reward 6.0, Avgloss 2.21, Avgreward 4.33, Epsilon 8.46, TotalStep 3570
Epoch 15: Loss 1.91, Reward 3.0, Avgloss 2.19, Avgreward 4.25, Epsilon 8.42, TotalStep 3787
Epoch 16: Loss 1.97, Reward 2.0, Avgloss 2.18, Avgreward 4.12, Epsilon 8.39, TotalStep 4001
Epoch 17: Loss 1.81, Reward 4.0, Avgloss 2.16, Avgreward 4.11, Epsilon 8.36, TotalStep 4202
Epoch 18: Loss 1.83, Reward 3.0, Avgloss 2.14, Avgreward 4.05, Epsilon 8.33, TotalStep 4411
Epoch 19: Loss 1.64, Reward 3.0, Avgloss 2.11, Avgreward 4.00, Epsilon 8.30, TotalStep 4616
Epoch 20: Loss 2.70, Reward 9.0, Avgloss 2.14, Avgreward 4.24, Epsilon 8.26, TotalStep 4919
Epoch 21: Loss 1.53, Reward 3.0, Avgloss 2.11, Avgreward 4.18, Epsilon 8.23, TotalStep 5095
Epoch 22: Loss 2.48, Reward 6.0, Avgloss 2.13, Avgreward 4.26, Epsilon 8.19, TotalStep 5366
Epoch 23: Loss 2.04, Reward 2.0, Avgloss 2.13, Avgreward 4.17, Epsilon 8.16, TotalStep 5576
Epoch 24: Loss 2.24, Reward 7.0, Avgloss 2.13, Avgreward 4.28, Epsilon 8.13, TotalStep 5791
Epoch 25: Loss 2.05, Reward 5.0, Avgloss 2.13, Avgreward 4.31, Epsilon 8.10, TotalStep 5998
Epoch 26: Loss 2.33, Reward 3.0, Avgloss 2.13, Avgreward 4.26, Epsilon 8.07, TotalStep 6235
Epoch 27: Loss 1.90, Reward 2.0, Avgloss 2.13, Avgreward 4.18, Epsilon 8.04, TotalStep 6434
Epoch 28: Loss 2.22, Reward 3.0, Avgloss 2.13, Avgreward 4.14, Epsilon 8.01, TotalStep 6665
Epoch 29: Loss 1.84, Reward 3.0, Avgloss 2.12, Avgreward 4.10, Epsilon 7.98, TotalStep 6875
Epoch 30: Loss 1.98, Reward 4.0, Avgloss 2.11, Avgreward 4.10, Epsilon 7.95, TotalStep 7079
