
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 2.33, Reward 4.0, Avgloss 2.33, Avgreward 4.00, Epsilon 7.97, TotalStep 202
Epoch 1: Loss 2.06, Reward 3.0, Avgloss 2.19, Avgreward 3.50, Epsilon 7.93, TotalStep 413
Epoch 2: Loss 2.28, Reward 7.0, Avgloss 2.22, Avgreward 4.67, Epsilon 7.90, TotalStep 653
Epoch 3: Loss 1.85, Reward 5.0, Avgloss 2.13, Avgreward 4.75, Epsilon 7.86, TotalStep 873
Epoch 4: Loss 1.77, Reward 2.0, Avgloss 2.06, Avgreward 4.20, Epsilon 7.83, TotalStep 1074
Epoch 5: Loss 1.97, Reward 4.0, Avgloss 2.04, Avgreward 4.17, Epsilon 7.79, TotalStep 1300
Epoch 6: Loss 1.72, Reward 2.0, Avgloss 2.00, Avgreward 3.86, Epsilon 7.77, TotalStep 1483
Epoch 7: Loss 2.10, Reward 5.0, Avgloss 2.01, Avgreward 4.00, Epsilon 7.73, TotalStep 1727
Epoch 8: Loss 2.19, Reward 3.0, Avgloss 2.03, Avgreward 3.89, Epsilon 7.69, TotalStep 1963
Epoch 9: Loss 2.17, Reward 5.0, Avgloss 2.04, Avgreward 4.00, Epsilon 7.66, TotalStep 2177
Epoch 10: Loss 2.50, Reward 6.0, Avgloss 2.09, Avgreward 4.18, Epsilon 7.62, TotalStep 2445
Epoch 11: Loss 2.01, Reward 3.0, Avgloss 2.08, Avgreward 4.08, Epsilon 7.59, TotalStep 2649
Epoch 12: Loss 1.94, Reward 2.0, Avgloss 2.07, Avgreward 3.92, Epsilon 7.56, TotalStep 2853
Epoch 13: Loss 2.13, Reward 4.0, Avgloss 2.07, Avgreward 3.93, Epsilon 7.53, TotalStep 3053
Epoch 14: Loss 2.96, Reward 5.0, Avgloss 2.13, Avgreward 4.00, Epsilon 7.48, TotalStep 3347
Epoch 15: Loss 1.80, Reward 1.0, Avgloss 2.11, Avgreward 3.81, Epsilon 7.45, TotalStep 3551
Epoch 16: Loss 2.34, Reward 5.0, Avgloss 2.12, Avgreward 3.88, Epsilon 7.42, TotalStep 3784
