
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 2.49, Reward 6.0, Avgloss 2.49, Avgreward 6.00, Epsilon 4.96, TotalStep 260
Epoch 1: Loss 2.63, Reward 6.0, Avgloss 2.56, Avgreward 6.00, Epsilon 4.91, TotalStep 537
Epoch 2: Loss 1.74, Reward 2.0, Avgloss 2.28, Avgreward 4.67, Epsilon 4.88, TotalStep 719
Epoch 3: Loss 2.46, Reward 7.0, Avgloss 2.33, Avgreward 5.25, Epsilon 4.85, TotalStep 962
Epoch 4: Loss 2.33, Reward 6.0, Avgloss 2.33, Avgreward 5.40, Epsilon 4.81, TotalStep 1179
Epoch 5: Loss 2.47, Reward 7.0, Avgloss 2.35, Avgreward 5.67, Epsilon 4.77, TotalStep 1427
Epoch 6: Loss 2.34, Reward 5.0, Avgloss 2.35, Avgreward 5.57, Epsilon 4.74, TotalStep 1639
Epoch 7: Loss 2.04, Reward 2.0, Avgloss 2.31, Avgreward 5.12, Epsilon 4.71, TotalStep 1835
Epoch 8: Loss 1.80, Reward 3.0, Avgloss 2.25, Avgreward 4.89, Epsilon 4.68, TotalStep 2016
Epoch 9: Loss 2.30, Reward 4.0, Avgloss 2.26, Avgreward 4.80, Epsilon 4.65, TotalStep 2230
Epoch 10: Loss 2.65, Reward 8.0, Avgloss 2.29, Avgreward 5.09, Epsilon 4.60, TotalStep 2532
Epoch 11: Loss 2.11, Reward 4.0, Avgloss 2.28, Avgreward 5.00, Epsilon 4.57, TotalStep 2731
Epoch 12: Loss 3.25, Reward 6.0, Avgloss 2.35, Avgreward 5.08, Epsilon 4.53, TotalStep 3038
Epoch 13: Loss 2.92, Reward 5.0, Avgloss 2.39, Avgreward 5.07, Epsilon 4.48, TotalStep 3337
Epoch 14: Loss 2.83, Reward 5.0, Avgloss 2.42, Avgreward 5.07, Epsilon 4.44, TotalStep 3613
Epoch 15: Loss 2.98, Reward 9.0, Avgloss 2.46, Avgreward 5.31, Epsilon 4.40, TotalStep 3890
Epoch 16: Loss 2.50, Reward 5.0, Avgloss 2.46, Avgreward 5.29, Epsilon 4.37, TotalStep 4135
Epoch 17: Loss 3.00, Reward 7.0, Avgloss 2.49, Avgreward 5.39, Epsilon 4.33, TotalStep 4415
Epoch 18: Loss 4.19, Reward 8.0, Avgloss 2.58, Avgreward 5.53, Epsilon 4.28, TotalStep 4792
Epoch 19: Loss 2.18, Reward 2.0, Avgloss 2.56, Avgreward 5.35, Epsilon 4.25, TotalStep 4998
Epoch 20: Loss 2.57, Reward 3.0, Avgloss 2.56, Avgreward 5.24, Epsilon 4.21, TotalStep 5274
Epoch 21: Loss 2.14, Reward 2.0, Avgloss 2.54, Avgreward 5.09, Epsilon 4.18, TotalStep 5462
Epoch 22: Loss 2.02, Reward 2.0, Avgloss 2.52, Avgreward 4.96, Epsilon 4.16, TotalStep 5669
Epoch 23: Loss 2.27, Reward 3.0, Avgloss 2.51, Avgreward 4.88, Epsilon 4.13, TotalStep 5878
Epoch 24: Loss 1.88, Reward 1.0, Avgloss 2.48, Avgreward 4.72, Epsilon 4.10, TotalStep 6082
Epoch 25: Loss 2.53, Reward 5.0, Avgloss 2.49, Avgreward 4.73, Epsilon 4.07, TotalStep 6335
Epoch 26: Loss 3.51, Reward 8.0, Avgloss 2.52, Avgreward 4.85, Epsilon 4.02, TotalStep 6676
Epoch 27: Loss 2.51, Reward 4.0, Avgloss 2.52, Avgreward 4.82, Epsilon 3.99, TotalStep 6899
Epoch 28: Loss 2.01, Reward 2.0, Avgloss 2.51, Avgreward 4.72, Epsilon 3.97, TotalStep 7089
Epoch 29: Loss 1.87, Reward 3.0, Avgloss 2.48, Avgreward 4.67, Epsilon 3.94, TotalStep 7280
Epoch 30: Loss 3.42, Reward 8.0, Avgloss 2.51, Avgreward 4.77, Epsilon 3.90, TotalStep 7643
Epoch 31: Loss 2.15, Reward 4.0, Avgloss 2.50, Avgreward 4.75, Epsilon 3.87, TotalStep 7854
Epoch 32: Loss 1.97, Reward 3.0, Avgloss 2.49, Avgreward 4.70, Epsilon 3.84, TotalStep 8065
Epoch 33: Loss 2.05, Reward 5.0, Avgloss 2.47, Avgreward 4.71, Epsilon 3.81, TotalStep 8293
Epoch 34: Loss 2.05, Reward 2.0, Avgloss 2.46, Avgreward 4.63, Epsilon 3.79, TotalStep 8500
Epoch 35: Loss 2.24, Reward 3.0, Avgloss 2.46, Avgreward 4.58, Epsilon 3.76, TotalStep 8732
Epoch 36: Loss 3.22, Reward 8.0, Avgloss 2.48, Avgreward 4.68, Epsilon 3.72, TotalStep 9041
Epoch 37: Loss 3.28, Reward 8.0, Avgloss 2.50, Avgreward 4.76, Epsilon 3.68, TotalStep 9349
Epoch 38: Loss 2.22, Reward 2.0, Avgloss 2.49, Avgreward 4.69, Epsilon 3.66, TotalStep 9556
Epoch 39: Loss 2.32, Reward 3.0, Avgloss 2.49, Avgreward 4.65, Epsilon 3.63, TotalStep 9788
Epoch 40: Loss 3.59, Reward 5.0, Avgloss 2.51, Avgreward 4.66, Epsilon 3.59, TotalStep 10126
Epoch 41: Loss 2.02, Reward 4.0, Avgloss 2.50, Avgreward 4.64, Epsilon 3.57, TotalStep 10338
Epoch 42: Loss 1.99, Reward 3.0, Avgloss 2.49, Avgreward 4.60, Epsilon 3.55, TotalStep 10520
Epoch 43: Loss 3.27, Reward 7.0, Avgloss 2.51, Avgreward 4.66, Epsilon 3.51, TotalStep 10836
Epoch 44: Loss 2.74, Reward 5.0, Avgloss 2.51, Avgreward 4.67, Epsilon 3.48, TotalStep 11116
Epoch 45: Loss 5.02, Reward 12.0, Avgloss 2.57, Avgreward 4.83, Epsilon 3.42, TotalStep 11597
Epoch 46: Loss 2.75, Reward 6.0, Avgloss 2.57, Avgreward 4.85, Epsilon 3.39, TotalStep 11874
Epoch 47: Loss 2.69, Reward 5.0, Avgloss 2.57, Avgreward 4.85, Epsilon 3.36, TotalStep 12152
Epoch 48: Loss 2.79, Reward 4.0, Avgloss 2.58, Avgreward 4.84, Epsilon 3.33, TotalStep 12412
Epoch 49: Loss 2.26, Reward 4.0, Avgloss 2.57, Avgreward 4.82, Epsilon 3.31, TotalStep 12617
Epoch 50: Loss 2.01, Reward 2.0, Avgloss 2.56, Avgreward 4.76, Epsilon 3.29, TotalStep 12824
Epoch 51: Loss 1.96, Reward 3.0, Avgloss 2.55, Avgreward 4.73, Epsilon 3.27, TotalStep 13024
Epoch 52: Loss 2.05, Reward 3.0, Avgloss 2.54, Avgreward 4.70, Epsilon 3.25, TotalStep 13221
Epoch 53: Loss 1.94, Reward 4.0, Avgloss 2.53, Avgreward 4.69, Epsilon 3.22, TotalStep 13456
Epoch 54: Loss 1.78, Reward 4.0, Avgloss 2.51, Avgreward 4.67, Epsilon 3.20, TotalStep 13652
Epoch 55: Loss 1.94, Reward 3.0, Avgloss 2.50, Avgreward 4.64, Epsilon 3.18, TotalStep 13832
Epoch 56: Loss 1.91, Reward 1.0, Avgloss 2.49, Avgreward 4.58, Epsilon 3.17, TotalStep 14004
Epoch 57: Loss 3.21, Reward 10.0, Avgloss 2.51, Avgreward 4.67, Epsilon 3.13, TotalStep 14314
Epoch 58: Loss 2.12, Reward 6.0, Avgloss 2.50, Avgreward 4.69, Epsilon 3.11, TotalStep 14530
Epoch 59: Loss 1.95, Reward 3.0, Avgloss 2.49, Avgreward 4.67, Epsilon 3.09, TotalStep 14738
Epoch 60: Loss 2.14, Reward 4.0, Avgloss 2.48, Avgreward 4.66, Epsilon 3.07, TotalStep 14939
