couldn't find initialization file, model started empty
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 3.98, Reward 2.0, Avgloss 3.98, Avgreward 2.00, Epsilon 245.41, TotalStep 270
Epoch 1: Loss 2.34, Reward 7.0, Avgloss 3.16, Avgreward 4.50, Epsilon 244.86, TotalStep 517
Epoch 2: Loss 1.99, Reward 1.0, Avgloss 2.77, Avgreward 3.33, Epsilon 244.42, TotalStep 717
Epoch 3: Loss 2.06, Reward 3.0, Avgloss 2.59, Avgreward 3.25, Epsilon 243.99, TotalStep 914
Epoch 4: Loss 1.92, Reward 4.0, Avgloss 2.46, Avgreward 3.40, Epsilon 243.50, TotalStep 1138
Epoch 5: Loss 2.16, Reward 4.0, Avgloss 2.41, Avgreward 3.50, Epsilon 243.06, TotalStep 1342
Epoch 6: Loss 2.03, Reward 3.0, Avgloss 2.35, Avgreward 3.43, Epsilon 242.62, TotalStep 1543
Epoch 7: Loss 2.78, Reward 7.0, Avgloss 2.41, Avgreward 3.88, Epsilon 242.04, TotalStep 1810
Epoch 8: Loss 2.96, Reward 7.0, Avgloss 2.47, Avgreward 4.22, Epsilon 241.41, TotalStep 2099
Epoch 9: Loss 2.19, Reward 5.0, Avgloss 2.44, Avgreward 4.30, Epsilon 240.95, TotalStep 2313
Epoch 10: Loss 3.36, Reward 9.0, Avgloss 2.53, Avgreward 4.73, Epsilon 240.24, TotalStep 2641
Epoch 11: Loss 2.16, Reward 4.0, Avgloss 2.50, Avgreward 4.67, Epsilon 239.73, TotalStep 2879
Epoch 12: Loss 2.14, Reward 2.0, Avgloss 2.47, Avgreward 4.46, Epsilon 239.26, TotalStep 3097
Epoch 13: Loss 2.07, Reward 5.0, Avgloss 2.44, Avgreward 4.50, Epsilon 238.82, TotalStep 3302
Epoch 14: Loss 4.23, Reward 13.0, Avgloss 2.56, Avgreward 5.07, Epsilon 237.83, TotalStep 3762
Epoch 15: Loss 2.09, Reward 5.0, Avgloss 2.53, Avgreward 5.06, Epsilon 237.39, TotalStep 3972
Epoch 16: Loss 2.80, Reward 6.0, Avgloss 2.54, Avgreward 5.12, Epsilon 236.81, TotalStep 4245
Epoch 17: Loss 2.96, Reward 3.0, Avgloss 2.57, Avgreward 5.00, Epsilon 236.19, TotalStep 4533
Epoch 18: Loss 2.48, Reward 3.0, Avgloss 2.56, Avgreward 4.89, Epsilon 235.74, TotalStep 4746
Epoch 19: Loss 2.00, Reward 1.0, Avgloss 2.54, Avgreward 4.70, Epsilon 235.30, TotalStep 4957
Epoch 20: Loss 2.14, Reward 1.0, Avgloss 2.52, Avgreward 4.52, Epsilon 234.86, TotalStep 5164
Epoch 21: Loss 1.96, Reward 5.0, Avgloss 2.49, Avgreward 4.55, Epsilon 234.42, TotalStep 5374
Epoch 22: Loss 3.00, Reward 7.0, Avgloss 2.51, Avgreward 4.65, Epsilon 233.77, TotalStep 5682
Epoch 23: Loss 2.01, Reward 2.0, Avgloss 2.49, Avgreward 4.54, Epsilon 233.34, TotalStep 5887
Epoch 24: Loss 3.50, Reward 10.0, Avgloss 2.53, Avgreward 4.76, Epsilon 232.63, TotalStep 6227
Epoch 25: Loss 4.72, Reward 11.0, Avgloss 2.62, Avgreward 5.00, Epsilon 231.58, TotalStep 6730
Epoch 26: Loss 1.98, Reward 3.0, Avgloss 2.59, Avgreward 4.93, Epsilon 231.15, TotalStep 6937
Epoch 27: Loss 2.14, Reward 5.0, Avgloss 2.58, Avgreward 4.93, Epsilon 230.73, TotalStep 7143
Epoch 28: Loss 2.17, Reward 3.0, Avgloss 2.56, Avgreward 4.86, Epsilon 230.27, TotalStep 7361
Epoch 29: Loss 3.35, Reward 5.0, Avgloss 2.59, Avgreward 4.87, Epsilon 229.56, TotalStep 7705
Epoch 30: Loss 2.18, Reward 3.0, Avgloss 2.58, Avgreward 4.81, Epsilon 229.13, TotalStep 7918
Epoch 31: Loss 3.13, Reward 8.0, Avgloss 2.59, Avgreward 4.91, Epsilon 228.48, TotalStep 8235
Epoch 32: Loss 3.03, Reward 5.0, Avgloss 2.61, Avgreward 4.91, Epsilon 227.86, TotalStep 8536
Epoch 33: Loss 1.97, Reward 3.0, Avgloss 2.59, Avgreward 4.85, Epsilon 227.45, TotalStep 8735
Epoch 34: Loss 2.56, Reward 6.0, Avgloss 2.59, Avgreward 4.89, Epsilon 226.91, TotalStep 9001
Epoch 35: Loss 1.65, Reward 2.0, Avgloss 2.56, Avgreward 4.81, Epsilon 226.55, TotalStep 9177
Epoch 36: Loss 2.16, Reward 4.0, Avgloss 2.55, Avgreward 4.78, Epsilon 226.11, TotalStep 9395
Epoch 37: Loss 2.19, Reward 5.0, Avgloss 2.54, Avgreward 4.79, Epsilon 225.69, TotalStep 9602
Epoch 38: Loss 2.69, Reward 5.0, Avgloss 2.54, Avgreward 4.79, Epsilon 225.18, TotalStep 9854
Epoch 39: Loss 2.21, Reward 2.0, Avgloss 2.54, Avgreward 4.72, Epsilon 224.78, TotalStep 10052
Epoch 40: Loss 2.12, Reward 3.0, Avgloss 2.53, Avgreward 4.68, Epsilon 224.38, TotalStep 10251
Epoch 41: Loss 3.84, Reward 8.0, Avgloss 2.56, Avgreward 4.76, Epsilon 223.68, TotalStep 10599
Epoch 42: Loss 2.55, Reward 4.0, Avgloss 2.56, Avgreward 4.74, Epsilon 223.22, TotalStep 10830
Epoch 43: Loss 2.30, Reward 4.0, Avgloss 2.55, Avgreward 4.73, Epsilon 222.78, TotalStep 11049
Epoch 44: Loss 1.78, Reward 2.0, Avgloss 2.53, Avgreward 4.67, Epsilon 222.40, TotalStep 11236
Epoch 45: Loss 3.31, Reward 7.0, Avgloss 2.55, Avgreward 4.72, Epsilon 221.80, TotalStep 11540
Epoch 46: Loss 2.21, Reward 3.0, Avgloss 2.54, Avgreward 4.68, Epsilon 221.38, TotalStep 11752
