
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 1.59, Reward 3.0, Avgloss 1.59, Avgreward 3.00, Epsilon 207.27, TotalStep 196
Epoch 1: Loss 1.94, Reward 2.0, Avgloss 1.76, Avgreward 2.50, Epsilon 206.48, TotalStep 406
Epoch 2: Loss 1.98, Reward 3.0, Avgloss 1.84, Avgreward 2.67, Epsilon 205.73, TotalStep 606
Epoch 3: Loss 1.86, Reward 1.0, Avgloss 1.84, Avgreward 2.25, Epsilon 204.96, TotalStep 812
Epoch 4: Loss 2.19, Reward 5.0, Avgloss 1.91, Avgreward 2.80, Epsilon 203.96, TotalStep 1081
Epoch 5: Loss 1.71, Reward 2.0, Avgloss 1.88, Avgreward 2.67, Epsilon 203.22, TotalStep 1283
Epoch 6: Loss 3.12, Reward 10.0, Avgloss 2.06, Avgreward 3.71, Epsilon 201.88, TotalStep 1646
Epoch 7: Loss 3.61, Reward 12.0, Avgloss 2.25, Avgreward 4.75, Epsilon 200.43, TotalStep 2043
Epoch 8: Loss 1.74, Reward 3.0, Avgloss 2.19, Avgreward 4.56, Epsilon 199.74, TotalStep 2235
Epoch 9: Loss 1.93, Reward 4.0, Avgloss 2.17, Avgreward 4.50, Epsilon 199.01, TotalStep 2436
Epoch 10: Loss 3.25, Reward 9.0, Avgloss 2.27, Avgreward 4.91, Epsilon 197.82, TotalStep 2767
Epoch 11: Loss 1.95, Reward 1.0, Avgloss 2.24, Avgreward 4.58, Epsilon 197.09, TotalStep 2970
Epoch 12: Loss 1.97, Reward 2.0, Avgloss 2.22, Avgreward 4.38, Epsilon 196.32, TotalStep 3185
Epoch 13: Loss 2.64, Reward 6.0, Avgloss 2.25, Avgreward 4.50, Epsilon 195.31, TotalStep 3471
Epoch 14: Loss 1.81, Reward 2.0, Avgloss 2.22, Avgreward 4.33, Epsilon 194.59, TotalStep 3674
Epoch 15: Loss 2.08, Reward 5.0, Avgloss 2.21, Avgreward 4.38, Epsilon 193.76, TotalStep 3909
Epoch 16: Loss 2.77, Reward 6.0, Avgloss 2.24, Avgreward 4.47, Epsilon 192.65, TotalStep 4227
Epoch 17: Loss 2.52, Reward 8.0, Avgloss 2.26, Avgreward 4.67, Epsilon 191.62, TotalStep 4520
Epoch 18: Loss 3.18, Reward 9.0, Avgloss 2.31, Avgreward 4.89, Epsilon 190.41, TotalStep 4869
Epoch 19: Loss 2.21, Reward 5.0, Avgloss 2.30, Avgreward 4.90, Epsilon 189.60, TotalStep 5104
Epoch 20: Loss 1.91, Reward 3.0, Avgloss 2.28, Avgreward 4.81, Epsilon 188.82, TotalStep 5331
Epoch 21: Loss 2.39, Reward 4.0, Avgloss 2.29, Avgreward 4.77, Epsilon 187.98, TotalStep 5579
Epoch 22: Loss 2.72, Reward 6.0, Avgloss 2.31, Avgreward 4.83, Epsilon 186.92, TotalStep 5889
Epoch 23: Loss 1.67, Reward 2.0, Avgloss 2.28, Avgreward 4.71, Epsilon 186.26, TotalStep 6085
Epoch 24: Loss 1.77, Reward 3.0, Avgloss 2.26, Avgreward 4.64, Epsilon 185.59, TotalStep 6282
Epoch 25: Loss 2.34, Reward 1.0, Avgloss 2.26, Avgreward 4.50, Epsilon 184.81, TotalStep 6516
Epoch 26: Loss 2.52, Reward 4.0, Avgloss 2.27, Avgreward 4.48, Epsilon 183.95, TotalStep 6773
Epoch 27: Loss 2.96, Reward 8.0, Avgloss 2.30, Avgreward 4.61, Epsilon 182.82, TotalStep 7111
Epoch 28: Loss 1.77, Reward 3.0, Avgloss 2.28, Avgreward 4.55, Epsilon 182.20, TotalStep 7298
Epoch 29: Loss 1.76, Reward 4.0, Avgloss 2.26, Avgreward 4.53, Epsilon 181.52, TotalStep 7504
Epoch 30: Loss 3.73, Reward 10.0, Avgloss 2.31, Avgreward 4.71, Epsilon 180.23, TotalStep 7899
Epoch 31: Loss 2.90, Reward 6.0, Avgloss 2.33, Avgreward 4.75, Epsilon 179.24, TotalStep 8201
Epoch 32: Loss 2.23, Reward 4.0, Avgloss 2.32, Avgreward 4.73, Epsilon 178.53, TotalStep 8419
Epoch 33: Loss 1.83, Reward 4.0, Avgloss 2.31, Avgreward 4.71, Epsilon 177.90, TotalStep 8616
Epoch 34: Loss 2.07, Reward 6.0, Avgloss 2.30, Avgreward 4.74, Epsilon 177.24, TotalStep 8821
Epoch 35: Loss 2.59, Reward 2.0, Avgloss 2.31, Avgreward 4.67, Epsilon 176.38, TotalStep 9088
Epoch 36: Loss 1.96, Reward 3.0, Avgloss 2.30, Avgreward 4.62, Epsilon 175.72, TotalStep 9296
Epoch 37: Loss 2.77, Reward 7.0, Avgloss 2.31, Avgreward 4.68, Epsilon 174.72, TotalStep 9608
Epoch 38: Loss 2.09, Reward 3.0, Avgloss 2.31, Avgreward 4.64, Epsilon 174.05, TotalStep 9820
Epoch 39: Loss 1.89, Reward 2.0, Avgloss 2.30, Avgreward 4.58, Epsilon 173.40, TotalStep 10028
Epoch 40: Loss 1.81, Reward 4.0, Avgloss 2.29, Avgreward 4.56, Epsilon 172.77, TotalStep 10227
Epoch 41: Loss 3.35, Reward 6.0, Avgloss 2.31, Avgreward 4.60, Epsilon 171.79, TotalStep 10540
Epoch 42: Loss 2.02, Reward 6.0, Avgloss 2.30, Avgreward 4.63, Epsilon 171.07, TotalStep 10773
Epoch 43: Loss 2.01, Reward 4.0, Avgloss 2.30, Avgreward 4.61, Epsilon 170.44, TotalStep 10976
Epoch 44: Loss 2.22, Reward 3.0, Avgloss 2.30, Avgreward 4.58, Epsilon 169.70, TotalStep 11217
Epoch 45: Loss 1.85, Reward 4.0, Avgloss 2.29, Avgreward 4.57, Epsilon 169.05, TotalStep 11427
Epoch 46: Loss 2.36, Reward 3.0, Avgloss 2.29, Avgreward 4.53, Epsilon 168.29, TotalStep 11676
Epoch 47: Loss 2.88, Reward 6.0, Avgloss 2.30, Avgreward 4.56, Epsilon 167.35, TotalStep 11984
Epoch 48: Loss 2.31, Reward 5.0, Avgloss 2.30, Avgreward 4.57, Epsilon 166.61, TotalStep 12228
Epoch 49: Loss 2.54, Reward 8.0, Avgloss 2.31, Avgreward 4.64, Epsilon 165.87, TotalStep 12473
Epoch 50: Loss 1.99, Reward 2.0, Avgloss 2.30, Avgreward 4.59, Epsilon 165.26, TotalStep 12677
Epoch 51: Loss 2.15, Reward 3.0, Avgloss 2.30, Avgreward 4.56, Epsilon 164.60, TotalStep 12898
Epoch 52: Loss 2.83, Reward 6.0, Avgloss 2.31, Avgreward 4.58, Epsilon 163.73, TotalStep 13190
Epoch 53: Loss 1.83, Reward 3.0, Avgloss 2.30, Avgreward 4.56, Epsilon 163.11, TotalStep 13397
Epoch 54: Loss 2.22, Reward 3.0, Avgloss 2.30, Avgreward 4.53, Epsilon 162.50, TotalStep 13604
