
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 2.56, Reward 8.0, Avgloss 2.56, Avgreward 8.00, Epsilon 109.82, TotalStep 307
Epoch 1: Loss 2.36, Reward 7.0, Avgloss 2.46, Avgreward 7.50, Epsilon 109.66, TotalStep 582
Epoch 2: Loss 2.17, Reward 3.0, Avgloss 2.36, Avgreward 6.00, Epsilon 109.52, TotalStep 804
Epoch 3: Loss 1.86, Reward 5.0, Avgloss 2.24, Avgreward 5.75, Epsilon 109.40, TotalStep 1010
Epoch 4: Loss 3.42, Reward 7.0, Avgloss 2.48, Avgreward 6.00, Epsilon 109.20, TotalStep 1358
Epoch 5: Loss 2.13, Reward 5.0, Avgloss 2.42, Avgreward 5.83, Epsilon 109.07, TotalStep 1579
Epoch 6: Loss 2.83, Reward 3.0, Avgloss 2.48, Avgreward 5.43, Epsilon 108.90, TotalStep 1859
Epoch 7: Loss 1.93, Reward 4.0, Avgloss 2.41, Avgreward 5.25, Epsilon 108.80, TotalStep 2037
Epoch 8: Loss 3.14, Reward 10.0, Avgloss 2.49, Avgreward 5.78, Epsilon 108.59, TotalStep 2383
Epoch 9: Loss 1.91, Reward 5.0, Avgloss 2.43, Avgreward 5.70, Epsilon 108.47, TotalStep 2604
Epoch 10: Loss 1.86, Reward 3.0, Avgloss 2.38, Avgreward 5.45, Epsilon 108.36, TotalStep 2783
Epoch 11: Loss 1.85, Reward 3.0, Avgloss 2.33, Avgreward 5.25, Epsilon 108.24, TotalStep 2991
Epoch 12: Loss 3.35, Reward 12.0, Avgloss 2.41, Avgreward 5.77, Epsilon 108.04, TotalStep 3338
Epoch 13: Loss 2.06, Reward 2.0, Avgloss 2.39, Avgreward 5.50, Epsilon 107.92, TotalStep 3539
Epoch 14: Loss 3.05, Reward 7.0, Avgloss 2.43, Avgreward 5.60, Epsilon 107.74, TotalStep 3849
Epoch 15: Loss 2.99, Reward 8.0, Avgloss 2.47, Avgreward 5.75, Epsilon 107.57, TotalStep 4147
Epoch 16: Loss 2.13, Reward 2.0, Avgloss 2.45, Avgreward 5.53, Epsilon 107.45, TotalStep 4350
Epoch 17: Loss 1.93, Reward 4.0, Avgloss 2.42, Avgreward 5.44, Epsilon 107.33, TotalStep 4557
Epoch 18: Loss 1.82, Reward 4.0, Avgloss 2.39, Avgreward 5.37, Epsilon 107.21, TotalStep 4762
Epoch 19: Loss 2.63, Reward 4.0, Avgloss 2.40, Avgreward 5.30, Epsilon 107.06, TotalStep 5014
Epoch 20: Loss 3.01, Reward 7.0, Avgloss 2.43, Avgreward 5.38, Epsilon 106.88, TotalStep 5327
