
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 2.14, Reward 2.0, Avgloss 2.14, Avgreward 2.00, Epsilon 192.49, TotalStep 209
Epoch 1: Loss 2.56, Reward 6.0, Avgloss 2.35, Avgreward 4.00, Epsilon 190.31, TotalStep 512
Epoch 2: Loss 1.76, Reward 3.0, Avgloss 2.15, Avgreward 3.67, Epsilon 188.83, TotalStep 719
Epoch 3: Loss 1.80, Reward 3.0, Avgloss 2.06, Avgreward 3.50, Epsilon 187.35, TotalStep 928
Epoch 4: Loss 2.02, Reward 3.0, Avgloss 2.06, Avgreward 3.40, Epsilon 185.95, TotalStep 1128
Epoch 5: Loss 1.92, Reward 4.0, Avgloss 2.03, Avgreward 3.50, Epsilon 184.46, TotalStep 1342
Epoch 6: Loss 1.85, Reward 2.0, Avgloss 2.01, Avgreward 3.29, Epsilon 183.05, TotalStep 1546
Epoch 7: Loss 1.82, Reward 3.0, Avgloss 1.98, Avgreward 3.25, Epsilon 181.62, TotalStep 1754
Epoch 8: Loss 2.03, Reward 3.0, Avgloss 1.99, Avgreward 3.22, Epsilon 180.19, TotalStep 1964
Epoch 9: Loss 2.19, Reward 4.0, Avgloss 2.01, Avgreward 3.30, Epsilon 178.72, TotalStep 2182
Epoch 10: Loss 1.86, Reward 6.0, Avgloss 1.99, Avgreward 3.55, Epsilon 177.41, TotalStep 2377
Epoch 11: Loss 1.78, Reward 3.0, Avgloss 1.98, Avgreward 3.50, Epsilon 176.03, TotalStep 2585
Epoch 12: Loss 2.08, Reward 3.0, Avgloss 1.98, Avgreward 3.46, Epsilon 174.66, TotalStep 2792
Epoch 13: Loss 2.31, Reward 4.0, Avgloss 2.01, Avgreward 3.50, Epsilon 172.87, TotalStep 3067
Epoch 14: Loss 1.95, Reward 4.0, Avgloss 2.00, Avgreward 3.53, Epsilon 171.35, TotalStep 3301
Epoch 15: Loss 2.11, Reward 4.0, Avgloss 2.01, Avgreward 3.56, Epsilon 169.93, TotalStep 3522
Epoch 16: Loss 2.16, Reward 3.0, Avgloss 2.02, Avgreward 3.53, Epsilon 168.40, TotalStep 3763
Epoch 17: Loss 2.66, Reward 4.0, Avgloss 2.05, Avgreward 3.56, Epsilon 166.59, TotalStep 4051
Epoch 18: Loss 2.06, Reward 4.0, Avgloss 2.05, Avgreward 3.58, Epsilon 165.31, TotalStep 4256
Epoch 19: Loss 1.77, Reward 3.0, Avgloss 2.04, Avgreward 3.55, Epsilon 164.05, TotalStep 4458
Epoch 20: Loss 1.93, Reward 2.0, Avgloss 2.04, Avgreward 3.48, Epsilon 162.78, TotalStep 4666
Epoch 21: Loss 2.01, Reward 4.0, Avgloss 2.03, Avgreward 3.50, Epsilon 161.43, TotalStep 4886
Epoch 22: Loss 1.55, Reward 3.0, Avgloss 2.01, Avgreward 3.48, Epsilon 160.27, TotalStep 5078
Epoch 23: Loss 1.89, Reward 4.0, Avgloss 2.01, Avgreward 3.50, Epsilon 159.03, TotalStep 5285
Epoch 24: Loss 2.24, Reward 3.0, Avgloss 2.02, Avgreward 3.48, Epsilon 157.71, TotalStep 5506
Epoch 25: Loss 2.88, Reward 8.0, Avgloss 2.05, Avgreward 3.65, Epsilon 155.84, TotalStep 5823
Epoch 26: Loss 1.94, Reward 3.0, Avgloss 2.05, Avgreward 3.63, Epsilon 154.64, TotalStep 6029
Epoch 27: Loss 2.39, Reward 5.0, Avgloss 2.06, Avgreward 3.68, Epsilon 153.05, TotalStep 6304
Epoch 28: Loss 1.87, Reward 4.0, Avgloss 2.05, Avgreward 3.69, Epsilon 151.90, TotalStep 6505
Epoch 29: Loss 2.69, Reward 7.0, Avgloss 2.07, Avgreward 3.80, Epsilon 150.16, TotalStep 6810
Epoch 30: Loss 3.07, Reward 9.0, Avgloss 2.11, Avgreward 3.97, Epsilon 148.27, TotalStep 7148
Epoch 31: Loss 2.06, Reward 3.0, Avgloss 2.10, Avgreward 3.94, Epsilon 146.94, TotalStep 7387
Epoch 32: Loss 2.14, Reward 5.0, Avgloss 2.11, Avgreward 3.97, Epsilon 145.57, TotalStep 7636
Epoch 33: Loss 1.91, Reward 3.0, Avgloss 2.10, Avgreward 3.94, Epsilon 144.43, TotalStep 7845
Epoch 34: Loss 1.93, Reward 4.0, Avgloss 2.10, Avgreward 3.94, Epsilon 143.25, TotalStep 8062
Epoch 35: Loss 2.54, Reward 4.0, Avgloss 2.11, Avgreward 3.94, Epsilon 141.69, TotalStep 8354
Epoch 36: Loss 2.48, Reward 5.0, Avgloss 2.12, Avgreward 3.97, Epsilon 140.24, TotalStep 8627
Epoch 37: Loss 1.85, Reward 3.0, Avgloss 2.11, Avgreward 3.95, Epsilon 139.15, TotalStep 8834
Epoch 38: Loss 2.85, Reward 8.0, Avgloss 2.13, Avgreward 4.05, Epsilon 137.61, TotalStep 9131
Epoch 39: Loss 1.99, Reward 4.0, Avgloss 2.13, Avgreward 4.05, Epsilon 136.53, TotalStep 9341
Epoch 40: Loss 2.30, Reward 5.0, Avgloss 2.13, Avgreward 4.07, Epsilon 135.30, TotalStep 9581
Epoch 41: Loss 1.91, Reward 3.0, Avgloss 2.13, Avgreward 4.05, Epsilon 134.24, TotalStep 9789
Epoch 42: Loss 1.95, Reward 4.0, Avgloss 2.12, Avgreward 4.05, Epsilon 133.24, TotalStep 9989
Epoch 43: Loss 1.77, Reward 3.0, Avgloss 2.11, Avgreward 4.02, Epsilon 132.21, TotalStep 10195
Epoch 44: Loss 2.21, Reward 2.0, Avgloss 2.12, Avgreward 3.98, Epsilon 131.12, TotalStep 10415
Epoch 45: Loss 2.05, Reward 4.0, Avgloss 2.11, Avgreward 3.98, Epsilon 130.06, TotalStep 10631
Epoch 46: Loss 2.14, Reward 4.0, Avgloss 2.11, Avgreward 3.98, Epsilon 128.97, TotalStep 10855
Epoch 47: Loss 2.03, Reward 3.0, Avgloss 2.11, Avgreward 3.96, Epsilon 127.99, TotalStep 11058
Epoch 48: Loss 2.28, Reward 6.0, Avgloss 2.12, Avgreward 4.00, Epsilon 126.83, TotalStep 11299
Epoch 49: Loss 1.85, Reward 1.0, Avgloss 2.11, Avgreward 3.94, Epsilon 125.89, TotalStep 11497
Epoch 50: Loss 4.36, Reward 13.0, Avgloss 2.15, Avgreward 4.12, Epsilon 123.78, TotalStep 11946
Epoch 51: Loss 2.12, Reward 3.0, Avgloss 2.15, Avgreward 4.10, Epsilon 122.78, TotalStep 12163
Epoch 52: Loss 2.89, Reward 8.0, Avgloss 2.17, Avgreward 4.17, Epsilon 121.35, TotalStep 12474
Epoch 53: Loss 1.84, Reward 3.0, Avgloss 2.16, Avgreward 4.15, Epsilon 120.42, TotalStep 12677
Epoch 54: Loss 3.65, Reward 14.0, Avgloss 2.19, Avgreward 4.33, Epsilon 118.69, TotalStep 13062
Epoch 55: Loss 2.68, Reward 8.0, Avgloss 2.20, Avgreward 4.39, Epsilon 117.43, TotalStep 13347
Epoch 56: Loss 2.17, Reward 2.0, Avgloss 2.20, Avgreward 4.35, Epsilon 116.51, TotalStep 13555
Epoch 57: Loss 2.00, Reward 2.0, Avgloss 2.19, Avgreward 4.31, Epsilon 115.62, TotalStep 13760
Epoch 58: Loss 2.32, Reward 4.0, Avgloss 2.20, Avgreward 4.31, Epsilon 114.58, TotalStep 14000
Epoch 59: Loss 1.86, Reward 3.0, Avgloss 2.19, Avgreward 4.28, Epsilon 113.73, TotalStep 14197
Epoch 60: Loss 4.01, Reward 11.0, Avgloss 2.22, Avgreward 4.39, Epsilon 112.09, TotalStep 14584
Epoch 61: Loss 1.76, Reward 3.0, Avgloss 2.21, Avgreward 4.37, Epsilon 111.23, TotalStep 14789
Epoch 62: Loss 2.21, Reward 3.0, Avgloss 2.21, Avgreward 4.35, Epsilon 110.26, TotalStep 15021
