
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 1.89, Reward 3.0, Avgloss 1.89, Avgreward 3.00, Epsilon 88.91, TotalStep 206
Epoch 1: Loss 1.98, Reward 3.0, Avgloss 1.94, Avgreward 3.00, Epsilon 88.81, TotalStep 404
Epoch 2: Loss 2.51, Reward 4.0, Avgloss 2.13, Avgreward 3.33, Epsilon 88.68, TotalStep 688
Epoch 3: Loss 1.92, Reward 3.0, Avgloss 2.08, Avgreward 3.25, Epsilon 88.59, TotalStep 895
Epoch 4: Loss 2.32, Reward 5.0, Avgloss 2.13, Avgreward 3.60, Epsilon 88.48, TotalStep 1133
Epoch 5: Loss 1.89, Reward 4.0, Avgloss 2.09, Avgreward 3.67, Epsilon 88.39, TotalStep 1342
Epoch 6: Loss 2.90, Reward 6.0, Avgloss 2.20, Avgreward 4.00, Epsilon 88.25, TotalStep 1646
Epoch 7: Loss 1.97, Reward 2.0, Avgloss 2.17, Avgreward 3.75, Epsilon 88.15, TotalStep 1868
Epoch 8: Loss 2.64, Reward 5.0, Avgloss 2.22, Avgreward 3.89, Epsilon 88.02, TotalStep 2142
Epoch 9: Loss 2.94, Reward 10.0, Avgloss 2.30, Avgreward 4.50, Epsilon 87.88, TotalStep 2453
Epoch 10: Loss 1.75, Reward 3.0, Avgloss 2.25, Avgreward 4.36, Epsilon 87.79, TotalStep 2660
Epoch 11: Loss 1.98, Reward 2.0, Avgloss 2.22, Avgreward 4.17, Epsilon 87.69, TotalStep 2867
Epoch 12: Loss 1.70, Reward 2.0, Avgloss 2.18, Avgreward 4.00, Epsilon 87.60, TotalStep 3071
Epoch 13: Loss 2.91, Reward 4.0, Avgloss 2.24, Avgreward 4.00, Epsilon 87.46, TotalStep 3374
Epoch 14: Loss 2.71, Reward 5.0, Avgloss 2.27, Avgreward 4.07, Epsilon 87.33, TotalStep 3663
Epoch 15: Loss 1.80, Reward 5.0, Avgloss 2.24, Avgreward 4.12, Epsilon 87.24, TotalStep 3874
Epoch 16: Loss 2.22, Reward 4.0, Avgloss 2.24, Avgreward 4.12, Epsilon 87.13, TotalStep 4118
Epoch 17: Loss 3.18, Reward 9.0, Avgloss 2.29, Avgreward 4.39, Epsilon 86.97, TotalStep 4460
Epoch 18: Loss 4.06, Reward 13.0, Avgloss 2.38, Avgreward 4.84, Epsilon 86.77, TotalStep 4904
Epoch 19: Loss 1.76, Reward 2.0, Avgloss 2.35, Avgreward 4.70, Epsilon 86.68, TotalStep 5111
Epoch 20: Loss 2.16, Reward 2.0, Avgloss 2.34, Avgreward 4.57, Epsilon 86.59, TotalStep 5319
Epoch 21: Loss 2.27, Reward 3.0, Avgloss 2.34, Avgreward 4.50, Epsilon 86.49, TotalStep 5530
Epoch 22: Loss 1.66, Reward 2.0, Avgloss 2.31, Avgreward 4.39, Epsilon 86.41, TotalStep 5718
Epoch 23: Loss 2.20, Reward 4.0, Avgloss 2.30, Avgreward 4.38, Epsilon 86.31, TotalStep 5940
Epoch 24: Loss 2.42, Reward 4.0, Avgloss 2.31, Avgreward 4.36, Epsilon 86.20, TotalStep 6192
Epoch 25: Loss 2.56, Reward 3.0, Avgloss 2.32, Avgreward 4.31, Epsilon 86.08, TotalStep 6461
Epoch 26: Loss 2.14, Reward 2.0, Avgloss 2.31, Avgreward 4.22, Epsilon 85.98, TotalStep 6679
Epoch 27: Loss 2.74, Reward 6.0, Avgloss 2.33, Avgreward 4.29, Epsilon 85.84, TotalStep 6996
Epoch 28: Loss 1.88, Reward 2.0, Avgloss 2.31, Avgreward 4.21, Epsilon 85.75, TotalStep 7205
Epoch 29: Loss 2.06, Reward 3.0, Avgloss 2.30, Avgreward 4.17, Epsilon 85.66, TotalStep 7407
Epoch 30: Loss 1.99, Reward 4.0, Avgloss 2.29, Avgreward 4.16, Epsilon 85.57, TotalStep 7623
Epoch 31: Loss 3.01, Reward 9.0, Avgloss 2.32, Avgreward 4.31, Epsilon 85.42, TotalStep 7944
Epoch 32: Loss 2.75, Reward 8.0, Avgloss 2.33, Avgreward 4.42, Epsilon 85.29, TotalStep 8240
Epoch 33: Loss 2.58, Reward 4.0, Avgloss 2.34, Avgreward 4.41, Epsilon 85.17, TotalStep 8524
Epoch 34: Loss 2.49, Reward 5.0, Avgloss 2.34, Avgreward 4.43, Epsilon 85.05, TotalStep 8802
Epoch 35: Loss 2.39, Reward 5.0, Avgloss 2.34, Avgreward 4.44, Epsilon 84.93, TotalStep 9056
Epoch 36: Loss 2.16, Reward 1.0, Avgloss 2.34, Avgreward 4.35, Epsilon 84.84, TotalStep 9269
Epoch 37: Loss 2.09, Reward 3.0, Avgloss 2.33, Avgreward 4.32, Epsilon 84.75, TotalStep 9487
Epoch 38: Loss 2.73, Reward 6.0, Avgloss 2.34, Avgreward 4.36, Epsilon 84.61, TotalStep 9793
Epoch 39: Loss 2.03, Reward 4.0, Avgloss 2.33, Avgreward 4.35, Epsilon 84.51, TotalStep 10017
Epoch 40: Loss 3.34, Reward 8.0, Avgloss 2.36, Avgreward 4.44, Epsilon 84.36, TotalStep 10377
Epoch 41: Loss 2.32, Reward 6.0, Avgloss 2.36, Avgreward 4.48, Epsilon 84.25, TotalStep 10625
Epoch 42: Loss 2.35, Reward 6.0, Avgloss 2.36, Avgreward 4.51, Epsilon 84.14, TotalStep 10879
Epoch 43: Loss 2.15, Reward 5.0, Avgloss 2.35, Avgreward 4.52, Epsilon 84.04, TotalStep 11114
Epoch 44: Loss 2.19, Reward 3.0, Avgloss 2.35, Avgreward 4.49, Epsilon 83.95, TotalStep 11317
Epoch 45: Loss 2.89, Reward 7.0, Avgloss 2.36, Avgreward 4.54, Epsilon 83.81, TotalStep 11631
Epoch 46: Loss 2.72, Reward 8.0, Avgloss 2.37, Avgreward 4.62, Epsilon 83.68, TotalStep 11933
Epoch 47: Loss 1.54, Reward 3.0, Avgloss 2.35, Avgreward 4.58, Epsilon 83.61, TotalStep 12110
Epoch 48: Loss 2.06, Reward 5.0, Avgloss 2.34, Avgreward 4.59, Epsilon 83.51, TotalStep 12334
Epoch 49: Loss 2.94, Reward 8.0, Avgloss 2.36, Avgreward 4.66, Epsilon 83.38, TotalStep 12627
Epoch 50: Loss 2.14, Reward 2.0, Avgloss 2.35, Avgreward 4.61, Epsilon 83.29, TotalStep 12838
Epoch 51: Loss 2.40, Reward 2.0, Avgloss 2.35, Avgreward 4.56, Epsilon 83.19, TotalStep 13073
Epoch 52: Loss 2.95, Reward 6.0, Avgloss 2.36, Avgreward 4.58, Epsilon 83.06, TotalStep 13367
Epoch 53: Loss 2.04, Reward 2.0, Avgloss 2.36, Avgreward 4.54, Epsilon 82.97, TotalStep 13577
Epoch 54: Loss 2.00, Reward 2.0, Avgloss 2.35, Avgreward 4.49, Epsilon 82.89, TotalStep 13782
Epoch 55: Loss 2.56, Reward 5.0, Avgloss 2.36, Avgreward 4.50, Epsilon 82.78, TotalStep 14041
Epoch 56: Loss 2.08, Reward 2.0, Avgloss 2.35, Avgreward 4.46, Epsilon 82.69, TotalStep 14246
Epoch 57: Loss 1.73, Reward 2.0, Avgloss 2.34, Avgreward 4.41, Epsilon 82.61, TotalStep 14423
Epoch 58: Loss 3.34, Reward 7.0, Avgloss 2.36, Avgreward 4.46, Epsilon 82.46, TotalStep 14786
Epoch 59: Loss 2.57, Reward 3.0, Avgloss 2.36, Avgreward 4.43, Epsilon 82.35, TotalStep 15040
Epoch 60: Loss 2.10, Reward 1.0, Avgloss 2.36, Avgreward 4.38, Epsilon 82.26, TotalStep 15251
Epoch 61: Loss 2.72, Reward 8.0, Avgloss 2.36, Avgreward 4.44, Epsilon 82.14, TotalStep 15526
Epoch 62: Loss 2.14, Reward 3.0, Avgloss 2.36, Avgreward 4.41, Epsilon 82.05, TotalStep 15735
Epoch 63: Loss 2.36, Reward 4.0, Avgloss 2.36, Avgreward 4.41, Epsilon 81.96, TotalStep 15950
Epoch 64: Loss 2.03, Reward 4.0, Avgloss 2.35, Avgreward 4.40, Epsilon 81.87, TotalStep 16164
