
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 1.69, Reward 1.0, Avgloss 1.69, Avgreward 1.00, Epsilon 0.08, TotalStep 1509038
Epoch 1: Loss 2.22, Reward 1.0, Avgloss 1.95, Avgreward 1.00, Epsilon 0.08, TotalStep 1509278
Epoch 2: Loss 1.85, Reward 2.0, Avgloss 1.92, Avgreward 1.33, Epsilon 0.08, TotalStep 1509481
Epoch 3: Loss 2.34, Reward 4.0, Avgloss 2.02, Avgreward 2.00, Epsilon 0.08, TotalStep 1509739
Epoch 4: Loss 2.38, Reward 3.0, Avgloss 2.10, Avgreward 2.20, Epsilon 0.08, TotalStep 1510014
Epoch 5: Loss 3.18, Reward 5.0, Avgloss 2.28, Avgreward 2.67, Epsilon 0.08, TotalStep 1510341
Epoch 6: Loss 1.73, Reward 1.0, Avgloss 2.20, Avgreward 2.43, Epsilon 0.08, TotalStep 1510541
Epoch 7: Loss 2.72, Reward 4.0, Avgloss 2.26, Avgreward 2.62, Epsilon 0.08, TotalStep 1510824
Epoch 8: Loss 2.66, Reward 3.0, Avgloss 2.31, Avgreward 2.67, Epsilon 0.08, TotalStep 1511092
Epoch 9: Loss 1.92, Reward 3.0, Avgloss 2.27, Avgreward 2.70, Epsilon 0.08, TotalStep 1511298
Epoch 10: Loss 4.10, Reward 14.0, Avgloss 2.44, Avgreward 3.73, Epsilon 0.08, TotalStep 1511762
Epoch 11: Loss 2.52, Reward 4.0, Avgloss 2.44, Avgreward 3.75, Epsilon 0.08, TotalStep 1512032
Epoch 12: Loss 1.82, Reward 3.0, Avgloss 2.40, Avgreward 3.69, Epsilon 0.08, TotalStep 1512233
Epoch 13: Loss 2.28, Reward 4.0, Avgloss 2.39, Avgreward 3.71, Epsilon 0.08, TotalStep 1512484
Epoch 14: Loss 1.52, Reward 2.0, Avgloss 2.33, Avgreward 3.60, Epsilon 0.08, TotalStep 1512658
Epoch 15: Loss 2.55, Reward 2.0, Avgloss 2.34, Avgreward 3.50, Epsilon 0.08, TotalStep 1512922
Epoch 16: Loss 1.77, Reward 1.0, Avgloss 2.31, Avgreward 3.35, Epsilon 0.08, TotalStep 1513139
Epoch 17: Loss 2.08, Reward 6.0, Avgloss 2.30, Avgreward 3.50, Epsilon 0.08, TotalStep 1513378
Epoch 18: Loss 1.88, Reward 3.0, Avgloss 2.27, Avgreward 3.47, Epsilon 0.08, TotalStep 1513573
Epoch 19: Loss 2.65, Reward 3.0, Avgloss 2.29, Avgreward 3.45, Epsilon 0.08, TotalStep 1513843
Epoch 20: Loss 3.50, Reward 11.0, Avgloss 2.35, Avgreward 3.81, Epsilon 0.08, TotalStep 1514209
Epoch 21: Loss 2.44, Reward 3.0, Avgloss 2.36, Avgreward 3.77, Epsilon 0.08, TotalStep 1514456
Epoch 22: Loss 3.00, Reward 5.0, Avgloss 2.38, Avgreward 3.83, Epsilon 0.08, TotalStep 1514811
Epoch 23: Loss 2.38, Reward 4.0, Avgloss 2.38, Avgreward 3.83, Epsilon 0.08, TotalStep 1515043
Epoch 24: Loss 5.15, Reward 8.0, Avgloss 2.49, Avgreward 4.00, Epsilon 0.08, TotalStep 1515601
Epoch 25: Loss 3.22, Reward 5.0, Avgloss 2.52, Avgreward 4.04, Epsilon 0.08, TotalStep 1515904
