
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 2.06, Reward 2.0, Avgloss 2.06, Avgreward 2.00, Epsilon 0.02, TotalStep 1535841
Epoch 1: Loss 1.90, Reward 2.0, Avgloss 1.98, Avgreward 2.00, Epsilon 0.02, TotalStep 1536044
Epoch 2: Loss 5.22, Reward 9.0, Avgloss 3.06, Avgreward 4.33, Epsilon 0.02, TotalStep 1536613
Epoch 3: Loss 1.73, Reward 3.0, Avgloss 2.73, Avgreward 4.00, Epsilon 0.02, TotalStep 1536815
Epoch 4: Loss 2.65, Reward 7.0, Avgloss 2.71, Avgreward 4.60, Epsilon 0.02, TotalStep 1537115
Epoch 5: Loss 3.36, Reward 7.0, Avgloss 2.82, Avgreward 5.00, Epsilon 0.02, TotalStep 1537449
Epoch 6: Loss 1.87, Reward 1.0, Avgloss 2.69, Avgreward 4.43, Epsilon 0.02, TotalStep 1537657
Epoch 7: Loss 1.80, Reward 1.0, Avgloss 2.58, Avgreward 4.00, Epsilon 0.02, TotalStep 1537870
Epoch 8: Loss 1.97, Reward 9.0, Avgloss 2.51, Avgreward 4.56, Epsilon 0.02, TotalStep 1538112
Epoch 9: Loss 4.73, Reward 9.0, Avgloss 2.73, Avgreward 5.00, Epsilon 0.02, TotalStep 1538637
Epoch 10: Loss 1.83, Reward 3.0, Avgloss 2.65, Avgreward 4.82, Epsilon 0.02, TotalStep 1538843
Epoch 11: Loss 2.40, Reward 1.0, Avgloss 2.63, Avgreward 4.50, Epsilon 0.02, TotalStep 1539108
Epoch 12: Loss 3.82, Reward 11.0, Avgloss 2.72, Avgreward 5.00, Epsilon 0.02, TotalStep 1539544
Epoch 13: Loss 2.02, Reward 2.0, Avgloss 2.67, Avgreward 4.79, Epsilon 0.02, TotalStep 1539779
Epoch 14: Loss 3.58, Reward 7.0, Avgloss 2.73, Avgreward 4.93, Epsilon 0.02, TotalStep 1540155
Epoch 15: Loss 2.67, Reward 5.0, Avgloss 2.73, Avgreward 4.94, Epsilon 0.02, TotalStep 1540433
Epoch 16: Loss 1.78, Reward 4.0, Avgloss 2.67, Avgreward 4.88, Epsilon 0.02, TotalStep 1540607
Epoch 17: Loss 4.68, Reward 16.0, Avgloss 2.78, Avgreward 5.50, Epsilon 0.02, TotalStep 1541138
Epoch 18: Loss 2.83, Reward 2.0, Avgloss 2.78, Avgreward 5.32, Epsilon 0.02, TotalStep 1541429
Epoch 19: Loss 1.92, Reward 2.0, Avgloss 2.74, Avgreward 5.15, Epsilon 0.02, TotalStep 1541629
Epoch 20: Loss 2.29, Reward 2.0, Avgloss 2.72, Avgreward 5.00, Epsilon 0.02, TotalStep 1541860
Epoch 21: Loss 3.00, Reward 7.0, Avgloss 2.73, Avgreward 5.09, Epsilon 0.02, TotalStep 1542216
Epoch 22: Loss 2.83, Reward 9.0, Avgloss 2.74, Avgreward 5.26, Epsilon 0.02, TotalStep 1542551
Epoch 23: Loss 2.90, Reward 6.0, Avgloss 2.74, Avgreward 5.29, Epsilon 0.02, TotalStep 1542907
Epoch 24: Loss 3.67, Reward 4.0, Avgloss 2.78, Avgreward 5.24, Epsilon 0.02, TotalStep 1543290
Epoch 25: Loss 2.64, Reward 9.0, Avgloss 2.78, Avgreward 5.38, Epsilon 0.02, TotalStep 1543590
Epoch 26: Loss 1.87, Reward 2.0, Avgloss 2.74, Avgreward 5.26, Epsilon 0.02, TotalStep 1543789
Epoch 27: Loss 1.90, Reward 2.0, Avgloss 2.71, Avgreward 5.14, Epsilon 0.02, TotalStep 1544007
Epoch 28: Loss 2.51, Reward 5.0, Avgloss 2.71, Avgreward 5.14, Epsilon 0.02, TotalStep 1544282
Epoch 29: Loss 1.98, Reward 3.0, Avgloss 2.68, Avgreward 5.07, Epsilon 0.02, TotalStep 1544490
Epoch 30: Loss 2.58, Reward 3.0, Avgloss 2.68, Avgreward 5.00, Epsilon 0.02, TotalStep 1544757
Epoch 31: Loss 3.42, Reward 6.0, Avgloss 2.70, Avgreward 5.03, Epsilon 0.02, TotalStep 1545157
Epoch 32: Loss 2.78, Reward 7.0, Avgloss 2.70, Avgreward 5.09, Epsilon 0.02, TotalStep 1545476
Epoch 33: Loss 3.23, Reward 6.0, Avgloss 2.72, Avgreward 5.12, Epsilon 0.02, TotalStep 1545813
Epoch 34: Loss 1.99, Reward 5.0, Avgloss 2.70, Avgreward 5.11, Epsilon 0.02, TotalStep 1546031
Epoch 35: Loss 2.92, Reward 6.0, Avgloss 2.70, Avgreward 5.14, Epsilon 0.02, TotalStep 1546354
Epoch 36: Loss 2.10, Reward 2.0, Avgloss 2.69, Avgreward 5.05, Epsilon 0.02, TotalStep 1546580
Epoch 37: Loss 2.06, Reward 2.0, Avgloss 2.67, Avgreward 4.97, Epsilon 0.02, TotalStep 1546786
Epoch 38: Loss 3.40, Reward 7.0, Avgloss 2.69, Avgreward 5.03, Epsilon 0.02, TotalStep 1547119
Epoch 39: Loss 2.15, Reward 2.0, Avgloss 2.68, Avgreward 4.95, Epsilon 0.02, TotalStep 1547348
Epoch 40: Loss 3.88, Reward 7.0, Avgloss 2.71, Avgreward 5.00, Epsilon 0.02, TotalStep 1547760
Epoch 41: Loss 2.29, Reward 4.0, Avgloss 2.70, Avgreward 4.98, Epsilon 0.02, TotalStep 1548015
Epoch 42: Loss 3.00, Reward 4.0, Avgloss 2.70, Avgreward 4.95, Epsilon 0.02, TotalStep 1548328
Epoch 43: Loss 2.87, Reward 5.0, Avgloss 2.71, Avgreward 4.95, Epsilon 0.02, TotalStep 1548678
Epoch 44: Loss 1.87, Reward 3.0, Avgloss 2.69, Avgreward 4.91, Epsilon 0.02, TotalStep 1548877
Epoch 45: Loss 1.44, Reward 2.0, Avgloss 2.66, Avgreward 4.85, Epsilon 0.02, TotalStep 1549039
Epoch 46: Loss 2.26, Reward 4.0, Avgloss 2.65, Avgreward 4.83, Epsilon 0.02, TotalStep 1549280
Epoch 47: Loss 1.60, Reward 2.0, Avgloss 2.63, Avgreward 4.77, Epsilon 0.02, TotalStep 1549485
Epoch 48: Loss 3.81, Reward 7.0, Avgloss 2.65, Avgreward 4.82, Epsilon 0.02, TotalStep 1549870
Epoch 49: Loss 4.01, Reward 3.0, Avgloss 2.68, Avgreward 4.78, Epsilon 0.02, TotalStep 1550304
Epoch 50: Loss 3.74, Reward 7.0, Avgloss 2.70, Avgreward 4.82, Epsilon 0.02, TotalStep 1550673
Epoch 51: Loss 2.31, Reward 1.0, Avgloss 2.69, Avgreward 4.75, Epsilon 0.02, TotalStep 1550896
Epoch 52: Loss 4.22, Reward 13.0, Avgloss 2.72, Avgreward 4.91, Epsilon 0.02, TotalStep 1551360
Epoch 53: Loss 2.66, Reward 5.0, Avgloss 2.72, Avgreward 4.91, Epsilon 0.02, TotalStep 1551654
Epoch 54: Loss 2.26, Reward 2.0, Avgloss 2.71, Avgreward 4.85, Epsilon 0.02, TotalStep 1551880
Epoch 55: Loss 3.21, Reward 3.0, Avgloss 2.72, Avgreward 4.82, Epsilon 0.02, TotalStep 1552235
Epoch 56: Loss 1.99, Reward 1.0, Avgloss 2.71, Avgreward 4.75, Epsilon 0.02, TotalStep 1552448
Epoch 57: Loss 1.96, Reward 4.0, Avgloss 2.70, Avgreward 4.74, Epsilon 0.02, TotalStep 1552666
Epoch 58: Loss 2.69, Reward 3.0, Avgloss 2.70, Avgreward 4.71, Epsilon 0.02, TotalStep 1552931
Epoch 59: Loss 3.47, Reward 7.0, Avgloss 2.71, Avgreward 4.75, Epsilon 0.02, TotalStep 1553265
Epoch 60: Loss 2.75, Reward 3.0, Avgloss 2.71, Avgreward 4.72, Epsilon 0.02, TotalStep 1553552
Epoch 61: Loss 2.27, Reward 4.0, Avgloss 2.70, Avgreward 4.71, Epsilon 0.02, TotalStep 1553825
Epoch 62: Loss 1.87, Reward 0.0, Avgloss 2.69, Avgreward 4.63, Epsilon 0.02, TotalStep 1554026
Epoch 63: Loss 1.88, Reward 1.0, Avgloss 2.68, Avgreward 4.58, Epsilon 0.02, TotalStep 1554227
Epoch 64: Loss 1.62, Reward 2.0, Avgloss 2.66, Avgreward 4.54, Epsilon 0.02, TotalStep 1554423
Epoch 65: Loss 2.48, Reward 2.0, Avgloss 2.66, Avgreward 4.50, Epsilon 0.02, TotalStep 1554709
Epoch 66: Loss 1.67, Reward 0.0, Avgloss 2.64, Avgreward 4.43, Epsilon 0.02, TotalStep 1554910
Epoch 67: Loss 2.32, Reward 2.0, Avgloss 2.64, Avgreward 4.40, Epsilon 0.02, TotalStep 1555131
Epoch 68: Loss 1.93, Reward 1.0, Avgloss 2.63, Avgreward 4.35, Epsilon 0.02, TotalStep 1555345
Epoch 69: Loss 2.23, Reward 2.0, Avgloss 2.62, Avgreward 4.31, Epsilon 0.02, TotalStep 1555582
Epoch 70: Loss 3.38, Reward 3.0, Avgloss 2.63, Avgreward 4.30, Epsilon 0.02, TotalStep 1555940
Epoch 71: Loss 1.93, Reward 3.0, Avgloss 2.62, Avgreward 4.28, Epsilon 0.02, TotalStep 1556140
Epoch 72: Loss 2.00, Reward 2.0, Avgloss 2.62, Avgreward 4.25, Epsilon 0.02, TotalStep 1556364
Epoch 73: Loss 2.73, Reward 3.0, Avgloss 2.62, Avgreward 4.23, Epsilon 0.02, TotalStep 1556648
Epoch 74: Loss 1.70, Reward 3.0, Avgloss 2.60, Avgreward 4.21, Epsilon 0.02, TotalStep 1556838
Epoch 75: Loss 1.91, Reward 1.0, Avgloss 2.60, Avgreward 4.17, Epsilon 0.02, TotalStep 1557059
Epoch 76: Loss 2.29, Reward 2.0, Avgloss 2.59, Avgreward 4.14, Epsilon 0.02, TotalStep 1557297
Epoch 77: Loss 2.23, Reward 3.0, Avgloss 2.59, Avgreward 4.13, Epsilon 0.02, TotalStep 1557536
Epoch 78: Loss 4.04, Reward 6.0, Avgloss 2.61, Avgreward 4.15, Epsilon 0.02, TotalStep 1557964
