
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 2.82, Reward 5.0, Avgloss 2.82, Avgreward 5.00, Epsilon 0.01, TotalStep 1587428
Epoch 1: Loss 2.91, Reward 4.0, Avgloss 2.87, Avgreward 4.50, Epsilon 0.01, TotalStep 1587757
Epoch 2: Loss 1.89, Reward 2.0, Avgloss 2.54, Avgreward 3.67, Epsilon 0.01, TotalStep 1587974
Epoch 3: Loss 3.49, Reward 5.0, Avgloss 2.78, Avgreward 4.00, Epsilon 0.01, TotalStep 1588355
Epoch 4: Loss 2.57, Reward 6.0, Avgloss 2.74, Avgreward 4.40, Epsilon 0.01, TotalStep 1588637
Epoch 5: Loss 2.18, Reward 2.0, Avgloss 2.64, Avgreward 4.00, Epsilon 0.01, TotalStep 1588888
Epoch 6: Loss 1.72, Reward 2.0, Avgloss 2.51, Avgreward 3.71, Epsilon 0.01, TotalStep 1589086
Epoch 7: Loss 1.97, Reward 3.0, Avgloss 2.44, Avgreward 3.62, Epsilon 0.01, TotalStep 1589353
Epoch 8: Loss 1.81, Reward 1.0, Avgloss 2.37, Avgreward 3.33, Epsilon 0.01, TotalStep 1589557
Epoch 9: Loss 1.93, Reward 1.0, Avgloss 2.33, Avgreward 3.10, Epsilon 0.01, TotalStep 1589779
Epoch 10: Loss 1.28, Reward 2.0, Avgloss 2.23, Avgreward 3.00, Epsilon 0.01, TotalStep 1589944
Epoch 11: Loss 1.67, Reward 1.0, Avgloss 2.19, Avgreward 2.83, Epsilon 0.01, TotalStep 1590144
Epoch 12: Loss 4.24, Reward 8.0, Avgloss 2.35, Avgreward 3.23, Epsilon 0.01, TotalStep 1590634
Epoch 13: Loss 2.10, Reward 3.0, Avgloss 2.33, Avgreward 3.21, Epsilon 0.01, TotalStep 1590850
Epoch 14: Loss 1.79, Reward 1.0, Avgloss 2.29, Avgreward 3.07, Epsilon 0.01, TotalStep 1591065
Epoch 15: Loss 1.92, Reward 1.0, Avgloss 2.27, Avgreward 2.94, Epsilon 0.01, TotalStep 1591292
Epoch 16: Loss 1.87, Reward 2.0, Avgloss 2.25, Avgreward 2.88, Epsilon 0.01, TotalStep 1591543
Epoch 17: Loss 1.90, Reward 1.0, Avgloss 2.23, Avgreward 2.78, Epsilon 0.01, TotalStep 1591772
Epoch 18: Loss 1.90, Reward 3.0, Avgloss 2.21, Avgreward 2.79, Epsilon 0.01, TotalStep 1591999
Epoch 19: Loss 2.33, Reward 3.0, Avgloss 2.22, Avgreward 2.80, Epsilon 0.01, TotalStep 1592323
Epoch 20: Loss 2.82, Reward 5.0, Avgloss 2.24, Avgreward 2.90, Epsilon 0.01, TotalStep 1592662
Epoch 21: Loss 1.95, Reward 5.0, Avgloss 2.23, Avgreward 3.00, Epsilon 0.01, TotalStep 1592927
Epoch 22: Loss 2.60, Reward 4.0, Avgloss 2.25, Avgreward 3.04, Epsilon 0.01, TotalStep 1593266
Epoch 23: Loss 1.47, Reward 2.0, Avgloss 2.21, Avgreward 3.00, Epsilon 0.01, TotalStep 1593466
Epoch 24: Loss 1.49, Reward 0.0, Avgloss 2.19, Avgreward 2.88, Epsilon 0.01, TotalStep 1593689
