
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 2.54, Reward 1.0, Avgloss 2.54, Avgreward 1.00, Epsilon 0.01, TotalStep 1582537
Epoch 1: Loss 2.23, Reward 3.0, Avgloss 2.39, Avgreward 2.00, Epsilon 0.01, TotalStep 1582764
Epoch 2: Loss 2.62, Reward 2.0, Avgloss 2.46, Avgreward 2.00, Epsilon 0.01, TotalStep 1583037
Epoch 3: Loss 3.22, Reward 7.0, Avgloss 2.65, Avgreward 3.25, Epsilon 0.01, TotalStep 1583384
Epoch 4: Loss 2.38, Reward 3.0, Avgloss 2.60, Avgreward 3.20, Epsilon 0.01, TotalStep 1583647
Epoch 5: Loss 2.31, Reward 5.0, Avgloss 2.55, Avgreward 3.50, Epsilon 0.01, TotalStep 1583911
Epoch 6: Loss 3.02, Reward 6.0, Avgloss 2.62, Avgreward 3.86, Epsilon 0.01, TotalStep 1584227
Epoch 7: Loss 2.09, Reward 4.0, Avgloss 2.55, Avgreward 3.88, Epsilon 0.01, TotalStep 1584424
Epoch 8: Loss 1.94, Reward 2.0, Avgloss 2.48, Avgreward 3.67, Epsilon 0.01, TotalStep 1584620
Epoch 9: Loss 2.78, Reward 3.0, Avgloss 2.51, Avgreward 3.60, Epsilon 0.01, TotalStep 1584897
Epoch 10: Loss 2.71, Reward 3.0, Avgloss 2.53, Avgreward 3.55, Epsilon 0.01, TotalStep 1585147
Epoch 11: Loss 1.66, Reward 2.0, Avgloss 2.46, Avgreward 3.42, Epsilon 0.01, TotalStep 1585329
Epoch 12: Loss 2.12, Reward 1.0, Avgloss 2.43, Avgreward 3.23, Epsilon 0.01, TotalStep 1585525
Epoch 13: Loss 2.95, Reward 4.0, Avgloss 2.47, Avgreward 3.29, Epsilon 0.01, TotalStep 1585826
Epoch 14: Loss 1.92, Reward 3.0, Avgloss 2.43, Avgreward 3.27, Epsilon 0.01, TotalStep 1586042
Epoch 15: Loss 2.65, Reward 3.0, Avgloss 2.45, Avgreward 3.25, Epsilon 0.01, TotalStep 1586316
Epoch 16: Loss 2.23, Reward 2.0, Avgloss 2.43, Avgreward 3.18, Epsilon 0.01, TotalStep 1586538
Epoch 17: Loss 3.26, Reward 8.0, Avgloss 2.48, Avgreward 3.44, Epsilon 0.01, TotalStep 1586882
Epoch 18: Loss 2.21, Reward 2.0, Avgloss 2.47, Avgreward 3.37, Epsilon 0.01, TotalStep 1587098
