
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 1.90, Reward 2.0, Avgloss 1.90, Avgreward 2.00, Epsilon 0.00, TotalStep 3063321
Epoch 1: Loss 2.58, Reward 3.0, Avgloss 2.24, Avgreward 2.50, Epsilon 0.00, TotalStep 3063598
Epoch 2: Loss 2.15, Reward 4.0, Avgloss 2.21, Avgreward 3.00, Epsilon 0.00, TotalStep 3063842
Epoch 3: Loss 4.64, Reward 3.0, Avgloss 2.82, Avgreward 3.00, Epsilon 0.00, TotalStep 3064322
Epoch 4: Loss 3.34, Reward 5.0, Avgloss 2.92, Avgreward 3.40, Epsilon 0.00, TotalStep 3064678
Epoch 5: Loss 2.11, Reward 1.0, Avgloss 2.79, Avgreward 3.00, Epsilon 0.00, TotalStep 3064894
Epoch 6: Loss 1.90, Reward 1.0, Avgloss 2.66, Avgreward 2.71, Epsilon 0.00, TotalStep 3065089
Epoch 7: Loss 3.00, Reward 4.0, Avgloss 2.70, Avgreward 2.88, Epsilon 0.00, TotalStep 3065465
Epoch 8: Loss 2.04, Reward 2.0, Avgloss 2.63, Avgreward 2.78, Epsilon 0.00, TotalStep 3065690
Epoch 9: Loss 2.38, Reward 2.0, Avgloss 2.61, Avgreward 2.70, Epsilon 0.00, TotalStep 3065957
Epoch 10: Loss 3.17, Reward 2.0, Avgloss 2.66, Avgreward 2.64, Epsilon 0.00, TotalStep 3066296
Epoch 11: Loss 3.18, Reward 2.0, Avgloss 2.70, Avgreward 2.58, Epsilon 0.00, TotalStep 3066650
Epoch 12: Loss 3.68, Reward 3.0, Avgloss 2.78, Avgreward 2.62, Epsilon 0.00, TotalStep 3067048
Epoch 13: Loss 2.46, Reward 3.0, Avgloss 2.75, Avgreward 2.64, Epsilon 0.00, TotalStep 3067315
Epoch 14: Loss 3.78, Reward 4.0, Avgloss 2.82, Avgreward 2.73, Epsilon 0.00, TotalStep 3067738
Epoch 15: Loss 2.71, Reward 4.0, Avgloss 2.81, Avgreward 2.81, Epsilon 0.00, TotalStep 3068045
Epoch 16: Loss 2.64, Reward 3.0, Avgloss 2.80, Avgreward 2.82, Epsilon 0.00, TotalStep 3068333
Epoch 17: Loss 3.13, Reward 3.0, Avgloss 2.82, Avgreward 2.83, Epsilon 0.00, TotalStep 3068686
Epoch 18: Loss 2.33, Reward 3.0, Avgloss 2.80, Avgreward 2.84, Epsilon 0.00, TotalStep 3068943
Epoch 19: Loss 4.60, Reward 10.0, Avgloss 2.89, Avgreward 3.20, Epsilon 0.00, TotalStep 3069470
