
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 1.99, Reward 2.0, Avgloss 1.99, Avgreward 2.00, Epsilon 0.01, TotalStep 3104255
Epoch 1: Loss 2.79, Reward 4.0, Avgloss 2.39, Avgreward 3.00, Epsilon 0.01, TotalStep 3104547
Epoch 2: Loss 3.95, Reward 10.0, Avgloss 2.91, Avgreward 5.33, Epsilon 0.01, TotalStep 3104968
Epoch 3: Loss 2.24, Reward 3.0, Avgloss 2.74, Avgreward 4.75, Epsilon 0.01, TotalStep 3105220
Epoch 4: Loss 2.47, Reward 5.0, Avgloss 2.69, Avgreward 4.80, Epsilon 0.01, TotalStep 3105456
Epoch 5: Loss 3.26, Reward 6.0, Avgloss 2.78, Avgreward 5.00, Epsilon 0.01, TotalStep 3105787
Epoch 6: Loss 2.15, Reward 0.0, Avgloss 2.69, Avgreward 4.29, Epsilon 0.01, TotalStep 3106019
Epoch 7: Loss 2.28, Reward 4.0, Avgloss 2.64, Avgreward 4.25, Epsilon 0.01, TotalStep 3106257
Epoch 8: Loss 2.01, Reward 3.0, Avgloss 2.57, Avgreward 4.11, Epsilon 0.01, TotalStep 3106462
Epoch 9: Loss 1.84, Reward 5.0, Avgloss 2.50, Avgreward 4.20, Epsilon 0.01, TotalStep 3106655
Epoch 10: Loss 2.76, Reward 3.0, Avgloss 2.52, Avgreward 4.09, Epsilon 0.01, TotalStep 3106924
Epoch 11: Loss 4.59, Reward 13.0, Avgloss 2.70, Avgreward 4.83, Epsilon 0.01, TotalStep 3107406
Epoch 12: Loss 1.56, Reward 1.0, Avgloss 2.61, Avgreward 4.54, Epsilon 0.01, TotalStep 3107608
Epoch 13: Loss 1.97, Reward 1.0, Avgloss 2.56, Avgreward 4.29, Epsilon 0.01, TotalStep 3107811
Epoch 14: Loss 1.90, Reward 0.0, Avgloss 2.52, Avgreward 4.00, Epsilon 0.01, TotalStep 3108021
Epoch 15: Loss 2.48, Reward 5.0, Avgloss 2.52, Avgreward 4.06, Epsilon 0.01, TotalStep 3108274
Epoch 16: Loss 2.15, Reward 4.0, Avgloss 2.49, Avgreward 4.06, Epsilon 0.01, TotalStep 3108489
Epoch 17: Loss 2.81, Reward 2.0, Avgloss 2.51, Avgreward 3.94, Epsilon 0.01, TotalStep 3108745
Epoch 18: Loss 1.90, Reward 3.0, Avgloss 2.48, Avgreward 3.89, Epsilon 0.01, TotalStep 3108915
Epoch 19: Loss 1.85, Reward 3.0, Avgloss 2.45, Avgreward 3.85, Epsilon 0.01, TotalStep 3109119
Epoch 20: Loss 2.06, Reward 1.0, Avgloss 2.43, Avgreward 3.71, Epsilon 0.01, TotalStep 3109324
Epoch 21: Loss 3.32, Reward 8.0, Avgloss 2.47, Avgreward 3.91, Epsilon 0.01, TotalStep 3109673
Epoch 22: Loss 3.14, Reward 7.0, Avgloss 2.50, Avgreward 4.04, Epsilon 0.01, TotalStep 3109977
Epoch 23: Loss 3.80, Reward 11.0, Avgloss 2.55, Avgreward 4.33, Epsilon 0.01, TotalStep 3110377
Epoch 24: Loss 3.83, Reward 7.0, Avgloss 2.60, Avgreward 4.44, Epsilon 0.01, TotalStep 3110761
Epoch 25: Loss 3.34, Reward 6.0, Avgloss 2.63, Avgreward 4.50, Epsilon 0.01, TotalStep 3111116
Epoch 26: Loss 2.04, Reward 2.0, Avgloss 2.61, Avgreward 4.41, Epsilon 0.01, TotalStep 3111320
Epoch 27: Loss 3.77, Reward 9.0, Avgloss 2.65, Avgreward 4.57, Epsilon 0.01, TotalStep 3111672
Epoch 28: Loss 2.19, Reward 2.0, Avgloss 2.64, Avgreward 4.48, Epsilon 0.01, TotalStep 3111901
Epoch 29: Loss 1.74, Reward 0.0, Avgloss 2.61, Avgreward 4.33, Epsilon 0.01, TotalStep 3112099
Epoch 30: Loss 2.43, Reward 4.0, Avgloss 2.60, Avgreward 4.32, Epsilon 0.01, TotalStep 3112328
Epoch 31: Loss 2.29, Reward 4.0, Avgloss 2.59, Avgreward 4.31, Epsilon 0.01, TotalStep 3112590
Epoch 32: Loss 2.97, Reward 5.0, Avgloss 2.60, Avgreward 4.33, Epsilon 0.01, TotalStep 3112900
Epoch 33: Loss 2.53, Reward 6.0, Avgloss 2.60, Avgreward 4.38, Epsilon 0.01, TotalStep 3113156
Epoch 34: Loss 3.93, Reward 6.0, Avgloss 2.64, Avgreward 4.43, Epsilon 0.01, TotalStep 3113570
Epoch 35: Loss 1.61, Reward 2.0, Avgloss 2.61, Avgreward 4.36, Epsilon 0.01, TotalStep 3113756
Epoch 36: Loss 3.05, Reward 7.0, Avgloss 2.62, Avgreward 4.43, Epsilon 0.01, TotalStep 3114087
Epoch 37: Loss 1.98, Reward 4.0, Avgloss 2.61, Avgreward 4.42, Epsilon 0.01, TotalStep 3114289
Epoch 38: Loss 2.13, Reward 2.0, Avgloss 2.59, Avgreward 4.36, Epsilon 0.01, TotalStep 3114507
Epoch 39: Loss 2.09, Reward 4.0, Avgloss 2.58, Avgreward 4.35, Epsilon 0.01, TotalStep 3114714
Epoch 40: Loss 2.06, Reward 3.0, Avgloss 2.57, Avgreward 4.32, Epsilon 0.01, TotalStep 3114912
Epoch 41: Loss 1.99, Reward 1.0, Avgloss 2.55, Avgreward 4.24, Epsilon 0.01, TotalStep 3115109
Epoch 42: Loss 1.62, Reward 2.0, Avgloss 2.53, Avgreward 4.19, Epsilon 0.01, TotalStep 3115287
Epoch 43: Loss 2.58, Reward 6.0, Avgloss 2.53, Avgreward 4.23, Epsilon 0.01, TotalStep 3115529
Epoch 44: Loss 3.11, Reward 5.0, Avgloss 2.55, Avgreward 4.24, Epsilon 0.01, TotalStep 3115858
Epoch 45: Loss 3.51, Reward 4.0, Avgloss 2.57, Avgreward 4.24, Epsilon 0.01, TotalStep 3116220
