
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 2.37, Reward 1.0, Avgloss 2.37, Avgreward 1.00, Epsilon 0.01, TotalStep 3225852
Epoch 1: Loss 3.08, Reward 2.0, Avgloss 2.73, Avgreward 1.50, Epsilon 0.01, TotalStep 3226202
Epoch 2: Loss 3.28, Reward 2.0, Avgloss 2.91, Avgreward 1.67, Epsilon 0.01, TotalStep 3226565
Epoch 3: Loss 4.07, Reward 11.0, Avgloss 3.20, Avgreward 4.00, Epsilon 0.01, TotalStep 3226996
Epoch 4: Loss 2.26, Reward 6.0, Avgloss 3.01, Avgreward 4.40, Epsilon 0.01, TotalStep 3227259
Epoch 5: Loss 3.48, Reward 4.0, Avgloss 3.09, Avgreward 4.33, Epsilon 0.01, TotalStep 3227635
Epoch 6: Loss 3.40, Reward 6.0, Avgloss 3.14, Avgreward 4.57, Epsilon 0.01, TotalStep 3227994
Epoch 7: Loss 2.00, Reward 2.0, Avgloss 2.99, Avgreward 4.25, Epsilon 0.01, TotalStep 3228194
Epoch 8: Loss 3.59, Reward 6.0, Avgloss 3.06, Avgreward 4.44, Epsilon 0.01, TotalStep 3228585
Epoch 9: Loss 4.90, Reward 7.0, Avgloss 3.24, Avgreward 4.70, Epsilon 0.01, TotalStep 3229116
Epoch 10: Loss 2.98, Reward 3.0, Avgloss 3.22, Avgreward 4.55, Epsilon 0.01, TotalStep 3229456
Epoch 11: Loss 3.48, Reward 4.0, Avgloss 3.24, Avgreward 4.50, Epsilon 0.01, TotalStep 3229796
Epoch 12: Loss 4.77, Reward 7.0, Avgloss 3.36, Avgreward 4.69, Epsilon 0.01, TotalStep 3230326
Epoch 13: Loss 5.13, Reward 5.0, Avgloss 3.49, Avgreward 4.71, Epsilon 0.01, TotalStep 3230857
Epoch 14: Loss 3.22, Reward 2.0, Avgloss 3.47, Avgreward 4.53, Epsilon 0.01, TotalStep 3231219
Epoch 15: Loss 3.74, Reward 5.0, Avgloss 3.49, Avgreward 4.56, Epsilon 0.01, TotalStep 3231659
Epoch 16: Loss 1.89, Reward 2.0, Avgloss 3.39, Avgreward 4.41, Epsilon 0.01, TotalStep 3231868
Epoch 17: Loss 2.70, Reward 4.0, Avgloss 3.35, Avgreward 4.39, Epsilon 0.01, TotalStep 3232186
Epoch 18: Loss 2.65, Reward 3.0, Avgloss 3.32, Avgreward 4.32, Epsilon 0.01, TotalStep 3232481
Epoch 19: Loss 2.83, Reward 2.0, Avgloss 3.29, Avgreward 4.20, Epsilon 0.01, TotalStep 3232786
Epoch 20: Loss 5.48, Reward 10.0, Avgloss 3.40, Avgreward 4.48, Epsilon 0.01, TotalStep 3233463
Epoch 21: Loss 4.76, Reward 8.0, Avgloss 3.46, Avgreward 4.64, Epsilon 0.01, TotalStep 3234052
Epoch 22: Loss 2.82, Reward 2.0, Avgloss 3.43, Avgreward 4.52, Epsilon 0.01, TotalStep 3234388
Epoch 23: Loss 3.61, Reward 4.0, Avgloss 3.44, Avgreward 4.50, Epsilon 0.01, TotalStep 3234821
Epoch 24: Loss 1.93, Reward 2.0, Avgloss 3.38, Avgreward 4.40, Epsilon 0.01, TotalStep 3235053
Epoch 25: Loss 1.74, Reward 1.0, Avgloss 3.31, Avgreward 4.27, Epsilon 0.01, TotalStep 3235285
Epoch 26: Loss 5.24, Reward 7.0, Avgloss 3.39, Avgreward 4.37, Epsilon 0.01, TotalStep 3235888
Epoch 27: Loss 1.44, Reward 2.0, Avgloss 3.32, Avgreward 4.29, Epsilon 0.01, TotalStep 3236087
Epoch 28: Loss 3.62, Reward 3.0, Avgloss 3.33, Avgreward 4.24, Epsilon 0.01, TotalStep 3236508
Epoch 29: Loss 2.43, Reward 2.0, Avgloss 3.30, Avgreward 4.17, Epsilon 0.01, TotalStep 3236822
Epoch 30: Loss 3.26, Reward 6.0, Avgloss 3.30, Avgreward 4.23, Epsilon 0.01, TotalStep 3237218
Epoch 31: Loss 1.58, Reward 1.0, Avgloss 3.24, Avgreward 4.12, Epsilon 0.01, TotalStep 3237413
Epoch 32: Loss 3.95, Reward 7.0, Avgloss 3.26, Avgreward 4.21, Epsilon 0.01, TotalStep 3237951
Epoch 33: Loss 1.65, Reward 4.0, Avgloss 3.22, Avgreward 4.21, Epsilon 0.01, TotalStep 3238161
Epoch 34: Loss 1.60, Reward 1.0, Avgloss 3.17, Avgreward 4.11, Epsilon 0.01, TotalStep 3238369
Epoch 35: Loss 2.93, Reward 3.0, Avgloss 3.16, Avgreward 4.08, Epsilon 0.01, TotalStep 3238727
Epoch 36: Loss 4.50, Reward 7.0, Avgloss 3.20, Avgreward 4.16, Epsilon 0.01, TotalStep 3239281
Epoch 37: Loss 3.19, Reward 3.0, Avgloss 3.20, Avgreward 4.13, Epsilon 0.01, TotalStep 3239659
Epoch 38: Loss 3.15, Reward 3.0, Avgloss 3.20, Avgreward 4.10, Epsilon 0.01, TotalStep 3240061
Epoch 39: Loss 1.95, Reward 2.0, Avgloss 3.17, Avgreward 4.05, Epsilon 0.01, TotalStep 3240328
Epoch 40: Loss 3.48, Reward 7.0, Avgloss 3.17, Avgreward 4.12, Epsilon 0.01, TotalStep 3240782
Epoch 41: Loss 1.79, Reward 6.0, Avgloss 3.14, Avgreward 4.17, Epsilon 0.01, TotalStep 3240999
Epoch 42: Loss 2.88, Reward 4.0, Avgloss 3.14, Avgreward 4.16, Epsilon 0.01, TotalStep 3241398
Epoch 43: Loss 3.24, Reward 5.0, Avgloss 3.14, Avgreward 4.18, Epsilon 0.01, TotalStep 3241817
Epoch 44: Loss 3.44, Reward 4.0, Avgloss 3.14, Avgreward 4.18, Epsilon 0.01, TotalStep 3242266
