
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 1.90, Reward 3.0, Avgloss 1.90, Avgreward 3.00, Epsilon 0.01, TotalStep 3412097
Epoch 1: Loss 2.40, Reward 8.0, Avgloss 2.15, Avgreward 5.50, Epsilon 0.01, TotalStep 3412390
Epoch 2: Loss 3.06, Reward 6.0, Avgloss 2.45, Avgreward 5.67, Epsilon 0.01, TotalStep 3412742
Epoch 3: Loss 2.54, Reward 4.0, Avgloss 2.47, Avgreward 5.25, Epsilon 0.01, TotalStep 3413020
Epoch 4: Loss 1.80, Reward 1.0, Avgloss 2.34, Avgreward 4.40, Epsilon 0.01, TotalStep 3413212
Epoch 5: Loss 2.55, Reward 6.0, Avgloss 2.38, Avgreward 4.67, Epsilon 0.01, TotalStep 3413464
Epoch 6: Loss 2.10, Reward 3.0, Avgloss 2.34, Avgreward 4.43, Epsilon 0.01, TotalStep 3413701
Epoch 7: Loss 2.14, Reward 2.0, Avgloss 2.31, Avgreward 4.12, Epsilon 0.01, TotalStep 3413903
Epoch 8: Loss 2.01, Reward 2.0, Avgloss 2.28, Avgreward 3.89, Epsilon 0.01, TotalStep 3414100
Epoch 9: Loss 1.97, Reward 5.0, Avgloss 2.25, Avgreward 4.00, Epsilon 0.01, TotalStep 3414304
Epoch 10: Loss 3.15, Reward 9.0, Avgloss 2.33, Avgreward 4.45, Epsilon 0.01, TotalStep 3414623
Epoch 11: Loss 2.24, Reward 4.0, Avgloss 2.32, Avgreward 4.42, Epsilon 0.01, TotalStep 3414867
Epoch 12: Loss 2.40, Reward 2.0, Avgloss 2.33, Avgreward 4.23, Epsilon 0.01, TotalStep 3415095
Epoch 13: Loss 2.39, Reward 4.0, Avgloss 2.33, Avgreward 4.21, Epsilon 0.01, TotalStep 3415351
Epoch 14: Loss 2.64, Reward 6.0, Avgloss 2.35, Avgreward 4.33, Epsilon 0.01, TotalStep 3415628
Epoch 15: Loss 1.84, Reward 3.0, Avgloss 2.32, Avgreward 4.25, Epsilon 0.01, TotalStep 3415815
Epoch 16: Loss 2.80, Reward 5.0, Avgloss 2.35, Avgreward 4.29, Epsilon 0.01, TotalStep 3416108
Epoch 17: Loss 3.32, Reward 6.0, Avgloss 2.40, Avgreward 4.39, Epsilon 0.01, TotalStep 3416453
Epoch 18: Loss 1.82, Reward 2.0, Avgloss 2.37, Avgreward 4.26, Epsilon 0.01, TotalStep 3416653
Epoch 19: Loss 1.98, Reward 4.0, Avgloss 2.35, Avgreward 4.25, Epsilon 0.01, TotalStep 3416851
Epoch 20: Loss 2.68, Reward 2.0, Avgloss 2.37, Avgreward 4.14, Epsilon 0.01, TotalStep 3417120
Epoch 21: Loss 1.92, Reward 1.0, Avgloss 2.35, Avgreward 4.00, Epsilon 0.01, TotalStep 3417322
Epoch 22: Loss 1.55, Reward 3.0, Avgloss 2.31, Avgreward 3.96, Epsilon 0.01, TotalStep 3417518
Epoch 23: Loss 2.55, Reward 5.0, Avgloss 2.32, Avgreward 4.00, Epsilon 0.01, TotalStep 3417784
Epoch 24: Loss 2.04, Reward 2.0, Avgloss 2.31, Avgreward 3.92, Epsilon 0.01, TotalStep 3418007
Epoch 25: Loss 2.12, Reward 1.0, Avgloss 2.30, Avgreward 3.81, Epsilon 0.01, TotalStep 3418202
Epoch 26: Loss 1.89, Reward 4.0, Avgloss 2.29, Avgreward 3.81, Epsilon 0.01, TotalStep 3418403
Epoch 27: Loss 2.91, Reward 8.0, Avgloss 2.31, Avgreward 3.96, Epsilon 0.01, TotalStep 3418734
Epoch 28: Loss 2.30, Reward 1.0, Avgloss 2.31, Avgreward 3.86, Epsilon 0.01, TotalStep 3418959
Epoch 29: Loss 3.60, Reward 7.0, Avgloss 2.35, Avgreward 3.97, Epsilon 0.01, TotalStep 3419356
Epoch 30: Loss 2.71, Reward 5.0, Avgloss 2.37, Avgreward 4.00, Epsilon 0.01, TotalStep 3419623
Epoch 31: Loss 3.97, Reward 7.0, Avgloss 2.42, Avgreward 4.09, Epsilon 0.01, TotalStep 3419999
Epoch 32: Loss 2.51, Reward 2.0, Avgloss 2.42, Avgreward 4.03, Epsilon 0.01, TotalStep 3420248
Epoch 33: Loss 3.35, Reward 5.0, Avgloss 2.45, Avgreward 4.06, Epsilon 0.01, TotalStep 3420569
Epoch 34: Loss 1.55, Reward 2.0, Avgloss 2.42, Avgreward 4.00, Epsilon 0.01, TotalStep 3420749
Epoch 35: Loss 3.24, Reward 2.0, Avgloss 2.44, Avgreward 3.94, Epsilon 0.01, TotalStep 3421066
Epoch 36: Loss 2.82, Reward 8.0, Avgloss 2.45, Avgreward 4.05, Epsilon 0.01, TotalStep 3421388
Epoch 37: Loss 3.16, Reward 5.0, Avgloss 2.47, Avgreward 4.08, Epsilon 0.01, TotalStep 3421683
Epoch 38: Loss 2.06, Reward 3.0, Avgloss 2.46, Avgreward 4.05, Epsilon 0.01, TotalStep 3421900
Epoch 39: Loss 2.36, Reward 5.0, Avgloss 2.46, Avgreward 4.08, Epsilon 0.01, TotalStep 3422139
Epoch 40: Loss 2.11, Reward 2.0, Avgloss 2.45, Avgreward 4.02, Epsilon 0.01, TotalStep 3422335
Epoch 41: Loss 3.64, Reward 3.0, Avgloss 2.48, Avgreward 4.00, Epsilon 0.01, TotalStep 3422660
Epoch 42: Loss 1.96, Reward 3.0, Avgloss 2.47, Avgreward 3.98, Epsilon 0.01, TotalStep 3422855
Epoch 43: Loss 4.34, Reward 10.0, Avgloss 2.51, Avgreward 4.11, Epsilon 0.01, TotalStep 3423271
Epoch 44: Loss 3.10, Reward 2.0, Avgloss 2.52, Avgreward 4.07, Epsilon 0.01, TotalStep 3423564
Epoch 45: Loss 2.72, Reward 5.0, Avgloss 2.53, Avgreward 4.09, Epsilon 0.01, TotalStep 3423824
Epoch 46: Loss 2.36, Reward 6.0, Avgloss 2.52, Avgreward 4.13, Epsilon 0.01, TotalStep 3424054
Epoch 47: Loss 3.59, Reward 11.0, Avgloss 2.55, Avgreward 4.27, Epsilon 0.01, TotalStep 3424383
Epoch 48: Loss 2.97, Reward 8.0, Avgloss 2.55, Avgreward 4.35, Epsilon 0.01, TotalStep 3424673
Epoch 49: Loss 2.01, Reward 3.0, Avgloss 2.54, Avgreward 4.32, Epsilon 0.01, TotalStep 3424874
Epoch 50: Loss 4.13, Reward 12.0, Avgloss 2.57, Avgreward 4.47, Epsilon 0.01, TotalStep 3425268
Epoch 51: Loss 3.78, Reward 7.0, Avgloss 2.60, Avgreward 4.52, Epsilon 0.01, TotalStep 3425618
Epoch 52: Loss 3.05, Reward 4.0, Avgloss 2.61, Avgreward 4.51, Epsilon 0.01, TotalStep 3425888
Epoch 53: Loss 5.86, Reward 11.0, Avgloss 2.67, Avgreward 4.63, Epsilon 0.01, TotalStep 3426413
Epoch 54: Loss 7.56, Reward 17.0, Avgloss 2.76, Avgreward 4.85, Epsilon 0.01, TotalStep 3427141
Epoch 55: Loss 2.83, Reward 1.0, Avgloss 2.76, Avgreward 4.79, Epsilon 0.01, TotalStep 3427381
Epoch 56: Loss 2.54, Reward 2.0, Avgloss 2.75, Avgreward 4.74, Epsilon 0.01, TotalStep 3427594
Epoch 57: Loss 2.23, Reward 4.0, Avgloss 2.74, Avgreward 4.72, Epsilon 0.01, TotalStep 3427800
Epoch 58: Loss 2.12, Reward 2.0, Avgloss 2.73, Avgreward 4.68, Epsilon 0.01, TotalStep 3427999
Epoch 59: Loss 2.38, Reward 1.0, Avgloss 2.73, Avgreward 4.62, Epsilon 0.01, TotalStep 3428195
Epoch 60: Loss 3.42, Reward 3.0, Avgloss 2.74, Avgreward 4.59, Epsilon 0.01, TotalStep 3428494
Epoch 61: Loss 1.95, Reward 3.0, Avgloss 2.73, Avgreward 4.56, Epsilon 0.01, TotalStep 3428702
Epoch 62: Loss 2.20, Reward 3.0, Avgloss 2.72, Avgreward 4.54, Epsilon 0.01, TotalStep 3428898
Epoch 63: Loss 3.16, Reward 4.0, Avgloss 2.72, Avgreward 4.53, Epsilon 0.01, TotalStep 3429206
Epoch 64: Loss 3.16, Reward 4.0, Avgloss 2.73, Avgreward 4.52, Epsilon 0.01, TotalStep 3429483
Epoch 65: Loss 2.29, Reward 5.0, Avgloss 2.72, Avgreward 4.53, Epsilon 0.01, TotalStep 3429691
Epoch 66: Loss 2.57, Reward 5.0, Avgloss 2.72, Avgreward 4.54, Epsilon 0.01, TotalStep 3429908
Epoch 67: Loss 2.68, Reward 7.0, Avgloss 2.72, Avgreward 4.57, Epsilon 0.01, TotalStep 3430177
Epoch 68: Loss 4.28, Reward 9.0, Avgloss 2.74, Avgreward 4.64, Epsilon 0.01, TotalStep 3430575
Epoch 69: Loss 2.70, Reward 2.0, Avgloss 2.74, Avgreward 4.60, Epsilon 0.01, TotalStep 3430810
Epoch 70: Loss 2.36, Reward 2.0, Avgloss 2.74, Avgreward 4.56, Epsilon 0.01, TotalStep 3431011
Epoch 71: Loss 3.34, Reward 6.0, Avgloss 2.75, Avgreward 4.58, Epsilon 0.01, TotalStep 3431303
Epoch 72: Loss 2.17, Reward 1.0, Avgloss 2.74, Avgreward 4.53, Epsilon 0.01, TotalStep 3431503
Epoch 73: Loss 2.42, Reward 2.0, Avgloss 2.73, Avgreward 4.50, Epsilon 0.01, TotalStep 3431709
Epoch 74: Loss 2.83, Reward 2.0, Avgloss 2.74, Avgreward 4.47, Epsilon 0.01, TotalStep 3431961
Epoch 75: Loss 2.72, Reward 6.0, Avgloss 2.74, Avgreward 4.49, Epsilon 0.01, TotalStep 3432207
Epoch 76: Loss 2.44, Reward 3.0, Avgloss 2.73, Avgreward 4.47, Epsilon 0.01, TotalStep 3432428
Epoch 77: Loss 3.91, Reward 9.0, Avgloss 2.75, Avgreward 4.53, Epsilon 0.01, TotalStep 3432780
Epoch 78: Loss 3.98, Reward 6.0, Avgloss 2.76, Avgreward 4.54, Epsilon 0.01, TotalStep 3433104
Epoch 79: Loss 2.43, Reward 3.0, Avgloss 2.76, Avgreward 4.53, Epsilon 0.01, TotalStep 3433304
Epoch 80: Loss 2.68, Reward 4.0, Avgloss 2.76, Avgreward 4.52, Epsilon 0.01, TotalStep 3433548
