
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 2.04, Reward 0.0, Avgloss 2.04, Avgreward 0.00, Epsilon 0.01, TotalStep 4677498
Epoch 1: Loss 3.32, Reward 3.0, Avgloss 2.68, Avgreward 1.50, Epsilon 0.01, TotalStep 4677823
Epoch 2: Loss 2.40, Reward 7.0, Avgloss 2.59, Avgreward 3.33, Epsilon 0.01, TotalStep 4678071
Epoch 3: Loss 3.41, Reward 8.0, Avgloss 2.79, Avgreward 4.50, Epsilon 0.01, TotalStep 4678442
Epoch 4: Loss 2.01, Reward 4.0, Avgloss 2.64, Avgreward 4.40, Epsilon 0.01, TotalStep 4678642
Epoch 5: Loss 2.77, Reward 4.0, Avgloss 2.66, Avgreward 4.33, Epsilon 0.01, TotalStep 4678928
Epoch 6: Loss 3.13, Reward 5.0, Avgloss 2.72, Avgreward 4.43, Epsilon 0.01, TotalStep 4679240
Epoch 7: Loss 2.16, Reward 2.0, Avgloss 2.65, Avgreward 4.12, Epsilon 0.01, TotalStep 4679442
Epoch 8: Loss 2.81, Reward 2.0, Avgloss 2.67, Avgreward 3.89, Epsilon 0.01, TotalStep 4679727
Epoch 9: Loss 1.84, Reward 4.0, Avgloss 2.59, Avgreward 3.90, Epsilon 0.01, TotalStep 4679949
Epoch 10: Loss 2.19, Reward 2.0, Avgloss 2.55, Avgreward 3.73, Epsilon 0.01, TotalStep 4680161
Epoch 11: Loss 2.28, Reward 1.0, Avgloss 2.53, Avgreward 3.50, Epsilon 0.01, TotalStep 4680383
Epoch 12: Loss 2.70, Reward 7.0, Avgloss 2.54, Avgreward 3.77, Epsilon 0.01, TotalStep 4680648
Epoch 13: Loss 2.63, Reward 4.0, Avgloss 2.55, Avgreward 3.79, Epsilon 0.01, TotalStep 4680940
Epoch 14: Loss 1.98, Reward 2.0, Avgloss 2.51, Avgreward 3.67, Epsilon 0.01, TotalStep 4681143
Epoch 15: Loss 2.83, Reward 5.0, Avgloss 2.53, Avgreward 3.75, Epsilon 0.01, TotalStep 4681415
Epoch 16: Loss 2.85, Reward 5.0, Avgloss 2.55, Avgreward 3.82, Epsilon 0.01, TotalStep 4681683
Epoch 17: Loss 3.43, Reward 5.0, Avgloss 2.60, Avgreward 3.89, Epsilon 0.01, TotalStep 4682000
Epoch 18: Loss 2.49, Reward 3.0, Avgloss 2.59, Avgreward 3.84, Epsilon 0.01, TotalStep 4682248
Epoch 19: Loss 2.52, Reward 4.0, Avgloss 2.59, Avgreward 3.85, Epsilon 0.01, TotalStep 4682533
Epoch 20: Loss 2.27, Reward 2.0, Avgloss 2.57, Avgreward 3.76, Epsilon 0.01, TotalStep 4682753
Epoch 21: Loss 1.92, Reward 1.0, Avgloss 2.54, Avgreward 3.64, Epsilon 0.01, TotalStep 4682946
Epoch 22: Loss 2.15, Reward 3.0, Avgloss 2.53, Avgreward 3.61, Epsilon 0.01, TotalStep 4683167
Epoch 23: Loss 1.82, Reward 2.0, Avgloss 2.50, Avgreward 3.54, Epsilon 0.01, TotalStep 4683364
Epoch 24: Loss 2.07, Reward 3.0, Avgloss 2.48, Avgreward 3.52, Epsilon 0.01, TotalStep 4683581
Epoch 25: Loss 3.56, Reward 8.0, Avgloss 2.52, Avgreward 3.69, Epsilon 0.01, TotalStep 4683952
Epoch 26: Loss 2.33, Reward 3.0, Avgloss 2.51, Avgreward 3.67, Epsilon 0.01, TotalStep 4684181
Epoch 27: Loss 1.74, Reward 5.0, Avgloss 2.49, Avgreward 3.71, Epsilon 0.01, TotalStep 4684377
Epoch 28: Loss 4.25, Reward 8.0, Avgloss 2.55, Avgreward 3.86, Epsilon 0.01, TotalStep 4684774
Epoch 29: Loss 3.10, Reward 9.0, Avgloss 2.57, Avgreward 4.03, Epsilon 0.01, TotalStep 4685108
Epoch 30: Loss 2.19, Reward 2.0, Avgloss 2.55, Avgreward 3.97, Epsilon 0.01, TotalStep 4685329
Epoch 31: Loss 2.65, Reward 9.0, Avgloss 2.56, Avgreward 4.12, Epsilon 0.01, TotalStep 4685580
Epoch 32: Loss 2.35, Reward 4.0, Avgloss 2.55, Avgreward 4.12, Epsilon 0.01, TotalStep 4685834
Epoch 33: Loss 2.41, Reward 6.0, Avgloss 2.55, Avgreward 4.18, Epsilon 0.01, TotalStep 4686094
Epoch 34: Loss 2.57, Reward 4.0, Avgloss 2.55, Avgreward 4.17, Epsilon 0.01, TotalStep 4686342
Epoch 35: Loss 2.62, Reward 4.0, Avgloss 2.55, Avgreward 4.17, Epsilon 0.01, TotalStep 4686646
Epoch 36: Loss 2.88, Reward 6.0, Avgloss 2.56, Avgreward 4.22, Epsilon 0.01, TotalStep 4686925
Epoch 37: Loss 1.87, Reward 2.0, Avgloss 2.54, Avgreward 4.16, Epsilon 0.01, TotalStep 4687127
Epoch 38: Loss 2.96, Reward 4.0, Avgloss 2.55, Avgreward 4.15, Epsilon 0.01, TotalStep 4687403
Epoch 39: Loss 4.84, Reward 9.0, Avgloss 2.61, Avgreward 4.28, Epsilon 0.01, TotalStep 4687881
Epoch 40: Loss 2.03, Reward 1.0, Avgloss 2.59, Avgreward 4.20, Epsilon 0.01, TotalStep 4688078
Epoch 41: Loss 2.09, Reward 2.0, Avgloss 2.58, Avgreward 4.14, Epsilon 0.01, TotalStep 4688284
Epoch 42: Loss 1.82, Reward 4.0, Avgloss 2.56, Avgreward 4.14, Epsilon 0.01, TotalStep 4688490
Epoch 43: Loss 2.05, Reward 2.0, Avgloss 2.55, Avgreward 4.09, Epsilon 0.01, TotalStep 4688701
Epoch 44: Loss 2.39, Reward 2.0, Avgloss 2.55, Avgreward 4.04, Epsilon 0.01, TotalStep 4688936
Epoch 45: Loss 2.29, Reward 1.0, Avgloss 2.54, Avgreward 3.98, Epsilon 0.01, TotalStep 4689164
Epoch 46: Loss 2.25, Reward 4.0, Avgloss 2.54, Avgreward 3.98, Epsilon 0.01, TotalStep 4689421
Epoch 47: Loss 2.67, Reward 3.0, Avgloss 2.54, Avgreward 3.96, Epsilon 0.01, TotalStep 4689697
Epoch 48: Loss 1.99, Reward 1.0, Avgloss 2.53, Avgreward 3.90, Epsilon 0.01, TotalStep 4689899
Epoch 49: Loss 1.48, Reward 0.0, Avgloss 2.51, Avgreward 3.82, Epsilon 0.01, TotalStep 4690095
Epoch 50: Loss 2.24, Reward 3.0, Avgloss 2.50, Avgreward 3.80, Epsilon 0.01, TotalStep 4690348
Epoch 51: Loss 2.69, Reward 4.0, Avgloss 2.51, Avgreward 3.81, Epsilon 0.01, TotalStep 4690625
Epoch 52: Loss 1.90, Reward 1.0, Avgloss 2.49, Avgreward 3.75, Epsilon 0.01, TotalStep 4690831
Epoch 53: Loss 1.76, Reward 3.0, Avgloss 2.48, Avgreward 3.74, Epsilon 0.01, TotalStep 4691027
Epoch 54: Loss 2.74, Reward 5.0, Avgloss 2.49, Avgreward 3.76, Epsilon 0.01, TotalStep 4691309
Epoch 55: Loss 2.43, Reward 2.0, Avgloss 2.48, Avgreward 3.73, Epsilon 0.01, TotalStep 4691553
Epoch 56: Loss 2.72, Reward 4.0, Avgloss 2.49, Avgreward 3.74, Epsilon 0.01, TotalStep 4691843
Epoch 57: Loss 1.94, Reward 5.0, Avgloss 2.48, Avgreward 3.76, Epsilon 0.01, TotalStep 4692063
Epoch 58: Loss 2.28, Reward 4.0, Avgloss 2.48, Avgreward 3.76, Epsilon 0.01, TotalStep 4692298
Epoch 59: Loss 1.80, Reward 3.0, Avgloss 2.46, Avgreward 3.75, Epsilon 0.01, TotalStep 4692496
Epoch 60: Loss 1.80, Reward 0.0, Avgloss 2.45, Avgreward 3.69, Epsilon 0.01, TotalStep 4692697
Epoch 61: Loss 2.84, Reward 8.0, Avgloss 2.46, Avgreward 3.76, Epsilon 0.01, TotalStep 4693030
