
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 1.94, Reward 2.0, Avgloss 1.94, Avgreward 2.00, Epsilon 0.01, TotalStep 4906031
Epoch 1: Loss 1.85, Reward 1.0, Avgloss 1.89, Avgreward 1.50, Epsilon 0.01, TotalStep 4906239
Epoch 2: Loss 3.24, Reward 10.0, Avgloss 2.34, Avgreward 4.33, Epsilon 0.01, TotalStep 4906568
Epoch 3: Loss 2.03, Reward 2.0, Avgloss 2.26, Avgreward 3.75, Epsilon 0.01, TotalStep 4906768
Epoch 4: Loss 2.58, Reward 6.0, Avgloss 2.33, Avgreward 4.20, Epsilon 0.01, TotalStep 4907061
Epoch 5: Loss 3.09, Reward 4.0, Avgloss 2.45, Avgreward 4.17, Epsilon 0.01, TotalStep 4907368
Epoch 6: Loss 1.89, Reward 2.0, Avgloss 2.37, Avgreward 3.86, Epsilon 0.01, TotalStep 4907575
Epoch 7: Loss 4.03, Reward 6.0, Avgloss 2.58, Avgreward 4.12, Epsilon 0.01, TotalStep 4908008
Epoch 8: Loss 3.59, Reward 6.0, Avgloss 2.69, Avgreward 4.33, Epsilon 0.01, TotalStep 4908372
Epoch 9: Loss 3.23, Reward 9.0, Avgloss 2.75, Avgreward 4.80, Epsilon 0.01, TotalStep 4908698
Epoch 10: Loss 1.76, Reward 1.0, Avgloss 2.66, Avgreward 4.45, Epsilon 0.01, TotalStep 4908898
Epoch 11: Loss 1.90, Reward 3.0, Avgloss 2.59, Avgreward 4.33, Epsilon 0.01, TotalStep 4909096
Epoch 12: Loss 1.70, Reward 2.0, Avgloss 2.52, Avgreward 4.15, Epsilon 0.01, TotalStep 4909296
Epoch 13: Loss 1.69, Reward 3.0, Avgloss 2.46, Avgreward 4.07, Epsilon 0.01, TotalStep 4909499
Epoch 14: Loss 2.92, Reward 11.0, Avgloss 2.49, Avgreward 4.53, Epsilon 0.01, TotalStep 4909837
Epoch 15: Loss 3.02, Reward 3.0, Avgloss 2.53, Avgreward 4.44, Epsilon 0.01, TotalStep 4910141
Epoch 16: Loss 2.22, Reward 3.0, Avgloss 2.51, Avgreward 4.35, Epsilon 0.01, TotalStep 4910356
Epoch 17: Loss 2.56, Reward 4.0, Avgloss 2.51, Avgreward 4.33, Epsilon 0.01, TotalStep 4910642
Epoch 18: Loss 1.91, Reward 3.0, Avgloss 2.48, Avgreward 4.26, Epsilon 0.01, TotalStep 4910847
Epoch 19: Loss 2.55, Reward 6.0, Avgloss 2.48, Avgreward 4.35, Epsilon 0.01, TotalStep 4911117
