
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 2.89, Reward 2.0, Avgloss 2.89, Avgreward 2.00, Epsilon 0.01, TotalStep 4960165
Epoch 1: Loss 2.55, Reward 2.0, Avgloss 2.72, Avgreward 2.00, Epsilon 0.01, TotalStep 4960441
Epoch 2: Loss 3.37, Reward 7.0, Avgloss 2.94, Avgreward 3.67, Epsilon 0.01, TotalStep 4960786
Epoch 3: Loss 1.78, Reward 3.0, Avgloss 2.65, Avgreward 3.50, Epsilon 0.01, TotalStep 4960983
Epoch 4: Loss 2.05, Reward 1.0, Avgloss 2.53, Avgreward 3.00, Epsilon 0.01, TotalStep 4961187
Epoch 5: Loss 2.56, Reward 2.0, Avgloss 2.53, Avgreward 2.83, Epsilon 0.01, TotalStep 4961451
Epoch 6: Loss 1.99, Reward 1.0, Avgloss 2.46, Avgreward 2.57, Epsilon 0.01, TotalStep 4961664
Epoch 7: Loss 2.95, Reward 7.0, Avgloss 2.52, Avgreward 3.12, Epsilon 0.01, TotalStep 4962005
Epoch 8: Loss 2.62, Reward 6.0, Avgloss 2.53, Avgreward 3.44, Epsilon 0.01, TotalStep 4962293
Epoch 9: Loss 1.84, Reward 5.0, Avgloss 2.46, Avgreward 3.60, Epsilon 0.01, TotalStep 4962468
Epoch 10: Loss 3.01, Reward 6.0, Avgloss 2.51, Avgreward 3.82, Epsilon 0.01, TotalStep 4962774
Epoch 11: Loss 2.65, Reward 3.0, Avgloss 2.52, Avgreward 3.75, Epsilon 0.01, TotalStep 4963053
Epoch 12: Loss 2.52, Reward 10.0, Avgloss 2.52, Avgreward 4.23, Epsilon 0.01, TotalStep 4963316
Epoch 13: Loss 1.84, Reward 5.0, Avgloss 2.47, Avgreward 4.29, Epsilon 0.01, TotalStep 4963514
Epoch 14: Loss 2.16, Reward 4.0, Avgloss 2.45, Avgreward 4.27, Epsilon 0.01, TotalStep 4963714
Epoch 15: Loss 3.47, Reward 9.0, Avgloss 2.52, Avgreward 4.56, Epsilon 0.01, TotalStep 4964080
Epoch 16: Loss 3.00, Reward 3.0, Avgloss 2.55, Avgreward 4.47, Epsilon 0.01, TotalStep 4964400
Epoch 17: Loss 2.14, Reward 4.0, Avgloss 2.52, Avgreward 4.44, Epsilon 0.01, TotalStep 4964599
Epoch 18: Loss 2.40, Reward 3.0, Avgloss 2.52, Avgreward 4.37, Epsilon 0.01, TotalStep 4964828
Epoch 19: Loss 2.94, Reward 4.0, Avgloss 2.54, Avgreward 4.35, Epsilon 0.01, TotalStep 4965149
Epoch 20: Loss 2.45, Reward 2.0, Avgloss 2.53, Avgreward 4.24, Epsilon 0.01, TotalStep 4965393
Epoch 21: Loss 2.08, Reward 1.0, Avgloss 2.51, Avgreward 4.09, Epsilon 0.01, TotalStep 4965590
Epoch 22: Loss 2.19, Reward 2.0, Avgloss 2.50, Avgreward 4.00, Epsilon 0.01, TotalStep 4965798
Epoch 23: Loss 3.51, Reward 5.0, Avgloss 2.54, Avgreward 4.04, Epsilon 0.01, TotalStep 4966170
Epoch 24: Loss 3.32, Reward 8.0, Avgloss 2.57, Avgreward 4.20, Epsilon 0.01, TotalStep 4966512
Epoch 25: Loss 5.11, Reward 10.0, Avgloss 2.67, Avgreward 4.42, Epsilon 0.01, TotalStep 4967000
Epoch 26: Loss 4.50, Reward 13.0, Avgloss 2.74, Avgreward 4.74, Epsilon 0.01, TotalStep 4967442
Epoch 27: Loss 2.01, Reward 3.0, Avgloss 2.71, Avgreward 4.68, Epsilon 0.01, TotalStep 4967638
Epoch 28: Loss 2.84, Reward 4.0, Avgloss 2.72, Avgreward 4.66, Epsilon 0.01, TotalStep 4967906
Epoch 29: Loss 1.99, Reward 2.0, Avgloss 2.69, Avgreward 4.57, Epsilon 0.01, TotalStep 4968136
Epoch 30: Loss 1.81, Reward 3.0, Avgloss 2.66, Avgreward 4.52, Epsilon 0.01, TotalStep 4968304
Epoch 31: Loss 2.06, Reward 1.0, Avgloss 2.64, Avgreward 4.41, Epsilon 0.01, TotalStep 4968508
Epoch 32: Loss 2.24, Reward 4.0, Avgloss 2.63, Avgreward 4.39, Epsilon 0.01, TotalStep 4968713
Epoch 33: Loss 2.09, Reward 2.0, Avgloss 2.62, Avgreward 4.32, Epsilon 0.01, TotalStep 4968912
Epoch 34: Loss 2.43, Reward 4.0, Avgloss 2.61, Avgreward 4.31, Epsilon 0.01, TotalStep 4969146
Epoch 35: Loss 2.14, Reward 1.0, Avgloss 2.60, Avgreward 4.22, Epsilon 0.01, TotalStep 4969344
Epoch 36: Loss 4.47, Reward 11.0, Avgloss 2.65, Avgreward 4.41, Epsilon 0.01, TotalStep 4969775
Epoch 37: Loss 3.07, Reward 5.0, Avgloss 2.66, Avgreward 4.42, Epsilon 0.01, TotalStep 4970073
Epoch 38: Loss 2.13, Reward 3.0, Avgloss 2.65, Avgreward 4.38, Epsilon 0.01, TotalStep 4970268
Epoch 39: Loss 1.99, Reward 2.0, Avgloss 2.63, Avgreward 4.33, Epsilon 0.01, TotalStep 4970456
Epoch 40: Loss 2.13, Reward 3.0, Avgloss 2.62, Avgreward 4.29, Epsilon 0.01, TotalStep 4970666
Epoch 41: Loss 2.86, Reward 5.0, Avgloss 2.62, Avgreward 4.31, Epsilon 0.01, TotalStep 4970935
Epoch 42: Loss 2.13, Reward 2.0, Avgloss 2.61, Avgreward 4.26, Epsilon 0.01, TotalStep 4971153
Epoch 43: Loss 2.45, Reward 2.0, Avgloss 2.61, Avgreward 4.20, Epsilon 0.01, TotalStep 4971372
Epoch 44: Loss 2.17, Reward 3.0, Avgloss 2.60, Avgreward 4.18, Epsilon 0.01, TotalStep 4971571
Epoch 45: Loss 2.33, Reward 1.0, Avgloss 2.59, Avgreward 4.11, Epsilon 0.01, TotalStep 4971772
Epoch 46: Loss 2.44, Reward 4.0, Avgloss 2.59, Avgreward 4.11, Epsilon 0.01, TotalStep 4971995
Epoch 47: Loss 3.07, Reward 3.0, Avgloss 2.60, Avgreward 4.08, Epsilon 0.01, TotalStep 4972291
Epoch 48: Loss 2.26, Reward 2.0, Avgloss 2.59, Avgreward 4.04, Epsilon 0.01, TotalStep 4972514
Epoch 49: Loss 2.89, Reward 5.0, Avgloss 2.60, Avgreward 4.06, Epsilon 0.01, TotalStep 4972774
Epoch 50: Loss 2.43, Reward 6.0, Avgloss 2.59, Avgreward 4.10, Epsilon 0.01, TotalStep 4973038
Epoch 51: Loss 2.74, Reward 5.0, Avgloss 2.60, Avgreward 4.12, Epsilon 0.01, TotalStep 4973321
Epoch 52: Loss 2.27, Reward 1.0, Avgloss 2.59, Avgreward 4.06, Epsilon 0.01, TotalStep 4973531
Epoch 53: Loss 2.78, Reward 4.0, Avgloss 2.59, Avgreward 4.06, Epsilon 0.01, TotalStep 4973800
Epoch 54: Loss 3.42, Reward 8.0, Avgloss 2.61, Avgreward 4.13, Epsilon 0.01, TotalStep 4974136
Epoch 55: Loss 2.25, Reward 2.0, Avgloss 2.60, Avgreward 4.09, Epsilon 0.01, TotalStep 4974340
Epoch 56: Loss 2.23, Reward 2.0, Avgloss 2.60, Avgreward 4.05, Epsilon 0.01, TotalStep 4974556
Epoch 57: Loss 2.76, Reward 3.0, Avgloss 2.60, Avgreward 4.03, Epsilon 0.01, TotalStep 4974816
Epoch 58: Loss 2.07, Reward 1.0, Avgloss 2.59, Avgreward 3.98, Epsilon 0.01, TotalStep 4975018
Epoch 59: Loss 2.53, Reward 1.0, Avgloss 2.59, Avgreward 3.93, Epsilon 0.01, TotalStep 4975266
Epoch 60: Loss 2.98, Reward 4.0, Avgloss 2.60, Avgreward 3.93, Epsilon 0.01, TotalStep 4975523
Epoch 61: Loss 2.12, Reward 6.0, Avgloss 2.59, Avgreward 3.97, Epsilon 0.01, TotalStep 4975722
Epoch 62: Loss 2.22, Reward 5.0, Avgloss 2.58, Avgreward 3.98, Epsilon 0.01, TotalStep 4975937
Epoch 63: Loss 3.09, Reward 7.0, Avgloss 2.59, Avgreward 4.03, Epsilon 0.01, TotalStep 4976243
Epoch 64: Loss 3.08, Reward 8.0, Avgloss 2.60, Avgreward 4.09, Epsilon 0.01, TotalStep 4976515
Epoch 65: Loss 4.37, Reward 11.0, Avgloss 2.62, Avgreward 4.20, Epsilon 0.01, TotalStep 4976929
Epoch 66: Loss 2.20, Reward 1.0, Avgloss 2.62, Avgreward 4.15, Epsilon 0.01, TotalStep 4977134
Epoch 67: Loss 4.03, Reward 7.0, Avgloss 2.64, Avgreward 4.19, Epsilon 0.01, TotalStep 4977503
Epoch 68: Loss 2.38, Reward 5.0, Avgloss 2.64, Avgreward 4.20, Epsilon 0.01, TotalStep 4977741
Epoch 69: Loss 2.27, Reward 4.0, Avgloss 2.63, Avgreward 4.20, Epsilon 0.01, TotalStep 4977959
Epoch 70: Loss 3.04, Reward 6.0, Avgloss 2.64, Avgreward 4.23, Epsilon 0.01, TotalStep 4978225
Epoch 71: Loss 2.28, Reward 2.0, Avgloss 2.63, Avgreward 4.19, Epsilon 0.01, TotalStep 4978411
Epoch 72: Loss 2.71, Reward 3.0, Avgloss 2.63, Avgreward 4.18, Epsilon 0.01, TotalStep 4978651
Epoch 73: Loss 2.02, Reward 2.0, Avgloss 2.62, Avgreward 4.15, Epsilon 0.01, TotalStep 4978851
Epoch 74: Loss 2.33, Reward 2.0, Avgloss 2.62, Avgreward 4.12, Epsilon 0.01, TotalStep 4979055
Epoch 75: Loss 3.51, Reward 5.0, Avgloss 2.63, Avgreward 4.13, Epsilon 0.01, TotalStep 4979318
Epoch 76: Loss 1.79, Reward 4.0, Avgloss 2.62, Avgreward 4.13, Epsilon 0.01, TotalStep 4979493
Epoch 77: Loss 2.79, Reward 4.0, Avgloss 2.62, Avgreward 4.13, Epsilon 0.01, TotalStep 4979745
Epoch 78: Loss 2.18, Reward 2.0, Avgloss 2.62, Avgreward 4.10, Epsilon 0.01, TotalStep 4979952
Epoch 79: Loss 2.53, Reward 4.0, Avgloss 2.62, Avgreward 4.10, Epsilon 0.01, TotalStep 4980196
Epoch 80: Loss 2.30, Reward 7.0, Avgloss 2.61, Avgreward 4.14, Epsilon 0.01, TotalStep 4980411
