
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 2.48, Reward 4.0, Avgloss 2.48, Avgreward 4.00, Epsilon 0.00, TotalStep 5240577
Epoch 1: Loss 2.03, Reward 2.0, Avgloss 2.26, Avgreward 3.00, Epsilon 0.00, TotalStep 5240803
Epoch 2: Loss 1.87, Reward 2.0, Avgloss 2.13, Avgreward 2.67, Epsilon 0.00, TotalStep 5241005
Epoch 3: Loss 2.65, Reward 4.0, Avgloss 2.26, Avgreward 3.00, Epsilon 0.00, TotalStep 5241239
Epoch 4: Loss 3.65, Reward 6.0, Avgloss 2.54, Avgreward 3.60, Epsilon 0.00, TotalStep 5241606
Epoch 5: Loss 5.34, Reward 16.0, Avgloss 3.00, Avgreward 5.67, Epsilon 0.00, TotalStep 5242144
Epoch 6: Loss 2.18, Reward 3.0, Avgloss 2.89, Avgreward 5.29, Epsilon 0.00, TotalStep 5242340
Epoch 7: Loss 3.21, Reward 7.0, Avgloss 2.93, Avgreward 5.50, Epsilon 0.00, TotalStep 5242608
Epoch 8: Loss 2.22, Reward 2.0, Avgloss 2.85, Avgreward 5.11, Epsilon 0.00, TotalStep 5242823
Epoch 9: Loss 2.52, Reward 2.0, Avgloss 2.82, Avgreward 4.80, Epsilon 0.00, TotalStep 5243075
Epoch 10: Loss 3.22, Reward 3.0, Avgloss 2.85, Avgreward 4.64, Epsilon 0.00, TotalStep 5243383
Epoch 11: Loss 2.13, Reward 2.0, Avgloss 2.79, Avgreward 4.42, Epsilon 0.00, TotalStep 5243588
Epoch 12: Loss 1.84, Reward 2.0, Avgloss 2.72, Avgreward 4.23, Epsilon 0.00, TotalStep 5243788
Epoch 13: Loss 2.38, Reward 6.0, Avgloss 2.69, Avgreward 4.36, Epsilon 0.00, TotalStep 5244008
Epoch 14: Loss 4.01, Reward 6.0, Avgloss 2.78, Avgreward 4.47, Epsilon 0.00, TotalStep 5244408
Epoch 15: Loss 1.91, Reward 1.0, Avgloss 2.73, Avgreward 4.25, Epsilon 0.00, TotalStep 5244603
Epoch 16: Loss 2.94, Reward 4.0, Avgloss 2.74, Avgreward 4.24, Epsilon 0.00, TotalStep 5244871
Epoch 17: Loss 3.49, Reward 5.0, Avgloss 2.78, Avgreward 4.28, Epsilon 0.00, TotalStep 5245214
Epoch 18: Loss 2.75, Reward 2.0, Avgloss 2.78, Avgreward 4.16, Epsilon 0.00, TotalStep 5245492
Epoch 19: Loss 2.83, Reward 8.0, Avgloss 2.78, Avgreward 4.35, Epsilon 0.00, TotalStep 5245769
Epoch 20: Loss 3.10, Reward 7.0, Avgloss 2.80, Avgreward 4.48, Epsilon 0.00, TotalStep 5246086
Epoch 21: Loss 1.96, Reward 3.0, Avgloss 2.76, Avgreward 4.41, Epsilon 0.00, TotalStep 5246292
Epoch 22: Loss 2.01, Reward 1.0, Avgloss 2.73, Avgreward 4.26, Epsilon 0.00, TotalStep 5246495
Epoch 23: Loss 3.63, Reward 8.0, Avgloss 2.76, Avgreward 4.42, Epsilon 0.00, TotalStep 5246883
Epoch 24: Loss 3.24, Reward 4.0, Avgloss 2.78, Avgreward 4.40, Epsilon 0.00, TotalStep 5247176
Epoch 25: Loss 2.99, Reward 4.0, Avgloss 2.79, Avgreward 4.38, Epsilon 0.00, TotalStep 5247469
Epoch 26: Loss 2.58, Reward 8.0, Avgloss 2.78, Avgreward 4.52, Epsilon 0.00, TotalStep 5247728
Epoch 27: Loss 2.17, Reward 2.0, Avgloss 2.76, Avgreward 4.43, Epsilon 0.00, TotalStep 5247930
Epoch 28: Loss 2.75, Reward 6.0, Avgloss 2.76, Avgreward 4.48, Epsilon 0.00, TotalStep 5248209
Epoch 29: Loss 3.11, Reward 3.0, Avgloss 2.77, Avgreward 4.43, Epsilon 0.00, TotalStep 5248523
Epoch 30: Loss 2.40, Reward 6.0, Avgloss 2.76, Avgreward 4.48, Epsilon 0.00, TotalStep 5248779
Epoch 31: Loss 2.10, Reward 3.0, Avgloss 2.74, Avgreward 4.44, Epsilon 0.00, TotalStep 5248978
Epoch 32: Loss 2.29, Reward 4.0, Avgloss 2.73, Avgreward 4.42, Epsilon 0.00, TotalStep 5249198
Epoch 33: Loss 2.30, Reward 4.0, Avgloss 2.71, Avgreward 4.41, Epsilon 0.00, TotalStep 5249434
Epoch 34: Loss 2.13, Reward 4.0, Avgloss 2.70, Avgreward 4.40, Epsilon 0.00, TotalStep 5249650
Epoch 35: Loss 2.11, Reward 5.0, Avgloss 2.68, Avgreward 4.42, Epsilon 0.00, TotalStep 5249878
Epoch 36: Loss 1.94, Reward 3.0, Avgloss 2.66, Avgreward 4.38, Epsilon 0.00, TotalStep 5250081
