
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 2.01, Reward 3.0, Avgloss 2.01, Avgreward 3.00, Epsilon 234.50, TotalStep 221
Epoch 1: Loss 2.26, Reward 6.0, Avgloss 2.13, Avgreward 4.50, Epsilon 234.01, TotalStep 433
Epoch 2: Loss 2.76, Reward 4.0, Avgloss 2.34, Avgreward 4.33, Epsilon 233.39, TotalStep 706
Epoch 3: Loss 3.57, Reward 7.0, Avgloss 2.65, Avgreward 5.00, Epsilon 232.64, TotalStep 1038
Epoch 4: Loss 3.10, Reward 5.0, Avgloss 2.74, Avgreward 5.00, Epsilon 231.93, TotalStep 1351
Epoch 5: Loss 1.75, Reward 5.0, Avgloss 2.57, Avgreward 5.00, Epsilon 231.52, TotalStep 1533
Epoch 6: Loss 1.79, Reward 3.0, Avgloss 2.46, Avgreward 4.71, Epsilon 231.09, TotalStep 1724
Epoch 7: Loss 2.29, Reward 5.0, Avgloss 2.44, Avgreward 4.75, Epsilon 230.59, TotalStep 1948
Epoch 8: Loss 1.99, Reward 3.0, Avgloss 2.39, Avgreward 4.56, Epsilon 230.14, TotalStep 2151
Epoch 9: Loss 2.36, Reward 7.0, Avgloss 2.39, Avgreward 4.80, Epsilon 229.52, TotalStep 2425
Epoch 10: Loss 3.38, Reward 7.0, Avgloss 2.48, Avgreward 5.00, Epsilon 228.81, TotalStep 2747
Epoch 11: Loss 2.28, Reward 3.0, Avgloss 2.46, Avgreward 4.83, Epsilon 228.31, TotalStep 2970
Epoch 12: Loss 2.21, Reward 4.0, Avgloss 2.44, Avgreward 4.77, Epsilon 227.85, TotalStep 3179
Epoch 13: Loss 3.89, Reward 10.0, Avgloss 2.55, Avgreward 5.14, Epsilon 227.07, TotalStep 3532
Epoch 14: Loss 3.52, Reward 7.0, Avgloss 2.61, Avgreward 5.27, Epsilon 226.28, TotalStep 3890
Epoch 15: Loss 2.86, Reward 5.0, Avgloss 2.63, Avgreward 5.25, Epsilon 225.74, TotalStep 4133
Epoch 16: Loss 3.23, Reward 8.0, Avgloss 2.66, Avgreward 5.41, Epsilon 225.08, TotalStep 4437
Epoch 17: Loss 2.46, Reward 5.0, Avgloss 2.65, Avgreward 5.39, Epsilon 224.64, TotalStep 4635
Epoch 18: Loss 2.39, Reward 1.0, Avgloss 2.64, Avgreward 5.16, Epsilon 224.17, TotalStep 4853
Epoch 19: Loss 2.92, Reward 7.0, Avgloss 2.65, Avgreward 5.25, Epsilon 223.57, TotalStep 5126
Epoch 20: Loss 2.19, Reward 5.0, Avgloss 2.63, Avgreward 5.24, Epsilon 223.12, TotalStep 5335
Epoch 21: Loss 2.66, Reward 3.0, Avgloss 2.63, Avgreward 5.14, Epsilon 222.59, TotalStep 5581
Epoch 22: Loss 2.94, Reward 4.0, Avgloss 2.64, Avgreward 5.09, Epsilon 221.96, TotalStep 5869
Epoch 23: Loss 2.27, Reward 2.0, Avgloss 2.63, Avgreward 4.96, Epsilon 221.53, TotalStep 6071
Epoch 24: Loss 2.11, Reward 2.0, Avgloss 2.61, Avgreward 4.84, Epsilon 221.10, TotalStep 6270
Epoch 25: Loss 4.11, Reward 10.0, Avgloss 2.67, Avgreward 5.04, Epsilon 220.28, TotalStep 6654
Epoch 26: Loss 3.28, Reward 6.0, Avgloss 2.69, Avgreward 5.07, Epsilon 219.63, TotalStep 6955
Epoch 27: Loss 2.72, Reward 7.0, Avgloss 2.69, Avgreward 5.14, Epsilon 219.10, TotalStep 7206
Epoch 28: Loss 2.44, Reward 3.0, Avgloss 2.68, Avgreward 5.07, Epsilon 218.65, TotalStep 7417
