
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 2.20, Reward 2.0, Avgloss 2.20, Avgreward 2.00, Epsilon 82.92, TotalStep 200
Epoch 1: Loss 2.07, Reward 2.0, Avgloss 2.14, Avgreward 2.00, Epsilon 82.83, TotalStep 413
Epoch 2: Loss 1.92, Reward 2.0, Avgloss 2.06, Avgreward 2.00, Epsilon 82.75, TotalStep 615
Epoch 3: Loss 3.09, Reward 2.0, Avgloss 2.32, Avgreward 2.00, Epsilon 82.63, TotalStep 888
Epoch 4: Loss 2.38, Reward 3.0, Avgloss 2.33, Avgreward 2.20, Epsilon 82.55, TotalStep 1100
Epoch 5: Loss 2.46, Reward 3.0, Avgloss 2.35, Avgreward 2.33, Epsilon 82.45, TotalStep 1336
Epoch 6: Loss 2.35, Reward 5.0, Avgloss 2.35, Avgreward 2.71, Epsilon 82.36, TotalStep 1546
Epoch 7: Loss 2.15, Reward 2.0, Avgloss 2.33, Avgreward 2.62, Epsilon 82.28, TotalStep 1747
Epoch 8: Loss 2.13, Reward 4.0, Avgloss 2.31, Avgreward 2.78, Epsilon 82.19, TotalStep 1951
Epoch 9: Loss 2.82, Reward 5.0, Avgloss 2.36, Avgreward 3.00, Epsilon 82.08, TotalStep 2223
Epoch 10: Loss 2.25, Reward 2.0, Avgloss 2.35, Avgreward 2.91, Epsilon 82.00, TotalStep 2416
Epoch 11: Loss 2.64, Reward 4.0, Avgloss 2.37, Avgreward 3.00, Epsilon 81.90, TotalStep 2665
Epoch 12: Loss 3.32, Reward 6.0, Avgloss 2.44, Avgreward 3.23, Epsilon 81.78, TotalStep 2972
Epoch 13: Loss 2.56, Reward 3.0, Avgloss 2.45, Avgreward 3.21, Epsilon 81.68, TotalStep 3211
Epoch 14: Loss 3.62, Reward 8.0, Avgloss 2.53, Avgreward 3.53, Epsilon 81.55, TotalStep 3532
Epoch 15: Loss 3.06, Reward 5.0, Avgloss 2.56, Avgreward 3.62, Epsilon 81.42, TotalStep 3833
Epoch 16: Loss 2.08, Reward 2.0, Avgloss 2.53, Avgreward 3.53, Epsilon 81.34, TotalStep 4041
Epoch 17: Loss 2.17, Reward 4.0, Avgloss 2.51, Avgreward 3.56, Epsilon 81.25, TotalStep 4256
Epoch 18: Loss 2.21, Reward 2.0, Avgloss 2.50, Avgreward 3.47, Epsilon 81.17, TotalStep 4462
Epoch 19: Loss 2.28, Reward 3.0, Avgloss 2.49, Avgreward 3.45, Epsilon 81.08, TotalStep 4672
Epoch 20: Loss 2.26, Reward 3.0, Avgloss 2.48, Avgreward 3.43, Epsilon 81.00, TotalStep 4881
Epoch 21: Loss 3.00, Reward 4.0, Avgloss 2.50, Avgreward 3.45, Epsilon 80.88, TotalStep 5170
Epoch 22: Loss 3.24, Reward 7.0, Avgloss 2.53, Avgreward 3.61, Epsilon 80.76, TotalStep 5471
Epoch 23: Loss 2.60, Reward 6.0, Avgloss 2.54, Avgreward 3.71, Epsilon 80.66, TotalStep 5726
Epoch 24: Loss 2.19, Reward 4.0, Avgloss 2.52, Avgreward 3.72, Epsilon 80.56, TotalStep 5960
Epoch 25: Loss 2.14, Reward 2.0, Avgloss 2.51, Avgreward 3.65, Epsilon 80.48, TotalStep 6164
Epoch 26: Loss 2.09, Reward 4.0, Avgloss 2.49, Avgreward 3.67, Epsilon 80.41, TotalStep 6337
Epoch 27: Loss 2.15, Reward 3.0, Avgloss 2.48, Avgreward 3.64, Epsilon 80.33, TotalStep 6544
Epoch 28: Loss 2.61, Reward 5.0, Avgloss 2.48, Avgreward 3.69, Epsilon 80.23, TotalStep 6788
Epoch 29: Loss 2.16, Reward 2.0, Avgloss 2.47, Avgreward 3.63, Epsilon 80.15, TotalStep 6999
Epoch 30: Loss 2.27, Reward 3.0, Avgloss 2.47, Avgreward 3.61, Epsilon 80.06, TotalStep 7204
Epoch 31: Loss 3.08, Reward 8.0, Avgloss 2.49, Avgreward 3.75, Epsilon 79.95, TotalStep 7484
Epoch 32: Loss 2.73, Reward 3.0, Avgloss 2.49, Avgreward 3.73, Epsilon 79.86, TotalStep 7722
Epoch 33: Loss 2.97, Reward 5.0, Avgloss 2.51, Avgreward 3.76, Epsilon 79.75, TotalStep 7984
Epoch 34: Loss 3.18, Reward 8.0, Avgloss 2.53, Avgreward 3.89, Epsilon 79.63, TotalStep 8280
Epoch 35: Loss 2.00, Reward 3.0, Avgloss 2.51, Avgreward 3.86, Epsilon 79.55, TotalStep 8478
Epoch 36: Loss 1.96, Reward 1.0, Avgloss 2.50, Avgreward 3.78, Epsilon 79.47, TotalStep 8682
Epoch 37: Loss 2.95, Reward 7.0, Avgloss 2.51, Avgreward 3.87, Epsilon 79.36, TotalStep 8963
Epoch 38: Loss 2.15, Reward 2.0, Avgloss 2.50, Avgreward 3.82, Epsilon 79.28, TotalStep 9164
Epoch 39: Loss 2.28, Reward 3.0, Avgloss 2.49, Avgreward 3.80, Epsilon 79.21, TotalStep 9359
Epoch 40: Loss 3.52, Reward 5.0, Avgloss 2.52, Avgreward 3.83, Epsilon 79.08, TotalStep 9667
Epoch 41: Loss 2.22, Reward 3.0, Avgloss 2.51, Avgreward 3.81, Epsilon 79.00, TotalStep 9868
Epoch 42: Loss 2.19, Reward 2.0, Avgloss 2.50, Avgreward 3.77, Epsilon 78.92, TotalStep 10071
Epoch 43: Loss 4.02, Reward 12.0, Avgloss 2.54, Avgreward 3.95, Epsilon 78.77, TotalStep 10457
Epoch 44: Loss 2.34, Reward 6.0, Avgloss 2.53, Avgreward 4.00, Epsilon 78.68, TotalStep 10697
Epoch 45: Loss 2.49, Reward 4.0, Avgloss 2.53, Avgreward 4.00, Epsilon 78.59, TotalStep 10930
Epoch 46: Loss 3.16, Reward 9.0, Avgloss 2.55, Avgreward 4.11, Epsilon 78.47, TotalStep 11234
Epoch 47: Loss 2.07, Reward 3.0, Avgloss 2.54, Avgreward 4.08, Epsilon 78.39, TotalStep 11420
Epoch 48: Loss 2.54, Reward 6.0, Avgloss 2.54, Avgreward 4.12, Epsilon 78.30, TotalStep 11667
Epoch 49: Loss 3.46, Reward 6.0, Avgloss 2.56, Avgreward 4.16, Epsilon 78.19, TotalStep 11945
Epoch 50: Loss 2.16, Reward 3.0, Avgloss 2.55, Avgreward 4.14, Epsilon 78.11, TotalStep 12148
Epoch 51: Loss 2.47, Reward 1.0, Avgloss 2.55, Avgreward 4.08, Epsilon 78.03, TotalStep 12360
Epoch 52: Loss 1.94, Reward 5.0, Avgloss 2.53, Avgreward 4.09, Epsilon 77.95, TotalStep 12563
Epoch 53: Loss 1.87, Reward 3.0, Avgloss 2.52, Avgreward 4.07, Epsilon 77.87, TotalStep 12746
Epoch 54: Loss 2.65, Reward 6.0, Avgloss 2.52, Avgreward 4.11, Epsilon 77.78, TotalStep 12994
Epoch 55: Loss 3.16, Reward 5.0, Avgloss 2.54, Avgreward 4.12, Epsilon 77.67, TotalStep 13265
Epoch 56: Loss 2.90, Reward 6.0, Avgloss 2.54, Avgreward 4.16, Epsilon 77.57, TotalStep 13532
Epoch 57: Loss 3.98, Reward 11.0, Avgloss 2.57, Avgreward 4.28, Epsilon 77.43, TotalStep 13885
Epoch 58: Loss 2.33, Reward 4.0, Avgloss 2.56, Avgreward 4.27, Epsilon 77.35, TotalStep 14096
Epoch 59: Loss 2.62, Reward 3.0, Avgloss 2.56, Avgreward 4.25, Epsilon 77.25, TotalStep 14350
Epoch 60: Loss 2.37, Reward 3.0, Avgloss 2.56, Avgreward 4.23, Epsilon 77.17, TotalStep 14556
Epoch 61: Loss 2.24, Reward 6.0, Avgloss 2.56, Avgreward 4.26, Epsilon 77.09, TotalStep 14773
Epoch 62: Loss 2.27, Reward 2.0, Avgloss 2.55, Avgreward 4.22, Epsilon 77.01, TotalStep 14979
Epoch 63: Loss 2.76, Reward 6.0, Avgloss 2.55, Avgreward 4.25, Epsilon 76.90, TotalStep 15253
Epoch 64: Loss 5.31, Reward 14.0, Avgloss 2.60, Avgreward 4.40, Epsilon 76.73, TotalStep 15714
Epoch 65: Loss 2.07, Reward 2.0, Avgloss 2.59, Avgreward 4.36, Epsilon 76.65, TotalStep 15916
Epoch 66: Loss 2.02, Reward 4.0, Avgloss 2.58, Avgreward 4.36, Epsilon 76.57, TotalStep 16121
Epoch 67: Loss 2.18, Reward 2.0, Avgloss 2.57, Avgreward 4.32, Epsilon 76.49, TotalStep 16323
Epoch 68: Loss 2.13, Reward 2.0, Avgloss 2.57, Avgreward 4.29, Epsilon 76.42, TotalStep 16510
Epoch 69: Loss 2.76, Reward 4.0, Avgloss 2.57, Avgreward 4.29, Epsilon 76.33, TotalStep 16762
Epoch 70: Loss 2.58, Reward 3.0, Avgloss 2.57, Avgreward 4.27, Epsilon 76.25, TotalStep 16968
Epoch 71: Loss 2.01, Reward 3.0, Avgloss 2.56, Avgreward 4.25, Epsilon 76.18, TotalStep 17139
Epoch 72: Loss 3.76, Reward 6.0, Avgloss 2.58, Avgreward 4.27, Epsilon 76.05, TotalStep 17476
