
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 3.36, Reward 5.0, Avgloss 3.36, Avgreward 5.00, Epsilon 150.65, TotalStep 305
Epoch 1: Loss 3.02, Reward 5.0, Avgloss 3.19, Avgreward 5.00, Epsilon 150.34, TotalStep 584
Epoch 2: Loss 2.89, Reward 5.0, Avgloss 3.09, Avgreward 5.00, Epsilon 150.03, TotalStep 857
Epoch 3: Loss 2.05, Reward 6.0, Avgloss 2.83, Avgreward 5.25, Epsilon 149.79, TotalStep 1065
Epoch 4: Loss 2.45, Reward 7.0, Avgloss 2.76, Avgreward 5.60, Epsilon 149.53, TotalStep 1299
Epoch 5: Loss 2.58, Reward 3.0, Avgloss 2.73, Avgreward 5.17, Epsilon 149.27, TotalStep 1527
Epoch 6: Loss 2.70, Reward 5.0, Avgloss 2.72, Avgreward 5.14, Epsilon 148.98, TotalStep 1785
Epoch 7: Loss 2.38, Reward 5.0, Avgloss 2.68, Avgreward 5.12, Epsilon 148.73, TotalStep 2010
Epoch 8: Loss 2.34, Reward 3.0, Avgloss 2.64, Avgreward 4.89, Epsilon 148.48, TotalStep 2225
Epoch 9: Loss 4.03, Reward 13.0, Avgloss 2.78, Avgreward 5.70, Epsilon 148.08, TotalStep 2583
Epoch 10: Loss 2.33, Reward 3.0, Avgloss 2.74, Avgreward 5.45, Epsilon 147.85, TotalStep 2788
Epoch 11: Loss 3.24, Reward 5.0, Avgloss 2.78, Avgreward 5.42, Epsilon 147.52, TotalStep 3092
Epoch 12: Loss 2.09, Reward 2.0, Avgloss 2.73, Avgreward 5.15, Epsilon 147.29, TotalStep 3295
Epoch 13: Loss 2.15, Reward 5.0, Avgloss 2.69, Avgreward 5.14, Epsilon 147.06, TotalStep 3506
Epoch 14: Loss 4.84, Reward 13.0, Avgloss 2.83, Avgreward 5.67, Epsilon 146.53, TotalStep 3979
Epoch 15: Loss 3.88, Reward 7.0, Avgloss 2.90, Avgreward 5.75, Epsilon 146.15, TotalStep 4327
Epoch 16: Loss 2.75, Reward 3.0, Avgloss 2.89, Avgreward 5.59, Epsilon 145.84, TotalStep 4602
Epoch 17: Loss 2.22, Reward 2.0, Avgloss 2.85, Avgreward 5.39, Epsilon 145.62, TotalStep 4807
Epoch 18: Loss 2.20, Reward 5.0, Avgloss 2.82, Avgreward 5.37, Epsilon 145.38, TotalStep 5020
Epoch 19: Loss 2.45, Reward 4.0, Avgloss 2.80, Avgreward 5.30, Epsilon 145.14, TotalStep 5243
Epoch 20: Loss 2.35, Reward 6.0, Avgloss 2.78, Avgreward 5.33, Epsilon 144.91, TotalStep 5455
Epoch 21: Loss 2.43, Reward 2.0, Avgloss 2.76, Avgreward 5.18, Epsilon 144.66, TotalStep 5684
Epoch 22: Loss 3.11, Reward 8.0, Avgloss 2.78, Avgreward 5.30, Epsilon 144.33, TotalStep 5981
Epoch 23: Loss 2.50, Reward 2.0, Avgloss 2.77, Avgreward 5.17, Epsilon 144.08, TotalStep 6214
Epoch 24: Loss 3.33, Reward 5.0, Avgloss 2.79, Avgreward 5.16, Epsilon 143.74, TotalStep 6528
Epoch 25: Loss 2.24, Reward 3.0, Avgloss 2.77, Avgreward 5.08, Epsilon 143.51, TotalStep 6737
Epoch 26: Loss 2.66, Reward 3.0, Avgloss 2.76, Avgreward 5.00, Epsilon 143.25, TotalStep 6976
Epoch 27: Loss 2.26, Reward 4.0, Avgloss 2.74, Avgreward 4.96, Epsilon 143.03, TotalStep 7178
Epoch 28: Loss 2.61, Reward 6.0, Avgloss 2.74, Avgreward 5.00, Epsilon 142.77, TotalStep 7418
Epoch 29: Loss 2.95, Reward 5.0, Avgloss 2.75, Avgreward 5.00, Epsilon 142.49, TotalStep 7685
Epoch 30: Loss 2.58, Reward 3.0, Avgloss 2.74, Avgreward 4.94, Epsilon 142.23, TotalStep 7922
Epoch 31: Loss 2.04, Reward 2.0, Avgloss 2.72, Avgreward 4.84, Epsilon 142.01, TotalStep 8125
Epoch 32: Loss 2.41, Reward 2.0, Avgloss 2.71, Avgreward 4.76, Epsilon 141.79, TotalStep 8334
Epoch 33: Loss 2.10, Reward 2.0, Avgloss 2.69, Avgreward 4.68, Epsilon 141.58, TotalStep 8531
Epoch 34: Loss 2.78, Reward 4.0, Avgloss 2.69, Avgreward 4.66, Epsilon 141.30, TotalStep 8793
Epoch 35: Loss 2.04, Reward 2.0, Avgloss 2.68, Avgreward 4.58, Epsilon 141.09, TotalStep 8993
Epoch 36: Loss 2.55, Reward 6.0, Avgloss 2.67, Avgreward 4.62, Epsilon 140.83, TotalStep 9232
Epoch 37: Loss 2.79, Reward 5.0, Avgloss 2.68, Avgreward 4.63, Epsilon 140.53, TotalStep 9512
Epoch 38: Loss 2.29, Reward 2.0, Avgloss 2.67, Avgreward 4.56, Epsilon 140.31, TotalStep 9722
Epoch 39: Loss 1.97, Reward 5.0, Avgloss 2.65, Avgreward 4.58, Epsilon 140.10, TotalStep 9923
Epoch 40: Loss 2.17, Reward 5.0, Avgloss 2.64, Avgreward 4.59, Epsilon 139.85, TotalStep 10157
Epoch 41: Loss 3.14, Reward 8.0, Avgloss 2.65, Avgreward 4.67, Epsilon 139.53, TotalStep 10461
Epoch 42: Loss 2.23, Reward 2.0, Avgloss 2.64, Avgreward 4.60, Epsilon 139.31, TotalStep 10670
Epoch 43: Loss 2.12, Reward 2.0, Avgloss 2.63, Avgreward 4.55, Epsilon 139.09, TotalStep 10876
Epoch 44: Loss 3.65, Reward 7.0, Avgloss 2.65, Avgreward 4.60, Epsilon 138.70, TotalStep 11251
Epoch 45: Loss 2.34, Reward 2.0, Avgloss 2.64, Avgreward 4.54, Epsilon 138.48, TotalStep 11461
Epoch 46: Loss 2.41, Reward 3.0, Avgloss 2.64, Avgreward 4.51, Epsilon 138.22, TotalStep 11714
