
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 2.88, Reward 3.0, Avgloss 2.88, Avgreward 3.00, Epsilon 118.54, TotalStep 267
Epoch 1: Loss 1.98, Reward 5.0, Avgloss 2.43, Avgreward 4.00, Epsilon 118.21, TotalStep 460
Epoch 2: Loss 3.10, Reward 8.0, Avgloss 2.65, Avgreward 5.33, Epsilon 117.71, TotalStep 757
Epoch 3: Loss 1.86, Reward 5.0, Avgloss 2.45, Avgreward 5.25, Epsilon 117.38, TotalStep 950
Epoch 4: Loss 2.57, Reward 5.0, Avgloss 2.48, Avgreward 5.20, Epsilon 116.93, TotalStep 1216
Epoch 5: Loss 2.69, Reward 6.0, Avgloss 2.51, Avgreward 5.33, Epsilon 116.49, TotalStep 1479
Epoch 6: Loss 2.05, Reward 3.0, Avgloss 2.45, Avgreward 5.00, Epsilon 116.14, TotalStep 1685
Epoch 7: Loss 2.21, Reward 4.0, Avgloss 2.42, Avgreward 4.88, Epsilon 115.79, TotalStep 1895
Epoch 8: Loss 2.03, Reward 5.0, Avgloss 2.37, Avgreward 4.89, Epsilon 115.44, TotalStep 2100
Epoch 9: Loss 3.99, Reward 7.0, Avgloss 2.54, Avgreward 5.10, Epsilon 114.75, TotalStep 2519
Epoch 10: Loss 2.12, Reward 3.0, Avgloss 2.50, Avgreward 4.91, Epsilon 114.41, TotalStep 2723
Epoch 11: Loss 2.26, Reward 5.0, Avgloss 2.48, Avgreward 4.92, Epsilon 114.07, TotalStep 2928
Epoch 12: Loss 2.93, Reward 9.0, Avgloss 2.51, Avgreward 5.23, Epsilon 113.55, TotalStep 3245
Epoch 13: Loss 2.00, Reward 2.0, Avgloss 2.48, Avgreward 5.00, Epsilon 113.21, TotalStep 3455
Epoch 14: Loss 3.87, Reward 10.0, Avgloss 2.57, Avgreward 5.33, Epsilon 112.57, TotalStep 3845
Epoch 15: Loss 1.97, Reward 4.0, Avgloss 2.53, Avgreward 5.25, Epsilon 112.23, TotalStep 4052
Epoch 16: Loss 2.34, Reward 3.0, Avgloss 2.52, Avgreward 5.12, Epsilon 111.89, TotalStep 4263
Epoch 17: Loss 2.70, Reward 5.0, Avgloss 2.53, Avgreward 5.11, Epsilon 111.47, TotalStep 4523
Epoch 18: Loss 2.94, Reward 11.0, Avgloss 2.55, Avgreward 5.42, Epsilon 110.99, TotalStep 4825
Epoch 19: Loss 4.54, Reward 11.0, Avgloss 2.65, Avgreward 5.70, Epsilon 110.25, TotalStep 5285
Epoch 20: Loss 2.18, Reward 4.0, Avgloss 2.63, Avgreward 5.62, Epsilon 109.88, TotalStep 5518
Epoch 21: Loss 2.26, Reward 4.0, Avgloss 2.61, Avgreward 5.55, Epsilon 109.54, TotalStep 5734
Epoch 22: Loss 1.70, Reward 3.0, Avgloss 2.57, Avgreward 5.43, Epsilon 109.27, TotalStep 5907
Epoch 23: Loss 2.01, Reward 3.0, Avgloss 2.55, Avgreward 5.33, Epsilon 108.94, TotalStep 6114
Epoch 24: Loss 3.34, Reward 5.0, Avgloss 2.58, Avgreward 5.32, Epsilon 108.43, TotalStep 6438
Epoch 25: Loss 1.78, Reward 3.0, Avgloss 2.55, Avgreward 5.23, Epsilon 108.13, TotalStep 6629
Epoch 26: Loss 3.38, Reward 8.0, Avgloss 2.58, Avgreward 5.33, Epsilon 107.57, TotalStep 6987
Epoch 27: Loss 3.14, Reward 7.0, Avgloss 2.60, Avgreward 5.39, Epsilon 107.10, TotalStep 7292
