
Warming up...
Eval epoch 0: Reward 1.0
Epoch 0: Loss 2.10, Reward 4.0, Avgloss 2.10, Avgreward 4.00, Epsilon 87.91, TotalStep 194
Epoch 1: Loss 2.47, Reward 3.0, Avgloss 2.28, Avgreward 3.50, Epsilon 87.80, TotalStep 406
Epoch 2: Loss 2.02, Reward 3.0, Avgloss 2.20, Avgreward 3.33, Epsilon 87.72, TotalStep 591
Epoch 3: Loss 3.18, Reward 5.0, Avgloss 2.44, Avgreward 3.75, Epsilon 87.58, TotalStep 868
Epoch 4: Loss 3.70, Reward 10.0, Avgloss 2.69, Avgreward 5.00, Epsilon 87.42, TotalStep 1212
Epoch 5: Loss 2.24, Reward 2.0, Avgloss 2.62, Avgreward 4.50, Epsilon 87.32, TotalStep 1419
Epoch 6: Loss 2.83, Reward 4.0, Avgloss 2.65, Avgreward 4.43, Epsilon 87.21, TotalStep 1651
Epoch 7: Loss 2.26, Reward 2.0, Avgloss 2.60, Avgreward 4.12, Epsilon 87.10, TotalStep 1871
Epoch 8: Loss 2.25, Reward 6.0, Avgloss 2.56, Avgreward 4.33, Epsilon 87.00, TotalStep 2090
Epoch 9: Loss 2.69, Reward 5.0, Avgloss 2.57, Avgreward 4.40, Epsilon 86.88, TotalStep 2336
Epoch 10: Loss 2.42, Reward 4.0, Avgloss 2.56, Avgreward 4.36, Epsilon 86.76, TotalStep 2578
Epoch 11: Loss 2.01, Reward 2.0, Avgloss 2.51, Avgreward 4.17, Epsilon 86.67, TotalStep 2786
Epoch 12: Loss 1.92, Reward 2.0, Avgloss 2.47, Avgreward 4.00, Epsilon 86.57, TotalStep 2983
Epoch 13: Loss 2.85, Reward 7.0, Avgloss 2.50, Avgreward 4.21, Epsilon 86.44, TotalStep 3271
Epoch 14: Loss 3.27, Reward 9.0, Avgloss 2.55, Avgreward 4.53, Epsilon 86.29, TotalStep 3582
Epoch 15: Loss 2.16, Reward 3.0, Avgloss 2.52, Avgreward 4.44, Epsilon 86.19, TotalStep 3793
Epoch 16: Loss 2.46, Reward 2.0, Avgloss 2.52, Avgreward 4.29, Epsilon 86.08, TotalStep 4014
Epoch 17: Loss 2.37, Reward 3.0, Avgloss 2.51, Avgreward 4.22, Epsilon 85.99, TotalStep 4210
Epoch 18: Loss 2.31, Reward 3.0, Avgloss 2.50, Avgreward 4.16, Epsilon 85.89, TotalStep 4420
Epoch 19: Loss 3.51, Reward 10.0, Avgloss 2.55, Avgreward 4.45, Epsilon 85.73, TotalStep 4757
Epoch 20: Loss 2.53, Reward 6.0, Avgloss 2.55, Avgreward 4.52, Epsilon 85.62, TotalStep 4996
Epoch 21: Loss 3.68, Reward 7.0, Avgloss 2.60, Avgreward 4.64, Epsilon 85.45, TotalStep 5356
Epoch 22: Loss 2.40, Reward 5.0, Avgloss 2.59, Avgreward 4.65, Epsilon 85.36, TotalStep 5564
