
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 2.08, Reward 2.0, Avgloss 2.08, Avgreward 2.00, Epsilon 262.25, TotalStep 242
Epoch 1: Loss 2.05, Reward 4.0, Avgloss 2.07, Avgreward 3.00, Epsilon 261.59, TotalStep 453
Epoch 2: Loss 2.17, Reward 5.0, Avgloss 2.10, Avgreward 3.67, Epsilon 260.92, TotalStep 668
Epoch 3: Loss 1.88, Reward 4.0, Avgloss 2.04, Avgreward 3.75, Epsilon 260.26, TotalStep 881
Epoch 4: Loss 3.48, Reward 11.0, Avgloss 2.33, Avgreward 5.20, Epsilon 259.13, TotalStep 1247
Epoch 5: Loss 2.73, Reward 4.0, Avgloss 2.40, Avgreward 5.00, Epsilon 258.23, TotalStep 1539
Epoch 6: Loss 2.76, Reward 5.0, Avgloss 2.45, Avgreward 5.00, Epsilon 257.43, TotalStep 1800
Epoch 7: Loss 1.93, Reward 2.0, Avgloss 2.39, Avgreward 4.62, Epsilon 256.78, TotalStep 2012
Epoch 8: Loss 2.98, Reward 9.0, Avgloss 2.45, Avgreward 5.11, Epsilon 255.88, TotalStep 2308
Epoch 9: Loss 2.60, Reward 4.0, Avgloss 2.47, Avgreward 5.00, Epsilon 255.13, TotalStep 2552
Epoch 10: Loss 2.29, Reward 4.0, Avgloss 2.45, Avgreward 4.91, Epsilon 254.42, TotalStep 2786
Epoch 11: Loss 2.73, Reward 4.0, Avgloss 2.47, Avgreward 4.83, Epsilon 253.68, TotalStep 3033
Epoch 12: Loss 2.92, Reward 8.0, Avgloss 2.51, Avgreward 5.08, Epsilon 252.81, TotalStep 3322
Epoch 13: Loss 2.16, Reward 3.0, Avgloss 2.48, Avgreward 4.93, Epsilon 252.21, TotalStep 3521
Epoch 14: Loss 2.12, Reward 3.0, Avgloss 2.46, Avgreward 4.80, Epsilon 251.57, TotalStep 3733
Epoch 15: Loss 1.95, Reward 2.0, Avgloss 2.43, Avgreward 4.62, Epsilon 250.94, TotalStep 3945
Epoch 16: Loss 1.97, Reward 4.0, Avgloss 2.40, Avgreward 4.59, Epsilon 250.31, TotalStep 4156
Epoch 17: Loss 2.06, Reward 1.0, Avgloss 2.38, Avgreward 4.39, Epsilon 249.70, TotalStep 4362
Epoch 18: Loss 1.86, Reward 2.0, Avgloss 2.35, Avgreward 4.26, Epsilon 249.12, TotalStep 4557
Epoch 19: Loss 2.20, Reward 5.0, Avgloss 2.35, Avgreward 4.30, Epsilon 248.49, TotalStep 4770
Epoch 20: Loss 1.96, Reward 3.0, Avgloss 2.33, Avgreward 4.24, Epsilon 247.92, TotalStep 4963
Epoch 21: Loss 2.23, Reward 4.0, Avgloss 2.32, Avgreward 4.23, Epsilon 247.19, TotalStep 5208
Epoch 22: Loss 2.16, Reward 2.0, Avgloss 2.32, Avgreward 4.13, Epsilon 246.48, TotalStep 5450
Epoch 23: Loss 1.96, Reward 4.0, Avgloss 2.30, Avgreward 4.12, Epsilon 245.83, TotalStep 5672
Epoch 24: Loss 2.16, Reward 3.0, Avgloss 2.30, Avgreward 4.08, Epsilon 245.18, TotalStep 5896
Epoch 25: Loss 1.55, Reward 3.0, Avgloss 2.27, Avgreward 4.04, Epsilon 244.68, TotalStep 6067
