
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 2.37, Reward 2.0, Avgloss 2.37, Avgreward 2.00, Epsilon 3.00, TotalStep 200
Epoch 1: Loss 2.34, Reward 5.0, Avgloss 2.36, Avgreward 3.50, Epsilon 2.99, TotalStep 426
Epoch 2: Loss 1.96, Reward 3.0, Avgloss 2.22, Avgreward 3.33, Epsilon 2.99, TotalStep 631
Epoch 3: Loss 2.53, Reward 6.0, Avgloss 2.30, Avgreward 4.00, Epsilon 2.98, TotalStep 885
Epoch 4: Loss 2.25, Reward 4.0, Avgloss 2.29, Avgreward 4.00, Epsilon 2.98, TotalStep 1124
Epoch 5: Loss 1.94, Reward 2.0, Avgloss 2.23, Avgreward 3.67, Epsilon 2.97, TotalStep 1332
Epoch 6: Loss 2.22, Reward 4.0, Avgloss 2.23, Avgreward 3.71, Epsilon 2.97, TotalStep 1559
Epoch 7: Loss 2.31, Reward 2.0, Avgloss 2.24, Avgreward 3.50, Epsilon 2.96, TotalStep 1772
Epoch 8: Loss 2.50, Reward 9.0, Avgloss 2.27, Avgreward 4.11, Epsilon 2.96, TotalStep 2015
Epoch 9: Loss 2.50, Reward 6.0, Avgloss 2.29, Avgreward 4.30, Epsilon 2.95, TotalStep 2269
Epoch 10: Loss 1.95, Reward 3.0, Avgloss 2.26, Avgreward 4.18, Epsilon 2.95, TotalStep 2485
Epoch 11: Loss 2.27, Reward 3.0, Avgloss 2.26, Avgreward 4.08, Epsilon 2.94, TotalStep 2727
Epoch 12: Loss 2.51, Reward 7.0, Avgloss 2.28, Avgreward 4.31, Epsilon 2.94, TotalStep 2983
Epoch 13: Loss 2.43, Reward 5.0, Avgloss 2.29, Avgreward 4.36, Epsilon 2.93, TotalStep 3254
Epoch 14: Loss 2.19, Reward 3.0, Avgloss 2.28, Avgreward 4.27, Epsilon 2.92, TotalStep 3470
Epoch 15: Loss 2.91, Reward 7.0, Avgloss 2.32, Avgreward 4.44, Epsilon 2.92, TotalStep 3774
Epoch 16: Loss 2.35, Reward 3.0, Avgloss 2.32, Avgreward 4.35, Epsilon 2.91, TotalStep 4013
Epoch 17: Loss 1.97, Reward 2.0, Avgloss 2.31, Avgreward 4.22, Epsilon 2.91, TotalStep 4219
Epoch 18: Loss 1.86, Reward 5.0, Avgloss 2.28, Avgreward 4.26, Epsilon 2.90, TotalStep 4426
Epoch 19: Loss 2.28, Reward 5.0, Avgloss 2.28, Avgreward 4.30, Epsilon 2.90, TotalStep 4661
Epoch 20: Loss 1.82, Reward 2.0, Avgloss 2.26, Avgreward 4.19, Epsilon 2.90, TotalStep 4869
Epoch 21: Loss 2.87, Reward 5.0, Avgloss 2.29, Avgreward 4.23, Epsilon 2.89, TotalStep 5177
Epoch 22: Loss 2.28, Reward 5.0, Avgloss 2.29, Avgreward 4.26, Epsilon 2.88, TotalStep 5411
Epoch 23: Loss 2.65, Reward 3.0, Avgloss 2.30, Avgreward 4.21, Epsilon 2.88, TotalStep 5671
Epoch 24: Loss 2.19, Reward 3.0, Avgloss 2.30, Avgreward 4.16, Epsilon 2.87, TotalStep 5880
Epoch 25: Loss 2.33, Reward 5.0, Avgloss 2.30, Avgreward 4.19, Epsilon 2.87, TotalStep 6114
