
Warming up...
Eval epoch 0: Reward 5.0
Epoch 0: Loss 1.90, Reward 5.0, Avgloss 1.90, Avgreward 5.00, Epsilon 184.74, TotalStep 206
Epoch 1: Loss 2.58, Reward 4.0, Avgloss 2.24, Avgreward 4.50, Epsilon 184.43, TotalStep 452
Epoch 2: Loss 2.12, Reward 5.0, Avgloss 2.20, Avgreward 4.67, Epsilon 184.16, TotalStep 668
Epoch 3: Loss 1.91, Reward 3.0, Avgloss 2.13, Avgreward 4.25, Epsilon 183.92, TotalStep 866
Epoch 4: Loss 2.04, Reward 2.0, Avgloss 2.11, Avgreward 3.80, Epsilon 183.66, TotalStep 1075
Epoch 5: Loss 2.47, Reward 4.0, Avgloss 2.17, Avgreward 3.83, Epsilon 183.34, TotalStep 1333
Epoch 6: Loss 3.01, Reward 6.0, Avgloss 2.29, Avgreward 4.14, Epsilon 182.96, TotalStep 1633
Epoch 7: Loss 1.71, Reward 3.0, Avgloss 2.22, Avgreward 4.00, Epsilon 182.75, TotalStep 1807
Epoch 8: Loss 4.40, Reward 14.0, Avgloss 2.46, Avgreward 5.11, Epsilon 182.21, TotalStep 2237
Epoch 9: Loss 2.55, Reward 8.0, Avgloss 2.47, Avgreward 5.40, Epsilon 181.89, TotalStep 2500
Epoch 10: Loss 2.02, Reward 5.0, Avgloss 2.43, Avgreward 5.36, Epsilon 181.63, TotalStep 2707
Epoch 11: Loss 2.23, Reward 2.0, Avgloss 2.41, Avgreward 5.08, Epsilon 181.36, TotalStep 2933
Epoch 12: Loss 1.89, Reward 3.0, Avgloss 2.37, Avgreward 4.92, Epsilon 181.10, TotalStep 3137
Epoch 13: Loss 3.15, Reward 8.0, Avgloss 2.43, Avgreward 5.14, Epsilon 180.69, TotalStep 3471
Epoch 14: Loss 3.00, Reward 6.0, Avgloss 2.47, Avgreward 5.20, Epsilon 180.33, TotalStep 3765
Epoch 15: Loss 2.55, Reward 6.0, Avgloss 2.47, Avgreward 5.25, Epsilon 180.04, TotalStep 4004
Epoch 16: Loss 1.95, Reward 2.0, Avgloss 2.44, Avgreward 5.06, Epsilon 179.79, TotalStep 4213
Epoch 17: Loss 2.38, Reward 5.0, Avgloss 2.44, Avgreward 5.06, Epsilon 179.50, TotalStep 4445
Epoch 18: Loss 2.35, Reward 4.0, Avgloss 2.43, Avgreward 5.00, Epsilon 179.21, TotalStep 4687
Epoch 19: Loss 2.16, Reward 3.0, Avgloss 2.42, Avgreward 4.90, Epsilon 178.94, TotalStep 4906
Epoch 20: Loss 2.20, Reward 4.0, Avgloss 2.41, Avgreward 4.86, Epsilon 178.67, TotalStep 5129
Epoch 21: Loss 3.48, Reward 9.0, Avgloss 2.46, Avgreward 5.05, Epsilon 178.24, TotalStep 5483
Epoch 22: Loss 2.14, Reward 3.0, Avgloss 2.44, Avgreward 4.96, Epsilon 177.99, TotalStep 5690
Epoch 23: Loss 1.99, Reward 1.0, Avgloss 2.42, Avgreward 4.79, Epsilon 177.75, TotalStep 5893
Epoch 24: Loss 2.41, Reward 4.0, Avgloss 2.42, Avgreward 4.76, Epsilon 177.46, TotalStep 6135
Epoch 25: Loss 2.29, Reward 4.0, Avgloss 2.42, Avgreward 4.73, Epsilon 177.21, TotalStep 6344
Epoch 26: Loss 2.95, Reward 5.0, Avgloss 2.44, Avgreward 4.74, Epsilon 176.87, TotalStep 6625
Epoch 27: Loss 2.02, Reward 1.0, Avgloss 2.42, Avgreward 4.61, Epsilon 176.62, TotalStep 6829
Epoch 28: Loss 2.61, Reward 7.0, Avgloss 2.43, Avgreward 4.69, Epsilon 176.30, TotalStep 7098
Epoch 29: Loss 2.21, Reward 2.0, Avgloss 2.42, Avgreward 4.60, Epsilon 176.05, TotalStep 7310
Epoch 30: Loss 2.00, Reward 4.0, Avgloss 2.41, Avgreward 4.58, Epsilon 175.81, TotalStep 7512
Epoch 31: Loss 2.42, Reward 5.0, Avgloss 2.41, Avgreward 4.59, Epsilon 175.50, TotalStep 7766
Epoch 32: Loss 2.73, Reward 7.0, Avgloss 2.42, Avgreward 4.67, Epsilon 175.17, TotalStep 8043
Epoch 33: Loss 1.90, Reward 3.0, Avgloss 2.40, Avgreward 4.62, Epsilon 174.93, TotalStep 8249
Epoch 34: Loss 2.24, Reward 4.0, Avgloss 2.40, Avgreward 4.60, Epsilon 174.67, TotalStep 8467
Epoch 35: Loss 2.59, Reward 6.0, Avgloss 2.40, Avgreward 4.64, Epsilon 174.37, TotalStep 8718
Epoch 36: Loss 2.05, Reward 3.0, Avgloss 2.39, Avgreward 4.59, Epsilon 174.11, TotalStep 8938
Epoch 37: Loss 3.33, Reward 7.0, Avgloss 2.42, Avgreward 4.66, Epsilon 173.73, TotalStep 9260
Epoch 38: Loss 1.97, Reward 4.0, Avgloss 2.41, Avgreward 4.64, Epsilon 173.50, TotalStep 9460
Epoch 39: Loss 2.44, Reward 4.0, Avgloss 2.41, Avgreward 4.62, Epsilon 173.22, TotalStep 9694
Epoch 40: Loss 1.92, Reward 2.0, Avgloss 2.40, Avgreward 4.56, Epsilon 172.99, TotalStep 9889
Epoch 41: Loss 2.05, Reward 1.0, Avgloss 2.39, Avgreward 4.48, Epsilon 172.75, TotalStep 10100
Epoch 42: Loss 1.76, Reward 2.0, Avgloss 2.37, Avgreward 4.42, Epsilon 172.52, TotalStep 10290
Epoch 43: Loss 1.74, Reward 3.0, Avgloss 2.36, Avgreward 4.39, Epsilon 172.27, TotalStep 10505
Epoch 44: Loss 1.75, Reward 3.0, Avgloss 2.35, Avgreward 4.36, Epsilon 172.04, TotalStep 10705
Epoch 45: Loss 3.48, Reward 7.0, Avgloss 2.37, Avgreward 4.41, Epsilon 171.64, TotalStep 11043
Epoch 46: Loss 1.99, Reward 5.0, Avgloss 2.36, Avgreward 4.43, Epsilon 171.42, TotalStep 11239
Epoch 47: Loss 2.03, Reward 5.0, Avgloss 2.35, Avgreward 4.44, Epsilon 171.16, TotalStep 11461
Epoch 48: Loss 2.06, Reward 3.0, Avgloss 2.35, Avgreward 4.41, Epsilon 170.91, TotalStep 11676
Epoch 49: Loss 2.84, Reward 5.0, Avgloss 2.36, Avgreward 4.42, Epsilon 170.56, TotalStep 11978
Epoch 50: Loss 3.23, Reward 7.0, Avgloss 2.38, Avgreward 4.47, Epsilon 170.15, TotalStep 12328
