
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 2.56, Reward 1.0, Avgloss 2.56, Avgreward 1.00, Epsilon 24.95, TotalStep 217
Epoch 1: Loss 3.52, Reward 8.0, Avgloss 3.04, Avgreward 4.50, Epsilon 24.87, TotalStep 561
Epoch 2: Loss 1.98, Reward 3.0, Avgloss 2.69, Avgreward 4.00, Epsilon 24.82, TotalStep 773
Epoch 3: Loss 2.54, Reward 2.0, Avgloss 2.65, Avgreward 3.50, Epsilon 24.77, TotalStep 998
Epoch 4: Loss 3.63, Reward 8.0, Avgloss 2.85, Avgreward 4.40, Epsilon 24.69, TotalStep 1315
Epoch 5: Loss 1.90, Reward 3.0, Avgloss 2.69, Avgreward 4.17, Epsilon 24.65, TotalStep 1491
Epoch 6: Loss 2.65, Reward 4.0, Avgloss 2.68, Avgreward 4.14, Epsilon 24.60, TotalStep 1709
Epoch 7: Loss 3.55, Reward 8.0, Avgloss 2.79, Avgreward 4.62, Epsilon 24.53, TotalStep 2021
Epoch 8: Loss 2.13, Reward 2.0, Avgloss 2.72, Avgreward 4.33, Epsilon 24.48, TotalStep 2225
Epoch 9: Loss 1.96, Reward 3.0, Avgloss 2.64, Avgreward 4.20, Epsilon 24.44, TotalStep 2422
Epoch 10: Loss 2.32, Reward 2.0, Avgloss 2.61, Avgreward 4.00, Epsilon 24.39, TotalStep 2626
Epoch 11: Loss 2.48, Reward 2.0, Avgloss 2.60, Avgreward 3.83, Epsilon 24.35, TotalStep 2836
Epoch 12: Loss 2.57, Reward 3.0, Avgloss 2.60, Avgreward 3.77, Epsilon 24.30, TotalStep 3049
Epoch 13: Loss 3.77, Reward 5.0, Avgloss 2.68, Avgreward 3.86, Epsilon 24.23, TotalStep 3352
Epoch 14: Loss 2.41, Reward 6.0, Avgloss 2.66, Avgreward 4.00, Epsilon 24.18, TotalStep 3580
Epoch 15: Loss 3.03, Reward 8.0, Avgloss 2.69, Avgreward 4.25, Epsilon 24.11, TotalStep 3876
Epoch 16: Loss 3.53, Reward 6.0, Avgloss 2.74, Avgreward 4.35, Epsilon 24.04, TotalStep 4181
Epoch 17: Loss 2.80, Reward 6.0, Avgloss 2.74, Avgreward 4.44, Epsilon 23.99, TotalStep 4417
Epoch 18: Loss 2.07, Reward 5.0, Avgloss 2.71, Avgreward 4.47, Epsilon 23.94, TotalStep 4622
Epoch 19: Loss 2.66, Reward 1.0, Avgloss 2.70, Avgreward 4.30, Epsilon 23.89, TotalStep 4841
Epoch 20: Loss 1.65, Reward 2.0, Avgloss 2.65, Avgreward 4.19, Epsilon 23.85, TotalStep 5012
Epoch 21: Loss 2.16, Reward 2.0, Avgloss 2.63, Avgreward 4.09, Epsilon 23.81, TotalStep 5221
Epoch 22: Loss 3.33, Reward 6.0, Avgloss 2.66, Avgreward 4.17, Epsilon 23.74, TotalStep 5526
Epoch 23: Loss 3.36, Reward 7.0, Avgloss 2.69, Avgreward 4.29, Epsilon 23.67, TotalStep 5826
Epoch 24: Loss 2.76, Reward 5.0, Avgloss 2.69, Avgreward 4.32, Epsilon 23.61, TotalStep 6092
Epoch 25: Loss 2.38, Reward 5.0, Avgloss 2.68, Avgreward 4.35, Epsilon 23.57, TotalStep 6286
Epoch 26: Loss 2.26, Reward 2.0, Avgloss 2.67, Avgreward 4.26, Epsilon 23.53, TotalStep 6486
Epoch 27: Loss 5.01, Reward 12.0, Avgloss 2.75, Avgreward 4.54, Epsilon 23.44, TotalStep 6900
Epoch 28: Loss 2.28, Reward 3.0, Avgloss 2.73, Avgreward 4.48, Epsilon 23.39, TotalStep 7115
Epoch 29: Loss 2.55, Reward 4.0, Avgloss 2.73, Avgreward 4.47, Epsilon 23.34, TotalStep 7326
Epoch 30: Loss 2.82, Reward 4.0, Avgloss 2.73, Avgreward 4.45, Epsilon 23.29, TotalStep 7563
Epoch 31: Loss 2.82, Reward 3.0, Avgloss 2.73, Avgreward 4.41, Epsilon 23.24, TotalStep 7789
Epoch 32: Loss 3.20, Reward 4.0, Avgloss 2.75, Avgreward 4.39, Epsilon 23.18, TotalStep 8061
Epoch 33: Loss 3.00, Reward 4.0, Avgloss 2.75, Avgreward 4.38, Epsilon 23.13, TotalStep 8310
Epoch 34: Loss 3.69, Reward 6.0, Avgloss 2.78, Avgreward 4.43, Epsilon 23.06, TotalStep 8622
