
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 2.16, Reward 3.0, Avgloss 2.16, Avgreward 3.00, Epsilon 204.66, TotalStep 202
Epoch 1: Loss 2.50, Reward 4.0, Avgloss 2.33, Avgreward 3.50, Epsilon 204.28, TotalStep 433
Epoch 2: Loss 2.43, Reward 2.0, Avgloss 2.36, Avgreward 3.00, Epsilon 203.93, TotalStep 641
Epoch 3: Loss 3.43, Reward 8.0, Avgloss 2.63, Avgreward 4.25, Epsilon 203.38, TotalStep 970
Epoch 4: Loss 2.22, Reward 6.0, Avgloss 2.55, Avgreward 4.60, Epsilon 203.04, TotalStep 1178
Epoch 5: Loss 3.61, Reward 10.0, Avgloss 2.72, Avgreward 5.50, Epsilon 202.53, TotalStep 1487
Epoch 6: Loss 2.84, Reward 3.0, Avgloss 2.74, Avgreward 5.14, Epsilon 202.11, TotalStep 1738
Epoch 7: Loss 3.15, Reward 5.0, Avgloss 2.79, Avgreward 5.12, Epsilon 201.62, TotalStep 2034
Epoch 8: Loss 2.08, Reward 2.0, Avgloss 2.71, Avgreward 4.78, Epsilon 201.29, TotalStep 2235
Epoch 9: Loss 1.83, Reward 3.0, Avgloss 2.62, Avgreward 4.60, Epsilon 200.98, TotalStep 2426
Epoch 10: Loss 2.24, Reward 5.0, Avgloss 2.59, Avgreward 4.64, Epsilon 200.64, TotalStep 2630
Epoch 11: Loss 2.02, Reward 4.0, Avgloss 2.54, Avgreward 4.58, Epsilon 200.31, TotalStep 2832
Epoch 12: Loss 2.16, Reward 3.0, Avgloss 2.51, Avgreward 4.46, Epsilon 199.96, TotalStep 3049
Epoch 13: Loss 2.20, Reward 3.0, Avgloss 2.49, Avgreward 4.36, Epsilon 199.61, TotalStep 3263
Epoch 14: Loss 2.35, Reward 2.0, Avgloss 2.48, Avgreward 4.20, Epsilon 199.27, TotalStep 3472
Epoch 15: Loss 2.81, Reward 7.0, Avgloss 2.50, Avgreward 4.38, Epsilon 198.84, TotalStep 3738
Epoch 16: Loss 2.73, Reward 3.0, Avgloss 2.52, Avgreward 4.29, Epsilon 198.47, TotalStep 3963
Epoch 17: Loss 3.49, Reward 7.0, Avgloss 2.57, Avgreward 4.44, Epsilon 197.94, TotalStep 4293
Epoch 18: Loss 2.33, Reward 3.0, Avgloss 2.56, Avgreward 4.37, Epsilon 197.61, TotalStep 4496
Epoch 19: Loss 2.55, Reward 1.0, Avgloss 2.56, Avgreward 4.20, Epsilon 197.26, TotalStep 4713
Epoch 20: Loss 2.31, Reward 4.0, Avgloss 2.55, Avgreward 4.19, Epsilon 196.92, TotalStep 4926
Epoch 21: Loss 2.41, Reward 3.0, Avgloss 2.54, Avgreward 4.14, Epsilon 196.59, TotalStep 5131
Epoch 22: Loss 2.06, Reward 3.0, Avgloss 2.52, Avgreward 4.09, Epsilon 196.26, TotalStep 5335
Epoch 23: Loss 2.36, Reward 3.0, Avgloss 2.51, Avgreward 4.04, Epsilon 195.90, TotalStep 5558
Epoch 24: Loss 2.10, Reward 3.0, Avgloss 2.49, Avgreward 4.00, Epsilon 195.58, TotalStep 5759
Epoch 25: Loss 3.74, Reward 7.0, Avgloss 2.54, Avgreward 4.12, Epsilon 195.03, TotalStep 6106
Epoch 26: Loss 2.59, Reward 3.0, Avgloss 2.54, Avgreward 4.07, Epsilon 194.59, TotalStep 6382
Epoch 27: Loss 4.03, Reward 11.0, Avgloss 2.60, Avgreward 4.32, Epsilon 193.93, TotalStep 6800
Epoch 28: Loss 1.95, Reward 3.0, Avgloss 2.58, Avgreward 4.28, Epsilon 193.59, TotalStep 7011
Epoch 29: Loss 2.16, Reward 2.0, Avgloss 2.56, Avgreward 4.20, Epsilon 193.27, TotalStep 7216
Epoch 30: Loss 2.06, Reward 2.0, Avgloss 2.55, Avgreward 4.13, Epsilon 192.97, TotalStep 7407
Epoch 31: Loss 2.34, Reward 4.0, Avgloss 2.54, Avgreward 4.12, Epsilon 192.63, TotalStep 7623
Epoch 32: Loss 2.20, Reward 2.0, Avgloss 2.53, Avgreward 4.06, Epsilon 192.31, TotalStep 7827
Epoch 33: Loss 2.35, Reward 3.0, Avgloss 2.52, Avgreward 4.03, Epsilon 191.96, TotalStep 8044
Epoch 34: Loss 2.05, Reward 2.0, Avgloss 2.51, Avgreward 3.97, Epsilon 191.65, TotalStep 8244
Epoch 35: Loss 2.04, Reward 2.0, Avgloss 2.50, Avgreward 3.92, Epsilon 191.33, TotalStep 8449
Epoch 36: Loss 1.97, Reward 2.0, Avgloss 2.48, Avgreward 3.86, Epsilon 191.04, TotalStep 8638
Epoch 37: Loss 1.92, Reward 2.0, Avgloss 2.47, Avgreward 3.82, Epsilon 190.71, TotalStep 8848
Epoch 38: Loss 3.10, Reward 6.0, Avgloss 2.48, Avgreward 3.87, Epsilon 190.26, TotalStep 9133
Epoch 39: Loss 3.15, Reward 8.0, Avgloss 2.50, Avgreward 3.98, Epsilon 189.77, TotalStep 9449
Epoch 40: Loss 2.89, Reward 7.0, Avgloss 2.51, Avgreward 4.05, Epsilon 189.33, TotalStep 9737
Epoch 41: Loss 2.75, Reward 4.0, Avgloss 2.52, Avgreward 4.05, Epsilon 188.90, TotalStep 10016
Epoch 42: Loss 1.85, Reward 3.0, Avgloss 2.50, Avgreward 4.02, Epsilon 188.58, TotalStep 10225
Epoch 43: Loss 2.18, Reward 6.0, Avgloss 2.49, Avgreward 4.07, Epsilon 188.25, TotalStep 10437
Epoch 44: Loss 2.06, Reward 6.0, Avgloss 2.48, Avgreward 4.11, Epsilon 187.93, TotalStep 10644
Epoch 45: Loss 2.71, Reward 2.0, Avgloss 2.49, Avgreward 4.07, Epsilon 187.57, TotalStep 10880
Epoch 46: Loss 2.00, Reward 4.0, Avgloss 2.48, Avgreward 4.06, Epsilon 187.25, TotalStep 11089
Epoch 47: Loss 3.22, Reward 9.0, Avgloss 2.49, Avgreward 4.17, Epsilon 186.74, TotalStep 11423
Epoch 48: Loss 2.01, Reward 3.0, Avgloss 2.48, Avgreward 4.14, Epsilon 186.48, TotalStep 11594
Epoch 49: Loss 4.22, Reward 15.0, Avgloss 2.52, Avgreward 4.36, Epsilon 185.83, TotalStep 12017
Epoch 50: Loss 3.29, Reward 8.0, Avgloss 2.53, Avgreward 4.43, Epsilon 185.37, TotalStep 12322
Epoch 51: Loss 2.20, Reward 6.0, Avgloss 2.53, Avgreward 4.46, Epsilon 185.06, TotalStep 12528
Epoch 52: Loss 2.75, Reward 8.0, Avgloss 2.53, Avgreward 4.53, Epsilon 184.61, TotalStep 12828
Epoch 53: Loss 3.34, Reward 6.0, Avgloss 2.55, Avgreward 4.56, Epsilon 184.17, TotalStep 13120
Epoch 54: Loss 3.68, Reward 7.0, Avgloss 2.57, Avgreward 4.60, Epsilon 183.66, TotalStep 13458
Epoch 55: Loss 2.29, Reward 4.0, Avgloss 2.56, Avgreward 4.59, Epsilon 183.34, TotalStep 13673
Epoch 56: Loss 2.76, Reward 6.0, Avgloss 2.57, Avgreward 4.61, Epsilon 182.93, TotalStep 13949
Epoch 57: Loss 2.28, Reward 2.0, Avgloss 2.56, Avgreward 4.57, Epsilon 182.63, TotalStep 14150
Epoch 58: Loss 2.32, Reward 2.0, Avgloss 2.56, Avgreward 4.53, Epsilon 182.32, TotalStep 14355
Epoch 59: Loss 2.96, Reward 5.0, Avgloss 2.56, Avgreward 4.53, Epsilon 181.84, TotalStep 14676
Epoch 60: Loss 3.47, Reward 7.0, Avgloss 2.58, Avgreward 4.57, Epsilon 181.35, TotalStep 15005
Epoch 61: Loss 1.88, Reward 2.0, Avgloss 2.57, Avgreward 4.53, Epsilon 181.06, TotalStep 15207
Epoch 62: Loss 2.51, Reward 5.0, Avgloss 2.57, Avgreward 4.54, Epsilon 180.69, TotalStep 15455
Epoch 63: Loss 2.12, Reward 3.0, Avgloss 2.56, Avgreward 4.52, Epsilon 180.38, TotalStep 15665
Epoch 64: Loss 2.08, Reward 3.0, Avgloss 2.55, Avgreward 4.49, Epsilon 180.08, TotalStep 15866
Epoch 65: Loss 3.07, Reward 7.0, Avgloss 2.56, Avgreward 4.53, Epsilon 179.68, TotalStep 16143
Epoch 66: Loss 2.14, Reward 3.0, Avgloss 2.55, Avgreward 4.51, Epsilon 179.37, TotalStep 16355
Epoch 67: Loss 2.86, Reward 6.0, Avgloss 2.56, Avgreward 4.53, Epsilon 178.93, TotalStep 16650
Epoch 68: Loss 2.18, Reward 3.0, Avgloss 2.55, Avgreward 4.51, Epsilon 178.63, TotalStep 16857
Epoch 69: Loss 1.99, Reward 2.0, Avgloss 2.54, Avgreward 4.47, Epsilon 178.33, TotalStep 17064
Epoch 70: Loss 2.99, Reward 7.0, Avgloss 2.55, Avgreward 4.51, Epsilon 177.92, TotalStep 17344
Epoch 71: Loss 2.26, Reward 4.0, Avgloss 2.55, Avgreward 4.50, Epsilon 177.62, TotalStep 17554
Epoch 72: Loss 2.24, Reward 2.0, Avgloss 2.54, Avgreward 4.47, Epsilon 177.32, TotalStep 17760
Epoch 73: Loss 2.16, Reward 3.0, Avgloss 2.54, Avgreward 4.45, Epsilon 177.03, TotalStep 17961
Epoch 74: Loss 1.96, Reward 3.0, Avgloss 2.53, Avgreward 4.43, Epsilon 176.76, TotalStep 18143
Epoch 75: Loss 2.20, Reward 2.0, Avgloss 2.53, Avgreward 4.39, Epsilon 176.47, TotalStep 18350
Epoch 76: Loss 1.81, Reward 2.0, Avgloss 2.52, Avgreward 4.36, Epsilon 176.22, TotalStep 18523
Epoch 77: Loss 2.22, Reward 4.0, Avgloss 2.51, Avgreward 4.36, Epsilon 175.93, TotalStep 18724
Epoch 78: Loss 2.56, Reward 4.0, Avgloss 2.51, Avgreward 4.35, Epsilon 175.56, TotalStep 18977
Epoch 79: Loss 2.36, Reward 2.0, Avgloss 2.51, Avgreward 4.33, Epsilon 175.28, TotalStep 19177
Epoch 80: Loss 2.67, Reward 6.0, Avgloss 2.51, Avgreward 4.35, Epsilon 174.93, TotalStep 19418
Epoch 81: Loss 2.09, Reward 5.0, Avgloss 2.51, Avgreward 4.35, Epsilon 174.64, TotalStep 19622
Epoch 82: Loss 3.94, Reward 10.0, Avgloss 2.52, Avgreward 4.42, Epsilon 174.10, TotalStep 20006
Epoch 83: Loss 2.85, Reward 5.0, Avgloss 2.53, Avgreward 4.43, Epsilon 173.68, TotalStep 20299
Epoch 84: Loss 2.12, Reward 2.0, Avgloss 2.52, Avgreward 4.40, Epsilon 173.37, TotalStep 20520
Epoch 85: Loss 2.18, Reward 2.0, Avgloss 2.52, Avgreward 4.37, Epsilon 173.06, TotalStep 20733
Epoch 86: Loss 3.21, Reward 6.0, Avgloss 2.53, Avgreward 4.39, Epsilon 172.63, TotalStep 21044
Epoch 87: Loss 2.08, Reward 3.0, Avgloss 2.52, Avgreward 4.38, Epsilon 172.34, TotalStep 21248
Epoch 88: Loss 1.73, Reward 2.0, Avgloss 2.51, Avgreward 4.35, Epsilon 172.06, TotalStep 21449
Epoch 89: Loss 2.58, Reward 10.0, Avgloss 2.51, Avgreward 4.41, Epsilon 171.70, TotalStep 21702
Epoch 90: Loss 3.03, Reward 4.0, Avgloss 2.52, Avgreward 4.41, Epsilon 171.31, TotalStep 21978
Epoch 91: Loss 2.41, Reward 6.0, Avgloss 2.52, Avgreward 4.42, Epsilon 170.96, TotalStep 22234
Epoch 92: Loss 1.90, Reward 2.0, Avgloss 2.51, Avgreward 4.40, Epsilon 170.69, TotalStep 22421
Epoch 93: Loss 2.73, Reward 2.0, Avgloss 2.51, Avgreward 4.37, Epsilon 170.31, TotalStep 22700
Epoch 94: Loss 2.73, Reward 5.0, Avgloss 2.52, Avgreward 4.38, Epsilon 169.93, TotalStep 22973
Epoch 95: Loss 3.18, Reward 8.0, Avgloss 2.52, Avgreward 4.42, Epsilon 169.54, TotalStep 23252
Epoch 96: Loss 2.50, Reward 8.0, Avgloss 2.52, Avgreward 4.45, Epsilon 169.19, TotalStep 23507
Epoch 97: Loss 1.97, Reward 1.0, Avgloss 2.52, Avgreward 4.42, Epsilon 168.91, TotalStep 23710
Epoch 98: Loss 1.97, Reward 3.0, Avgloss 2.51, Avgreward 4.40, Epsilon 168.65, TotalStep 23894
Epoch 99: Loss 2.29, Reward 4.0, Avgloss 2.51, Avgreward 4.40, Epsilon 168.32, TotalStep 24133
Epoch 100: Loss 1.95, Reward 1.0, Avgloss 2.51, Avgreward 4.38, Epsilon 168.02, TotalStep 24354
Epoch 101: Loss 2.88, Reward 8.0, Avgloss 2.51, Avgreward 4.42, Epsilon 167.63, TotalStep 24638
Epoch 102: Loss 1.90, Reward 2.0, Avgloss 2.51, Avgreward 4.42, Epsilon 167.36, TotalStep 24836
Epoch 103: Loss 2.77, Reward 6.0, Avgloss 2.50, Avgreward 4.40, Epsilon 166.95, TotalStep 25139
Epoch 104: Loss 2.96, Reward 5.0, Avgloss 2.51, Avgreward 4.39, Epsilon 166.57, TotalStep 25418
Epoch 105: Loss 2.60, Reward 5.0, Avgloss 2.50, Avgreward 4.34, Epsilon 166.20, TotalStep 25691
Epoch 106: Loss 2.69, Reward 3.0, Avgloss 2.50, Avgreward 4.34, Epsilon 165.85, TotalStep 25949
Epoch 107: Loss 2.74, Reward 7.0, Avgloss 2.49, Avgreward 4.36, Epsilon 165.47, TotalStep 26229
Epoch 108: Loss 2.08, Reward 4.0, Avgloss 2.49, Avgreward 4.38, Epsilon 165.19, TotalStep 26432
Epoch 109: Loss 4.02, Reward 9.0, Avgloss 2.51, Avgreward 4.44, Epsilon 164.67, TotalStep 26820
Epoch 110: Loss 3.56, Reward 6.0, Avgloss 2.53, Avgreward 4.45, Epsilon 164.21, TotalStep 27163
Epoch 111: Loss 1.95, Reward 3.0, Avgloss 2.53, Avgreward 4.44, Epsilon 163.92, TotalStep 27376
Epoch 112: Loss 2.03, Reward 4.0, Avgloss 2.52, Avgreward 4.45, Epsilon 163.66, TotalStep 27576
Epoch 113: Loss 1.92, Reward 3.0, Avgloss 2.52, Avgreward 4.45, Epsilon 163.39, TotalStep 27776
Epoch 114: Loss 2.16, Reward 3.0, Avgloss 2.52, Avgreward 4.46, Epsilon 163.10, TotalStep 27995
Epoch 115: Loss 3.65, Reward 5.0, Avgloss 2.53, Avgreward 4.44, Epsilon 162.64, TotalStep 28338
Epoch 116: Loss 2.45, Reward 3.0, Avgloss 2.53, Avgreward 4.44, Epsilon 162.33, TotalStep 28575
Epoch 117: Loss 2.01, Reward 2.0, Avgloss 2.51, Avgreward 4.39, Epsilon 162.05, TotalStep 28787
Epoch 118: Loss 3.09, Reward 7.0, Avgloss 2.52, Avgreward 4.43, Epsilon 161.65, TotalStep 29084
Epoch 119: Loss 3.21, Reward 4.0, Avgloss 2.53, Avgreward 4.46, Epsilon 161.25, TotalStep 29386
Epoch 120: Loss 2.43, Reward 3.0, Avgloss 2.53, Avgreward 4.45, Epsilon 160.96, TotalStep 29609
Epoch 121: Loss 2.38, Reward 5.0, Avgloss 2.53, Avgreward 4.47, Epsilon 160.63, TotalStep 29859
Epoch 122: Loss 1.85, Reward 2.0, Avgloss 2.52, Avgreward 4.46, Epsilon 160.37, TotalStep 30062
Epoch 123: Loss 2.73, Reward 5.0, Avgloss 2.53, Avgreward 4.48, Epsilon 159.97, TotalStep 30365
Epoch 124: Loss 1.80, Reward 1.0, Avgloss 2.52, Avgreward 4.46, Epsilon 159.70, TotalStep 30569
Epoch 125: Loss 2.26, Reward 3.0, Avgloss 2.51, Avgreward 4.42, Epsilon 159.39, TotalStep 30808
Epoch 126: Loss 2.03, Reward 4.0, Avgloss 2.50, Avgreward 4.43, Epsilon 159.13, TotalStep 31013
Epoch 127: Loss 2.11, Reward 4.0, Avgloss 2.49, Avgreward 4.36, Epsilon 158.86, TotalStep 31215
Epoch 128: Loss 1.67, Reward 4.0, Avgloss 2.48, Avgreward 4.37, Epsilon 158.63, TotalStep 31392
Epoch 129: Loss 2.04, Reward 4.0, Avgloss 2.48, Avgreward 4.39, Epsilon 158.37, TotalStep 31599
Epoch 130: Loss 3.52, Reward 9.0, Avgloss 2.50, Avgreward 4.46, Epsilon 157.93, TotalStep 31936
Epoch 131: Loss 2.06, Reward 4.0, Avgloss 2.49, Avgreward 4.46, Epsilon 157.68, TotalStep 32130
Epoch 132: Loss 2.09, Reward 3.0, Avgloss 2.49, Avgreward 4.47, Epsilon 157.41, TotalStep 32340
Epoch 133: Loss 3.35, Reward 9.0, Avgloss 2.50, Avgreward 4.53, Epsilon 156.95, TotalStep 32695
Epoch 134: Loss 2.91, Reward 4.0, Avgloss 2.51, Avgreward 4.55, Epsilon 156.63, TotalStep 32946
Epoch 135: Loss 2.38, Reward 4.0, Avgloss 2.51, Avgreward 4.57, Epsilon 156.35, TotalStep 33166
Epoch 136: Loss 3.44, Reward 7.0, Avgloss 2.53, Avgreward 4.62, Epsilon 155.89, TotalStep 33527
Epoch 137: Loss 2.83, Reward 5.0, Avgloss 2.54, Avgreward 4.65, Epsilon 155.56, TotalStep 33790
