
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 3.24, Reward 11.0, Avgloss 3.24, Avgreward 11.00, Epsilon 242.57, TotalStep 314
Epoch 1: Loss 2.42, Reward 4.0, Avgloss 2.83, Avgreward 7.50, Epsilon 242.24, TotalStep 553
Epoch 2: Loss 2.09, Reward 4.0, Avgloss 2.58, Avgreward 6.33, Epsilon 241.97, TotalStep 752
Epoch 3: Loss 2.67, Reward 4.0, Avgloss 2.61, Avgreward 5.75, Epsilon 241.66, TotalStep 983
Epoch 4: Loss 2.37, Reward 1.0, Avgloss 2.56, Avgreward 4.80, Epsilon 241.38, TotalStep 1185
Epoch 5: Loss 3.24, Reward 6.0, Avgloss 2.67, Avgreward 5.00, Epsilon 240.97, TotalStep 1489
Epoch 6: Loss 2.18, Reward 3.0, Avgloss 2.60, Avgreward 4.71, Epsilon 240.68, TotalStep 1698
Epoch 7: Loss 2.09, Reward 2.0, Avgloss 2.54, Avgreward 4.38, Epsilon 240.42, TotalStep 1893
Epoch 8: Loss 1.77, Reward 2.0, Avgloss 2.45, Avgreward 4.11, Epsilon 240.18, TotalStep 2070
Epoch 9: Loss 2.02, Reward 4.0, Avgloss 2.41, Avgreward 4.10, Epsilon 239.90, TotalStep 2277
Epoch 10: Loss 1.98, Reward 5.0, Avgloss 2.37, Avgreward 4.18, Epsilon 239.62, TotalStep 2482
Epoch 11: Loss 2.07, Reward 4.0, Avgloss 2.35, Avgreward 4.17, Epsilon 239.33, TotalStep 2699
Epoch 12: Loss 2.22, Reward 4.0, Avgloss 2.34, Avgreward 4.15, Epsilon 239.04, TotalStep 2915
Epoch 13: Loss 3.15, Reward 6.0, Avgloss 2.39, Avgreward 4.29, Epsilon 238.68, TotalStep 3182
Epoch 14: Loss 3.09, Reward 4.0, Avgloss 2.44, Avgreward 4.27, Epsilon 238.30, TotalStep 3460
Epoch 15: Loss 3.58, Reward 9.0, Avgloss 2.51, Avgreward 4.56, Epsilon 237.87, TotalStep 3779
Epoch 16: Loss 2.85, Reward 3.0, Avgloss 2.53, Avgreward 4.47, Epsilon 237.53, TotalStep 4031
Epoch 17: Loss 2.07, Reward 5.0, Avgloss 2.51, Avgreward 4.50, Epsilon 237.27, TotalStep 4232
Epoch 18: Loss 2.58, Reward 3.0, Avgloss 2.51, Avgreward 4.42, Epsilon 236.95, TotalStep 4466
Epoch 19: Loss 1.67, Reward 4.0, Avgloss 2.47, Avgreward 4.40, Epsilon 236.70, TotalStep 4651
Epoch 20: Loss 2.17, Reward 2.0, Avgloss 2.45, Avgreward 4.29, Epsilon 236.44, TotalStep 4853
Epoch 21: Loss 2.51, Reward 6.0, Avgloss 2.46, Avgreward 4.36, Epsilon 236.15, TotalStep 5065
Epoch 22: Loss 3.49, Reward 7.0, Avgloss 2.50, Avgreward 4.48, Epsilon 235.72, TotalStep 5393
Epoch 23: Loss 2.13, Reward 3.0, Avgloss 2.49, Avgreward 4.42, Epsilon 235.43, TotalStep 5608
Epoch 24: Loss 3.04, Reward 7.0, Avgloss 2.51, Avgreward 4.52, Epsilon 235.04, TotalStep 5905
Epoch 25: Loss 2.53, Reward 5.0, Avgloss 2.51, Avgreward 4.54, Epsilon 234.73, TotalStep 6132
Epoch 26: Loss 3.40, Reward 8.0, Avgloss 2.54, Avgreward 4.67, Epsilon 234.35, TotalStep 6419
Epoch 27: Loss 2.12, Reward 3.0, Avgloss 2.53, Avgreward 4.61, Epsilon 234.09, TotalStep 6621
Epoch 28: Loss 2.38, Reward 3.0, Avgloss 2.52, Avgreward 4.55, Epsilon 233.81, TotalStep 6832
Epoch 29: Loss 3.52, Reward 6.0, Avgloss 2.55, Avgreward 4.60, Epsilon 233.39, TotalStep 7147
Epoch 30: Loss 3.27, Reward 6.0, Avgloss 2.58, Avgreward 4.65, Epsilon 233.00, TotalStep 7448
Epoch 31: Loss 1.94, Reward 2.0, Avgloss 2.56, Avgreward 4.56, Epsilon 232.77, TotalStep 7621
Epoch 32: Loss 3.95, Reward 8.0, Avgloss 2.60, Avgreward 4.67, Epsilon 232.29, TotalStep 7989
Epoch 33: Loss 2.86, Reward 9.0, Avgloss 2.61, Avgreward 4.79, Epsilon 231.90, TotalStep 8286
Epoch 34: Loss 2.28, Reward 6.0, Avgloss 2.60, Avgreward 4.83, Epsilon 231.62, TotalStep 8501
Epoch 35: Loss 4.16, Reward 9.0, Avgloss 2.64, Avgreward 4.94, Epsilon 231.13, TotalStep 8876
Epoch 36: Loss 3.32, Reward 10.0, Avgloss 2.66, Avgreward 5.08, Epsilon 230.75, TotalStep 9168
Epoch 37: Loss 2.80, Reward 6.0, Avgloss 2.66, Avgreward 5.11, Epsilon 230.40, TotalStep 9436
Epoch 38: Loss 2.27, Reward 7.0, Avgloss 2.65, Avgreward 5.15, Epsilon 230.11, TotalStep 9660
Epoch 39: Loss 2.28, Reward 2.0, Avgloss 2.64, Avgreward 5.08, Epsilon 229.86, TotalStep 9848
Epoch 40: Loss 3.74, Reward 8.0, Avgloss 2.67, Avgreward 5.15, Epsilon 229.45, TotalStep 10166
Epoch 41: Loss 4.70, Reward 11.0, Avgloss 2.72, Avgreward 5.29, Epsilon 228.92, TotalStep 10578
Epoch 42: Loss 2.49, Reward 3.0, Avgloss 2.71, Avgreward 5.23, Epsilon 228.65, TotalStep 10788
Epoch 43: Loss 3.35, Reward 6.0, Avgloss 2.73, Avgreward 5.25, Epsilon 228.27, TotalStep 11079
Epoch 44: Loss 1.96, Reward 5.0, Avgloss 2.71, Avgreward 5.24, Epsilon 228.01, TotalStep 11283
Epoch 45: Loss 3.68, Reward 6.0, Avgloss 2.73, Avgreward 5.26, Epsilon 227.58, TotalStep 11619
Epoch 46: Loss 2.64, Reward 5.0, Avgloss 2.73, Avgreward 5.26, Epsilon 227.31, TotalStep 11824
Epoch 47: Loss 2.56, Reward 2.0, Avgloss 2.73, Avgreward 5.19, Epsilon 227.04, TotalStep 12033
Epoch 48: Loss 2.64, Reward 4.0, Avgloss 2.73, Avgreward 5.16, Epsilon 226.74, TotalStep 12271
Epoch 49: Loss 3.95, Reward 6.0, Avgloss 2.75, Avgreward 5.18, Epsilon 226.34, TotalStep 12582
Epoch 50: Loss 1.93, Reward 3.0, Avgloss 2.73, Avgreward 5.14, Epsilon 226.07, TotalStep 12792
Epoch 51: Loss 2.71, Reward 7.0, Avgloss 2.73, Avgreward 5.17, Epsilon 225.76, TotalStep 13038
Epoch 52: Loss 2.86, Reward 7.0, Avgloss 2.74, Avgreward 5.21, Epsilon 225.42, TotalStep 13308
Epoch 53: Loss 2.48, Reward 2.0, Avgloss 2.73, Avgreward 5.15, Epsilon 225.16, TotalStep 13512
Epoch 54: Loss 2.39, Reward 5.0, Avgloss 2.72, Avgreward 5.15, Epsilon 224.90, TotalStep 13715
Epoch 55: Loss 2.46, Reward 2.0, Avgloss 2.72, Avgreward 5.09, Epsilon 224.63, TotalStep 13923
Epoch 56: Loss 2.19, Reward 2.0, Avgloss 2.71, Avgreward 5.04, Epsilon 224.38, TotalStep 14122
Epoch 57: Loss 3.92, Reward 13.0, Avgloss 2.73, Avgreward 5.17, Epsilon 223.92, TotalStep 14490
Epoch 58: Loss 3.13, Reward 5.0, Avgloss 2.74, Avgreward 5.17, Epsilon 223.57, TotalStep 14766
Epoch 59: Loss 4.43, Reward 8.0, Avgloss 2.77, Avgreward 5.22, Epsilon 223.09, TotalStep 15149
Epoch 60: Loss 2.58, Reward 5.0, Avgloss 2.76, Avgreward 5.21, Epsilon 222.80, TotalStep 15373
Epoch 61: Loss 2.23, Reward 3.0, Avgloss 2.75, Avgreward 5.18, Epsilon 222.55, TotalStep 15572
Epoch 62: Loss 2.41, Reward 2.0, Avgloss 2.75, Avgreward 5.13, Epsilon 222.29, TotalStep 15781
Epoch 63: Loss 3.10, Reward 5.0, Avgloss 2.75, Avgreward 5.12, Epsilon 221.95, TotalStep 16054
Epoch 64: Loss 2.42, Reward 2.0, Avgloss 2.75, Avgreward 5.08, Epsilon 221.69, TotalStep 16259
Epoch 65: Loss 3.93, Reward 5.0, Avgloss 2.77, Avgreward 5.08, Epsilon 221.29, TotalStep 16578
Epoch 66: Loss 2.26, Reward 4.0, Avgloss 2.76, Avgreward 5.06, Epsilon 221.03, TotalStep 16788
Epoch 67: Loss 2.95, Reward 4.0, Avgloss 2.76, Avgreward 5.04, Epsilon 220.68, TotalStep 17071
Epoch 68: Loss 2.72, Reward 4.0, Avgloss 2.76, Avgreward 5.03, Epsilon 220.38, TotalStep 17311
Epoch 69: Loss 2.59, Reward 6.0, Avgloss 2.76, Avgreward 5.04, Epsilon 220.08, TotalStep 17550
Epoch 70: Loss 4.84, Reward 9.0, Avgloss 2.79, Avgreward 5.10, Epsilon 219.60, TotalStep 17941
Epoch 71: Loss 3.78, Reward 6.0, Avgloss 2.80, Avgreward 5.11, Epsilon 219.22, TotalStep 18247
Epoch 72: Loss 2.93, Reward 4.0, Avgloss 2.80, Avgreward 5.10, Epsilon 218.88, TotalStep 18524
Epoch 73: Loss 2.64, Reward 3.0, Avgloss 2.80, Avgreward 5.07, Epsilon 218.58, TotalStep 18762
