
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 2.23, Reward 2.0, Avgloss 2.23, Avgreward 2.00, Epsilon 33.96, TotalStep 192
Epoch 1: Loss 2.87, Reward 8.0, Avgloss 2.55, Avgreward 5.00, Epsilon 33.92, TotalStep 441
Epoch 2: Loss 2.09, Reward 1.0, Avgloss 2.40, Avgreward 3.67, Epsilon 33.88, TotalStep 648
Epoch 3: Loss 2.77, Reward 3.0, Avgloss 2.49, Avgreward 3.50, Epsilon 33.83, TotalStep 921
Epoch 4: Loss 2.55, Reward 4.0, Avgloss 2.50, Avgreward 3.60, Epsilon 33.79, TotalStep 1144
Epoch 5: Loss 1.99, Reward 2.0, Avgloss 2.42, Avgreward 3.33, Epsilon 33.75, TotalStep 1344
Epoch 6: Loss 5.79, Reward 17.0, Avgloss 2.90, Avgreward 5.29, Epsilon 33.65, TotalStep 1868
Epoch 7: Loss 2.76, Reward 5.0, Avgloss 2.88, Avgreward 5.25, Epsilon 33.61, TotalStep 2104
Epoch 8: Loss 2.00, Reward 1.0, Avgloss 2.78, Avgreward 4.78, Epsilon 33.57, TotalStep 2305
Epoch 9: Loss 2.31, Reward 3.0, Avgloss 2.74, Avgreward 4.60, Epsilon 33.53, TotalStep 2514
Epoch 10: Loss 2.87, Reward 5.0, Avgloss 2.75, Avgreward 4.64, Epsilon 33.49, TotalStep 2768
Epoch 11: Loss 2.42, Reward 3.0, Avgloss 2.72, Avgreward 4.50, Epsilon 33.45, TotalStep 2978
Epoch 12: Loss 2.95, Reward 6.0, Avgloss 2.74, Avgreward 4.62, Epsilon 33.39, TotalStep 3271
Epoch 13: Loss 1.99, Reward 4.0, Avgloss 2.68, Avgreward 4.57, Epsilon 33.36, TotalStep 3478
Epoch 14: Loss 2.30, Reward 2.0, Avgloss 2.66, Avgreward 4.40, Epsilon 33.32, TotalStep 3684
Epoch 15: Loss 3.10, Reward 6.0, Avgloss 2.69, Avgreward 4.50, Epsilon 33.27, TotalStep 3958
Epoch 16: Loss 5.77, Reward 16.0, Avgloss 2.87, Avgreward 5.18, Epsilon 33.17, TotalStep 4504
Epoch 17: Loss 2.54, Reward 6.0, Avgloss 2.85, Avgreward 5.22, Epsilon 33.13, TotalStep 4714
