
Warming up...
Eval epoch 0: Reward 1.0
Epoch 0: Loss 3.16, Reward 9.0, Avgloss 3.16, Avgreward 9.00, Epsilon 175.47, TotalStep 325
Epoch 1: Loss 1.95, Reward 2.0, Avgloss 2.55, Avgreward 5.50, Epsilon 175.15, TotalStep 526
Epoch 2: Loss 3.63, Reward 5.0, Avgloss 2.91, Avgreward 5.33, Epsilon 174.59, TotalStep 875
Epoch 3: Loss 2.13, Reward 3.0, Avgloss 2.72, Avgreward 4.75, Epsilon 174.25, TotalStep 1085
Epoch 4: Loss 2.56, Reward 6.0, Avgloss 2.68, Avgreward 5.00, Epsilon 173.80, TotalStep 1365
Epoch 5: Loss 2.13, Reward 5.0, Avgloss 2.59, Avgreward 5.00, Epsilon 173.44, TotalStep 1587
Epoch 6: Loss 2.41, Reward 5.0, Avgloss 2.57, Avgreward 5.00, Epsilon 173.05, TotalStep 1835
Epoch 7: Loss 2.19, Reward 1.0, Avgloss 2.52, Avgreward 4.50, Epsilon 172.71, TotalStep 2046
Epoch 8: Loss 2.13, Reward 4.0, Avgloss 2.48, Avgreward 4.44, Epsilon 172.39, TotalStep 2249
Epoch 9: Loss 2.24, Reward 4.0, Avgloss 2.45, Avgreward 4.40, Epsilon 172.04, TotalStep 2466
Epoch 10: Loss 3.30, Reward 4.0, Avgloss 2.53, Avgreward 4.36, Epsilon 171.52, TotalStep 2797
Epoch 11: Loss 2.17, Reward 3.0, Avgloss 2.50, Avgreward 4.25, Epsilon 171.20, TotalStep 2999
Epoch 12: Loss 2.16, Reward 4.0, Avgloss 2.47, Avgreward 4.23, Epsilon 170.87, TotalStep 3209
Epoch 13: Loss 1.97, Reward 2.0, Avgloss 2.44, Avgreward 4.07, Epsilon 170.55, TotalStep 3408
Epoch 14: Loss 3.16, Reward 7.0, Avgloss 2.49, Avgreward 4.27, Epsilon 170.09, TotalStep 3703
Epoch 15: Loss 3.67, Reward 11.0, Avgloss 2.56, Avgreward 4.69, Epsilon 169.52, TotalStep 4070
Epoch 16: Loss 1.70, Reward 6.0, Avgloss 2.51, Avgreward 4.76, Epsilon 169.19, TotalStep 4280
Epoch 17: Loss 2.24, Reward 1.0, Avgloss 2.49, Avgreward 4.56, Epsilon 168.85, TotalStep 4499
Epoch 18: Loss 2.02, Reward 3.0, Avgloss 2.47, Avgreward 4.47, Epsilon 168.51, TotalStep 4714
Epoch 19: Loss 1.72, Reward 2.0, Avgloss 2.43, Avgreward 4.35, Epsilon 168.24, TotalStep 4887
Epoch 20: Loss 2.97, Reward 6.0, Avgloss 2.46, Avgreward 4.43, Epsilon 167.83, TotalStep 5156
Epoch 21: Loss 2.05, Reward 2.0, Avgloss 2.44, Avgreward 4.32, Epsilon 167.52, TotalStep 5355
Epoch 22: Loss 1.98, Reward 3.0, Avgloss 2.42, Avgreward 4.26, Epsilon 167.21, TotalStep 5557
Epoch 23: Loss 2.92, Reward 6.0, Avgloss 2.44, Avgreward 4.33, Epsilon 166.79, TotalStep 5825
Epoch 24: Loss 2.75, Reward 7.0, Avgloss 2.45, Avgreward 4.44, Epsilon 166.36, TotalStep 6104
Epoch 25: Loss 2.67, Reward 2.0, Avgloss 2.46, Avgreward 4.35, Epsilon 165.94, TotalStep 6383
Epoch 26: Loss 3.49, Reward 9.0, Avgloss 2.50, Avgreward 4.52, Epsilon 165.43, TotalStep 6716
Epoch 27: Loss 2.56, Reward 6.0, Avgloss 2.50, Avgreward 4.57, Epsilon 165.05, TotalStep 6966
Epoch 28: Loss 3.57, Reward 9.0, Avgloss 2.54, Avgreward 4.72, Epsilon 164.55, TotalStep 7290
Epoch 29: Loss 2.32, Reward 4.0, Avgloss 2.53, Avgreward 4.70, Epsilon 164.24, TotalStep 7496
Epoch 30: Loss 2.06, Reward 3.0, Avgloss 2.51, Avgreward 4.65, Epsilon 163.93, TotalStep 7699
Epoch 31: Loss 2.10, Reward 2.0, Avgloss 2.50, Avgreward 4.56, Epsilon 163.63, TotalStep 7898
Epoch 32: Loss 1.90, Reward 3.0, Avgloss 2.48, Avgreward 4.52, Epsilon 163.33, TotalStep 8096
Epoch 33: Loss 3.53, Reward 8.0, Avgloss 2.51, Avgreward 4.62, Epsilon 162.85, TotalStep 8417
Epoch 34: Loss 3.02, Reward 7.0, Avgloss 2.53, Avgreward 4.69, Epsilon 162.43, TotalStep 8700
Epoch 35: Loss 2.44, Reward 2.0, Avgloss 2.53, Avgreward 4.61, Epsilon 162.11, TotalStep 8910
Epoch 36: Loss 2.01, Reward 3.0, Avgloss 2.51, Avgreward 4.57, Epsilon 161.80, TotalStep 9119
Epoch 37: Loss 2.49, Reward 4.0, Avgloss 2.51, Avgreward 4.55, Epsilon 161.44, TotalStep 9358
Epoch 38: Loss 2.64, Reward 5.0, Avgloss 2.52, Avgreward 4.56, Epsilon 161.06, TotalStep 9615
Epoch 39: Loss 2.89, Reward 4.0, Avgloss 2.52, Avgreward 4.55, Epsilon 160.66, TotalStep 9888
Epoch 40: Loss 2.20, Reward 3.0, Avgloss 2.52, Avgreward 4.51, Epsilon 160.36, TotalStep 10088
Epoch 41: Loss 2.61, Reward 3.0, Avgloss 2.52, Avgreward 4.48, Epsilon 160.06, TotalStep 10290
Epoch 42: Loss 2.69, Reward 5.0, Avgloss 2.52, Avgreward 4.49, Epsilon 159.70, TotalStep 10533
Epoch 43: Loss 4.14, Reward 10.0, Avgloss 2.56, Avgreward 4.61, Epsilon 159.16, TotalStep 10903
Epoch 44: Loss 2.65, Reward 4.0, Avgloss 2.56, Avgreward 4.60, Epsilon 158.80, TotalStep 11146
Epoch 45: Loss 3.23, Reward 6.0, Avgloss 2.58, Avgreward 4.63, Epsilon 158.34, TotalStep 11461
Epoch 46: Loss 2.27, Reward 3.0, Avgloss 2.57, Avgreward 4.60, Epsilon 158.04, TotalStep 11666
Epoch 47: Loss 2.05, Reward 0.0, Avgloss 2.56, Avgreward 4.50, Epsilon 157.75, TotalStep 11870
Epoch 48: Loss 2.27, Reward 2.0, Avgloss 2.55, Avgreward 4.45, Epsilon 157.45, TotalStep 12073
Epoch 49: Loss 2.61, Reward 3.0, Avgloss 2.55, Avgreward 4.42, Epsilon 157.10, TotalStep 12311
Epoch 50: Loss 2.36, Reward 2.0, Avgloss 2.55, Avgreward 4.37, Epsilon 156.81, TotalStep 12513
Epoch 51: Loss 3.13, Reward 5.0, Avgloss 2.56, Avgreward 4.38, Epsilon 156.39, TotalStep 12803
Epoch 52: Loss 2.08, Reward 1.0, Avgloss 2.55, Avgreward 4.32, Epsilon 156.10, TotalStep 13005
Epoch 53: Loss 2.15, Reward 3.0, Avgloss 2.54, Avgreward 4.30, Epsilon 155.82, TotalStep 13200
Epoch 54: Loss 2.60, Reward 2.0, Avgloss 2.55, Avgreward 4.25, Epsilon 155.52, TotalStep 13408
Epoch 55: Loss 2.24, Reward 2.0, Avgloss 2.54, Avgreward 4.21, Epsilon 155.22, TotalStep 13618
Epoch 56: Loss 2.22, Reward 4.0, Avgloss 2.53, Avgreward 4.21, Epsilon 154.92, TotalStep 13828
Epoch 57: Loss 3.45, Reward 10.0, Avgloss 2.55, Avgreward 4.31, Epsilon 154.46, TotalStep 14151
Epoch 58: Loss 2.08, Reward 3.0, Avgloss 2.54, Avgreward 4.29, Epsilon 154.15, TotalStep 14370
Epoch 59: Loss 2.33, Reward 2.0, Avgloss 2.54, Avgreward 4.25, Epsilon 153.85, TotalStep 14579
Epoch 60: Loss 2.19, Reward 3.0, Avgloss 2.53, Avgreward 4.23, Epsilon 153.55, TotalStep 14790
Epoch 61: Loss 1.99, Reward 2.0, Avgloss 2.52, Avgreward 4.19, Epsilon 153.27, TotalStep 14988
Epoch 62: Loss 2.12, Reward 3.0, Avgloss 2.52, Avgreward 4.17, Epsilon 152.99, TotalStep 15191
Epoch 63: Loss 2.23, Reward 1.0, Avgloss 2.51, Avgreward 4.12, Epsilon 152.70, TotalStep 15395
Epoch 64: Loss 3.22, Reward 9.0, Avgloss 2.52, Avgreward 4.20, Epsilon 152.31, TotalStep 15673
Epoch 65: Loss 2.22, Reward 2.0, Avgloss 2.52, Avgreward 4.17, Epsilon 152.02, TotalStep 15876
Epoch 66: Loss 2.20, Reward 0.0, Avgloss 2.51, Avgreward 4.10, Epsilon 151.74, TotalStep 16074
Epoch 67: Loss 3.80, Reward 8.0, Avgloss 2.53, Avgreward 4.16, Epsilon 151.25, TotalStep 16424
Epoch 68: Loss 2.19, Reward 3.0, Avgloss 2.53, Avgreward 4.14, Epsilon 150.98, TotalStep 16620
Epoch 69: Loss 2.81, Reward 5.0, Avgloss 2.53, Avgreward 4.16, Epsilon 150.64, TotalStep 16864
Epoch 70: Loss 2.52, Reward 4.0, Avgloss 2.53, Avgreward 4.15, Epsilon 150.33, TotalStep 17086
Epoch 71: Loss 3.62, Reward 9.0, Avgloss 2.55, Avgreward 4.22, Epsilon 149.87, TotalStep 17419
Epoch 72: Loss 2.44, Reward 3.0, Avgloss 2.55, Avgreward 4.21, Epsilon 149.57, TotalStep 17635
Epoch 73: Loss 2.24, Reward 2.0, Avgloss 2.54, Avgreward 4.18, Epsilon 149.28, TotalStep 17845
Epoch 74: Loss 2.85, Reward 7.0, Avgloss 2.55, Avgreward 4.21, Epsilon 148.93, TotalStep 18103
Epoch 75: Loss 2.56, Reward 3.0, Avgloss 2.55, Avgreward 4.20, Epsilon 148.64, TotalStep 18317
Epoch 76: Loss 2.98, Reward 8.0, Avgloss 2.55, Avgreward 4.25, Epsilon 148.26, TotalStep 18591
Epoch 77: Loss 2.22, Reward 2.0, Avgloss 2.55, Avgreward 4.22, Epsilon 147.98, TotalStep 18799
Epoch 78: Loss 2.69, Reward 5.0, Avgloss 2.55, Avgreward 4.23, Epsilon 147.65, TotalStep 19041
Epoch 79: Loss 3.05, Reward 7.0, Avgloss 2.56, Avgreward 4.26, Epsilon 147.24, TotalStep 19340
Epoch 80: Loss 3.97, Reward 13.0, Avgloss 2.57, Avgreward 4.37, Epsilon 146.74, TotalStep 19711
Epoch 81: Loss 2.28, Reward 3.0, Avgloss 2.57, Avgreward 4.35, Epsilon 146.46, TotalStep 19915
Epoch 82: Loss 3.52, Reward 7.0, Avgloss 2.58, Avgreward 4.39, Epsilon 146.04, TotalStep 20228
Epoch 83: Loss 3.82, Reward 7.0, Avgloss 2.60, Avgreward 4.42, Epsilon 145.58, TotalStep 20568
Epoch 84: Loss 2.62, Reward 4.0, Avgloss 2.60, Avgreward 4.41, Epsilon 145.28, TotalStep 20789
Epoch 85: Loss 3.31, Reward 6.0, Avgloss 2.60, Avgreward 4.43, Epsilon 144.91, TotalStep 21072
Epoch 86: Loss 2.45, Reward 3.0, Avgloss 2.60, Avgreward 4.41, Epsilon 144.62, TotalStep 21283
Epoch 87: Loss 2.20, Reward 3.0, Avgloss 2.60, Avgreward 4.40, Epsilon 144.37, TotalStep 21475
Epoch 88: Loss 2.29, Reward 3.0, Avgloss 2.59, Avgreward 4.38, Epsilon 144.09, TotalStep 21685
Epoch 89: Loss 2.23, Reward 2.0, Avgloss 2.59, Avgreward 4.36, Epsilon 143.82, TotalStep 21886
Epoch 90: Loss 2.31, Reward 0.0, Avgloss 2.59, Avgreward 4.31, Epsilon 143.53, TotalStep 22106
Epoch 91: Loss 2.22, Reward 3.0, Avgloss 2.58, Avgreward 4.29, Epsilon 143.26, TotalStep 22311
Epoch 92: Loss 2.24, Reward 4.0, Avgloss 2.58, Avgreward 4.29, Epsilon 142.99, TotalStep 22516
Epoch 93: Loss 3.34, Reward 6.0, Avgloss 2.59, Avgreward 4.31, Epsilon 142.57, TotalStep 22833
Epoch 94: Loss 2.55, Reward 4.0, Avgloss 2.59, Avgreward 4.31, Epsilon 142.28, TotalStep 23057
Epoch 95: Loss 2.37, Reward 2.0, Avgloss 2.59, Avgreward 4.28, Epsilon 142.01, TotalStep 23260
Epoch 96: Loss 3.36, Reward 7.0, Avgloss 2.59, Avgreward 4.31, Epsilon 141.60, TotalStep 23573
Epoch 97: Loss 3.02, Reward 9.0, Avgloss 2.60, Avgreward 4.36, Epsilon 141.24, TotalStep 23851
Epoch 98: Loss 2.67, Reward 4.0, Avgloss 2.60, Avgreward 4.35, Epsilon 140.93, TotalStep 24084
Epoch 99: Loss 3.36, Reward 4.0, Avgloss 2.61, Avgreward 4.35, Epsilon 140.54, TotalStep 24389
Epoch 100: Loss 2.22, Reward 2.0, Avgloss 2.60, Avgreward 4.28, Epsilon 140.27, TotalStep 24596
Epoch 101: Loss 2.56, Reward 2.0, Avgloss 2.60, Avgreward 4.28, Epsilon 140.00, TotalStep 24801
Epoch 102: Loss 2.27, Reward 2.0, Avgloss 2.59, Avgreward 4.25, Epsilon 139.75, TotalStep 24996
Epoch 103: Loss 2.24, Reward 4.0, Avgloss 2.59, Avgreward 4.26, Epsilon 139.49, TotalStep 25197
Epoch 104: Loss 2.20, Reward 4.0, Avgloss 2.59, Avgreward 4.24, Epsilon 139.24, TotalStep 25391
Epoch 105: Loss 2.04, Reward 3.0, Avgloss 2.59, Avgreward 4.22, Epsilon 139.01, TotalStep 25572
