
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 2.11, Reward 5.0, Avgloss 2.11, Avgreward 5.00, Epsilon 135.29, TotalStep 209
Epoch 1: Loss 2.87, Reward 6.0, Avgloss 2.49, Avgreward 5.50, Epsilon 131.72, TotalStep 489
Epoch 2: Loss 2.67, Reward 5.0, Avgloss 2.55, Avgreward 5.33, Epsilon 128.43, TotalStep 754
Epoch 3: Loss 2.00, Reward 2.0, Avgloss 2.41, Avgreward 4.50, Epsilon 125.98, TotalStep 956
Epoch 4: Loss 2.37, Reward 2.0, Avgloss 2.40, Avgreward 4.00, Epsilon 123.35, TotalStep 1177
Epoch 5: Loss 2.00, Reward 7.0, Avgloss 2.34, Avgreward 4.50, Epsilon 121.01, TotalStep 1377
Epoch 6: Loss 3.23, Reward 7.0, Avgloss 2.46, Avgreward 4.86, Epsilon 117.42, TotalStep 1693
Epoch 7: Loss 1.98, Reward 4.0, Avgloss 2.40, Avgreward 4.75, Epsilon 115.25, TotalStep 1888
Epoch 8: Loss 2.57, Reward 6.0, Avgloss 2.42, Avgreward 4.89, Epsilon 112.58, TotalStep 2134
Epoch 9: Loss 2.36, Reward 7.0, Avgloss 2.42, Avgreward 5.10, Epsilon 110.09, TotalStep 2368
Epoch 10: Loss 3.61, Reward 9.0, Avgloss 2.52, Avgreward 5.45, Epsilon 106.36, TotalStep 2729
Epoch 11: Loss 3.54, Reward 9.0, Avgloss 2.61, Avgreward 5.75, Epsilon 102.89, TotalStep 3077
Epoch 12: Loss 2.79, Reward 5.0, Avgloss 2.62, Avgreward 5.69, Epsilon 100.36, TotalStep 3337
Epoch 13: Loss 2.78, Reward 3.0, Avgloss 2.63, Avgreward 5.50, Epsilon 98.12, TotalStep 3574
Epoch 14: Loss 2.27, Reward 2.0, Avgloss 2.61, Avgreward 5.27, Epsilon 96.21, TotalStep 3780
Epoch 15: Loss 2.17, Reward 5.0, Avgloss 2.58, Avgreward 5.25, Epsilon 94.26, TotalStep 3994
Epoch 16: Loss 2.47, Reward 3.0, Avgloss 2.58, Avgreward 5.12, Epsilon 92.36, TotalStep 4208
Epoch 17: Loss 4.28, Reward 9.0, Avgloss 2.67, Avgreward 5.33, Epsilon 89.08, TotalStep 4586
Epoch 18: Loss 2.41, Reward 2.0, Avgloss 2.66, Avgreward 5.16, Epsilon 87.36, TotalStep 4790
Epoch 19: Loss 2.10, Reward 2.0, Avgloss 2.63, Avgreward 5.00, Epsilon 85.70, TotalStep 4991
Epoch 20: Loss 2.78, Reward 8.0, Avgloss 2.64, Avgreward 5.14, Epsilon 83.91, TotalStep 5213
Epoch 21: Loss 2.62, Reward 6.0, Avgloss 2.64, Avgreward 5.18, Epsilon 82.13, TotalStep 5437
Epoch 22: Loss 2.36, Reward 3.0, Avgloss 2.62, Avgreward 5.09, Epsilon 80.53, TotalStep 5643
Epoch 23: Loss 4.05, Reward 10.0, Avgloss 2.68, Avgreward 5.29, Epsilon 77.86, TotalStep 5997
Epoch 24: Loss 2.09, Reward 4.0, Avgloss 2.66, Avgreward 5.24, Epsilon 76.44, TotalStep 6190
Epoch 25: Loss 2.61, Reward 2.0, Avgloss 2.66, Avgreward 5.12, Epsilon 74.97, TotalStep 6393
Epoch 26: Loss 2.69, Reward 5.0, Avgloss 2.66, Avgreward 5.11, Epsilon 73.40, TotalStep 6614
Epoch 27: Loss 3.18, Reward 11.0, Avgloss 2.68, Avgreward 5.32, Epsilon 71.39, TotalStep 6905
Epoch 28: Loss 3.12, Reward 5.0, Avgloss 2.69, Avgreward 5.31, Epsilon 69.72, TotalStep 7154
Epoch 29: Loss 4.27, Reward 5.0, Avgloss 2.75, Avgreward 5.30, Epsilon 67.29, TotalStep 7525
Epoch 30: Loss 4.90, Reward 11.0, Avgloss 2.81, Avgreward 5.48, Epsilon 64.57, TotalStep 7957
Epoch 31: Loss 3.64, Reward 7.0, Avgloss 2.84, Avgreward 5.53, Epsilon 62.68, TotalStep 8269
Epoch 32: Loss 2.73, Reward 5.0, Avgloss 2.84, Avgreward 5.52, Epsilon 61.35, TotalStep 8494
Epoch 33: Loss 2.39, Reward 3.0, Avgloss 2.82, Avgreward 5.44, Epsilon 60.19, TotalStep 8693
Epoch 34: Loss 2.95, Reward 6.0, Avgloss 2.83, Avgreward 5.46, Epsilon 58.69, TotalStep 8958
Epoch 35: Loss 2.46, Reward 4.0, Avgloss 2.82, Avgreward 5.42, Epsilon 57.54, TotalStep 9164
Epoch 36: Loss 2.91, Reward 4.0, Avgloss 2.82, Avgreward 5.38, Epsilon 56.27, TotalStep 9399
Epoch 37: Loss 2.25, Reward 2.0, Avgloss 2.81, Avgreward 5.29, Epsilon 55.21, TotalStep 9598
Epoch 38: Loss 3.35, Reward 5.0, Avgloss 2.82, Avgreward 5.28, Epsilon 53.71, TotalStep 9886
Epoch 39: Loss 2.36, Reward 1.0, Avgloss 2.81, Avgreward 5.17, Epsilon 52.65, TotalStep 10096
Epoch 40: Loss 2.16, Reward 3.0, Avgloss 2.79, Avgreward 5.12, Epsilon 51.63, TotalStep 10301
Epoch 41: Loss 2.33, Reward 3.0, Avgloss 2.78, Avgreward 5.07, Epsilon 50.65, TotalStep 10500
Epoch 42: Loss 2.45, Reward 4.0, Avgloss 2.77, Avgreward 5.05, Epsilon 49.60, TotalStep 10721
Epoch 43: Loss 3.17, Reward 6.0, Avgloss 2.78, Avgreward 5.07, Epsilon 48.37, TotalStep 10983
Epoch 44: Loss 2.99, Reward 3.0, Avgloss 2.79, Avgreward 5.02, Epsilon 47.31, TotalStep 11215
Epoch 45: Loss 2.77, Reward 3.0, Avgloss 2.79, Avgreward 4.98, Epsilon 46.28, TotalStep 11446
Epoch 46: Loss 2.88, Reward 3.0, Avgloss 2.79, Avgreward 4.94, Epsilon 45.23, TotalStep 11687
Epoch 47: Loss 2.32, Reward 0.0, Avgloss 2.78, Avgreward 4.83, Epsilon 44.36, TotalStep 11890
Epoch 48: Loss 2.51, Reward 2.0, Avgloss 2.77, Avgreward 4.78, Epsilon 43.48, TotalStep 12101
Epoch 49: Loss 4.35, Reward 12.0, Avgloss 2.80, Avgreward 4.92, Epsilon 41.85, TotalStep 12500
Epoch 50: Loss 2.79, Reward 2.0, Avgloss 2.80, Avgreward 4.86, Epsilon 40.99, TotalStep 12717
Epoch 51: Loss 3.87, Reward 9.0, Avgloss 2.82, Avgreward 4.94, Epsilon 39.64, TotalStep 13069
Epoch 52: Loss 2.74, Reward 6.0, Avgloss 2.82, Avgreward 4.96, Epsilon 38.81, TotalStep 13290
Epoch 53: Loss 3.42, Reward 6.0, Avgloss 2.83, Avgreward 4.98, Epsilon 37.76, TotalStep 13579
Epoch 54: Loss 2.43, Reward 5.0, Avgloss 2.83, Avgreward 4.98, Epsilon 37.03, TotalStep 13782
Epoch 55: Loss 3.90, Reward 10.0, Avgloss 2.85, Avgreward 5.07, Epsilon 35.84, TotalStep 14124
Epoch 56: Loss 3.31, Reward 6.0, Avgloss 2.85, Avgreward 5.09, Epsilon 34.89, TotalStep 14405
Epoch 57: Loss 5.48, Reward 10.0, Avgloss 2.90, Avgreward 5.17, Epsilon 33.45, TotalStep 14847
Epoch 58: Loss 3.55, Reward 7.0, Avgloss 2.91, Avgreward 5.20, Epsilon 32.48, TotalStep 15156
Epoch 59: Loss 2.59, Reward 2.0, Avgloss 2.90, Avgreward 5.15, Epsilon 31.87, TotalStep 15353
Epoch 60: Loss 2.68, Reward 3.0, Avgloss 2.90, Avgreward 5.11, Epsilon 31.23, TotalStep 15566
Epoch 61: Loss 2.73, Reward 5.0, Avgloss 2.90, Avgreward 5.11, Epsilon 30.51, TotalStep 15811
Epoch 62: Loss 3.46, Reward 8.0, Avgloss 2.91, Avgreward 5.16, Epsilon 29.71, TotalStep 16089
Epoch 63: Loss 2.77, Reward 2.0, Avgloss 2.91, Avgreward 5.11, Epsilon 29.08, TotalStep 16314
Epoch 64: Loss 2.29, Reward 4.0, Avgloss 2.90, Avgreward 5.09, Epsilon 28.52, TotalStep 16517
Epoch 65: Loss 2.63, Reward 2.0, Avgloss 2.89, Avgreward 5.05, Epsilon 27.95, TotalStep 16728
Epoch 66: Loss 4.29, Reward 10.0, Avgloss 2.91, Avgreward 5.12, Epsilon 27.05, TotalStep 17073
Epoch 67: Loss 2.72, Reward 4.0, Avgloss 2.91, Avgreward 5.10, Epsilon 26.53, TotalStep 17275
Epoch 68: Loss 2.48, Reward 4.0, Avgloss 2.90, Avgreward 5.09, Epsilon 26.00, TotalStep 17487
Epoch 69: Loss 3.27, Reward 3.0, Avgloss 2.91, Avgreward 5.06, Epsilon 25.41, TotalStep 17728
Epoch 70: Loss 2.77, Reward 4.0, Avgloss 2.91, Avgreward 5.04, Epsilon 24.89, TotalStep 17944
Epoch 71: Loss 2.70, Reward 4.0, Avgloss 2.90, Avgreward 5.03, Epsilon 24.40, TotalStep 18151
Epoch 72: Loss 3.15, Reward 6.0, Avgloss 2.91, Avgreward 5.04, Epsilon 23.74, TotalStep 18442
Epoch 73: Loss 4.57, Reward 11.0, Avgloss 2.93, Avgreward 5.12, Epsilon 22.95, TotalStep 18794
Epoch 74: Loss 2.73, Reward 3.0, Avgloss 2.93, Avgreward 5.09, Epsilon 22.49, TotalStep 19007
Epoch 75: Loss 3.15, Reward 3.0, Avgloss 2.93, Avgreward 5.07, Epsilon 21.98, TotalStep 19247
Epoch 76: Loss 2.39, Reward 3.0, Avgloss 2.92, Avgreward 5.04, Epsilon 21.59, TotalStep 19433
Epoch 77: Loss 2.97, Reward 3.0, Avgloss 2.92, Avgreward 5.01, Epsilon 21.09, TotalStep 19679
Epoch 78: Loss 6.49, Reward 12.0, Avgloss 2.97, Avgreward 5.10, Epsilon 20.09, TotalStep 20187
Epoch 79: Loss 3.51, Reward 8.0, Avgloss 2.98, Avgreward 5.14, Epsilon 19.54, TotalStep 20479
Epoch 80: Loss 2.48, Reward 4.0, Avgloss 2.97, Avgreward 5.12, Epsilon 19.19, TotalStep 20669
Epoch 81: Loss 3.05, Reward 4.0, Avgloss 2.97, Avgreward 5.11, Epsilon 18.76, TotalStep 20909
Epoch 82: Loss 3.38, Reward 7.0, Avgloss 2.98, Avgreward 5.13, Epsilon 18.23, TotalStep 21209
Epoch 83: Loss 4.95, Reward 10.0, Avgloss 3.00, Avgreward 5.19, Epsilon 17.59, TotalStep 21584
Epoch 84: Loss 3.17, Reward 7.0, Avgloss 3.00, Avgreward 5.21, Epsilon 17.18, TotalStep 21830
