
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 2.59, Reward 6.0, Avgloss 2.59, Avgreward 6.00, Epsilon 218.23, TotalStep 269
Epoch 1: Loss 1.95, Reward 1.0, Avgloss 2.27, Avgreward 3.50, Epsilon 217.65, TotalStep 470
Epoch 2: Loss 3.11, Reward 5.0, Avgloss 2.55, Avgreward 4.00, Epsilon 216.74, TotalStep 788
Epoch 3: Loss 2.03, Reward 3.0, Avgloss 2.42, Avgreward 3.75, Epsilon 216.15, TotalStep 994
Epoch 4: Loss 2.20, Reward 2.0, Avgloss 2.37, Avgreward 3.40, Epsilon 215.56, TotalStep 1203
Epoch 5: Loss 1.96, Reward 3.0, Avgloss 2.31, Avgreward 3.33, Epsilon 214.99, TotalStep 1405
Epoch 6: Loss 3.58, Reward 8.0, Avgloss 2.49, Avgreward 4.00, Epsilon 214.03, TotalStep 1745
Epoch 7: Loss 2.15, Reward 3.0, Avgloss 2.44, Avgreward 3.88, Epsilon 213.40, TotalStep 1968
Epoch 8: Loss 1.86, Reward 4.0, Avgloss 2.38, Avgreward 3.89, Epsilon 212.81, TotalStep 2176
Epoch 9: Loss 1.84, Reward 4.0, Avgloss 2.33, Avgreward 3.90, Epsilon 212.32, TotalStep 2352
Epoch 10: Loss 1.90, Reward 4.0, Avgloss 2.29, Avgreward 3.91, Epsilon 211.73, TotalStep 2563
Epoch 11: Loss 1.78, Reward 2.0, Avgloss 2.24, Avgreward 3.75, Epsilon 211.18, TotalStep 2761
Epoch 12: Loss 1.93, Reward 4.0, Avgloss 2.22, Avgreward 3.77, Epsilon 210.60, TotalStep 2969
Epoch 13: Loss 2.83, Reward 6.0, Avgloss 2.26, Avgreward 3.93, Epsilon 209.83, TotalStep 3246
Epoch 14: Loss 3.45, Reward 8.0, Avgloss 2.34, Avgreward 4.20, Epsilon 208.96, TotalStep 3564
Epoch 15: Loss 3.75, Reward 8.0, Avgloss 2.43, Avgreward 4.44, Epsilon 207.93, TotalStep 3939
Epoch 16: Loss 2.07, Reward 7.0, Avgloss 2.41, Avgreward 4.59, Epsilon 207.27, TotalStep 4179
Epoch 17: Loss 2.99, Reward 8.0, Avgloss 2.44, Avgreward 4.78, Epsilon 206.42, TotalStep 4492
Epoch 18: Loss 1.89, Reward 4.0, Avgloss 2.41, Avgreward 4.74, Epsilon 205.87, TotalStep 4692
Epoch 19: Loss 2.40, Reward 4.0, Avgloss 2.41, Avgreward 4.70, Epsilon 205.22, TotalStep 4935
Epoch 20: Loss 2.34, Reward 3.0, Avgloss 2.41, Avgreward 4.62, Epsilon 204.61, TotalStep 5159
Epoch 21: Loss 2.25, Reward 5.0, Avgloss 2.40, Avgreward 4.64, Epsilon 204.07, TotalStep 5362
Epoch 22: Loss 2.46, Reward 8.0, Avgloss 2.40, Avgreward 4.78, Epsilon 203.35, TotalStep 5630
Epoch 23: Loss 2.44, Reward 4.0, Avgloss 2.41, Avgreward 4.75, Epsilon 202.71, TotalStep 5866
Epoch 24: Loss 1.98, Reward 4.0, Avgloss 2.39, Avgreward 4.72, Epsilon 202.13, TotalStep 6084
Epoch 25: Loss 2.72, Reward 3.0, Avgloss 2.40, Avgreward 4.65, Epsilon 201.40, TotalStep 6359
Epoch 26: Loss 3.37, Reward 8.0, Avgloss 2.44, Avgreward 4.78, Epsilon 200.45, TotalStep 6718
Epoch 27: Loss 2.56, Reward 8.0, Avgloss 2.44, Avgreward 4.89, Epsilon 199.74, TotalStep 6987
Epoch 28: Loss 2.31, Reward 3.0, Avgloss 2.44, Avgreward 4.83, Epsilon 199.08, TotalStep 7239
Epoch 29: Loss 1.93, Reward 2.0, Avgloss 2.42, Avgreward 4.73, Epsilon 198.54, TotalStep 7446
Epoch 30: Loss 2.50, Reward 4.0, Avgloss 2.42, Avgreward 4.71, Epsilon 197.89, TotalStep 7695
Epoch 31: Loss 1.99, Reward 2.0, Avgloss 2.41, Avgreward 4.62, Epsilon 197.35, TotalStep 7901
Epoch 32: Loss 3.39, Reward 9.0, Avgloss 2.44, Avgreward 4.76, Epsilon 196.44, TotalStep 8252
Epoch 33: Loss 4.09, Reward 14.0, Avgloss 2.49, Avgreward 5.03, Epsilon 195.32, TotalStep 8688
Epoch 34: Loss 1.85, Reward 3.0, Avgloss 2.47, Avgreward 4.97, Epsilon 194.79, TotalStep 8891
Epoch 35: Loss 2.30, Reward 3.0, Avgloss 2.46, Avgreward 4.92, Epsilon 194.18, TotalStep 9130
Epoch 36: Loss 2.11, Reward 4.0, Avgloss 2.45, Avgreward 4.89, Epsilon 193.62, TotalStep 9348
Epoch 37: Loss 2.17, Reward 4.0, Avgloss 2.45, Avgreward 4.87, Epsilon 193.06, TotalStep 9570
Epoch 38: Loss 2.39, Reward 3.0, Avgloss 2.45, Avgreward 4.82, Epsilon 192.45, TotalStep 9811
Epoch 39: Loss 2.50, Reward 7.0, Avgloss 2.45, Avgreward 4.88, Epsilon 191.78, TotalStep 10073
Epoch 40: Loss 2.17, Reward 2.0, Avgloss 2.44, Avgreward 4.80, Epsilon 191.26, TotalStep 10281
Epoch 41: Loss 2.13, Reward 3.0, Avgloss 2.43, Avgreward 4.76, Epsilon 190.75, TotalStep 10482
Epoch 42: Loss 2.63, Reward 6.0, Avgloss 2.44, Avgreward 4.79, Epsilon 190.04, TotalStep 10767
Epoch 43: Loss 2.88, Reward 5.0, Avgloss 2.45, Avgreward 4.80, Epsilon 189.33, TotalStep 11051
Epoch 44: Loss 4.49, Reward 14.0, Avgloss 2.49, Avgreward 5.00, Epsilon 188.23, TotalStep 11494
Epoch 45: Loss 2.02, Reward 2.0, Avgloss 2.48, Avgreward 4.93, Epsilon 187.74, TotalStep 11690
