
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 1.76, Reward 2.0, Avgloss 1.76, Avgreward 2.00, Epsilon 41.94, TotalStep 180
Epoch 1: Loss 2.64, Reward 3.0, Avgloss 2.20, Avgreward 2.50, Epsilon 41.87, TotalStep 415
Epoch 2: Loss 3.73, Reward 8.0, Avgloss 2.71, Avgreward 4.33, Epsilon 41.74, TotalStep 806
Epoch 3: Loss 3.05, Reward 7.0, Avgloss 2.80, Avgreward 5.00, Epsilon 41.66, TotalStep 1082
Epoch 4: Loss 3.03, Reward 6.0, Avgloss 2.84, Avgreward 5.20, Epsilon 41.56, TotalStep 1386
Epoch 5: Loss 2.08, Reward 3.0, Avgloss 2.72, Avgreward 4.83, Epsilon 41.50, TotalStep 1583
Epoch 6: Loss 2.01, Reward 4.0, Avgloss 2.61, Avgreward 4.71, Epsilon 41.43, TotalStep 1788
Epoch 7: Loss 2.57, Reward 3.0, Avgloss 2.61, Avgreward 4.50, Epsilon 41.34, TotalStep 2068
Epoch 8: Loss 3.39, Reward 7.0, Avgloss 2.70, Avgreward 4.78, Epsilon 41.24, TotalStep 2398
Epoch 9: Loss 2.67, Reward 4.0, Avgloss 2.69, Avgreward 4.70, Epsilon 41.17, TotalStep 2608
Epoch 10: Loss 2.88, Reward 6.0, Avgloss 2.71, Avgreward 4.82, Epsilon 41.09, TotalStep 2875
Epoch 11: Loss 3.03, Reward 6.0, Avgloss 2.74, Avgreward 4.92, Epsilon 41.00, TotalStep 3167
Epoch 12: Loss 1.74, Reward 4.0, Avgloss 2.66, Avgreward 4.85, Epsilon 40.94, TotalStep 3342
Epoch 13: Loss 2.89, Reward 4.0, Avgloss 2.68, Avgreward 4.79, Epsilon 40.86, TotalStep 3620
Epoch 14: Loss 3.25, Reward 6.0, Avgloss 2.71, Avgreward 4.87, Epsilon 40.77, TotalStep 3914
Epoch 15: Loss 2.29, Reward 3.0, Avgloss 2.69, Avgreward 4.75, Epsilon 40.70, TotalStep 4121
Epoch 16: Loss 2.18, Reward 2.0, Avgloss 2.66, Avgreward 4.59, Epsilon 40.64, TotalStep 4323
Epoch 17: Loss 2.06, Reward 3.0, Avgloss 2.62, Avgreward 4.50, Epsilon 40.58, TotalStep 4526
Epoch 18: Loss 3.01, Reward 4.0, Avgloss 2.65, Avgreward 4.47, Epsilon 40.49, TotalStep 4805
Epoch 19: Loss 1.88, Reward 4.0, Avgloss 2.61, Avgreward 4.45, Epsilon 40.43, TotalStep 4997
Epoch 20: Loss 3.44, Reward 10.0, Avgloss 2.65, Avgreward 4.71, Epsilon 40.33, TotalStep 5316
Epoch 21: Loss 1.94, Reward 5.0, Avgloss 2.61, Avgreward 4.73, Epsilon 40.27, TotalStep 5528
Epoch 22: Loss 3.06, Reward 6.0, Avgloss 2.63, Avgreward 4.78, Epsilon 40.17, TotalStep 5838
Epoch 23: Loss 2.77, Reward 5.0, Avgloss 2.64, Avgreward 4.79, Epsilon 40.09, TotalStep 6095
Epoch 24: Loss 2.89, Reward 4.0, Avgloss 2.65, Avgreward 4.76, Epsilon 40.02, TotalStep 6345
Epoch 25: Loss 2.11, Reward 5.0, Avgloss 2.63, Avgreward 4.77, Epsilon 39.96, TotalStep 6549
Epoch 26: Loss 3.34, Reward 8.0, Avgloss 2.66, Avgreward 4.89, Epsilon 39.86, TotalStep 6861
Epoch 27: Loss 2.47, Reward 4.0, Avgloss 2.65, Avgreward 4.86, Epsilon 39.78, TotalStep 7114
Epoch 28: Loss 2.39, Reward 2.0, Avgloss 2.64, Avgreward 4.76, Epsilon 39.71, TotalStep 7349
Epoch 29: Loss 2.54, Reward 7.0, Avgloss 2.64, Avgreward 4.83, Epsilon 39.64, TotalStep 7583
Epoch 30: Loss 3.66, Reward 8.0, Avgloss 2.67, Avgreward 4.94, Epsilon 39.54, TotalStep 7923
Epoch 31: Loss 2.24, Reward 3.0, Avgloss 2.66, Avgreward 4.88, Epsilon 39.48, TotalStep 8132
Epoch 32: Loss 1.98, Reward 2.0, Avgloss 2.64, Avgreward 4.79, Epsilon 39.41, TotalStep 8341
Epoch 33: Loss 3.19, Reward 7.0, Avgloss 2.65, Avgreward 4.85, Epsilon 39.33, TotalStep 8633
Epoch 34: Loss 2.55, Reward 4.0, Avgloss 2.65, Avgreward 4.83, Epsilon 39.25, TotalStep 8887
Epoch 35: Loss 2.09, Reward 4.0, Avgloss 2.63, Avgreward 4.81, Epsilon 39.19, TotalStep 9096
Epoch 36: Loss 3.28, Reward 8.0, Avgloss 2.65, Avgreward 4.89, Epsilon 39.09, TotalStep 9428
Epoch 37: Loss 2.39, Reward 2.0, Avgloss 2.64, Avgreward 4.82, Epsilon 39.02, TotalStep 9640
Epoch 38: Loss 3.49, Reward 8.0, Avgloss 2.67, Avgreward 4.90, Epsilon 38.93, TotalStep 9963
Epoch 39: Loss 2.17, Reward 3.0, Avgloss 2.65, Avgreward 4.85, Epsilon 38.87, TotalStep 10165
Epoch 40: Loss 2.13, Reward 2.0, Avgloss 2.64, Avgreward 4.78, Epsilon 38.81, TotalStep 10373
Epoch 41: Loss 3.05, Reward 8.0, Avgloss 2.65, Avgreward 4.86, Epsilon 38.73, TotalStep 10634
Epoch 42: Loss 3.36, Reward 6.0, Avgloss 2.67, Avgreward 4.88, Epsilon 38.64, TotalStep 10932
Epoch 43: Loss 2.83, Reward 6.0, Avgloss 2.67, Avgreward 4.91, Epsilon 38.57, TotalStep 11173
Epoch 44: Loss 3.16, Reward 7.0, Avgloss 2.68, Avgreward 4.96, Epsilon 38.48, TotalStep 11475
Epoch 45: Loss 1.75, Reward 3.0, Avgloss 2.66, Avgreward 4.91, Epsilon 38.42, TotalStep 11676
Epoch 46: Loss 2.47, Reward 3.0, Avgloss 2.66, Avgreward 4.87, Epsilon 38.35, TotalStep 11914
Epoch 47: Loss 2.02, Reward 1.0, Avgloss 2.64, Avgreward 4.79, Epsilon 38.30, TotalStep 12115
Epoch 48: Loss 2.51, Reward 4.0, Avgloss 2.64, Avgreward 4.78, Epsilon 38.23, TotalStep 12354
Epoch 49: Loss 2.34, Reward 4.0, Avgloss 2.64, Avgreward 4.76, Epsilon 38.16, TotalStep 12590
Epoch 50: Loss 1.87, Reward 2.0, Avgloss 2.62, Avgreward 4.71, Epsilon 38.10, TotalStep 12789
Epoch 51: Loss 2.82, Reward 6.0, Avgloss 2.62, Avgreward 4.73, Epsilon 38.03, TotalStep 13045
Epoch 52: Loss 1.90, Reward 4.0, Avgloss 2.61, Avgreward 4.72, Epsilon 37.96, TotalStep 13258
Epoch 53: Loss 2.19, Reward 4.0, Avgloss 2.60, Avgreward 4.70, Epsilon 37.91, TotalStep 13459
Epoch 54: Loss 2.31, Reward 4.0, Avgloss 2.60, Avgreward 4.69, Epsilon 37.84, TotalStep 13693
Epoch 55: Loss 2.06, Reward 3.0, Avgloss 2.59, Avgreward 4.66, Epsilon 37.78, TotalStep 13908
Epoch 56: Loss 2.49, Reward 8.0, Avgloss 2.59, Avgreward 4.72, Epsilon 37.70, TotalStep 14185
Epoch 57: Loss 2.89, Reward 7.0, Avgloss 2.59, Avgreward 4.76, Epsilon 37.62, TotalStep 14457
Epoch 58: Loss 1.96, Reward 6.0, Avgloss 2.58, Avgreward 4.78, Epsilon 37.56, TotalStep 14663
Epoch 59: Loss 2.42, Reward 3.0, Avgloss 2.58, Avgreward 4.75, Epsilon 37.49, TotalStep 14908
Epoch 60: Loss 3.31, Reward 5.0, Avgloss 2.59, Avgreward 4.75, Epsilon 37.40, TotalStep 15232
Epoch 61: Loss 2.80, Reward 8.0, Avgloss 2.59, Avgreward 4.81, Epsilon 37.32, TotalStep 15503
Epoch 62: Loss 3.57, Reward 10.0, Avgloss 2.61, Avgreward 4.89, Epsilon 37.22, TotalStep 15845
Epoch 63: Loss 3.47, Reward 8.0, Avgloss 2.62, Avgreward 4.94, Epsilon 37.13, TotalStep 16156
Epoch 64: Loss 2.55, Reward 2.0, Avgloss 2.62, Avgreward 4.89, Epsilon 37.07, TotalStep 16372
Epoch 65: Loss 2.14, Reward 3.0, Avgloss 2.61, Avgreward 4.86, Epsilon 37.01, TotalStep 16589
Epoch 66: Loss 2.12, Reward 4.0, Avgloss 2.61, Avgreward 4.85, Epsilon 36.95, TotalStep 16796
Epoch 67: Loss 2.82, Reward 5.0, Avgloss 2.61, Avgreward 4.85, Epsilon 36.88, TotalStep 17043
Epoch 68: Loss 2.74, Reward 7.0, Avgloss 2.61, Avgreward 4.88, Epsilon 36.81, TotalStep 17295
Epoch 69: Loss 3.95, Reward 10.0, Avgloss 2.63, Avgreward 4.96, Epsilon 36.71, TotalStep 17671
Epoch 70: Loss 2.08, Reward 2.0, Avgloss 2.62, Avgreward 4.92, Epsilon 36.65, TotalStep 17875
Epoch 71: Loss 2.17, Reward 3.0, Avgloss 2.62, Avgreward 4.89, Epsilon 36.60, TotalStep 18073
Epoch 72: Loss 3.07, Reward 6.0, Avgloss 2.62, Avgreward 4.90, Epsilon 36.52, TotalStep 18361
Epoch 73: Loss 2.24, Reward 2.0, Avgloss 2.62, Avgreward 4.86, Epsilon 36.46, TotalStep 18570
Epoch 74: Loss 2.42, Reward 2.0, Avgloss 2.62, Avgreward 4.83, Epsilon 36.40, TotalStep 18780
Epoch 75: Loss 2.18, Reward 3.0, Avgloss 2.61, Avgreward 4.80, Epsilon 36.34, TotalStep 18988
Epoch 76: Loss 2.31, Reward 5.0, Avgloss 2.61, Avgreward 4.81, Epsilon 36.28, TotalStep 19203
Epoch 77: Loss 2.02, Reward 3.0, Avgloss 2.60, Avgreward 4.78, Epsilon 36.22, TotalStep 19411
Epoch 78: Loss 4.58, Reward 10.0, Avgloss 2.62, Avgreward 4.85, Epsilon 36.11, TotalStep 19818
Epoch 79: Loss 2.67, Reward 4.0, Avgloss 2.62, Avgreward 4.84, Epsilon 36.05, TotalStep 20054
Epoch 80: Loss 4.43, Reward 13.0, Avgloss 2.65, Avgreward 4.94, Epsilon 35.94, TotalStep 20454
Epoch 81: Loss 2.86, Reward 5.0, Avgloss 2.65, Avgreward 4.94, Epsilon 35.86, TotalStep 20733
Epoch 82: Loss 2.00, Reward 2.0, Avgloss 2.64, Avgreward 4.90, Epsilon 35.81, TotalStep 20934
Epoch 83: Loss 3.53, Reward 6.0, Avgloss 2.65, Avgreward 4.92, Epsilon 35.72, TotalStep 21255
Epoch 84: Loss 3.15, Reward 4.0, Avgloss 2.66, Avgreward 4.91, Epsilon 35.64, TotalStep 21534
Epoch 85: Loss 3.34, Reward 9.0, Avgloss 2.67, Avgreward 4.95, Epsilon 35.56, TotalStep 21853
Epoch 86: Loss 2.20, Reward 2.0, Avgloss 2.66, Avgreward 4.92, Epsilon 35.50, TotalStep 22058
Epoch 87: Loss 4.46, Reward 8.0, Avgloss 2.68, Avgreward 4.95, Epsilon 35.39, TotalStep 22464
Epoch 88: Loss 2.22, Reward 2.0, Avgloss 2.68, Avgreward 4.92, Epsilon 35.34, TotalStep 22668
Epoch 89: Loss 2.00, Reward 2.0, Avgloss 2.67, Avgreward 4.89, Epsilon 35.28, TotalStep 22868
Epoch 90: Loss 2.11, Reward 1.0, Avgloss 2.66, Avgreward 4.85, Epsilon 35.23, TotalStep 23077
Epoch 91: Loss 1.85, Reward 2.0, Avgloss 2.65, Avgreward 4.82, Epsilon 35.17, TotalStep 23275
Epoch 92: Loss 2.23, Reward 3.0, Avgloss 2.65, Avgreward 4.80, Epsilon 35.12, TotalStep 23481
Epoch 93: Loss 2.78, Reward 5.0, Avgloss 2.65, Avgreward 4.80, Epsilon 35.04, TotalStep 23767
Epoch 94: Loss 2.51, Reward 5.0, Avgloss 2.65, Avgreward 4.80, Epsilon 34.98, TotalStep 23992
Epoch 95: Loss 2.87, Reward 3.0, Avgloss 2.65, Avgreward 4.78, Epsilon 34.91, TotalStep 24246
Epoch 96: Loss 2.36, Reward 5.0, Avgloss 2.65, Avgreward 4.78, Epsilon 34.86, TotalStep 24464
Epoch 97: Loss 2.45, Reward 5.0, Avgloss 2.65, Avgreward 4.79, Epsilon 34.80, TotalStep 24681
Epoch 98: Loss 2.06, Reward 3.0, Avgloss 2.64, Avgreward 4.77, Epsilon 34.75, TotalStep 24863
Epoch 99: Loss 1.97, Reward 2.0, Avgloss 2.63, Avgreward 4.74, Epsilon 34.70, TotalStep 25057
Epoch 100: Loss 2.56, Reward 6.0, Avgloss 2.64, Avgreward 4.78, Epsilon 34.63, TotalStep 25314
Epoch 101: Loss 5.74, Reward 15.0, Avgloss 2.67, Avgreward 4.90, Epsilon 34.49, TotalStep 25858
Epoch 102: Loss 3.01, Reward 6.0, Avgloss 2.66, Avgreward 4.88, Epsilon 34.42, TotalStep 26132
Epoch 103: Loss 2.30, Reward 3.0, Avgloss 2.66, Avgreward 4.84, Epsilon 34.36, TotalStep 26346
Epoch 104: Loss 2.31, Reward 4.0, Avgloss 2.65, Avgreward 4.82, Epsilon 34.30, TotalStep 26556
Epoch 105: Loss 2.22, Reward 4.0, Avgloss 2.65, Avgreward 4.83, Epsilon 34.25, TotalStep 26755
Epoch 106: Loss 2.34, Reward 3.0, Avgloss 2.65, Avgreward 4.82, Epsilon 34.20, TotalStep 26969
Epoch 107: Loss 1.99, Reward 6.0, Avgloss 2.65, Avgreward 4.85, Epsilon 34.14, TotalStep 27177
Epoch 108: Loss 2.13, Reward 2.0, Avgloss 2.64, Avgreward 4.80, Epsilon 34.09, TotalStep 27383
Epoch 109: Loss 2.20, Reward 1.0, Avgloss 2.63, Avgreward 4.77, Epsilon 34.04, TotalStep 27589
Epoch 110: Loss 2.40, Reward 2.0, Avgloss 2.63, Avgreward 4.73, Epsilon 33.98, TotalStep 27796
Epoch 111: Loss 3.34, Reward 7.0, Avgloss 2.63, Avgreward 4.74, Epsilon 33.90, TotalStep 28107
Epoch 112: Loss 2.23, Reward 3.0, Avgloss 2.63, Avgreward 4.73, Epsilon 33.85, TotalStep 28300
