
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 2.97, Reward 3.0, Avgloss 2.97, Avgreward 3.00, Epsilon 0.53, TotalStep 324
Epoch 1: Loss 2.86, Reward 9.0, Avgloss 2.91, Avgreward 6.00, Epsilon 0.53, TotalStep 610
Epoch 2: Loss 2.18, Reward 1.0, Avgloss 2.67, Avgreward 4.33, Epsilon 0.53, TotalStep 828
Epoch 3: Loss 1.75, Reward 1.0, Avgloss 2.44, Avgreward 3.50, Epsilon 0.53, TotalStep 1027
Epoch 4: Loss 1.79, Reward 4.0, Avgloss 2.31, Avgreward 3.60, Epsilon 0.52, TotalStep 1226
Epoch 5: Loss 2.41, Reward 7.0, Avgloss 2.33, Avgreward 4.17, Epsilon 0.52, TotalStep 1477
Epoch 6: Loss 2.12, Reward 3.0, Avgloss 2.30, Avgreward 4.00, Epsilon 0.52, TotalStep 1687
Epoch 7: Loss 2.03, Reward 2.0, Avgloss 2.26, Avgreward 3.75, Epsilon 0.52, TotalStep 1884
Epoch 8: Loss 3.92, Reward 10.0, Avgloss 2.45, Avgreward 4.44, Epsilon 0.52, TotalStep 2307
Epoch 9: Loss 2.56, Reward 6.0, Avgloss 2.46, Avgreward 4.60, Epsilon 0.52, TotalStep 2552
Epoch 10: Loss 3.18, Reward 7.0, Avgloss 2.52, Avgreward 4.82, Epsilon 0.52, TotalStep 2861
Epoch 11: Loss 3.01, Reward 6.0, Avgloss 2.56, Avgreward 4.92, Epsilon 0.52, TotalStep 3167
Epoch 12: Loss 2.41, Reward 2.0, Avgloss 2.55, Avgreward 4.69, Epsilon 0.52, TotalStep 3387
Epoch 13: Loss 2.02, Reward 2.0, Avgloss 2.52, Avgreward 4.50, Epsilon 0.51, TotalStep 3589
Epoch 14: Loss 2.07, Reward 3.0, Avgloss 2.49, Avgreward 4.40, Epsilon 0.51, TotalStep 3811
Epoch 15: Loss 2.41, Reward 2.0, Avgloss 2.48, Avgreward 4.25, Epsilon 0.51, TotalStep 4067
