
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 2.07, Reward 3.0, Avgloss 2.07, Avgreward 3.00, Epsilon 0.87, TotalStep 204
Epoch 1: Loss 2.39, Reward 5.0, Avgloss 2.23, Avgreward 4.00, Epsilon 0.87, TotalStep 435
Epoch 2: Loss 2.24, Reward 3.0, Avgloss 2.23, Avgreward 3.67, Epsilon 0.87, TotalStep 652
Epoch 3: Loss 2.07, Reward 4.0, Avgloss 2.19, Avgreward 3.75, Epsilon 0.87, TotalStep 866
Epoch 4: Loss 2.68, Reward 6.0, Avgloss 2.29, Avgreward 4.20, Epsilon 0.87, TotalStep 1122
Epoch 5: Loss 2.22, Reward 4.0, Avgloss 2.28, Avgreward 4.17, Epsilon 0.87, TotalStep 1338
Epoch 6: Loss 2.33, Reward 4.0, Avgloss 2.28, Avgreward 4.14, Epsilon 0.87, TotalStep 1547
Epoch 7: Loss 2.16, Reward 4.0, Avgloss 2.27, Avgreward 4.12, Epsilon 0.87, TotalStep 1765
Epoch 8: Loss 2.12, Reward 6.0, Avgloss 2.25, Avgreward 4.33, Epsilon 0.87, TotalStep 1985
Epoch 9: Loss 2.32, Reward 3.0, Avgloss 2.26, Avgreward 4.20, Epsilon 0.87, TotalStep 2206
Epoch 10: Loss 2.61, Reward 5.0, Avgloss 2.29, Avgreward 4.27, Epsilon 0.86, TotalStep 2480
Epoch 11: Loss 3.94, Reward 8.0, Avgloss 2.43, Avgreward 4.58, Epsilon 0.86, TotalStep 2906
Epoch 12: Loss 2.48, Reward 6.0, Avgloss 2.43, Avgreward 4.69, Epsilon 0.86, TotalStep 3150
Epoch 13: Loss 2.22, Reward 3.0, Avgloss 2.42, Avgreward 4.57, Epsilon 0.86, TotalStep 3356
Epoch 14: Loss 2.43, Reward 3.0, Avgloss 2.42, Avgreward 4.47, Epsilon 0.86, TotalStep 3588
Epoch 15: Loss 3.73, Reward 10.0, Avgloss 2.50, Avgreward 4.81, Epsilon 0.86, TotalStep 3963
Epoch 16: Loss 2.50, Reward 5.0, Avgloss 2.50, Avgreward 4.82, Epsilon 0.86, TotalStep 4193
Epoch 17: Loss 1.95, Reward 4.0, Avgloss 2.47, Avgreward 4.78, Epsilon 0.86, TotalStep 4378
Epoch 18: Loss 2.56, Reward 9.0, Avgloss 2.47, Avgreward 5.00, Epsilon 0.86, TotalStep 4624
Epoch 19: Loss 2.55, Reward 6.0, Avgloss 2.48, Avgreward 5.05, Epsilon 0.85, TotalStep 4862
