
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 2.10, Reward 3.0, Avgloss 2.10, Avgreward 3.00, Epsilon 0.67, TotalStep 196
Epoch 1: Loss 2.36, Reward 5.0, Avgloss 2.23, Avgreward 4.00, Epsilon 0.66, TotalStep 390
Epoch 2: Loss 2.36, Reward 1.0, Avgloss 2.28, Avgreward 3.00, Epsilon 0.65, TotalStep 609
Epoch 3: Loss 2.25, Reward 5.0, Avgloss 2.27, Avgreward 3.50, Epsilon 0.65, TotalStep 818
Epoch 4: Loss 2.37, Reward 4.0, Avgloss 2.29, Avgreward 3.60, Epsilon 0.64, TotalStep 1061
Epoch 5: Loss 2.20, Reward 3.0, Avgloss 2.28, Avgreward 3.50, Epsilon 0.63, TotalStep 1267
Epoch 6: Loss 2.08, Reward 2.0, Avgloss 2.25, Avgreward 3.29, Epsilon 0.62, TotalStep 1474
Epoch 7: Loss 3.71, Reward 6.0, Avgloss 2.43, Avgreward 3.62, Epsilon 0.61, TotalStep 1848
Epoch 8: Loss 2.37, Reward 2.0, Avgloss 2.42, Avgreward 3.44, Epsilon 0.60, TotalStep 2062
Epoch 9: Loss 2.30, Reward 1.0, Avgloss 2.41, Avgreward 3.20, Epsilon 0.60, TotalStep 2270
Epoch 10: Loss 1.81, Reward 3.0, Avgloss 2.36, Avgreward 3.18, Epsilon 0.59, TotalStep 2431
Epoch 11: Loss 2.50, Reward 5.0, Avgloss 2.37, Avgreward 3.33, Epsilon 0.58, TotalStep 2655
Epoch 12: Loss 2.28, Reward 5.0, Avgloss 2.36, Avgreward 3.46, Epsilon 0.58, TotalStep 2878
Epoch 13: Loss 3.62, Reward 7.0, Avgloss 2.45, Avgreward 3.71, Epsilon 0.57, TotalStep 3216
Epoch 14: Loss 2.62, Reward 5.0, Avgloss 2.46, Avgreward 3.80, Epsilon 0.56, TotalStep 3456
Epoch 15: Loss 1.69, Reward 2.0, Avgloss 2.42, Avgreward 3.69, Epsilon 0.55, TotalStep 3626
Epoch 16: Loss 2.44, Reward 5.0, Avgloss 2.42, Avgreward 3.76, Epsilon 0.55, TotalStep 3865
Epoch 17: Loss 2.10, Reward 4.0, Avgloss 2.40, Avgreward 3.78, Epsilon 0.54, TotalStep 4077
Epoch 18: Loss 2.42, Reward 5.0, Avgloss 2.40, Avgreward 3.84, Epsilon 0.53, TotalStep 4320
Epoch 19: Loss 1.96, Reward 5.0, Avgloss 2.38, Avgreward 3.90, Epsilon 0.53, TotalStep 4510
Epoch 20: Loss 2.89, Reward 11.0, Avgloss 2.40, Avgreward 4.24, Epsilon 0.52, TotalStep 4785
Epoch 21: Loss 3.07, Reward 4.0, Avgloss 2.43, Avgreward 4.23, Epsilon 0.51, TotalStep 5044
Epoch 22: Loss 2.02, Reward 4.0, Avgloss 2.41, Avgreward 4.22, Epsilon 0.51, TotalStep 5229
Epoch 23: Loss 2.42, Reward 3.0, Avgloss 2.41, Avgreward 4.17, Epsilon 0.50, TotalStep 5447
Epoch 24: Loss 1.92, Reward 1.0, Avgloss 2.40, Avgreward 4.04, Epsilon 0.50, TotalStep 5632
Epoch 25: Loss 3.68, Reward 9.0, Avgloss 2.44, Avgreward 4.23, Epsilon 0.49, TotalStep 5936
Epoch 26: Loss 4.06, Reward 8.0, Avgloss 2.50, Avgreward 4.37, Epsilon 0.48, TotalStep 6283
Epoch 27: Loss 2.12, Reward 2.0, Avgloss 2.49, Avgreward 4.29, Epsilon 0.47, TotalStep 6485
