
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 2.34, Reward 1.0, Avgloss 2.34, Avgreward 1.00, Epsilon 0.60, TotalStep 204
Epoch 1: Loss 2.45, Reward 4.0, Avgloss 2.40, Avgreward 2.50, Epsilon 0.60, TotalStep 409
Epoch 2: Loss 3.00, Reward 3.0, Avgloss 2.60, Avgreward 2.67, Epsilon 0.60, TotalStep 679
Epoch 3: Loss 2.14, Reward 4.0, Avgloss 2.48, Avgreward 3.00, Epsilon 0.60, TotalStep 893
Epoch 4: Loss 2.41, Reward 2.0, Avgloss 2.47, Avgreward 2.80, Epsilon 0.60, TotalStep 1103
Epoch 5: Loss 2.20, Reward 2.0, Avgloss 2.42, Avgreward 2.67, Epsilon 0.59, TotalStep 1309
Epoch 6: Loss 2.83, Reward 7.0, Avgloss 2.48, Avgreward 3.29, Epsilon 0.59, TotalStep 1580
Epoch 7: Loss 2.24, Reward 2.0, Avgloss 2.45, Avgreward 3.12, Epsilon 0.59, TotalStep 1788
Epoch 8: Loss 2.76, Reward 4.0, Avgloss 2.49, Avgreward 3.22, Epsilon 0.59, TotalStep 2065
Epoch 9: Loss 4.21, Reward 7.0, Avgloss 2.66, Avgreward 3.60, Epsilon 0.59, TotalStep 2429
Epoch 10: Loss 3.83, Reward 9.0, Avgloss 2.77, Avgreward 4.09, Epsilon 0.58, TotalStep 2744
Epoch 11: Loss 2.97, Reward 3.0, Avgloss 2.78, Avgreward 4.00, Epsilon 0.58, TotalStep 2989
Epoch 12: Loss 2.37, Reward 1.0, Avgloss 2.75, Avgreward 3.77, Epsilon 0.58, TotalStep 3189
Epoch 13: Loss 4.21, Reward 11.0, Avgloss 2.86, Avgreward 4.29, Epsilon 0.58, TotalStep 3596
Epoch 14: Loss 4.28, Reward 5.0, Avgloss 2.95, Avgreward 4.33, Epsilon 0.58, TotalStep 3960
Epoch 15: Loss 2.89, Reward 5.0, Avgloss 2.95, Avgreward 4.38, Epsilon 0.57, TotalStep 4203
Epoch 16: Loss 2.03, Reward 5.0, Avgloss 2.89, Avgreward 4.41, Epsilon 0.57, TotalStep 4408
Epoch 17: Loss 2.32, Reward 3.0, Avgloss 2.86, Avgreward 4.33, Epsilon 0.57, TotalStep 4612
Epoch 18: Loss 2.38, Reward 3.0, Avgloss 2.84, Avgreward 4.26, Epsilon 0.57, TotalStep 4813
Epoch 19: Loss 2.36, Reward 3.0, Avgloss 2.81, Avgreward 4.20, Epsilon 0.57, TotalStep 5018
Epoch 20: Loss 2.62, Reward 4.0, Avgloss 2.80, Avgreward 4.19, Epsilon 0.57, TotalStep 5227
Epoch 21: Loss 2.26, Reward 2.0, Avgloss 2.78, Avgreward 4.09, Epsilon 0.57, TotalStep 5430
