
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 3.36, Reward 7.0, Avgloss 3.36, Avgreward 7.00, Epsilon 0.54, TotalStep 329
Epoch 1: Loss 1.56, Reward 2.0, Avgloss 2.46, Avgreward 4.50, Epsilon 0.54, TotalStep 518
Epoch 2: Loss 3.31, Reward 8.0, Avgloss 2.74, Avgreward 5.67, Epsilon 0.54, TotalStep 868
Epoch 3: Loss 3.79, Reward 7.0, Avgloss 3.00, Avgreward 6.00, Epsilon 0.53, TotalStep 1216
Epoch 4: Loss 2.16, Reward 1.0, Avgloss 2.84, Avgreward 5.00, Epsilon 0.53, TotalStep 1417
Epoch 5: Loss 2.33, Reward 1.0, Avgloss 2.75, Avgreward 4.33, Epsilon 0.53, TotalStep 1624
Epoch 6: Loss 2.16, Reward 2.0, Avgloss 2.67, Avgreward 4.00, Epsilon 0.53, TotalStep 1830
Epoch 7: Loss 2.49, Reward 4.0, Avgloss 2.65, Avgreward 4.00, Epsilon 0.52, TotalStep 2071
Epoch 8: Loss 2.09, Reward 2.0, Avgloss 2.58, Avgreward 3.78, Epsilon 0.52, TotalStep 2284
Epoch 9: Loss 4.67, Reward 13.0, Avgloss 2.79, Avgreward 4.70, Epsilon 0.51, TotalStep 2725
Epoch 10: Loss 2.26, Reward 2.0, Avgloss 2.74, Avgreward 4.45, Epsilon 0.51, TotalStep 2941
Epoch 11: Loss 4.32, Reward 10.0, Avgloss 2.88, Avgreward 4.92, Epsilon 0.51, TotalStep 3351
Epoch 12: Loss 2.65, Reward 5.0, Avgloss 2.86, Avgreward 4.92, Epsilon 0.50, TotalStep 3605
Epoch 13: Loss 2.10, Reward 3.0, Avgloss 2.80, Avgreward 4.79, Epsilon 0.50, TotalStep 3810
Epoch 14: Loss 1.80, Reward 1.0, Avgloss 2.74, Avgreward 4.53, Epsilon 0.50, TotalStep 3985
Epoch 15: Loss 2.35, Reward 3.0, Avgloss 2.71, Avgreward 4.44, Epsilon 0.50, TotalStep 4191
Epoch 16: Loss 3.19, Reward 5.0, Avgloss 2.74, Avgreward 4.47, Epsilon 0.49, TotalStep 4485
Epoch 17: Loss 2.20, Reward 3.0, Avgloss 2.71, Avgreward 4.39, Epsilon 0.49, TotalStep 4687
Epoch 18: Loss 1.87, Reward 2.0, Avgloss 2.67, Avgreward 4.26, Epsilon 0.49, TotalStep 4884
Epoch 19: Loss 2.97, Reward 5.0, Avgloss 2.68, Avgreward 4.30, Epsilon 0.49, TotalStep 5139
Epoch 20: Loss 2.22, Reward 5.0, Avgloss 2.66, Avgreward 4.33, Epsilon 0.48, TotalStep 5374
Epoch 21: Loss 3.08, Reward 8.0, Avgloss 2.68, Avgreward 4.50, Epsilon 0.48, TotalStep 5672
Epoch 22: Loss 3.64, Reward 5.0, Avgloss 2.72, Avgreward 4.52, Epsilon 0.48, TotalStep 6028
Epoch 23: Loss 3.92, Reward 5.0, Avgloss 2.77, Avgreward 4.54, Epsilon 0.47, TotalStep 6398
Epoch 24: Loss 2.21, Reward 2.0, Avgloss 2.75, Avgreward 4.44, Epsilon 0.47, TotalStep 6599
Epoch 25: Loss 2.79, Reward 3.0, Avgloss 2.75, Avgreward 4.38, Epsilon 0.47, TotalStep 6856
Epoch 26: Loss 2.25, Reward 1.0, Avgloss 2.73, Avgreward 4.26, Epsilon 0.46, TotalStep 7063
Epoch 27: Loss 2.03, Reward 2.0, Avgloss 2.71, Avgreward 4.18, Epsilon 0.46, TotalStep 7261
Epoch 28: Loss 3.73, Reward 8.0, Avgloss 2.74, Avgreward 4.31, Epsilon 0.46, TotalStep 7622
Epoch 29: Loss 3.30, Reward 9.0, Avgloss 2.76, Avgreward 4.47, Epsilon 0.46, TotalStep 7942
Epoch 30: Loss 2.39, Reward 2.0, Avgloss 2.75, Avgreward 4.39, Epsilon 0.45, TotalStep 8153
Epoch 31: Loss 5.51, Reward 6.0, Avgloss 2.83, Avgreward 4.44, Epsilon 0.45, TotalStep 8641
Epoch 32: Loss 2.26, Reward 1.0, Avgloss 2.82, Avgreward 4.33, Epsilon 0.45, TotalStep 8841
Epoch 33: Loss 2.19, Reward 5.0, Avgloss 2.80, Avgreward 4.35, Epsilon 0.44, TotalStep 9044
Epoch 34: Loss 3.36, Reward 4.0, Avgloss 2.81, Avgreward 4.34, Epsilon 0.44, TotalStep 9343
Epoch 35: Loss 2.58, Reward 4.0, Avgloss 2.81, Avgreward 4.33, Epsilon 0.44, TotalStep 9588
Epoch 36: Loss 2.13, Reward 2.0, Avgloss 2.79, Avgreward 4.27, Epsilon 0.44, TotalStep 9777
Epoch 37: Loss 6.56, Reward 17.0, Avgloss 2.89, Avgreward 4.61, Epsilon 0.43, TotalStep 10370
Epoch 38: Loss 2.74, Reward 4.0, Avgloss 2.89, Avgreward 4.59, Epsilon 0.43, TotalStep 10624
Epoch 39: Loss 1.48, Reward 5.0, Avgloss 2.85, Avgreward 4.60, Epsilon 0.43, TotalStep 10801
Epoch 40: Loss 1.86, Reward 5.0, Avgloss 2.83, Avgreward 4.61, Epsilon 0.42, TotalStep 11002
Epoch 41: Loss 5.16, Reward 7.0, Avgloss 2.88, Avgreward 4.67, Epsilon 0.42, TotalStep 11437
Epoch 42: Loss 3.45, Reward 3.0, Avgloss 2.89, Avgreward 4.63, Epsilon 0.42, TotalStep 11742
Epoch 43: Loss 2.41, Reward 4.0, Avgloss 2.88, Avgreward 4.61, Epsilon 0.41, TotalStep 11944
Epoch 44: Loss 2.68, Reward 5.0, Avgloss 2.88, Avgreward 4.62, Epsilon 0.41, TotalStep 12164
Epoch 45: Loss 3.20, Reward 4.0, Avgloss 2.89, Avgreward 4.61, Epsilon 0.41, TotalStep 12449
Epoch 46: Loss 2.19, Reward 7.0, Avgloss 2.87, Avgreward 4.66, Epsilon 0.41, TotalStep 12655
Epoch 47: Loss 2.57, Reward 2.0, Avgloss 2.86, Avgreward 4.60, Epsilon 0.41, TotalStep 12860
Epoch 48: Loss 3.32, Reward 5.0, Avgloss 2.87, Avgreward 4.61, Epsilon 0.40, TotalStep 13149
Epoch 49: Loss 1.77, Reward 3.0, Avgloss 2.85, Avgreward 4.58, Epsilon 0.40, TotalStep 13314
Epoch 50: Loss 2.06, Reward 2.0, Avgloss 2.84, Avgreward 4.53, Epsilon 0.40, TotalStep 13514
Epoch 51: Loss 5.71, Reward 16.0, Avgloss 2.89, Avgreward 4.75, Epsilon 0.39, TotalStep 14017
Epoch 52: Loss 3.63, Reward 8.0, Avgloss 2.91, Avgreward 4.81, Epsilon 0.39, TotalStep 14359
Epoch 53: Loss 3.52, Reward 4.0, Avgloss 2.92, Avgreward 4.80, Epsilon 0.39, TotalStep 14649
Epoch 54: Loss 2.36, Reward 2.0, Avgloss 2.91, Avgreward 4.75, Epsilon 0.39, TotalStep 14867
Epoch 55: Loss 2.47, Reward 3.0, Avgloss 2.90, Avgreward 4.71, Epsilon 0.38, TotalStep 15070
Epoch 56: Loss 3.55, Reward 9.0, Avgloss 2.91, Avgreward 4.79, Epsilon 0.38, TotalStep 15374
Epoch 57: Loss 1.94, Reward 1.0, Avgloss 2.89, Avgreward 4.72, Epsilon 0.38, TotalStep 15574
Epoch 58: Loss 2.52, Reward 2.0, Avgloss 2.89, Avgreward 4.68, Epsilon 0.38, TotalStep 15778
Epoch 59: Loss 2.07, Reward 1.0, Avgloss 2.87, Avgreward 4.62, Epsilon 0.38, TotalStep 15973
Epoch 60: Loss 3.53, Reward 7.0, Avgloss 2.88, Avgreward 4.66, Epsilon 0.37, TotalStep 16279
Epoch 61: Loss 2.69, Reward 2.0, Avgloss 2.88, Avgreward 4.61, Epsilon 0.37, TotalStep 16508
Epoch 62: Loss 2.25, Reward 2.0, Avgloss 2.87, Avgreward 4.57, Epsilon 0.37, TotalStep 16714
Epoch 63: Loss 2.59, Reward 2.0, Avgloss 2.87, Avgreward 4.53, Epsilon 0.37, TotalStep 16937
Epoch 64: Loss 2.26, Reward 2.0, Avgloss 2.86, Avgreward 4.49, Epsilon 0.37, TotalStep 17139
Epoch 65: Loss 2.75, Reward 2.0, Avgloss 2.86, Avgreward 4.45, Epsilon 0.36, TotalStep 17355
Epoch 66: Loss 5.12, Reward 7.0, Avgloss 2.89, Avgreward 4.49, Epsilon 0.36, TotalStep 17786
Epoch 67: Loss 2.25, Reward 5.0, Avgloss 2.88, Avgreward 4.50, Epsilon 0.36, TotalStep 17984
Epoch 68: Loss 2.31, Reward 2.0, Avgloss 2.87, Avgreward 4.46, Epsilon 0.36, TotalStep 18182
Epoch 69: Loss 3.98, Reward 6.0, Avgloss 2.89, Avgreward 4.49, Epsilon 0.36, TotalStep 18514
Epoch 70: Loss 2.25, Reward 2.0, Avgloss 2.88, Avgreward 4.45, Epsilon 0.35, TotalStep 18719
Epoch 71: Loss 2.93, Reward 4.0, Avgloss 2.88, Avgreward 4.44, Epsilon 0.35, TotalStep 19003
Epoch 72: Loss 2.29, Reward 3.0, Avgloss 2.87, Avgreward 4.42, Epsilon 0.35, TotalStep 19193
Epoch 73: Loss 3.68, Reward 9.0, Avgloss 2.88, Avgreward 4.49, Epsilon 0.35, TotalStep 19530
Epoch 74: Loss 2.49, Reward 3.0, Avgloss 2.88, Avgreward 4.47, Epsilon 0.35, TotalStep 19737
Epoch 75: Loss 2.43, Reward 2.0, Avgloss 2.87, Avgreward 4.43, Epsilon 0.34, TotalStep 19937
Epoch 76: Loss 2.47, Reward 5.0, Avgloss 2.87, Avgreward 4.44, Epsilon 0.34, TotalStep 20159
Epoch 77: Loss 2.86, Reward 3.0, Avgloss 2.87, Avgreward 4.42, Epsilon 0.34, TotalStep 20384
Epoch 78: Loss 2.90, Reward 4.0, Avgloss 2.87, Avgreward 4.42, Epsilon 0.34, TotalStep 20643
Epoch 79: Loss 2.61, Reward 7.0, Avgloss 2.86, Avgreward 4.45, Epsilon 0.34, TotalStep 20887
Epoch 80: Loss 2.73, Reward 1.0, Avgloss 2.86, Avgreward 4.41, Epsilon 0.33, TotalStep 21110
Epoch 81: Loss 2.49, Reward 3.0, Avgloss 2.86, Avgreward 4.39, Epsilon 0.33, TotalStep 21327
Epoch 82: Loss 2.30, Reward 2.0, Avgloss 2.85, Avgreward 4.36, Epsilon 0.33, TotalStep 21528
Epoch 83: Loss 4.98, Reward 12.0, Avgloss 2.88, Avgreward 4.45, Epsilon 0.33, TotalStep 21989
Epoch 84: Loss 2.13, Reward 3.0, Avgloss 2.87, Avgreward 4.44, Epsilon 0.33, TotalStep 22169
Epoch 85: Loss 2.19, Reward 1.0, Avgloss 2.86, Avgreward 4.40, Epsilon 0.32, TotalStep 22356
Epoch 86: Loss 4.52, Reward 9.0, Avgloss 2.88, Avgreward 4.45, Epsilon 0.32, TotalStep 22701
Epoch 87: Loss 2.40, Reward 2.0, Avgloss 2.87, Avgreward 4.42, Epsilon 0.32, TotalStep 22934
Epoch 88: Loss 3.55, Reward 9.0, Avgloss 2.88, Avgreward 4.47, Epsilon 0.32, TotalStep 23274
Epoch 89: Loss 6.15, Reward 13.0, Avgloss 2.92, Avgreward 4.57, Epsilon 0.31, TotalStep 23764
Epoch 90: Loss 5.64, Reward 13.0, Avgloss 2.95, Avgreward 4.66, Epsilon 0.31, TotalStep 24267
Epoch 91: Loss 2.60, Reward 3.0, Avgloss 2.94, Avgreward 4.64, Epsilon 0.31, TotalStep 24492
Epoch 92: Loss 2.18, Reward 1.0, Avgloss 2.93, Avgreward 4.60, Epsilon 0.31, TotalStep 24691
Epoch 93: Loss 4.02, Reward 8.0, Avgloss 2.95, Avgreward 4.64, Epsilon 0.30, TotalStep 25029
Epoch 94: Loss 3.01, Reward 6.0, Avgloss 2.95, Avgreward 4.65, Epsilon 0.30, TotalStep 25269
Epoch 95: Loss 2.87, Reward 6.0, Avgloss 2.95, Avgreward 4.67, Epsilon 0.30, TotalStep 25538
Epoch 96: Loss 4.23, Reward 11.0, Avgloss 2.96, Avgreward 4.73, Epsilon 0.30, TotalStep 25914
Epoch 97: Loss 2.69, Reward 4.0, Avgloss 2.96, Avgreward 4.72, Epsilon 0.30, TotalStep 26116
Epoch 98: Loss 3.40, Reward 4.0, Avgloss 2.96, Avgreward 4.72, Epsilon 0.30, TotalStep 26435
Epoch 99: Loss 2.11, Reward 2.0, Avgloss 2.95, Avgreward 4.69, Epsilon 0.29, TotalStep 26634
[34m[1mwandb[39m[22m: Ctrl + C detected. Stopping sweep.
