couldn't find initialization file, model started empty
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 17.53, Reward 1.0, Avgloss 17.53, Avgreward 1.00, Epsilon 0.37, TotalStep 219
Epoch 1: Loss 1.94, Reward 8.0, Avgloss 9.73, Avgreward 4.50, Epsilon 0.37, TotalStep 469
Epoch 2: Loss 3.43, Reward 10.0, Avgloss 7.63, Avgreward 6.33, Epsilon 0.37, TotalStep 832
Epoch 3: Loss 3.15, Reward 7.0, Avgloss 6.51, Avgreward 6.50, Epsilon 0.37, TotalStep 1139
Epoch 4: Loss 2.29, Reward 2.0, Avgloss 5.67, Avgreward 5.60, Epsilon 0.37, TotalStep 1352
Epoch 5: Loss 2.23, Reward 6.0, Avgloss 5.10, Avgreward 5.67, Epsilon 0.37, TotalStep 1588
Epoch 6: Loss 2.14, Reward 2.0, Avgloss 4.67, Avgreward 5.14, Epsilon 0.37, TotalStep 1806
Epoch 7: Loss 1.83, Reward 2.0, Avgloss 4.32, Avgreward 4.75, Epsilon 0.37, TotalStep 2009
Epoch 8: Loss 2.15, Reward 4.0, Avgloss 4.08, Avgreward 4.67, Epsilon 0.36, TotalStep 2252
Epoch 9: Loss 2.35, Reward 3.0, Avgloss 3.91, Avgreward 4.50, Epsilon 0.36, TotalStep 2493
Epoch 10: Loss 1.83, Reward 3.0, Avgloss 3.72, Avgreward 4.36, Epsilon 0.36, TotalStep 2695
Epoch 11: Loss 2.95, Reward 6.0, Avgloss 3.65, Avgreward 4.50, Epsilon 0.36, TotalStep 2979
Epoch 12: Loss 1.86, Reward 4.0, Avgloss 3.51, Avgreward 4.46, Epsilon 0.36, TotalStep 3196
Epoch 13: Loss 2.13, Reward 2.0, Avgloss 3.42, Avgreward 4.29, Epsilon 0.36, TotalStep 3400
Epoch 14: Loss 2.61, Reward 8.0, Avgloss 3.36, Avgreward 4.53, Epsilon 0.36, TotalStep 3664
Epoch 15: Loss 2.42, Reward 4.0, Avgloss 3.30, Avgreward 4.50, Epsilon 0.36, TotalStep 3903
Epoch 16: Loss 1.90, Reward 4.0, Avgloss 3.22, Avgreward 4.47, Epsilon 0.36, TotalStep 4104
Epoch 17: Loss 2.11, Reward 2.0, Avgloss 3.16, Avgreward 4.33, Epsilon 0.35, TotalStep 4319
Epoch 18: Loss 2.00, Reward 4.0, Avgloss 3.10, Avgreward 4.32, Epsilon 0.35, TotalStep 4521
Epoch 19: Loss 1.99, Reward 2.0, Avgloss 3.04, Avgreward 4.20, Epsilon 0.35, TotalStep 4742
Epoch 20: Loss 1.85, Reward 4.0, Avgloss 2.99, Avgreward 4.19, Epsilon 0.35, TotalStep 4953
Epoch 21: Loss 2.12, Reward 7.0, Avgloss 2.95, Avgreward 4.32, Epsilon 0.35, TotalStep 5173
Epoch 22: Loss 3.67, Reward 8.0, Avgloss 2.98, Avgreward 4.48, Epsilon 0.35, TotalStep 5547
Epoch 23: Loss 1.86, Reward 3.0, Avgloss 2.93, Avgreward 4.42, Epsilon 0.35, TotalStep 5747
Epoch 24: Loss 2.52, Reward 5.0, Avgloss 2.91, Avgreward 4.44, Epsilon 0.35, TotalStep 6016
Epoch 25: Loss 1.91, Reward 1.0, Avgloss 2.88, Avgreward 4.31, Epsilon 0.35, TotalStep 6217
Epoch 26: Loss 1.81, Reward 2.0, Avgloss 2.84, Avgreward 4.22, Epsilon 0.35, TotalStep 6416
Epoch 27: Loss 2.42, Reward 6.0, Avgloss 2.82, Avgreward 4.29, Epsilon 0.34, TotalStep 6656
Epoch 28: Loss 2.80, Reward 6.0, Avgloss 2.82, Avgreward 4.34, Epsilon 0.34, TotalStep 6946
Epoch 29: Loss 2.30, Reward 4.0, Avgloss 2.80, Avgreward 4.33, Epsilon 0.34, TotalStep 7153
Epoch 30: Loss 3.25, Reward 7.0, Avgloss 2.82, Avgreward 4.42, Epsilon 0.34, TotalStep 7466
Epoch 31: Loss 2.56, Reward 7.0, Avgloss 2.81, Avgreward 4.50, Epsilon 0.34, TotalStep 7757
Epoch 32: Loss 1.91, Reward 2.0, Avgloss 2.78, Avgreward 4.42, Epsilon 0.34, TotalStep 7966
Epoch 33: Loss 2.01, Reward 0.0, Avgloss 2.76, Avgreward 4.29, Epsilon 0.34, TotalStep 8173
Epoch 34: Loss 1.81, Reward 2.0, Avgloss 2.73, Avgreward 4.23, Epsilon 0.34, TotalStep 8375
Epoch 35: Loss 2.06, Reward 5.0, Avgloss 2.71, Avgreward 4.25, Epsilon 0.34, TotalStep 8596
Epoch 36: Loss 2.75, Reward 5.0, Avgloss 2.71, Avgreward 4.27, Epsilon 0.33, TotalStep 8872
Epoch 37: Loss 3.82, Reward 8.0, Avgloss 2.74, Avgreward 4.37, Epsilon 0.33, TotalStep 9239
Epoch 38: Loss 1.35, Reward 2.0, Avgloss 2.71, Avgreward 4.31, Epsilon 0.33, TotalStep 9404
Epoch 39: Loss 1.80, Reward 1.0, Avgloss 2.69, Avgreward 4.22, Epsilon 0.33, TotalStep 9610
Epoch 40: Loss 3.13, Reward 4.0, Avgloss 2.70, Avgreward 4.22, Epsilon 0.33, TotalStep 9953
Epoch 41: Loss 2.72, Reward 4.0, Avgloss 2.70, Avgreward 4.21, Epsilon 0.33, TotalStep 10237
Epoch 42: Loss 3.10, Reward 7.0, Avgloss 2.71, Avgreward 4.28, Epsilon 0.33, TotalStep 10555
Epoch 43: Loss 2.14, Reward 6.0, Avgloss 2.69, Avgreward 4.32, Epsilon 0.33, TotalStep 10781
Epoch 44: Loss 2.21, Reward 3.0, Avgloss 2.68, Avgreward 4.29, Epsilon 0.33, TotalStep 10999
Epoch 45: Loss 2.00, Reward 2.0, Avgloss 2.67, Avgreward 4.24, Epsilon 0.32, TotalStep 11209
Epoch 46: Loss 3.34, Reward 5.0, Avgloss 2.68, Avgreward 4.26, Epsilon 0.32, TotalStep 11539
Epoch 47: Loss 3.92, Reward 9.0, Avgloss 2.71, Avgreward 4.35, Epsilon 0.32, TotalStep 11918
Epoch 48: Loss 3.34, Reward 8.0, Avgloss 2.72, Avgreward 4.43, Epsilon 0.32, TotalStep 12262
Epoch 49: Loss 2.17, Reward 0.0, Avgloss 2.71, Avgreward 4.34, Epsilon 0.32, TotalStep 12481
Epoch 50: Loss 1.95, Reward 3.0, Avgloss 2.70, Avgreward 4.31, Epsilon 0.32, TotalStep 12702
Epoch 51: Loss 2.68, Reward 7.0, Avgloss 2.69, Avgreward 4.37, Epsilon 0.32, TotalStep 12951
Epoch 52: Loss 2.22, Reward 0.0, Avgloss 2.69, Avgreward 4.28, Epsilon 0.32, TotalStep 13165
Epoch 53: Loss 2.79, Reward 5.0, Avgloss 2.69, Avgreward 4.30, Epsilon 0.32, TotalStep 13460
Epoch 54: Loss 3.27, Reward 7.0, Avgloss 2.70, Avgreward 4.35, Epsilon 0.31, TotalStep 13762
Epoch 55: Loss 2.67, Reward 5.0, Avgloss 2.70, Avgreward 4.36, Epsilon 0.31, TotalStep 14027
Epoch 56: Loss 2.21, Reward 2.0, Avgloss 2.69, Avgreward 4.32, Epsilon 0.31, TotalStep 14274
Epoch 57: Loss 2.05, Reward 3.0, Avgloss 2.68, Avgreward 4.29, Epsilon 0.31, TotalStep 14480
Epoch 58: Loss 1.85, Reward 2.0, Avgloss 2.66, Avgreward 4.25, Epsilon 0.31, TotalStep 14682
Epoch 59: Loss 2.40, Reward 8.0, Avgloss 2.66, Avgreward 4.32, Epsilon 0.31, TotalStep 14930
Epoch 60: Loss 3.31, Reward 7.0, Avgloss 2.67, Avgreward 4.36, Epsilon 0.31, TotalStep 15243
Epoch 61: Loss 1.59, Reward 3.0, Avgloss 2.65, Avgreward 4.34, Epsilon 0.31, TotalStep 15443
Epoch 62: Loss 2.09, Reward 3.0, Avgloss 2.64, Avgreward 4.32, Epsilon 0.31, TotalStep 15658
Epoch 63: Loss 2.05, Reward 2.0, Avgloss 2.63, Avgreward 4.28, Epsilon 0.31, TotalStep 15896
Epoch 64: Loss 2.07, Reward 2.0, Avgloss 2.63, Avgreward 4.25, Epsilon 0.31, TotalStep 16103
Epoch 65: Loss 2.08, Reward 2.0, Avgloss 2.62, Avgreward 4.21, Epsilon 0.30, TotalStep 16304
Epoch 66: Loss 1.79, Reward 2.0, Avgloss 2.61, Avgreward 4.18, Epsilon 0.30, TotalStep 16504
Epoch 67: Loss 2.02, Reward 2.0, Avgloss 2.60, Avgreward 4.15, Epsilon 0.30, TotalStep 16735
Epoch 68: Loss 2.64, Reward 6.0, Avgloss 2.60, Avgreward 4.17, Epsilon 0.30, TotalStep 16998
Epoch 69: Loss 1.91, Reward 2.0, Avgloss 2.59, Avgreward 4.14, Epsilon 0.30, TotalStep 17202
Epoch 70: Loss 3.56, Reward 9.0, Avgloss 2.60, Avgreward 4.21, Epsilon 0.30, TotalStep 17566
Epoch 71: Loss 2.01, Reward 1.0, Avgloss 2.59, Avgreward 4.17, Epsilon 0.30, TotalStep 17749
Epoch 72: Loss 1.98, Reward 2.0, Avgloss 2.58, Avgreward 4.14, Epsilon 0.30, TotalStep 17938
Epoch 73: Loss 1.96, Reward 2.0, Avgloss 2.58, Avgreward 4.11, Epsilon 0.30, TotalStep 18156
Epoch 74: Loss 3.11, Reward 6.0, Avgloss 2.58, Avgreward 4.13, Epsilon 0.30, TotalStep 18492
Epoch 75: Loss 2.17, Reward 3.0, Avgloss 2.58, Avgreward 4.12, Epsilon 0.30, TotalStep 18730
Epoch 76: Loss 1.86, Reward 2.0, Avgloss 2.57, Avgreward 4.09, Epsilon 0.29, TotalStep 18936
Epoch 77: Loss 2.84, Reward 6.0, Avgloss 2.57, Avgreward 4.12, Epsilon 0.29, TotalStep 19206
Epoch 78: Loss 1.82, Reward 3.0, Avgloss 2.56, Avgreward 4.10, Epsilon 0.29, TotalStep 19402
Epoch 79: Loss 2.34, Reward 6.0, Avgloss 2.56, Avgreward 4.12, Epsilon 0.29, TotalStep 19635
Epoch 80: Loss 1.91, Reward 2.0, Avgloss 2.55, Avgreward 4.10, Epsilon 0.29, TotalStep 19836
Epoch 81: Loss 2.42, Reward 3.0, Avgloss 2.55, Avgreward 4.09, Epsilon 0.29, TotalStep 20064
Epoch 82: Loss 1.75, Reward 3.0, Avgloss 2.54, Avgreward 4.07, Epsilon 0.29, TotalStep 20261
Epoch 83: Loss 1.89, Reward 4.0, Avgloss 2.53, Avgreward 4.07, Epsilon 0.29, TotalStep 20460
Epoch 84: Loss 2.08, Reward 3.0, Avgloss 2.53, Avgreward 4.06, Epsilon 0.29, TotalStep 20659
Epoch 85: Loss 2.05, Reward 5.0, Avgloss 2.52, Avgreward 4.07, Epsilon 0.29, TotalStep 20865
Epoch 86: Loss 2.08, Reward 1.0, Avgloss 2.52, Avgreward 4.03, Epsilon 0.29, TotalStep 21064
Epoch 87: Loss 1.91, Reward 2.0, Avgloss 2.51, Avgreward 4.01, Epsilon 0.29, TotalStep 21265
Epoch 88: Loss 2.11, Reward 2.0, Avgloss 2.51, Avgreward 3.99, Epsilon 0.29, TotalStep 21465
Epoch 89: Loss 2.74, Reward 5.0, Avgloss 2.51, Avgreward 4.00, Epsilon 0.28, TotalStep 21738
Epoch 90: Loss 2.23, Reward 4.0, Avgloss 2.51, Avgreward 4.00, Epsilon 0.28, TotalStep 21962
Epoch 91: Loss 2.49, Reward 1.0, Avgloss 2.50, Avgreward 3.97, Epsilon 0.28, TotalStep 22183
Epoch 92: Loss 1.85, Reward 2.0, Avgloss 2.50, Avgreward 3.95, Epsilon 0.28, TotalStep 22379
Epoch 93: Loss 1.97, Reward 1.0, Avgloss 2.49, Avgreward 3.91, Epsilon 0.28, TotalStep 22577
Epoch 94: Loss 1.77, Reward 3.0, Avgloss 2.48, Avgreward 3.91, Epsilon 0.28, TotalStep 22778
Epoch 95: Loss 2.72, Reward 8.0, Avgloss 2.49, Avgreward 3.95, Epsilon 0.28, TotalStep 23093
Epoch 96: Loss 1.89, Reward 2.0, Avgloss 2.48, Avgreward 3.93, Epsilon 0.28, TotalStep 23294
Epoch 97: Loss 2.06, Reward 3.0, Avgloss 2.48, Avgreward 3.92, Epsilon 0.28, TotalStep 23492
Epoch 98: Loss 2.46, Reward 3.0, Avgloss 2.48, Avgreward 3.91, Epsilon 0.28, TotalStep 23742
Epoch 99: Loss 4.28, Reward 9.0, Avgloss 2.49, Avgreward 3.96, Epsilon 0.28, TotalStep 24186
Epoch 100: Loss 2.73, Reward 5.0, Avgloss 2.35, Avgreward 4.00, Epsilon 0.27, TotalStep 24459
Epoch 101: Loss 2.17, Reward 4.0, Avgloss 2.35, Avgreward 3.96, Epsilon 0.27, TotalStep 24657
