
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 2.02, Reward 2.0, Avgloss 2.02, Avgreward 2.00, Epsilon 0.45, TotalStep 211
Epoch 1: Loss 2.45, Reward 9.0, Avgloss 2.23, Avgreward 5.50, Epsilon 0.45, TotalStep 491
Epoch 2: Loss 2.62, Reward 5.0, Avgloss 2.36, Avgreward 5.33, Epsilon 0.45, TotalStep 774
Epoch 3: Loss 2.01, Reward 5.0, Avgloss 2.27, Avgreward 5.25, Epsilon 0.45, TotalStep 986
Epoch 4: Loss 2.61, Reward 4.0, Avgloss 2.34, Avgreward 5.00, Epsilon 0.45, TotalStep 1261
Epoch 5: Loss 2.15, Reward 3.0, Avgloss 2.31, Avgreward 4.67, Epsilon 0.45, TotalStep 1495
Epoch 6: Loss 2.39, Reward 9.0, Avgloss 2.32, Avgreward 5.29, Epsilon 0.45, TotalStep 1762
Epoch 7: Loss 2.04, Reward 3.0, Avgloss 2.29, Avgreward 5.00, Epsilon 0.45, TotalStep 1972
Epoch 8: Loss 1.98, Reward 4.0, Avgloss 2.25, Avgreward 4.89, Epsilon 0.45, TotalStep 2173
Epoch 9: Loss 3.28, Reward 10.0, Avgloss 2.36, Avgreward 5.40, Epsilon 0.44, TotalStep 2542
Epoch 10: Loss 3.08, Reward 7.0, Avgloss 2.42, Avgreward 5.55, Epsilon 0.44, TotalStep 2880
Epoch 11: Loss 1.99, Reward 2.0, Avgloss 2.39, Avgreward 5.25, Epsilon 0.44, TotalStep 3079
Epoch 12: Loss 1.97, Reward 2.0, Avgloss 2.35, Avgreward 5.00, Epsilon 0.44, TotalStep 3278
Epoch 13: Loss 2.27, Reward 4.0, Avgloss 2.35, Avgreward 4.93, Epsilon 0.44, TotalStep 3522
Epoch 14: Loss 1.84, Reward 2.0, Avgloss 2.31, Avgreward 4.73, Epsilon 0.44, TotalStep 3721
Epoch 15: Loss 1.82, Reward 1.0, Avgloss 2.28, Avgreward 4.50, Epsilon 0.44, TotalStep 3922
Epoch 16: Loss 2.15, Reward 2.0, Avgloss 2.28, Avgreward 4.35, Epsilon 0.44, TotalStep 4158
Epoch 17: Loss 1.98, Reward 3.0, Avgloss 2.26, Avgreward 4.28, Epsilon 0.44, TotalStep 4380
Epoch 18: Loss 1.55, Reward 2.0, Avgloss 2.22, Avgreward 4.16, Epsilon 0.44, TotalStep 4557
Epoch 19: Loss 2.01, Reward 3.0, Avgloss 2.21, Avgreward 4.10, Epsilon 0.44, TotalStep 4776
Epoch 20: Loss 1.41, Reward 4.0, Avgloss 2.17, Avgreward 4.10, Epsilon 0.44, TotalStep 4945
Epoch 21: Loss 3.67, Reward 4.0, Avgloss 2.24, Avgreward 4.09, Epsilon 0.44, TotalStep 5336
Epoch 22: Loss 2.93, Reward 8.0, Avgloss 2.27, Avgreward 4.26, Epsilon 0.44, TotalStep 5653
Epoch 23: Loss 2.41, Reward 6.0, Avgloss 2.28, Avgreward 4.33, Epsilon 0.44, TotalStep 5910
Epoch 24: Loss 2.06, Reward 4.0, Avgloss 2.27, Avgreward 4.32, Epsilon 0.44, TotalStep 6110
Epoch 25: Loss 1.97, Reward 4.0, Avgloss 2.26, Avgreward 4.31, Epsilon 0.43, TotalStep 6336
Epoch 26: Loss 1.78, Reward 4.0, Avgloss 2.24, Avgreward 4.30, Epsilon 0.43, TotalStep 6555
Epoch 27: Loss 3.06, Reward 9.0, Avgloss 2.27, Avgreward 4.46, Epsilon 0.43, TotalStep 6889
Epoch 28: Loss 2.00, Reward 2.0, Avgloss 2.26, Avgreward 4.38, Epsilon 0.43, TotalStep 7109
Epoch 29: Loss 2.82, Reward 8.0, Avgloss 2.28, Avgreward 4.50, Epsilon 0.43, TotalStep 7435
Epoch 30: Loss 2.24, Reward 5.0, Avgloss 2.28, Avgreward 4.52, Epsilon 0.43, TotalStep 7693
Epoch 31: Loss 2.15, Reward 3.0, Avgloss 2.27, Avgreward 4.47, Epsilon 0.43, TotalStep 7890
Epoch 32: Loss 2.47, Reward 7.0, Avgloss 2.28, Avgreward 4.55, Epsilon 0.43, TotalStep 8156
Epoch 33: Loss 1.93, Reward 7.0, Avgloss 2.27, Avgreward 4.62, Epsilon 0.43, TotalStep 8377
Epoch 34: Loss 1.75, Reward 3.0, Avgloss 2.25, Avgreward 4.57, Epsilon 0.43, TotalStep 8586
Epoch 35: Loss 2.25, Reward 3.0, Avgloss 2.25, Avgreward 4.53, Epsilon 0.43, TotalStep 8830
Epoch 36: Loss 1.99, Reward 1.0, Avgloss 2.25, Avgreward 4.43, Epsilon 0.43, TotalStep 9033
Epoch 37: Loss 2.15, Reward 2.0, Avgloss 2.24, Avgreward 4.37, Epsilon 0.43, TotalStep 9242
Epoch 38: Loss 1.86, Reward 2.0, Avgloss 2.23, Avgreward 4.31, Epsilon 0.43, TotalStep 9452
Epoch 39: Loss 1.74, Reward 4.0, Avgloss 2.22, Avgreward 4.30, Epsilon 0.43, TotalStep 9651
Epoch 40: Loss 3.51, Reward 9.0, Avgloss 2.25, Avgreward 4.41, Epsilon 0.42, TotalStep 10040
Epoch 41: Loss 2.18, Reward 3.0, Avgloss 2.25, Avgreward 4.38, Epsilon 0.42, TotalStep 10263
Epoch 42: Loss 2.25, Reward 4.0, Avgloss 2.25, Avgreward 4.37, Epsilon 0.42, TotalStep 10498
Epoch 43: Loss 2.21, Reward 7.0, Avgloss 2.25, Avgreward 4.43, Epsilon 0.42, TotalStep 10725
Epoch 44: Loss 2.89, Reward 8.0, Avgloss 2.26, Avgreward 4.51, Epsilon 0.42, TotalStep 11019
Epoch 45: Loss 2.25, Reward 3.0, Avgloss 2.26, Avgreward 4.48, Epsilon 0.42, TotalStep 11255
Epoch 46: Loss 2.07, Reward 4.0, Avgloss 2.26, Avgreward 4.47, Epsilon 0.42, TotalStep 11472
Epoch 47: Loss 2.32, Reward 6.0, Avgloss 2.26, Avgreward 4.50, Epsilon 0.42, TotalStep 11718
Epoch 48: Loss 2.10, Reward 2.0, Avgloss 2.26, Avgreward 4.45, Epsilon 0.42, TotalStep 11927
Epoch 49: Loss 1.38, Reward 3.0, Avgloss 2.24, Avgreward 4.42, Epsilon 0.42, TotalStep 12083
Epoch 50: Loss 4.33, Reward 9.0, Avgloss 2.28, Avgreward 4.51, Epsilon 0.42, TotalStep 12539
Epoch 51: Loss 2.34, Reward 3.0, Avgloss 2.28, Avgreward 4.48, Epsilon 0.42, TotalStep 12810
Epoch 52: Loss 2.72, Reward 7.0, Avgloss 2.29, Avgreward 4.53, Epsilon 0.42, TotalStep 13106
Epoch 53: Loss 4.29, Reward 9.0, Avgloss 2.33, Avgreward 4.61, Epsilon 0.42, TotalStep 13566
Epoch 54: Loss 2.84, Reward 4.0, Avgloss 2.34, Avgreward 4.60, Epsilon 0.41, TotalStep 13842
Epoch 55: Loss 2.33, Reward 2.0, Avgloss 2.34, Avgreward 4.55, Epsilon 0.41, TotalStep 14078
Epoch 56: Loss 2.03, Reward 4.0, Avgloss 2.33, Avgreward 4.54, Epsilon 0.41, TotalStep 14289
Epoch 57: Loss 1.82, Reward 4.0, Avgloss 2.32, Avgreward 4.53, Epsilon 0.41, TotalStep 14490
Epoch 58: Loss 2.47, Reward 4.0, Avgloss 2.33, Avgreward 4.53, Epsilon 0.41, TotalStep 14734
Epoch 59: Loss 2.06, Reward 3.0, Avgloss 2.32, Avgreward 4.50, Epsilon 0.41, TotalStep 14942
Epoch 60: Loss 1.95, Reward 2.0, Avgloss 2.31, Avgreward 4.46, Epsilon 0.41, TotalStep 15144
Epoch 61: Loss 1.79, Reward 2.0, Avgloss 2.31, Avgreward 4.42, Epsilon 0.41, TotalStep 15340
Epoch 62: Loss 2.27, Reward 2.0, Avgloss 2.31, Avgreward 4.38, Epsilon 0.41, TotalStep 15577
Epoch 63: Loss 2.37, Reward 3.0, Avgloss 2.31, Avgreward 4.36, Epsilon 0.41, TotalStep 15824
Epoch 64: Loss 2.89, Reward 7.0, Avgloss 2.32, Avgreward 4.40, Epsilon 0.41, TotalStep 16119
Epoch 65: Loss 2.17, Reward 3.0, Avgloss 2.31, Avgreward 4.38, Epsilon 0.41, TotalStep 16334
Epoch 66: Loss 2.89, Reward 6.0, Avgloss 2.32, Avgreward 4.40, Epsilon 0.41, TotalStep 16632
Epoch 67: Loss 2.90, Reward 10.0, Avgloss 2.33, Avgreward 4.49, Epsilon 0.41, TotalStep 16932
Epoch 68: Loss 2.84, Reward 5.0, Avgloss 2.34, Avgreward 4.49, Epsilon 0.41, TotalStep 17224
Epoch 69: Loss 3.22, Reward 3.0, Avgloss 2.35, Avgreward 4.47, Epsilon 0.41, TotalStep 17529
Epoch 70: Loss 2.28, Reward 4.0, Avgloss 2.35, Avgreward 4.46, Epsilon 0.41, TotalStep 17762
Epoch 71: Loss 2.15, Reward 5.0, Avgloss 2.35, Avgreward 4.47, Epsilon 0.40, TotalStep 17980
Epoch 72: Loss 2.03, Reward 2.0, Avgloss 2.34, Avgreward 4.44, Epsilon 0.40, TotalStep 18178
Epoch 73: Loss 2.19, Reward 3.0, Avgloss 2.34, Avgreward 4.42, Epsilon 0.40, TotalStep 18408
Epoch 74: Loss 2.03, Reward 2.0, Avgloss 2.34, Avgreward 4.39, Epsilon 0.40, TotalStep 18619
Epoch 75: Loss 3.04, Reward 5.0, Avgloss 2.35, Avgreward 4.39, Epsilon 0.40, TotalStep 18915
Epoch 76: Loss 2.48, Reward 3.0, Avgloss 2.35, Avgreward 4.38, Epsilon 0.40, TotalStep 19160
