
Warming up...
Eval epoch 0: Reward 1.0
Epoch 0: Loss 2.60, Reward 7.0, Avgloss 2.60, Avgreward 7.00, Epsilon 0.63, TotalStep 308
Epoch 1: Loss 3.11, Reward 6.0, Avgloss 2.85, Avgreward 6.50, Epsilon 0.63, TotalStep 617
Epoch 2: Loss 4.65, Reward 12.0, Avgloss 3.45, Avgreward 8.33, Epsilon 0.63, TotalStep 1088
Epoch 3: Loss 1.62, Reward 3.0, Avgloss 2.99, Avgreward 7.00, Epsilon 0.63, TotalStep 1273
Epoch 4: Loss 2.09, Reward 5.0, Avgloss 2.81, Avgreward 6.60, Epsilon 0.63, TotalStep 1507
Epoch 5: Loss 1.81, Reward 2.0, Avgloss 2.65, Avgreward 5.83, Epsilon 0.63, TotalStep 1705
Epoch 6: Loss 1.61, Reward 2.0, Avgloss 2.50, Avgreward 5.29, Epsilon 0.63, TotalStep 1922
Epoch 7: Loss 1.88, Reward 3.0, Avgloss 2.42, Avgreward 5.00, Epsilon 0.62, TotalStep 2129
Epoch 8: Loss 2.13, Reward 2.0, Avgloss 2.39, Avgreward 4.67, Epsilon 0.62, TotalStep 2348
Epoch 9: Loss 1.56, Reward 3.0, Avgloss 2.31, Avgreward 4.50, Epsilon 0.62, TotalStep 2545
Epoch 10: Loss 2.30, Reward 2.0, Avgloss 2.31, Avgreward 4.27, Epsilon 0.62, TotalStep 2769
Epoch 11: Loss 2.76, Reward 8.0, Avgloss 2.34, Avgreward 4.58, Epsilon 0.62, TotalStep 3077
Epoch 12: Loss 2.52, Reward 5.0, Avgloss 2.36, Avgreward 4.62, Epsilon 0.62, TotalStep 3362
Epoch 13: Loss 2.22, Reward 4.0, Avgloss 2.35, Avgreward 4.57, Epsilon 0.62, TotalStep 3604
Epoch 14: Loss 2.20, Reward 4.0, Avgloss 2.34, Avgreward 4.53, Epsilon 0.62, TotalStep 3828
Epoch 15: Loss 4.02, Reward 11.0, Avgloss 2.44, Avgreward 4.94, Epsilon 0.62, TotalStep 4233
Epoch 16: Loss 2.24, Reward 3.0, Avgloss 2.43, Avgreward 4.82, Epsilon 0.62, TotalStep 4458
Epoch 17: Loss 1.72, Reward 6.0, Avgloss 2.39, Avgreward 4.89, Epsilon 0.62, TotalStep 4662
Epoch 18: Loss 2.68, Reward 3.0, Avgloss 2.41, Avgreward 4.79, Epsilon 0.61, TotalStep 4937
Epoch 19: Loss 2.00, Reward 2.0, Avgloss 2.39, Avgreward 4.65, Epsilon 0.61, TotalStep 5139
Epoch 20: Loss 2.43, Reward 3.0, Avgloss 2.39, Avgreward 4.57, Epsilon 0.61, TotalStep 5395
Epoch 21: Loss 4.38, Reward 10.0, Avgloss 2.48, Avgreward 4.82, Epsilon 0.61, TotalStep 5898
Epoch 22: Loss 2.75, Reward 3.0, Avgloss 2.49, Avgreward 4.74, Epsilon 0.61, TotalStep 6171
Epoch 23: Loss 1.48, Reward 3.0, Avgloss 2.45, Avgreward 4.67, Epsilon 0.61, TotalStep 6352
Epoch 24: Loss 2.55, Reward 6.0, Avgloss 2.45, Avgreward 4.72, Epsilon 0.61, TotalStep 6651
Epoch 25: Loss 1.80, Reward 3.0, Avgloss 2.43, Avgreward 4.65, Epsilon 0.61, TotalStep 6863
Epoch 26: Loss 1.89, Reward 5.0, Avgloss 2.41, Avgreward 4.67, Epsilon 0.61, TotalStep 7085
Epoch 27: Loss 1.75, Reward 2.0, Avgloss 2.38, Avgreward 4.57, Epsilon 0.60, TotalStep 7287
Epoch 28: Loss 3.09, Reward 7.0, Avgloss 2.41, Avgreward 4.66, Epsilon 0.60, TotalStep 7592
Epoch 29: Loss 2.11, Reward 3.0, Avgloss 2.40, Avgreward 4.60, Epsilon 0.60, TotalStep 7839
Epoch 30: Loss 2.62, Reward 3.0, Avgloss 2.41, Avgreward 4.55, Epsilon 0.60, TotalStep 8117
Epoch 31: Loss 1.78, Reward 2.0, Avgloss 2.39, Avgreward 4.47, Epsilon 0.60, TotalStep 8321
Epoch 32: Loss 1.94, Reward 6.0, Avgloss 2.37, Avgreward 4.52, Epsilon 0.60, TotalStep 8516
Epoch 33: Loss 2.18, Reward 6.0, Avgloss 2.37, Avgreward 4.56, Epsilon 0.60, TotalStep 8790
Epoch 34: Loss 2.40, Reward 7.0, Avgloss 2.37, Avgreward 4.63, Epsilon 0.60, TotalStep 9040
Epoch 35: Loss 2.51, Reward 6.0, Avgloss 2.37, Avgreward 4.67, Epsilon 0.60, TotalStep 9324
Epoch 36: Loss 2.73, Reward 4.0, Avgloss 2.38, Avgreward 4.65, Epsilon 0.60, TotalStep 9577
Epoch 37: Loss 1.73, Reward 2.0, Avgloss 2.36, Avgreward 4.58, Epsilon 0.60, TotalStep 9782
Epoch 38: Loss 3.16, Reward 7.0, Avgloss 2.38, Avgreward 4.64, Epsilon 0.59, TotalStep 10118
Epoch 39: Loss 3.15, Reward 7.0, Avgloss 2.40, Avgreward 4.70, Epsilon 0.59, TotalStep 10460
Epoch 40: Loss 2.60, Reward 2.0, Avgloss 2.41, Avgreward 4.63, Epsilon 0.59, TotalStep 10731
Epoch 41: Loss 2.76, Reward 6.0, Avgloss 2.42, Avgreward 4.67, Epsilon 0.59, TotalStep 11023
