
Warming up...
Eval epoch 0: Reward 4.0
Epoch 0: Loss 2.93, Reward 8.0, Avgloss 2.93, Avgreward 8.00, Epsilon 0.77, TotalStep 316
Epoch 1: Loss 1.50, Reward 3.0, Avgloss 2.21, Avgreward 5.50, Epsilon 0.77, TotalStep 490
Epoch 2: Loss 1.71, Reward 4.0, Avgloss 2.05, Avgreward 5.00, Epsilon 0.77, TotalStep 689
Epoch 3: Loss 2.99, Reward 8.0, Avgloss 2.28, Avgreward 5.75, Epsilon 0.76, TotalStep 1012
Epoch 4: Loss 1.61, Reward 4.0, Avgloss 2.15, Avgreward 5.40, Epsilon 0.76, TotalStep 1193
Epoch 5: Loss 2.11, Reward 3.0, Avgloss 2.14, Avgreward 5.00, Epsilon 0.76, TotalStep 1410
Epoch 6: Loss 2.24, Reward 5.0, Avgloss 2.16, Avgreward 5.00, Epsilon 0.76, TotalStep 1645
Epoch 7: Loss 2.56, Reward 7.0, Avgloss 2.21, Avgreward 5.25, Epsilon 0.76, TotalStep 1899
Epoch 8: Loss 2.00, Reward 1.0, Avgloss 2.18, Avgreward 4.78, Epsilon 0.76, TotalStep 2127
Epoch 9: Loss 3.71, Reward 6.0, Avgloss 2.34, Avgreward 4.90, Epsilon 0.75, TotalStep 2503
Epoch 10: Loss 1.48, Reward 2.0, Avgloss 2.26, Avgreward 4.64, Epsilon 0.75, TotalStep 2681
Epoch 11: Loss 1.95, Reward 1.0, Avgloss 2.23, Avgreward 4.33, Epsilon 0.75, TotalStep 2882
Epoch 12: Loss 2.90, Reward 8.0, Avgloss 2.28, Avgreward 4.62, Epsilon 0.75, TotalStep 3166
Epoch 13: Loss 1.85, Reward 4.0, Avgloss 2.25, Avgreward 4.57, Epsilon 0.75, TotalStep 3369
Epoch 14: Loss 1.88, Reward 2.0, Avgloss 2.23, Avgreward 4.40, Epsilon 0.75, TotalStep 3569
Epoch 15: Loss 1.85, Reward 2.0, Avgloss 2.21, Avgreward 4.25, Epsilon 0.75, TotalStep 3779
Epoch 16: Loss 3.53, Reward 9.0, Avgloss 2.28, Avgreward 4.53, Epsilon 0.74, TotalStep 4154
Epoch 17: Loss 1.78, Reward 5.0, Avgloss 2.26, Avgreward 4.56, Epsilon 0.74, TotalStep 4374
Epoch 18: Loss 3.55, Reward 6.0, Avgloss 2.32, Avgreward 4.63, Epsilon 0.74, TotalStep 4737
Epoch 19: Loss 1.62, Reward 2.0, Avgloss 2.29, Avgreward 4.50, Epsilon 0.74, TotalStep 4934
Epoch 20: Loss 2.37, Reward 4.0, Avgloss 2.29, Avgreward 4.48, Epsilon 0.74, TotalStep 5175
Epoch 21: Loss 1.88, Reward 3.0, Avgloss 2.27, Avgreward 4.41, Epsilon 0.74, TotalStep 5379
Epoch 22: Loss 3.07, Reward 6.0, Avgloss 2.31, Avgreward 4.48, Epsilon 0.73, TotalStep 5753
Epoch 23: Loss 2.36, Reward 5.0, Avgloss 2.31, Avgreward 4.50, Epsilon 0.73, TotalStep 6022
Epoch 24: Loss 2.06, Reward 2.0, Avgloss 2.30, Avgreward 4.40, Epsilon 0.73, TotalStep 6248
Epoch 25: Loss 2.32, Reward 4.0, Avgloss 2.30, Avgreward 4.38, Epsilon 0.73, TotalStep 6483
Epoch 26: Loss 1.68, Reward 5.0, Avgloss 2.28, Avgreward 4.41, Epsilon 0.73, TotalStep 6681
Epoch 27: Loss 3.62, Reward 9.0, Avgloss 2.33, Avgreward 4.57, Epsilon 0.73, TotalStep 7068
Epoch 28: Loss 1.81, Reward 4.0, Avgloss 2.31, Avgreward 4.55, Epsilon 0.72, TotalStep 7270
Epoch 29: Loss 2.22, Reward 4.0, Avgloss 2.31, Avgreward 4.53, Epsilon 0.72, TotalStep 7508
Epoch 30: Loss 2.66, Reward 3.0, Avgloss 2.32, Avgreward 4.48, Epsilon 0.72, TotalStep 7780
Epoch 31: Loss 2.32, Reward 3.0, Avgloss 2.32, Avgreward 4.44, Epsilon 0.72, TotalStep 8023
Epoch 32: Loss 1.64, Reward 4.0, Avgloss 2.30, Avgreward 4.42, Epsilon 0.72, TotalStep 8195
Epoch 33: Loss 2.46, Reward 7.0, Avgloss 2.30, Avgreward 4.50, Epsilon 0.72, TotalStep 8468
Epoch 34: Loss 2.00, Reward 2.0, Avgloss 2.29, Avgreward 4.43, Epsilon 0.72, TotalStep 8676
Epoch 35: Loss 2.71, Reward 6.0, Avgloss 2.30, Avgreward 4.47, Epsilon 0.71, TotalStep 8948
Epoch 36: Loss 3.16, Reward 7.0, Avgloss 2.33, Avgreward 4.54, Epsilon 0.71, TotalStep 9280
Epoch 37: Loss 1.90, Reward 2.0, Avgloss 2.32, Avgreward 4.47, Epsilon 0.71, TotalStep 9479
Epoch 38: Loss 2.02, Reward 2.0, Avgloss 2.31, Avgreward 4.41, Epsilon 0.71, TotalStep 9707
Epoch 39: Loss 1.70, Reward 3.0, Avgloss 2.29, Avgreward 4.38, Epsilon 0.71, TotalStep 9890
Epoch 40: Loss 2.92, Reward 5.0, Avgloss 2.31, Avgreward 4.39, Epsilon 0.71, TotalStep 10181
Epoch 41: Loss 2.44, Reward 6.0, Avgloss 2.31, Avgreward 4.43, Epsilon 0.70, TotalStep 10453
Epoch 42: Loss 2.80, Reward 6.0, Avgloss 2.32, Avgreward 4.47, Epsilon 0.70, TotalStep 10714
Epoch 43: Loss 2.00, Reward 5.0, Avgloss 2.32, Avgreward 4.48, Epsilon 0.70, TotalStep 10941
