
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 2.76, Reward 8.0, Avgloss 2.76, Avgreward 8.00, Epsilon 0.97, TotalStep 281
Epoch 1: Loss 2.17, Reward 4.0, Avgloss 2.46, Avgreward 6.00, Epsilon 0.97, TotalStep 494
Epoch 2: Loss 2.04, Reward 2.0, Avgloss 2.32, Avgreward 4.67, Epsilon 0.97, TotalStep 693
Epoch 3: Loss 2.06, Reward 3.0, Avgloss 2.26, Avgreward 4.25, Epsilon 0.97, TotalStep 909
Epoch 4: Loss 2.37, Reward 3.0, Avgloss 2.28, Avgreward 4.00, Epsilon 0.96, TotalStep 1178
Epoch 5: Loss 3.08, Reward 8.0, Avgloss 2.41, Avgreward 4.67, Epsilon 0.96, TotalStep 1493
Epoch 6: Loss 1.91, Reward 3.0, Avgloss 2.34, Avgreward 4.43, Epsilon 0.96, TotalStep 1693
Epoch 7: Loss 2.11, Reward 3.0, Avgloss 2.31, Avgreward 4.25, Epsilon 0.96, TotalStep 1895
Epoch 8: Loss 2.20, Reward 3.0, Avgloss 2.30, Avgreward 4.11, Epsilon 0.96, TotalStep 2119
Epoch 9: Loss 1.92, Reward 2.0, Avgloss 2.26, Avgreward 3.90, Epsilon 0.96, TotalStep 2329
Epoch 10: Loss 2.30, Reward 7.0, Avgloss 2.27, Avgreward 4.18, Epsilon 0.96, TotalStep 2589
Epoch 11: Loss 2.32, Reward 4.0, Avgloss 2.27, Avgreward 4.17, Epsilon 0.96, TotalStep 2855
Epoch 12: Loss 1.62, Reward 4.0, Avgloss 2.22, Avgreward 4.15, Epsilon 0.96, TotalStep 3057
Epoch 13: Loss 1.75, Reward 1.0, Avgloss 2.19, Avgreward 3.93, Epsilon 0.95, TotalStep 3257
Epoch 14: Loss 1.65, Reward 3.0, Avgloss 2.15, Avgreward 3.87, Epsilon 0.95, TotalStep 3458
Epoch 15: Loss 2.36, Reward 4.0, Avgloss 2.16, Avgreward 3.88, Epsilon 0.95, TotalStep 3714
Epoch 16: Loss 1.93, Reward 2.0, Avgloss 2.15, Avgreward 3.76, Epsilon 0.95, TotalStep 3914
Epoch 17: Loss 2.28, Reward 5.0, Avgloss 2.16, Avgreward 3.83, Epsilon 0.95, TotalStep 4154
Epoch 18: Loss 1.84, Reward 2.0, Avgloss 2.14, Avgreward 3.74, Epsilon 0.95, TotalStep 4364
Epoch 19: Loss 2.24, Reward 4.0, Avgloss 2.15, Avgreward 3.75, Epsilon 0.95, TotalStep 4576
Epoch 20: Loss 2.22, Reward 4.0, Avgloss 2.15, Avgreward 3.76, Epsilon 0.95, TotalStep 4814
Epoch 21: Loss 5.09, Reward 14.0, Avgloss 2.28, Avgreward 4.23, Epsilon 0.94, TotalStep 5338
Epoch 22: Loss 2.35, Reward 5.0, Avgloss 2.29, Avgreward 4.26, Epsilon 0.94, TotalStep 5584
Epoch 23: Loss 1.91, Reward 4.0, Avgloss 2.27, Avgreward 4.25, Epsilon 0.94, TotalStep 5804
Epoch 24: Loss 1.98, Reward 2.0, Avgloss 2.26, Avgreward 4.16, Epsilon 0.94, TotalStep 6015
Epoch 25: Loss 3.29, Reward 9.0, Avgloss 2.30, Avgreward 4.35, Epsilon 0.94, TotalStep 6394
Epoch 26: Loss 1.97, Reward 2.0, Avgloss 2.29, Avgreward 4.26, Epsilon 0.94, TotalStep 6599
Epoch 27: Loss 1.93, Reward 2.0, Avgloss 2.27, Avgreward 4.18, Epsilon 0.94, TotalStep 6808
Epoch 28: Loss 1.79, Reward 3.0, Avgloss 2.26, Avgreward 4.14, Epsilon 0.94, TotalStep 7018
Epoch 29: Loss 2.83, Reward 7.0, Avgloss 2.28, Avgreward 4.23, Epsilon 0.94, TotalStep 7312
Epoch 30: Loss 1.93, Reward 4.0, Avgloss 2.26, Avgreward 4.23, Epsilon 0.93, TotalStep 7510
Epoch 31: Loss 3.03, Reward 10.0, Avgloss 2.29, Avgreward 4.41, Epsilon 0.93, TotalStep 7824
Epoch 32: Loss 2.10, Reward 3.0, Avgloss 2.28, Avgreward 4.36, Epsilon 0.93, TotalStep 8050
Epoch 33: Loss 2.57, Reward 9.0, Avgloss 2.29, Avgreward 4.50, Epsilon 0.93, TotalStep 8332
Epoch 34: Loss 4.53, Reward 15.0, Avgloss 2.36, Avgreward 4.80, Epsilon 0.93, TotalStep 8812
Epoch 35: Loss 3.27, Reward 10.0, Avgloss 2.38, Avgreward 4.94, Epsilon 0.93, TotalStep 9136
Epoch 36: Loss 1.91, Reward 3.0, Avgloss 2.37, Avgreward 4.89, Epsilon 0.93, TotalStep 9345
Epoch 37: Loss 2.05, Reward 2.0, Avgloss 2.36, Avgreward 4.82, Epsilon 0.92, TotalStep 9552
Epoch 38: Loss 2.05, Reward 2.0, Avgloss 2.35, Avgreward 4.74, Epsilon 0.92, TotalStep 9754
Epoch 39: Loss 3.25, Reward 8.0, Avgloss 2.37, Avgreward 4.83, Epsilon 0.92, TotalStep 10065
Epoch 40: Loss 2.05, Reward 6.0, Avgloss 2.37, Avgreward 4.85, Epsilon 0.92, TotalStep 10287
Epoch 41: Loss 3.21, Reward 8.0, Avgloss 2.39, Avgreward 4.93, Epsilon 0.92, TotalStep 10620
Epoch 42: Loss 2.05, Reward 3.0, Avgloss 2.38, Avgreward 4.88, Epsilon 0.92, TotalStep 10841
Epoch 43: Loss 1.98, Reward 4.0, Avgloss 2.37, Avgreward 4.86, Epsilon 0.92, TotalStep 11037
Epoch 44: Loss 2.56, Reward 3.0, Avgloss 2.37, Avgreward 4.82, Epsilon 0.92, TotalStep 11302
Epoch 45: Loss 3.05, Reward 8.0, Avgloss 2.39, Avgreward 4.89, Epsilon 0.92, TotalStep 11580
Epoch 46: Loss 2.26, Reward 3.0, Avgloss 2.39, Avgreward 4.85, Epsilon 0.91, TotalStep 11803
Epoch 47: Loss 1.93, Reward 6.0, Avgloss 2.38, Avgreward 4.88, Epsilon 0.91, TotalStep 12007
Epoch 48: Loss 1.97, Reward 3.0, Avgloss 2.37, Avgreward 4.84, Epsilon 0.91, TotalStep 12211
Epoch 49: Loss 3.13, Reward 5.0, Avgloss 2.38, Avgreward 4.84, Epsilon 0.91, TotalStep 12545
Epoch 50: Loss 2.03, Reward 3.0, Avgloss 2.38, Avgreward 4.80, Epsilon 0.91, TotalStep 12740
Epoch 51: Loss 2.69, Reward 6.0, Avgloss 2.38, Avgreward 4.83, Epsilon 0.91, TotalStep 13014
Epoch 52: Loss 2.58, Reward 6.0, Avgloss 2.39, Avgreward 4.85, Epsilon 0.91, TotalStep 13269
Epoch 53: Loss 2.03, Reward 4.0, Avgloss 2.38, Avgreward 4.83, Epsilon 0.91, TotalStep 13479
Epoch 54: Loss 2.29, Reward 5.0, Avgloss 2.38, Avgreward 4.84, Epsilon 0.91, TotalStep 13721
Epoch 55: Loss 2.49, Reward 8.0, Avgloss 2.38, Avgreward 4.89, Epsilon 0.90, TotalStep 13985
Epoch 56: Loss 2.56, Reward 4.0, Avgloss 2.38, Avgreward 4.88, Epsilon 0.90, TotalStep 14229
Epoch 57: Loss 2.79, Reward 7.0, Avgloss 2.39, Avgreward 4.91, Epsilon 0.90, TotalStep 14506
Epoch 58: Loss 2.29, Reward 4.0, Avgloss 2.39, Avgreward 4.90, Epsilon 0.90, TotalStep 14729
Epoch 59: Loss 2.10, Reward 3.0, Avgloss 2.38, Avgreward 4.87, Epsilon 0.90, TotalStep 14944
Epoch 60: Loss 2.12, Reward 7.0, Avgloss 2.38, Avgreward 4.90, Epsilon 0.90, TotalStep 15182
Epoch 61: Loss 2.43, Reward 2.0, Avgloss 2.38, Avgreward 4.85, Epsilon 0.90, TotalStep 15410
Epoch 62: Loss 2.12, Reward 4.0, Avgloss 2.38, Avgreward 4.84, Epsilon 0.90, TotalStep 15612
Epoch 63: Loss 3.53, Reward 8.0, Avgloss 2.39, Avgreward 4.89, Epsilon 0.90, TotalStep 15984
Epoch 64: Loss 3.70, Reward 11.0, Avgloss 2.41, Avgreward 4.98, Epsilon 0.89, TotalStep 16350
Epoch 65: Loss 1.79, Reward 2.0, Avgloss 2.40, Avgreward 4.94, Epsilon 0.89, TotalStep 16546
Epoch 66: Loss 2.17, Reward 3.0, Avgloss 2.40, Avgreward 4.91, Epsilon 0.89, TotalStep 16766
Epoch 67: Loss 1.57, Reward 3.0, Avgloss 2.39, Avgreward 4.88, Epsilon 0.89, TotalStep 16944
Epoch 68: Loss 2.03, Reward 2.0, Avgloss 2.38, Avgreward 4.84, Epsilon 0.89, TotalStep 17147
Epoch 69: Loss 2.14, Reward 4.0, Avgloss 2.38, Avgreward 4.83, Epsilon 0.89, TotalStep 17343
Epoch 70: Loss 2.00, Reward 2.0, Avgloss 2.37, Avgreward 4.79, Epsilon 0.89, TotalStep 17544
Epoch 71: Loss 1.93, Reward 1.0, Avgloss 2.37, Avgreward 4.74, Epsilon 0.89, TotalStep 17755
Epoch 72: Loss 2.28, Reward 2.0, Avgloss 2.37, Avgreward 4.70, Epsilon 0.89, TotalStep 17975
Epoch 73: Loss 2.09, Reward 4.0, Avgloss 2.36, Avgreward 4.69, Epsilon 0.89, TotalStep 18181
Epoch 74: Loss 2.51, Reward 8.0, Avgloss 2.37, Avgreward 4.73, Epsilon 0.88, TotalStep 18455
Epoch 75: Loss 2.12, Reward 1.0, Avgloss 2.36, Avgreward 4.68, Epsilon 0.88, TotalStep 18667
Epoch 76: Loss 2.74, Reward 5.0, Avgloss 2.37, Avgreward 4.69, Epsilon 0.88, TotalStep 18943
Epoch 77: Loss 2.21, Reward 2.0, Avgloss 2.36, Avgreward 4.65, Epsilon 0.88, TotalStep 19147
Epoch 78: Loss 2.00, Reward 4.0, Avgloss 2.36, Avgreward 4.65, Epsilon 0.88, TotalStep 19352
Epoch 79: Loss 1.93, Reward 3.0, Avgloss 2.35, Avgreward 4.62, Epsilon 0.88, TotalStep 19547
Epoch 80: Loss 2.23, Reward 5.0, Avgloss 2.35, Avgreward 4.63, Epsilon 0.88, TotalStep 19785
Epoch 81: Loss 2.03, Reward 3.0, Avgloss 2.35, Avgreward 4.61, Epsilon 0.88, TotalStep 19985
Epoch 82: Loss 2.17, Reward 4.0, Avgloss 2.35, Avgreward 4.60, Epsilon 0.88, TotalStep 20197
Epoch 83: Loss 2.17, Reward 3.0, Avgloss 2.35, Avgreward 4.58, Epsilon 0.88, TotalStep 20418
Epoch 84: Loss 2.21, Reward 1.0, Avgloss 2.34, Avgreward 4.54, Epsilon 0.87, TotalStep 20621
Epoch 85: Loss 2.31, Reward 5.0, Avgloss 2.34, Avgreward 4.55, Epsilon 0.87, TotalStep 20838
Epoch 86: Loss 1.96, Reward 2.0, Avgloss 2.34, Avgreward 4.52, Epsilon 0.87, TotalStep 21034
Epoch 87: Loss 2.46, Reward 5.0, Avgloss 2.34, Avgreward 4.52, Epsilon 0.87, TotalStep 21269
Epoch 88: Loss 2.10, Reward 3.0, Avgloss 2.34, Avgreward 4.51, Epsilon 0.87, TotalStep 21482
Epoch 89: Loss 2.46, Reward 6.0, Avgloss 2.34, Avgreward 4.52, Epsilon 0.87, TotalStep 21750
Epoch 90: Loss 3.11, Reward 7.0, Avgloss 2.35, Avgreward 4.55, Epsilon 0.87, TotalStep 22062
Epoch 91: Loss 1.77, Reward 2.0, Avgloss 2.34, Avgreward 4.52, Epsilon 0.87, TotalStep 22261
Epoch 92: Loss 3.70, Reward 7.0, Avgloss 2.36, Avgreward 4.55, Epsilon 0.87, TotalStep 22620
Epoch 93: Loss 2.51, Reward 4.0, Avgloss 2.36, Avgreward 4.54, Epsilon 0.87, TotalStep 22859
Epoch 94: Loss 1.95, Reward 4.0, Avgloss 2.35, Avgreward 4.54, Epsilon 0.86, TotalStep 23071
Epoch 95: Loss 2.05, Reward 4.0, Avgloss 2.35, Avgreward 4.53, Epsilon 0.86, TotalStep 23271
Epoch 96: Loss 3.69, Reward 11.0, Avgloss 2.36, Avgreward 4.60, Epsilon 0.86, TotalStep 23621
Epoch 97: Loss 2.28, Reward 7.0, Avgloss 2.36, Avgreward 4.62, Epsilon 0.86, TotalStep 23848
Epoch 98: Loss 3.16, Reward 9.0, Avgloss 2.37, Avgreward 4.67, Epsilon 0.86, TotalStep 24173
Epoch 99: Loss 3.44, Reward 7.0, Avgloss 2.38, Avgreward 4.69, Epsilon 0.86, TotalStep 24517
Epoch 102: Loss 1.96, Reward 3.0, Avgloss 2.37, Avgreward 4.66, Epsilon 0.86, TotalStep 25150
Epoch 101: Loss 1.82, Reward 5.0, Avgloss 2.37, Avgreward 4.65, Epsilon 0.86, TotalStep 24935
Epoch 102: Loss 1.96, Reward 3.0, Avgloss 2.37, Avgreward 4.66, Epsilon 0.86, TotalStep 25150
Epoch 103: Loss 2.06, Reward 2.0, Avgloss 2.37, Avgreward 4.65, Epsilon 0.85, TotalStep 25351
Epoch 104: Loss 1.82, Reward 2.0, Avgloss 2.37, Avgreward 4.64, Epsilon 0.85, TotalStep 25549
Epoch 105: Loss 2.40, Reward 2.0, Avgloss 2.36, Avgreward 4.58, Epsilon 0.85, TotalStep 25793
Epoch 106: Loss 2.08, Reward 2.0, Avgloss 2.36, Avgreward 4.57, Epsilon 0.85, TotalStep 26006
Epoch 107: Loss 2.05, Reward 4.0, Avgloss 2.36, Avgreward 4.58, Epsilon 0.85, TotalStep 26218
Epoch 108: Loss 2.30, Reward 4.0, Avgloss 2.36, Avgreward 4.59, Epsilon 0.85, TotalStep 26448
Epoch 109: Loss 2.28, Reward 6.0, Avgloss 2.37, Avgreward 4.63, Epsilon 0.85, TotalStep 26688
Epoch 110: Loss 2.03, Reward 1.0, Avgloss 2.36, Avgreward 4.57, Epsilon 0.85, TotalStep 26891
Epoch 111: Loss 1.86, Reward 3.0, Avgloss 2.36, Avgreward 4.56, Epsilon 0.85, TotalStep 27090
Epoch 112: Loss 2.22, Reward 4.0, Avgloss 2.36, Avgreward 4.56, Epsilon 0.85, TotalStep 27313
Epoch 113: Loss 2.60, Reward 4.0, Avgloss 2.37, Avgreward 4.59, Epsilon 0.84, TotalStep 27604
Epoch 114: Loss 1.94, Reward 2.0, Avgloss 2.38, Avgreward 4.58, Epsilon 0.84, TotalStep 27802
Epoch 115: Loss 2.15, Reward 4.0, Avgloss 2.37, Avgreward 4.58, Epsilon 0.84, TotalStep 28005
Epoch 116: Loss 2.31, Reward 5.0, Avgloss 2.38, Avgreward 4.61, Epsilon 0.84, TotalStep 28235
Epoch 117: Loss 2.55, Reward 3.0, Avgloss 2.38, Avgreward 4.59, Epsilon 0.84, TotalStep 28476
Epoch 118: Loss 1.89, Reward 3.0, Avgloss 2.38, Avgreward 4.60, Epsilon 0.84, TotalStep 28673
Epoch 119: Loss 2.18, Reward 5.0, Avgloss 2.38, Avgreward 4.61, Epsilon 0.84, TotalStep 28892
Epoch 120: Loss 1.94, Reward 2.0, Avgloss 2.38, Avgreward 4.59, Epsilon 0.84, TotalStep 29108
Epoch 121: Loss 1.87, Reward 3.0, Avgloss 2.34, Avgreward 4.48, Epsilon 0.84, TotalStep 29306
Epoch 122: Loss 1.92, Reward 2.0, Avgloss 2.34, Avgreward 4.45, Epsilon 0.84, TotalStep 29504
Epoch 123: Loss 2.62, Reward 6.0, Avgloss 2.35, Avgreward 4.47, Epsilon 0.84, TotalStep 29777
Epoch 124: Loss 2.93, Reward 7.0, Avgloss 2.36, Avgreward 4.52, Epsilon 0.83, TotalStep 30084
Epoch 125: Loss 2.37, Reward 5.0, Avgloss 2.35, Avgreward 4.48, Epsilon 0.83, TotalStep 30322
Epoch 126: Loss 2.09, Reward 2.0, Avgloss 2.35, Avgreward 4.48, Epsilon 0.83, TotalStep 30524
Epoch 127: Loss 2.20, Reward 4.0, Avgloss 2.35, Avgreward 4.50, Epsilon 0.83, TotalStep 30742
Epoch 128: Loss 1.71, Reward 2.0, Avgloss 2.35, Avgreward 4.49, Epsilon 0.83, TotalStep 30933
Epoch 129: Loss 3.71, Reward 13.0, Avgloss 2.36, Avgreward 4.55, Epsilon 0.83, TotalStep 31326
Epoch 130: Loss 2.19, Reward 5.0, Avgloss 2.36, Avgreward 4.56, Epsilon 0.83, TotalStep 31571
Epoch 131: Loss 3.62, Reward 12.0, Avgloss 2.37, Avgreward 4.58, Epsilon 0.83, TotalStep 31952
Epoch 132: Loss 1.84, Reward 4.0, Avgloss 2.37, Avgreward 4.59, Epsilon 0.83, TotalStep 32155
Epoch 133: Loss 2.28, Reward 5.0, Avgloss 2.36, Avgreward 4.55, Epsilon 0.82, TotalStep 32370
Epoch 134: Loss 2.18, Reward 3.0, Avgloss 2.34, Avgreward 4.43, Epsilon 0.82, TotalStep 32593
Epoch 135: Loss 2.28, Reward 5.0, Avgloss 2.33, Avgreward 4.38, Epsilon 0.82, TotalStep 32844
Epoch 136: Loss 2.79, Reward 6.0, Avgloss 2.34, Avgreward 4.41, Epsilon 0.82, TotalStep 33113
Epoch 137: Loss 3.03, Reward 5.0, Avgloss 2.35, Avgreward 4.44, Epsilon 0.82, TotalStep 33389
Epoch 138: Loss 2.77, Reward 3.0, Avgloss 2.36, Avgreward 4.45, Epsilon 0.82, TotalStep 33663
Epoch 139: Loss 2.17, Reward 3.0, Avgloss 2.34, Avgreward 4.40, Epsilon 0.82, TotalStep 33877
Epoch 140: Loss 1.95, Reward 2.0, Avgloss 2.34, Avgreward 4.36, Epsilon 0.82, TotalStep 34074
Epoch 141: Loss 1.99, Reward 2.0, Avgloss 2.33, Avgreward 4.30, Epsilon 0.82, TotalStep 34273
Epoch 142: Loss 2.05, Reward 3.0, Avgloss 2.33, Avgreward 4.30, Epsilon 0.82, TotalStep 34477
Epoch 143: Loss 3.60, Reward 8.0, Avgloss 2.35, Avgreward 4.34, Epsilon 0.81, TotalStep 34851
Epoch 144: Loss 2.25, Reward 2.0, Avgloss 2.34, Avgreward 4.33, Epsilon 0.81, TotalStep 35075
Epoch 145: Loss 2.05, Reward 3.0, Avgloss 2.33, Avgreward 4.28, Epsilon 0.81, TotalStep 35278
Epoch 146: Loss 2.23, Reward 4.0, Avgloss 2.33, Avgreward 4.29, Epsilon 0.81, TotalStep 35492
Epoch 147: Loss 2.22, Reward 3.0, Avgloss 2.34, Avgreward 4.26, Epsilon 0.81, TotalStep 35732
Epoch 148: Loss 2.95, Reward 7.0, Avgloss 2.35, Avgreward 4.30, Epsilon 0.81, TotalStep 36005
Epoch 149: Loss 4.69, Reward 17.0, Avgloss 2.36, Avgreward 4.42, Epsilon 0.81, TotalStep 36444
Epoch 150: Loss 2.38, Reward 4.0, Avgloss 2.37, Avgreward 4.43, Epsilon 0.81, TotalStep 36672
Epoch 151: Loss 2.31, Reward 2.0, Avgloss 2.36, Avgreward 4.39, Epsilon 0.81, TotalStep 36882
Epoch 152: Loss 1.93, Reward 4.0, Avgloss 2.36, Avgreward 4.37, Epsilon 0.81, TotalStep 37072
Epoch 153: Loss 2.55, Reward 5.0, Avgloss 2.36, Avgreward 4.38, Epsilon 0.80, TotalStep 37316
Epoch 154: Loss 2.00, Reward 2.0, Avgloss 2.36, Avgreward 4.35, Epsilon 0.80, TotalStep 37522
Epoch 155: Loss 3.33, Reward 10.0, Avgloss 2.37, Avgreward 4.37, Epsilon 0.80, TotalStep 37853
Epoch 156: Loss 1.63, Reward 4.0, Avgloss 2.36, Avgreward 4.37, Epsilon 0.80, TotalStep 38054
Epoch 157: Loss 2.62, Reward 5.0, Avgloss 2.36, Avgreward 4.35, Epsilon 0.80, TotalStep 38339
Epoch 158: Loss 2.71, Reward 6.0, Avgloss 2.36, Avgreward 4.37, Epsilon 0.80, TotalStep 38622
Epoch 159: Loss 2.48, Reward 6.0, Avgloss 2.36, Avgreward 4.40, Epsilon 0.80, TotalStep 38864
Epoch 160: Loss 2.73, Reward 7.0, Avgloss 2.37, Avgreward 4.40, Epsilon 0.80, TotalStep 39180
Epoch 161: Loss 2.99, Reward 6.0, Avgloss 2.38, Avgreward 4.44, Epsilon 0.80, TotalStep 39481
Epoch 162: Loss 3.00, Reward 6.0, Avgloss 2.38, Avgreward 4.46, Epsilon 0.79, TotalStep 39789
Epoch 163: Loss 1.97, Reward 2.0, Avgloss 2.37, Avgreward 4.40, Epsilon 0.79, TotalStep 39988
Epoch 164: Loss 2.58, Reward 3.0, Avgloss 2.36, Avgreward 4.32, Epsilon 0.79, TotalStep 40236
Epoch 165: Loss 2.15, Reward 3.0, Avgloss 2.36, Avgreward 4.33, Epsilon 0.79, TotalStep 40450
Epoch 166: Loss 1.86, Reward 3.0, Avgloss 2.36, Avgreward 4.33, Epsilon 0.79, TotalStep 40651
Epoch 167: Loss 2.01, Reward 3.0, Avgloss 2.36, Avgreward 4.33, Epsilon 0.79, TotalStep 40855
Epoch 168: Loss 2.08, Reward 2.0, Avgloss 2.36, Avgreward 4.33, Epsilon 0.79, TotalStep 41057
Epoch 169: Loss 2.53, Reward 5.0, Avgloss 2.37, Avgreward 4.34, Epsilon 0.79, TotalStep 41324
Epoch 170: Loss 1.66, Reward 4.0, Avgloss 2.36, Avgreward 4.36, Epsilon 0.79, TotalStep 41489
Epoch 171: Loss 1.68, Reward 3.0, Avgloss 2.36, Avgreward 4.38, Epsilon 0.79, TotalStep 41662
Epoch 172: Loss 2.04, Reward 2.0, Avgloss 2.36, Avgreward 4.38, Epsilon 0.79, TotalStep 41869
Epoch 173: Loss 1.95, Reward 2.0, Avgloss 2.36, Avgreward 4.36, Epsilon 0.79, TotalStep 42081
Epoch 174: Loss 2.19, Reward 2.0, Avgloss 2.35, Avgreward 4.30, Epsilon 0.78, TotalStep 42290
Epoch 175: Loss 3.90, Reward 8.0, Avgloss 2.37, Avgreward 4.37, Epsilon 0.78, TotalStep 42685
Epoch 176: Loss 2.07, Reward 1.0, Avgloss 2.36, Avgreward 4.33, Epsilon 0.78, TotalStep 42890
Epoch 177: Loss 2.17, Reward 3.0, Avgloss 2.36, Avgreward 4.34, Epsilon 0.78, TotalStep 43101
Epoch 178: Loss 2.48, Reward 2.0, Avgloss 2.37, Avgreward 4.32, Epsilon 0.78, TotalStep 43334
Epoch 179: Loss 2.80, Reward 4.0, Avgloss 2.38, Avgreward 4.33, Epsilon 0.78, TotalStep 43630
Epoch 180: Loss 1.89, Reward 0.0, Avgloss 2.37, Avgreward 4.28, Epsilon 0.78, TotalStep 43834
Epoch 181: Loss 2.00, Reward 2.0, Avgloss 2.37, Avgreward 4.27, Epsilon 0.78, TotalStep 44039
Epoch 182: Loss 1.91, Reward 3.0, Avgloss 2.37, Avgreward 4.26, Epsilon 0.78, TotalStep 44247
Epoch 183: Loss 1.93, Reward 2.0, Avgloss 2.37, Avgreward 4.25, Epsilon 0.78, TotalStep 44451
Epoch 184: Loss 3.83, Reward 10.0, Avgloss 2.39, Avgreward 4.34, Epsilon 0.78, TotalStep 44826
Epoch 185: Loss 2.26, Reward 5.0, Avgloss 2.38, Avgreward 4.34, Epsilon 0.77, TotalStep 45075
Epoch 186: Loss 1.73, Reward 2.0, Avgloss 2.38, Avgreward 4.34, Epsilon 0.77, TotalStep 45285
Epoch 187: Loss 1.92, Reward 3.0, Avgloss 2.38, Avgreward 4.32, Epsilon 0.77, TotalStep 45486
Epoch 188: Loss 2.84, Reward 9.0, Avgloss 2.38, Avgreward 4.38, Epsilon 0.77, TotalStep 45808
Epoch 189: Loss 2.89, Reward 7.0, Avgloss 2.39, Avgreward 4.39, Epsilon 0.77, TotalStep 46110
Epoch 190: Loss 2.83, Reward 6.0, Avgloss 2.39, Avgreward 4.38, Epsilon 0.77, TotalStep 46391
Epoch 191: Loss 1.87, Reward 3.0, Avgloss 2.39, Avgreward 4.39, Epsilon 0.77, TotalStep 46588
Epoch 192: Loss 2.41, Reward 4.0, Avgloss 2.37, Avgreward 4.36, Epsilon 0.77, TotalStep 46863
Epoch 193: Loss 1.67, Reward 2.0, Avgloss 2.37, Avgreward 4.34, Epsilon 0.77, TotalStep 47041
Epoch 194: Loss 2.57, Reward 4.0, Avgloss 2.37, Avgreward 4.34, Epsilon 0.77, TotalStep 47307
Epoch 195: Loss 1.85, Reward 3.0, Avgloss 2.37, Avgreward 4.33, Epsilon 0.76, TotalStep 47518
Epoch 196: Loss 2.55, Reward 5.0, Avgloss 2.36, Avgreward 4.27, Epsilon 0.76, TotalStep 47789
Epoch 197: Loss 2.28, Reward 6.0, Avgloss 2.36, Avgreward 4.26, Epsilon 0.76, TotalStep 48048
Epoch 198: Loss 1.86, Reward 3.0, Avgloss 2.35, Avgreward 4.20, Epsilon 0.76, TotalStep 48255
Epoch 199: Loss 3.35, Reward 10.0, Avgloss 2.34, Avgreward 4.23, Epsilon 0.76, TotalStep 48608
Epoch 200: Loss 2.06, Reward 2.0, Avgloss 2.34, Avgreward 4.22, Epsilon 0.76, TotalStep 48805
Epoch 201: Loss 3.50, Reward 11.0, Avgloss 2.36, Avgreward 4.28, Epsilon 0.76, TotalStep 49173
Epoch 202: Loss 2.08, Reward 2.0, Avgloss 2.36, Avgreward 4.27, Epsilon 0.76, TotalStep 49382
Epoch 203: Loss 2.39, Reward 4.0, Avgloss 2.36, Avgreward 4.29, Epsilon 0.76, TotalStep 49598
Epoch 204: Loss 2.03, Reward 3.0, Avgloss 2.37, Avgreward 4.30, Epsilon 0.76, TotalStep 49810
Epoch 205: Loss 1.85, Reward 3.0, Avgloss 2.36, Avgreward 4.31, Epsilon 0.76, TotalStep 50001
Epoch 206: Loss 2.02, Reward 3.0, Avgloss 2.36, Avgreward 4.32, Epsilon 0.75, TotalStep 50212
Epoch 207: Loss 2.00, Reward 2.0, Avgloss 2.36, Avgreward 4.30, Epsilon 0.75, TotalStep 50420
Epoch 208: Loss 1.83, Reward 3.0, Avgloss 2.35, Avgreward 4.29, Epsilon 0.75, TotalStep 50626
Epoch 209: Loss 3.34, Reward 8.0, Avgloss 2.37, Avgreward 4.31, Epsilon 0.75, TotalStep 50999
Epoch 210: Loss 2.82, Reward 7.0, Avgloss 2.37, Avgreward 4.37, Epsilon 0.75, TotalStep 51291
Epoch 211: Loss 1.87, Reward 4.0, Avgloss 2.37, Avgreward 4.38, Epsilon 0.75, TotalStep 51495
Epoch 212: Loss 1.91, Reward 1.0, Avgloss 2.37, Avgreward 4.35, Epsilon 0.75, TotalStep 51706
Epoch 213: Loss 2.46, Reward 4.0, Avgloss 2.37, Avgreward 4.35, Epsilon 0.75, TotalStep 51955
Epoch 214: Loss 2.18, Reward 4.0, Avgloss 2.37, Avgreward 4.37, Epsilon 0.75, TotalStep 52152
