
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 3.61, Reward 7.0, Avgloss 3.61, Avgreward 7.00, Epsilon 0.84, TotalStep 361
Epoch 1: Loss 4.90, Reward 12.0, Avgloss 4.26, Avgreward 9.50, Epsilon 0.84, TotalStep 814
Epoch 2: Loss 3.21, Reward 8.0, Avgloss 3.91, Avgreward 9.00, Epsilon 0.84, TotalStep 1135
Epoch 3: Loss 1.74, Reward 4.0, Avgloss 3.37, Avgreward 7.75, Epsilon 0.84, TotalStep 1318
Epoch 4: Loss 2.82, Reward 4.0, Avgloss 3.26, Avgreward 7.00, Epsilon 0.84, TotalStep 1606
Epoch 5: Loss 2.56, Reward 3.0, Avgloss 3.14, Avgreward 6.33, Epsilon 0.83, TotalStep 1841
Epoch 6: Loss 2.17, Reward 4.0, Avgloss 3.00, Avgreward 6.00, Epsilon 0.83, TotalStep 2062
Epoch 7: Loss 3.99, Reward 7.0, Avgloss 3.13, Avgreward 6.12, Epsilon 0.83, TotalStep 2431
Epoch 8: Loss 2.18, Reward 2.0, Avgloss 3.02, Avgreward 5.67, Epsilon 0.83, TotalStep 2634
Epoch 9: Loss 2.08, Reward 3.0, Avgloss 2.93, Avgreward 5.40, Epsilon 0.83, TotalStep 2852
Epoch 10: Loss 2.70, Reward 4.0, Avgloss 2.91, Avgreward 5.27, Epsilon 0.83, TotalStep 3118
Epoch 11: Loss 2.57, Reward 7.0, Avgloss 2.88, Avgreward 5.42, Epsilon 0.83, TotalStep 3370
Epoch 12: Loss 1.97, Reward 3.0, Avgloss 2.81, Avgreward 5.23, Epsilon 0.83, TotalStep 3563
Epoch 13: Loss 3.31, Reward 8.0, Avgloss 2.84, Avgreward 5.43, Epsilon 0.83, TotalStep 3916
Epoch 14: Loss 2.29, Reward 1.0, Avgloss 2.81, Avgreward 5.13, Epsilon 0.82, TotalStep 4118
Epoch 15: Loss 2.29, Reward 6.0, Avgloss 2.77, Avgreward 5.19, Epsilon 0.82, TotalStep 4349
Epoch 16: Loss 3.42, Reward 11.0, Avgloss 2.81, Avgreward 5.53, Epsilon 0.82, TotalStep 4691
Epoch 17: Loss 2.30, Reward 2.0, Avgloss 2.78, Avgreward 5.33, Epsilon 0.82, TotalStep 4917
Epoch 18: Loss 1.83, Reward 1.0, Avgloss 2.73, Avgreward 5.11, Epsilon 0.82, TotalStep 5118
Epoch 19: Loss 1.88, Reward 7.0, Avgloss 2.69, Avgreward 5.20, Epsilon 0.82, TotalStep 5341
Epoch 20: Loss 3.07, Reward 6.0, Avgloss 2.71, Avgreward 5.24, Epsilon 0.82, TotalStep 5633
Epoch 21: Loss 2.23, Reward 2.0, Avgloss 2.69, Avgreward 5.09, Epsilon 0.82, TotalStep 5837
Epoch 22: Loss 2.34, Reward 3.0, Avgloss 2.67, Avgreward 5.00, Epsilon 0.82, TotalStep 6044
Epoch 23: Loss 3.65, Reward 8.0, Avgloss 2.71, Avgreward 5.12, Epsilon 0.82, TotalStep 6406
Epoch 24: Loss 2.71, Reward 7.0, Avgloss 2.71, Avgreward 5.20, Epsilon 0.81, TotalStep 6687
Epoch 25: Loss 2.61, Reward 3.0, Avgloss 2.71, Avgreward 5.12, Epsilon 0.81, TotalStep 6907
Epoch 26: Loss 2.79, Reward 3.0, Avgloss 2.71, Avgreward 5.04, Epsilon 0.81, TotalStep 7176
Epoch 27: Loss 3.22, Reward 6.0, Avgloss 2.73, Avgreward 5.07, Epsilon 0.81, TotalStep 7501
Epoch 28: Loss 1.78, Reward 4.0, Avgloss 2.70, Avgreward 5.03, Epsilon 0.81, TotalStep 7700
Epoch 29: Loss 2.67, Reward 3.0, Avgloss 2.70, Avgreward 4.97, Epsilon 0.81, TotalStep 7940
Epoch 30: Loss 2.59, Reward 5.0, Avgloss 2.69, Avgreward 4.97, Epsilon 0.81, TotalStep 8157
Epoch 31: Loss 2.14, Reward 4.0, Avgloss 2.68, Avgreward 4.94, Epsilon 0.81, TotalStep 8379
Epoch 32: Loss 2.50, Reward 2.0, Avgloss 2.67, Avgreward 4.85, Epsilon 0.81, TotalStep 8618
Epoch 33: Loss 2.40, Reward 6.0, Avgloss 2.66, Avgreward 4.88, Epsilon 0.80, TotalStep 8891
Epoch 34: Loss 1.82, Reward 2.0, Avgloss 2.64, Avgreward 4.80, Epsilon 0.80, TotalStep 9086
Epoch 35: Loss 2.81, Reward 5.0, Avgloss 2.64, Avgreward 4.81, Epsilon 0.80, TotalStep 9378
Epoch 36: Loss 1.74, Reward 3.0, Avgloss 2.62, Avgreward 4.76, Epsilon 0.80, TotalStep 9550
Epoch 37: Loss 3.27, Reward 8.0, Avgloss 2.64, Avgreward 4.84, Epsilon 0.80, TotalStep 9854
Epoch 38: Loss 1.58, Reward 3.0, Avgloss 2.61, Avgreward 4.79, Epsilon 0.80, TotalStep 10049
Epoch 39: Loss 2.32, Reward 5.0, Avgloss 2.60, Avgreward 4.80, Epsilon 0.80, TotalStep 10299
Epoch 40: Loss 1.63, Reward 3.0, Avgloss 2.58, Avgreward 4.76, Epsilon 0.80, TotalStep 10471
Epoch 41: Loss 2.04, Reward 2.0, Avgloss 2.56, Avgreward 4.69, Epsilon 0.80, TotalStep 10678
Epoch 42: Loss 2.48, Reward 4.0, Avgloss 2.56, Avgreward 4.67, Epsilon 0.80, TotalStep 10925
Epoch 43: Loss 1.98, Reward 2.0, Avgloss 2.55, Avgreward 4.61, Epsilon 0.80, TotalStep 11124
Epoch 44: Loss 1.91, Reward 2.0, Avgloss 2.54, Avgreward 4.56, Epsilon 0.79, TotalStep 11321
Epoch 45: Loss 2.13, Reward 5.0, Avgloss 2.53, Avgreward 4.57, Epsilon 0.79, TotalStep 11567
Epoch 46: Loss 3.84, Reward 9.0, Avgloss 2.55, Avgreward 4.66, Epsilon 0.79, TotalStep 11906
Epoch 47: Loss 2.04, Reward 4.0, Avgloss 2.54, Avgreward 4.65, Epsilon 0.79, TotalStep 12100
Epoch 48: Loss 2.87, Reward 6.0, Avgloss 2.55, Avgreward 4.67, Epsilon 0.79, TotalStep 12382
Epoch 49: Loss 2.24, Reward 1.0, Avgloss 2.54, Avgreward 4.60, Epsilon 0.79, TotalStep 12585
Epoch 50: Loss 2.68, Reward 5.0, Avgloss 2.55, Avgreward 4.61, Epsilon 0.79, TotalStep 12857
Epoch 51: Loss 1.66, Reward 2.0, Avgloss 2.53, Avgreward 4.56, Epsilon 0.79, TotalStep 13043
Epoch 52: Loss 2.68, Reward 6.0, Avgloss 2.53, Avgreward 4.58, Epsilon 0.79, TotalStep 13298
Epoch 53: Loss 2.02, Reward 2.0, Avgloss 2.52, Avgreward 4.54, Epsilon 0.79, TotalStep 13493
Epoch 54: Loss 2.64, Reward 5.0, Avgloss 2.53, Avgreward 4.55, Epsilon 0.79, TotalStep 13774
Epoch 55: Loss 2.09, Reward 2.0, Avgloss 2.52, Avgreward 4.50, Epsilon 0.78, TotalStep 14002
Epoch 56: Loss 2.69, Reward 6.0, Avgloss 2.52, Avgreward 4.53, Epsilon 0.78, TotalStep 14294
Epoch 57: Loss 1.99, Reward 4.0, Avgloss 2.51, Avgreward 4.52, Epsilon 0.78, TotalStep 14515
Epoch 58: Loss 2.27, Reward 2.0, Avgloss 2.51, Avgreward 4.47, Epsilon 0.78, TotalStep 14715
Epoch 59: Loss 1.79, Reward 4.0, Avgloss 2.50, Avgreward 4.47, Epsilon 0.78, TotalStep 14924
Epoch 60: Loss 2.43, Reward 4.0, Avgloss 2.49, Avgreward 4.46, Epsilon 0.78, TotalStep 15197
Epoch 61: Loss 2.92, Reward 5.0, Avgloss 2.50, Avgreward 4.47, Epsilon 0.78, TotalStep 15439
Epoch 62: Loss 2.29, Reward 2.0, Avgloss 2.50, Avgreward 4.43, Epsilon 0.78, TotalStep 15646
Epoch 63: Loss 1.90, Reward 3.0, Avgloss 2.49, Avgreward 4.41, Epsilon 0.78, TotalStep 15857
Epoch 64: Loss 2.14, Reward 4.0, Avgloss 2.48, Avgreward 4.40, Epsilon 0.78, TotalStep 16074
Epoch 65: Loss 2.64, Reward 5.0, Avgloss 2.49, Avgreward 4.41, Epsilon 0.78, TotalStep 16325
Epoch 66: Loss 1.98, Reward 4.0, Avgloss 2.48, Avgreward 4.40, Epsilon 0.77, TotalStep 16528
Epoch 67: Loss 2.26, Reward 3.0, Avgloss 2.48, Avgreward 4.38, Epsilon 0.77, TotalStep 16727
Epoch 68: Loss 2.05, Reward 2.0, Avgloss 2.47, Avgreward 4.35, Epsilon 0.77, TotalStep 16933
Epoch 69: Loss 1.44, Reward 3.0, Avgloss 2.45, Avgreward 4.33, Epsilon 0.77, TotalStep 17103
Epoch 70: Loss 3.60, Reward 9.0, Avgloss 2.47, Avgreward 4.39, Epsilon 0.77, TotalStep 17437
