
Warming up...
Eval epoch 0: Reward 13.0
Epoch 0: Loss 3.48, Reward 8.0, Avgloss 3.48, Avgreward 8.00, Epsilon 0.37, TotalStep 378
Epoch 1: Loss 2.02, Reward 3.0, Avgloss 2.75, Avgreward 5.50, Epsilon 0.36, TotalStep 608
Epoch 2: Loss 2.39, Reward 4.0, Avgloss 2.63, Avgreward 5.00, Epsilon 0.36, TotalStep 871
Epoch 3: Loss 1.51, Reward 3.0, Avgloss 2.35, Avgreward 4.50, Epsilon 0.36, TotalStep 1059
Epoch 4: Loss 2.27, Reward 4.0, Avgloss 2.33, Avgreward 4.40, Epsilon 0.36, TotalStep 1311
Epoch 5: Loss 1.66, Reward 2.0, Avgloss 2.22, Avgreward 4.00, Epsilon 0.36, TotalStep 1511
Epoch 6: Loss 3.67, Reward 11.0, Avgloss 2.43, Avgreward 5.00, Epsilon 0.36, TotalStep 1897
Epoch 7: Loss 1.66, Reward 2.0, Avgloss 2.33, Avgreward 4.62, Epsilon 0.36, TotalStep 2094
Epoch 8: Loss 2.85, Reward 6.0, Avgloss 2.39, Avgreward 4.78, Epsilon 0.36, TotalStep 2416
Epoch 9: Loss 2.72, Reward 4.0, Avgloss 2.42, Avgreward 4.70, Epsilon 0.36, TotalStep 2735
Epoch 10: Loss 1.82, Reward 3.0, Avgloss 2.37, Avgreward 4.55, Epsilon 0.36, TotalStep 2942
Epoch 11: Loss 2.12, Reward 3.0, Avgloss 2.35, Avgreward 4.42, Epsilon 0.36, TotalStep 3196
Epoch 12: Loss 1.85, Reward 4.0, Avgloss 2.31, Avgreward 4.38, Epsilon 0.36, TotalStep 3440
Epoch 13: Loss 3.06, Reward 9.0, Avgloss 2.36, Avgreward 4.71, Epsilon 0.35, TotalStep 3809
Epoch 14: Loss 2.52, Reward 3.0, Avgloss 2.37, Avgreward 4.60, Epsilon 0.35, TotalStep 4089
